method,dataset,batch_cap_per_dp,run,policy,observations,unique_questions,accuracy_percent,quality_delta_pp,quality_ci_low_pp,quality_ci_high_pp,paired_e2e_reduction_percent,e2e_ci_low_percent,e2e_ci_high_percent,e2e_ms_p50,e2e_ms_mean,e2e_ms_p90,e2e_ms_p99,ttft_ms_p50,tpot_ms_p50,itl_ms_p99,output_tokens_mean,throughput_tokens_s,vanilla_accuracy_percent,vanilla_e2e_ms_p50,timing_ci_unit
SERE,chartqa,1,ep_clean_renderer_chartqa_b1_run0_20260908,sere_s2_r05_official,384,128,70.3125,-19.53125,-26.5625,-12.5,-14.808167874424349,-15.218548068183821,-14.193478407329806,857.3840989265591,1012.5986999907278,1729.4197609182447,4059.8359125619754,363.4526690002531,122.7394366171211,156.96809410117567,6.4765625,9.494450844999493,89.84375,680.708070518449,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,16,ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,modes_official_target70_metadata_cached,384,128,86.71875,-1.5625,-5.46875,2.34375,-3.565706325830864,-8.190075457861834,0.088976574805121,1241.7002560105175,1267.506062387838,1669.1006695851684,2126.488630450332,698.3388834632933,154.85001215711236,503.1962632201612,4.609375,65.82380257444837,88.28125,1197.5472741760314,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,16,ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,modes_official_target85_metadata_cached,384,128,83.59375,-4.6875,-8.59375,-0.78125,-1.7774490490092387,-10.924921444059233,1.6317065359204574,1267.2526866663247,1294.9680492674815,1705.2390619181097,2263.3018290810314,711.6499543190002,160.66929744556546,515.2583490125835,4.6015625,67.74160554965886,88.28125,1197.5472741760314,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,chartqa,16,ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,vanilla,384,128,88.28125,0.0,0.0,0.0,0.0,0.0,0.0,1197.5472741760314,1238.270211066265,1615.7390753272919,2248.710734434429,715.8631766214967,141.7684173793532,542.4737483263016,4.640625,69.65772669077055,88.28125,1197.5472741760314,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,1,ep_clean_renderer_gqa_b1_run0_20260908,sere_s2_r05_official,384,128,50.78125,-7.03125,-12.50246062992126,-1.6129032258064515,-8.904052937748652,-9.609874796225123,-8.312046140506691,721.2254232726991,922.2240273799495,1260.9876514412463,5672.423085365444,526.959375012666,176.91114319022745,230.02282453700903,3.6796875,6.238405443829111,57.8125,648.487590951845,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,1,ep_clean_renderer_gqa_b1_run0_20260908,sere_s2_r07_official,384,128,56.25,-1.5625,-5.426356589147287,2.2556390977443606,-8.423547300097422,-8.945895909070767,-7.827418258808128,714.7257998585701,723.9247665565927,943.8866584561763,1426.4312277268618,517.6314876880497,178.29809268005192,231.32463492453098,2.4453125,5.865305741152603,57.8125,648.487590951845,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,1,ep_clean_renderer_gqa_b1_run0_20260908,sere_s4_r05_official,384,128,57.03125,-0.78125,-4.098360655737705,2.459016393442623,-8.845394082798885,-9.201739172176794,-8.280503489957702,708.0628576222807,711.2843525064818,898.025910835713,1135.31935716048,499.9472815543413,179.701043991372,230.7094130013138,2.390625,5.894389113285122,57.8125,648.487590951845,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,1,ep_clean_renderer_gqa_b1_run0_20260908,vanilla,384,128,57.8125,0.0,0.0,0.0,0.0,0.0,0.0,648.487590951845,661.7077724901416,877.6187976356595,1003.8757040491329,492.76041775010526,156.3072526672234,204.51115114614367,2.40625,6.320714120113771,57.8125,648.487590951845,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,1,ep_clean_renderer_gqa_b1_run1_modes_cached_20260908,modes_official_target70_metadata_cached,384,128,56.25,-1.5625,-6.4,3.2,-5.098753679993051,-5.589494670322259,-4.60450156110438,504.2076581157744,498.62387899459765,635.249915253371,757.3581341374667,353.61486743204296,124.41694371712705,156.08793888241055,2.34375,8.229823771596712,57.8125,475.931006250903,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,1,ep_clean_renderer_gqa_b1_run1_modes_cached_20260908,modes_official_target85_metadata_cached,384,128,56.25,-1.5625,-5.883442265795206,2.899079657251668,-3.2018299637244563,-3.8412801480538272,-2.6336915187712147,493.977262172848,489.85079970346607,625.7590700872242,779.8064846545469,344.04635010287166,124.27704478614032,162.31024135369805,2.359375,8.356269578962637,57.8125,475.931006250903,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,1,ep_clean_renderer_gqa_b1_run1_modes_cached_20260908,vanilla,384,128,57.8125,0.0,0.0,0.0,0.0,0.0,0.0,475.931006250903,478.7666124793759,607.0378582458943,722.6066146139055,342.1127886977047,112.64163546729833,143.78946482669562,2.40625,8.658851791343313,57.8125,475.931006250903,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,4,ep_clean_renderer_gqa_b4_run0_20260908,sere_s2_r05_official,384,128,60.15625,4.6875,1.5384615384615385,8.527131782945736,-12.552345063069925,-13.749559043615301,-11.277150843877482,507.1262721903622,531.4728345377565,678.8908075075597,1145.2294059284031,308.3277300465852,128.87167208828032,175.6752012297511,2.5,23.712532059724047,55.46875,458.20027007721364,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,4,ep_clean_renderer_gqa_b4_run0_20260908,sere_s2_r07_official,384,128,57.03125,1.5625,-1.5037593984962405,4.724409448818897,-11.391956435161234,-12.59242905354368,-9.691137727075905,517.4327788408846,525.5897024399019,676.8859426025301,810.0700623355807,346.9929259736091,127.825568895787,182.7593189664185,2.40625,26.20826044743036,55.46875,458.20027007721364,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,4,ep_clean_renderer_gqa_b4_run0_20260908,sere_s4_r05_official,384,128,57.8125,2.34375,-0.8,5.833333333333333,-11.797697068982504,-13.178903151389942,-10.026942150310745,503.6017030943185,517.1008286997676,667.3601583577693,812.4243156751618,342.9692790377885,128.1871872100358,174.44053292274475,2.390625,25.783676755405132,55.46875,458.20027007721364,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,4,ep_clean_renderer_gqa_b4_run0_20260908,vanilla,384,128,55.46875,0.0,0.0,0.0,0.0,0.0,0.0,458.20027007721364,466.95752423693193,608.8974064216018,715.3631483530628,315.64063183031976,113.56414807960391,152.2391731850803,2.4140625,28.666119434805786,55.46875,458.20027007721364,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,4,ep_clean_renderer_gqa_b4_run1_modes_cached_20260908,modes_official_target70_metadata_cached,384,128,57.8125,2.34375,-1.653236914600551,7.03125,-3.939741885775283,-7.627523892612034,-1.525471026242975,508.2424427382648,529.9969321422395,690.4272381216288,865.72323567234,347.71108347922564,132.79820093885064,192.58381519466639,2.359375,25.75185799753921,55.46875,496.0699414368719,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,4,ep_clean_renderer_gqa_b4_run1_modes_cached_20260908,modes_official_target85_metadata_cached,384,128,54.6875,-0.78125,-4.724409448818897,3.1502312210973646,-4.157718489819995,-5.851830351495724,-2.299702220637867,518.7587328255177,530.7146880089325,695.9508135449141,872.6718949712816,348.0143449269235,134.24035953357816,191.48733094334602,2.3671875,25.50652244708739,55.46875,496.0699414368719,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,4,ep_clean_renderer_gqa_b4_run1_modes_cached_20260908,vanilla,384,128,55.46875,0.0,0.0,0.0,0.0,0.0,0.0,496.0699414368719,508.4305087305741,664.6071127150208,850.188466650434,310.48607802949846,124.13854466285557,183.91151167452335,2.4140625,27.284300792794106,55.46875,496.0699414368719,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,16,ep_clean_renderer_gqa_b16_run0_20260908,sere_s2_r05_official,384,128,57.8125,2.083333333333333,-0.2506740335687704,5.036122362614111,-2.1327155292624966,-14.435387043638741,4.337980808739323,712.3775091022253,717.7383936007876,904.0437159594148,1037.4130472540855,492.257233010605,138.19802459329367,365.61007343232603,2.3880208333333335,68.28697947004339,55.729166666666664,678.1889835838228,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,16,ep_clean_renderer_gqa_b16_run0_20260908,sere_s2_r07_official,384,128,58.333333333333336,2.604166666666667,0.5376344086021506,5.367459449608165,-6.9230708432164505,-14.986763730758934,-3.634056950690312,744.1313490271568,741.7812017568698,896.3345692958683,1011.1567080160604,527.0549168344587,152.50455192290246,355.44333700090647,2.3697916666666665,67.2857703819012,55.729166666666664,678.1889835838228,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,16,ep_clean_renderer_gqa_b16_run0_20260908,sere_s4_r05_official,384,128,58.072916666666664,2.34375,0.5333333333333333,4.644967594357607,-11.494675702529511,-14.692166243295702,-7.243944033675392,756.6903159022331,766.1703036246763,940.2092154603451,1082.2658110456546,541.7481260374188,162.48845448717475,355.8052317239344,2.3802083333333335,64.95359704985795,55.729166666666664,678.1889835838228,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
SERE,gqa,16,ep_clean_renderer_gqa_b16_run0_20260908,vanilla,384,128,55.729166666666664,0.0,0.0,0.0,0.0,0.0,0.0,678.1889835838228,689.8386899350347,839.1540473327041,983.0531662423165,489.69897045753896,133.75672046095133,342.97369820065836,2.4140625,72.57440745905696,55.729166666666664,678.1889835838228,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,16,ep_clean_renderer_gqa_b16_run1_modes_cached_20260908,modes_official_target70_metadata_cached,384,128,57.8125,1.8229166666666667,-2.2222222222222223,6.111111111111111,7.586571509886047,-6.513244200427758,13.92593234967377,709.7254695836455,728.529163622928,887.7440741751343,1067.2111042775214,511.591327842325,139.49064910411835,377.9225880280137,2.359375,68.98117714455107,55.989583333333336,765.9668107517064,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,16,ep_clean_renderer_gqa_b16_run1_modes_cached_20260908,modes_official_target85_metadata_cached,384,128,54.6875,-1.3020833333333335,-5.377263119198602,2.7777777777777777,1.112191099117571,-0.8959567667057078,11.829556787124556,722.4095319397748,736.0083475565867,906.9063937757164,1073.9102568104863,519.8367398697883,150.0229101705675,384.33247013017535,2.359375,68.18893802932428,55.989583333333336,765.9668107517064,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
MoDES,gqa,16,ep_clean_renderer_gqa_b16_run1_modes_cached_20260908,vanilla,384,128,55.989583333333336,0.0,0.0,0.0,0.0,0.0,0.0,765.9668107517064,767.621853035962,931.2517267651856,1074.3174664070832,544.9593288358301,160.8112440444529,356.2966580502689,2.4140625,68.41585499705697,55.989583333333336,765.9668107517064,PAIRED_COHORT_BOTH_DP_SOURCES; CONDITIONAL_ON_ONE_ENGINE
