Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.4,139703593,102288,1365.8,981.0,374,66593,953.9,cudaStreamWaitEvent
0.3,117675433,106,1110145.6,64469.0,25906,7742290,2026451.3,cuLibraryLoadData
0.2,72912731,3404,21419.7,5170.5,715,13351824,358441.3,cuMemAddressReserve
0.1,50495913,206,245125.8,8597.5,3177,7031105,907840.4,cudaHostAlloc
0.1,40948110,40902,1001.1,950.0,174,275939,1802.8,cudaThreadExchangeStreamCaptureMode_v10010
0.1,31519280,12,2626606.7,2630758.5,2363052,2973153,208251.4,cudaIpcCloseMemHandle
0.1,29823710,36,828436.4,19478.0,3429,13539965,3105232.6,cudaStreamCreateWithFlags
0.1,20972330,3392,6182.9,5149.5,1378,93877,4408.3,cuMemAddressFree
0.1,19433074,77000,252.4,188.0,78,23832,339.1,cuKernelGetAttribute
0.0,16036386,1880,8530.0,5332.5,1904,85407,8223.8,cudaMemsetAsync
0.0,15438966,12700,1215.7,1144.0,921,20655,651.5,cudaStreamGetCaptureInfo_v2_v11030
0.0,14788088,52,284386.3,86963.0,50701,2662631,636313.9,cuModuleLoadData
0.0,12114905,9,1346100.6,54134.0,25508,7630140,2663110.2,cuMulticastCreate
0.0,10771315,72,149601.6,36704.0,8368,1389738,332737.8,cudaFreeHost
0.0,8870954,12700,698.5,656.0,388,16711,355.5,cudaGetFuncBySymbol_v11000
0.0,6230576,3360,1854.3,1630.5,348,21955,1332.7,cuMemRetainAllocationHandle
0.0,3113485,20,155674.3,147524.5,61470,412180,69035.5,cuMulticastUnbind
0.0,2808819,16,175551.2,172311.0,78026,295833,65241.5,cudaMemPoolCreate_v11020
0.0,2003142,6920,289.5,203.0,82,17243,407.5,cuGetProcAddress_v2
0.0,1994932,16,124683.3,114447.5,87097,212269,32273.3,cudaMemPoolDestroy_v11020
0.0,1926649,20,96332.4,34407.0,21689,1147716,247980.9,cudaMemset
0.0,1163347,3388,343.4,290.5,71,17240,515.5,cuMemGetAllocationGranularity
0.0,955536,20,47776.8,60313.0,15369,88886,26702.3,cudaMemcpy
0.0,791558,36,21987.7,23524.5,8470,55277,11361.5,cudaStreamDestroy
0.0,781001,2460,317.5,141.0,121,2061,322.1,cuTensorMapEncodeTiled
0.0,488966,4,122241.5,121945.0,113013,132063,9261.5,cuModuleLoad
0.0,314801,4,78700.3,74482.0,62973,102864,17364.0,cudaMemGetInfo
0.0,281883,106,2659.3,868.0,288,9691,2912.1,cuLibraryGetKernel
0.0,191537,8,23942.1,22153.0,11888,39079,11984.7,cuLaunchKernel
0.0,158679,132,1202.1,1115.5,401,4004,745.6,cuKernelSetAttribute
0.0,121344,156,777.8,726.5,206,4040,533.3,cudaGetDriverEntryPoint_v11030
0.0,104765,128,818.5,665.5,249,4846,571.1,cudaGetDriverEntryPointByVersion_v12050
0.0,59344,24,2472.7,2047.0,1192,4704,1018.1,cuInit
0.0,46911,4,11727.8,10602.5,9458,16248,3129.2,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,46665,72,648.1,412.5,377,4049,546.9,cudaOccupancyMaxActiveClusters_v11070
0.0,35294,16,2205.9,1949.5,920,4630,964.0,cudaMemPoolSetAttribute_v11020
0.0,14135,16,883.4,327.0,146,4232,1141.2,cuModuleGetLoadingMode
0.0,10254,16,640.9,556.5,347,1109,256.7,cuMulticastGetGranularity
