PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
3647419,3647419,1,2,1,17100697.0,17100697.0,15403,34185991,24162254.5,17096639.5,17096639.5,7840,34185439,24167212.0,5579.0,5579.0,5579,5579,0.0,2016.0,2016.0,1984,2048,45.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3647414,3647414,2,2,1,17072785.0,17072785.0,14486,34131084,24124077.8,17069058.5,17069058.5,7033,34131084,24129347.9,5469.0,5469.0,5469,5469,0.0,1984.0,1984.0,1984,1984,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctor_add<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3647419,3647419,1,2,2,13770302.0,13770302.0,17279,27523325,19449711.7,13762559.0,13762559.0,8148,27516970,19451674.6,6015.0,6015.0,4659,7371,1917.7,1728.0,1728.0,1696,1760,45.3,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647414,3647414,2,2,2,13686573.0,13686573.0,17507,27355639,19330978.5,13678884.0,13678884.0,8165,27349603,19333316.2,5993.0,5993.0,4436,7550,2201.9,1696.0,1696.0,1600,1792,135.8,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647415,3647415,3,2,2,13587950.5,13587950.5,17726,27158175,19191195.5,13580120.0,13580120.0,8700,27151540,19192886.2,6150.5,6150.5,5035,7266,1577.6,1680.0,1680.0,1600,1760,113.1,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 11)]::operator ()() const::[lambda(bool, float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647414,3647414,2,2,2,13301368.0,13301368.0,1592013,25010723,16559528.6,12474756.0,12474756.0,8512,24941000,17629931.3,761604.5,761604.5,4412,1518797,1070831.9,65007.5,65007.5,64704,65311,429.2,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
3647419,3647419,1,2,2,13249845.0,13249845.0,19889,26479801,18709983.2,13239270.5,13239270.5,8224,26470317,18711525.4,7662.5,7662.5,6572,8753,1542.2,2912.0,2912.0,2912,2912,0.0,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::<unnamed>::pow_tensor_tensor_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3647419,3647419,1,2,2,11591350.5,11591350.5,1601173,21581528,14128244.5,10760647.5,10760647.5,9155,21512140,15204906.5,765743.5,765743.5,4716,1526771,1076255.4,64959.5,64959.5,64672,65247,406.6,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
3647418,3647418,0,2,2,10958764.0,10958764.0,1610116,20307412,13220984.8,10122405.0,10122405.0,8220,20236590,14303617.6,771304.0,771304.0,5767,1536841,1082632.8,65055.0,65055.0,65055,65055,0.0,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
3647415,3647415,3,2,2,10593281.5,10593281.5,1609126,19577437,12705514.6,9756522.0,9756522.0,6996,19506048,13787911.9,771639.5,771639.5,5821,1537458,1083030.9,65120.0,65120.0,64672,65568,633.6,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
3647414,3647414,2,3,3,7223649.0,674489.0,254505,20741953,11709077.8,6720756.7,29525.0,26397,20106348,11592262.2,6157.3,7654.0,3030,7788,2709.2,496735.0,632575.0,220320,637310,239394.1,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3647415,3647415,3,3,2,7218956.7,665583.0,248902,20742385,11713485.4,6862758.0,32609.0,25883,20529782,11835990.5,7196.5,7196.5,7182,7211,20.5,353920.0,220160.0,215808,625792,235458.1,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3647419,3647419,1,2,2,4381485.5,4381485.5,665826,8097145,5254736.1,4048516.0,4048516.0,8570,8088462,5713346.4,199833.5,199833.5,6699,392968,273133.4,133136.0,133136.0,1984,264288,185476.9,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647414,3647414,2,1,0,3969771.0,3969771.0,3969771,3969771,0.0,363080.0,363080.0,363080,363080,0.0,,,,,0.0,3613242.0,3613242.0,3613242,3613242,0.0,cudaLaunchKernelExC_v11060,"void deep_ep::intranode::barrier<(int)4>(int **, int)"
3647419,3647419,1,3,3,3692582.7,569938.0,247608,10260202,5690008.1,3126361.0,29071.0,23405,9326607,5369571.3,6692.0,7716.0,4637,7723,1779.7,559529.7,533151.0,216480,928958,356970.7,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3647418,3647418,0,3,3,3662832.0,465906.0,255083,10267507,5720787.6,3401387.7,29497.0,27980,10146686,5841599.8,6939.0,7488.0,5398,7931,1352.8,254505.3,219615.0,115423,428478,159417.3,cuLaunchKernelEx,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3647419,3647419,1,58,58,3507616.3,2663952.5,1765714,14206483,2333713.1,250904.2,6190.5,4365,14200912,1863861.6,3250933.3,2580877.0,35,13336683,1894764.8,5778.7,5536.0,5312,9952,930.5,cudaLaunchKernel,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)"
3647419,3647419,1,27,27,3356280.5,2636305.0,1752519,9834116,1822387.1,370031.1,6640.0,5255,9818378,1888271.3,2974068.0,2458653.0,4058,5038517,1413403.7,12181.3,12128.0,11680,12704,253.5,cuLaunchKernelEx,nvjet_tst_136x128_64x6_1x2_h_bz_bias_TNN
3647419,3647419,1,27,27,3297170.2,2620512.0,1732159,8741486,1681278.9,329497.3,6186.0,4587,8735615,1679979.9,2963718.0,2439006.0,1679,5029475,1411752.9,3955.0,3936.0,3840,4192,89.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647415,3647415,3,4,4,3032541.8,781386.0,17715,10549680,5062704.0,2641150.3,9047.0,4971,10541536,5266924.2,389391.5,7605.0,6096,1536260,764579.4,2000.0,2016.0,1920,2048,61.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647419,3647419,1,27,27,3032227.4,2600525.0,145945,5069623,1392222.5,11912.1,7313.0,5463,132457,24116.0,3009991.1,2583199.0,3312,5053663,1402081.1,10324.1,10176.0,10016,10944,276.6,cuLaunchKernelEx,nvjet_tst_112x128_64x7_2x1_v_bz_bias_TNN
3647419,3647419,1,61,61,3019543.7,2468008.0,18773,13415541,2090990.3,7568.5,5988.0,4221,72663,8724.0,3008945.7,2459801.0,4002,13403682,2093140.7,3029.5,3072.0,2464,3424,218.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3647419,3647419,1,4,3,2996126.5,775691.5,18025,10415098,4996790.6,2611559.8,16303.0,5654,10407979,5197618.2,510803.7,6543.0,5135,1520733,874624.7,1968.0,1968.0,1920,2016,41.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647418,3647418,0,4,4,2933940.8,780718.0,16606,10157721,4869215.1,2543483.8,8508.0,6159,10150760,5071517.7,388497.0,7202.5,4913,1534670,764116.1,1960.0,1968.0,1856,2048,88.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647414,3647414,2,4,4,2929585.8,772337.0,20199,10153470,4867735.0,2544399.3,12298.0,5545,10147456,5068705.5,383210.5,6461.5,4030,1515889,755119.9,1976.0,1984.0,1920,2016,40.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<float>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647415,3647415,3,2,2,2916773.0,2916773.0,1023475,4810071,2677527.7,2404435.0,2404435.0,7400,4801470,3389919.4,378978.0,378978.0,6617,751339,526598.0,133360.0,133360.0,1984,264736,185793.7,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647419,3647419,1,27,27,2862424.8,2399015.0,30430,4915808,1387624.7,8247.7,6894.0,5000,21411,4566.5,2850217.4,2388623.0,4987,4905305,1387547.6,3959.7,3968.0,3776,4096,83.5,cuLaunchKernelEx,rotary_kernel
3647419,3647419,1,27,27,2816962.2,2276438.0,1528818,4785226,1263443.4,103017.1,5605.0,4377,2635090,506040.5,2705744.8,2207772.0,4722,4771397,1373720.2,8200.3,8256.0,7776,8672,264.3,cudaLaunchKernelExC_v11060,"void cutlass::device_kernel<flash::FlashAttnFwdCombine<cute::tuple<cute::C<(int)8>, cute::C<(int)128>>, (int)5, (int)256, (int)1, (bool)0, (bool)1, cutlass::bfloat16_t, float, cutlass::arch::Sm90>>(T1::Params)"
3647419,3647419,1,54,54,2794109.4,2310022.0,38823,5020283,1381099.6,8866.2,6944.0,5157,89980,11422.8,2774712.9,2296852.5,3658,4999166,1384307.3,10530.4,10464.0,5664,15776,4742.9,cuLaunchKernelEx,nvjet_tst_144x64_64x8_1x2_h_bz_TNN
3647419,3647419,1,27,27,2723439.7,2223987.0,40779,4787904,1372320.9,8129.3,7641.0,6473,17966,2184.8,2696726.7,2197370.0,4189,4762346,1372951.6,18583.7,18528.0,17984,19104,299.9,cudaLaunchKernelExC_v11060,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)192>, cute::C<(int)144>, cute::C<(int)96>>, (int)96, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)0, cutlass::bfloat16_t, (int)1>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)192>, cute::C<(int)96>, cute::C<(int)144>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)384, (bool)1, (bool)1, (bool)1, (bool)0, (int)1>, flash::VarlenDynamicPersistentTileScheduler<(int)192, (int)144, (int)384, (int)128, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1>>>>(T1::Params)"
3647415,3647415,3,1,1,2684315.0,2684315.0,2684315,2684315,0.0,2674891.0,2674891.0,2674891,2674891,0.0,5296.0,5296.0,5296,5296,0.0,4128.0,4128.0,4128,4128,0.0,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
3647414,3647414,2,2,2,2664966.5,2664966.5,742919,4587014,2718185.6,2292482.0,2292482.0,7083,4577881,3232042.3,239013.0,239013.0,7117,470909,327950.5,133471.5,133471.5,2016,264927,185906.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647418,3647418,0,1,1,2629254.0,2629254.0,2629254,2629254,0.0,2618273.0,2618273.0,2618273,2618273,0.0,6981.0,6981.0,6981,6981,0.0,4000.0,4000.0,4000,4000,0.0,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
3647419,3647419,1,1,1,2623017.0,2623017.0,2623017,2623017,0.0,2611711.0,2611711.0,2611711,2611711,0.0,7306.0,7306.0,7306,7306,0.0,4000.0,4000.0,4000,4000,0.0,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
3647418,3647418,0,2,2,2614761.5,2614761.5,586618,4642905,2868228.0,2321962.5,2321962.5,8518,4635407,3271704.6,159904.0,159904.0,5514,314294,218340.4,132895.0,132895.0,1984,263806,185136.1,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647419,3647419,1,29,29,2583747.6,2124477.0,25919,4786932,1433988.8,57223.4,9024.0,6346,1354394,249568.5,2523320.8,2112093.0,563,4775190,1497225.7,3203.3,3264.0,2112,3712,382.6,cudaLaunchKernel,"void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)0>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)"
3647414,3647414,2,1,1,2575476.0,2575476.0,2575476,2575476,0.0,2565341.0,2565341.0,2565341,2565341,0.0,6391.0,6391.0,6391,6391,0.0,3744.0,3744.0,3744,3744,0.0,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
3647418,3647418,0,6,6,2151330.0,28031.5,25080,11235268,4492581.1,1877395.2,10064.5,5825,11220340,4577090.0,263033.5,6952.0,3280,1548136,629571.9,10901.3,11728.0,9088,11808,1345.0,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
3647419,3647419,1,4,4,2111343.5,2159108.5,1737684,2389473,319857.3,597063.3,7447.0,5858,2367501,1180292.1,1497608.3,1821472.5,5588,2341900,1028141.9,16672.0,16512.0,16384,17280,417.2,cuLaunchKernelEx,nvjet_tst_72x64_64x12_1x2_h_bz_bias_TNN
3647415,3647415,3,2,2,2069963.5,2069963.5,19223,4120704,2900185.0,2059936.0,2059936.0,7976,4111896,2901909.7,8459.5,8459.5,7240,9679,1724.6,1568.0,1568.0,1568,1568,0.0,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647414,3647414,2,6,6,2053213.8,30235.0,23280,10660116,4260044.4,1782106.5,10318.0,5957,10643668,4341261.6,260339.3,7255.0,4739,1529376,621700.4,10768.0,11472.0,8960,11840,1276.6,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
3647419,3647419,1,6,6,2042252.2,31320.0,24752,10588396,4230936.7,1770504.0,10231.5,7193,10572659,4312158.2,260852.2,7026.0,3993,1534111,623769.1,10896.0,11680.0,9024,11936,1381.1,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
3647414,3647414,2,2,2,2034304.5,2034304.5,21049,4047560,2847173.2,2024725.0,2024725.0,9958,4039492,2849310.8,7995.5,7995.5,6500,9491,2115.0,1584.0,1584.0,1568,1600,22.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647415,3647415,3,6,6,2023080.0,28936.5,22127,10466966,4182285.1,1748286.5,8643.0,5020,10450001,4262952.4,263860.2,7192.5,5189,1550112,630133.5,10933.3,11648.0,9088,12032,1318.3,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
3647419,3647419,1,2,2,2007866.5,2007866.5,18782,3996951,2812990.3,1998410.5,1998410.5,7655,3989166,2815353.4,7888.0,7888.0,6249,9527,2317.9,1568.0,1568.0,1536,1600,45.3,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
3647418,3647418,0,2,2,1984035.5,1984035.5,19972,3948099,2777605.2,1973826.5,1973826.5,8378,3939275,2779563.9,8625.0,8625.0,7224,10026,1981.3,1584.0,1584.0,1568,1600,22.6,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
