active_experts,combine_ms,critical_rank,dispatch_ms,expert_backend,expert_load_cv,expert_max_mean_rank,expert_ms,full_moe_ms,iteration,layer,max_expert_load,mean_expert_load,mean_expert_rank_ms,mean_full_rank_ms,modality,prepare_finalize_backend,rank_count,rank_cv,rank_loads,rank_max_mean_load,request_id,topology,total_assignments_local_sum,volume,workload
128,0.01775999926030636,0,0.03417599946260452,TritonExperts,0.5816124772621394,1.0098352137561186,0.7589759826660156,10.315839767456055,0,33,4048.0,1483.0,0.751583993434906,10.314831972122192,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.13520040560711055,"[55292, 38400, 44864, 51268]",1.1651213755900203,large_mixed,TP_ONLY,189824,large,mixed
128,0.018880000337958336,1,0.023135999217629433,TritonExperts,0.6206119041080472,1.0025769599108627,0.753216028213501,10.150688171386719,0,34,6468.0,1483.0,0.7512800097465515,10.139071941375732,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.0872644970848371,"[45364, 54620, 45056, 44784]",1.1509608900876602,large_mixed,TP_ONLY,189824,large,mixed
128,0.01852799952030182,3,0.01913600042462349,TritonExperts,0.6856125217247817,1.0215456872077489,0.7623999714851379,10.230143547058105,0,35,6276.0,1483.0,0.7463199943304062,10.223855972290039,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.08052489202980566,"[49896, 47388, 41288, 51252]",1.0799898853674983,large_mixed,TP_ONLY,189824,large,mixed
128,0.018624000251293182,1,0.02054399996995926,TritonExperts,0.5647715891885351,1.0041629221493285,0.756447970867157,10.359904289245605,0,36,5088.0,1483.0,0.7533119916915894,10.347496032714844,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.11146070822373129,"[41008, 53728, 43608, 51480]",1.1321645313553608,large_mixed,TP_ONLY,189824,large,mixed
128,0.0180479995906353,2,0.019487999379634857,TritonExperts,0.5687679093366345,1.003906901015293,0.7544320225715637,10.221343994140625,0,37,4524.0,1483.0,0.7514960020780563,10.214760065078735,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.11108811143883954,"[52300, 42372, 53136, 42016]",1.119689817936615,large_mixed,TP_ONLY,189824,large,mixed
128,0.018303999677300453,2,0.018432000651955605,TritonExperts,0.6214491266756784,1.027786341346231,0.7767680287361145,10.204416275024414,0,38,4288.0,1483.0,0.7557680010795593,10.20356798171997,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.05788982816561514,"[44172, 47932, 51620, 46100]",1.087744436952124,large_mixed,TP_ONLY,189824,large,mixed
128,0.017855999991297722,1,0.01942400075495243,TritonExperts,0.5626488020889003,1.0125700095037196,0.7623680233955383,10.209823608398438,0,39,3828.0,1483.0,0.752904012799263,10.208959817886353,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.07794476730346024,"[41936, 51600, 46392, 49896]",1.0873229939312206,large_mixed,TP_ONLY,189824,large,mixed
128,0.017983999103307724,3,0.019551999866962433,TritonExperts,0.6278718719232342,1.0116201011009065,0.7598400115966797,10.198431968688965,0,40,4116.0,1483.0,0.7511120140552521,10.187423944473267,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.07712335890217821,"[48084, 46644, 42424, 52672]",1.1099123398516522,large_mixed,TP_ONLY,189824,large,mixed
124,0.017823999747633934,2,0.01894400082528591,TritonExperts,0.5620508324418203,1.0234110466997148,0.760640025138855,10.127872467041016,0,41,3512.0,1530.8387096774193,0.7432399988174438,10.124488115310669,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.09825421394776984,"[40836, 47500, 54024, 47464]",1.1384018880647337,large_mixed,TP_ONLY,189824,large,mixed
123,0.01894400082528591,1,0.03542400151491165,TritonExperts,0.6379612441527354,1.010793547817901,0.7581760287284851,10.293888092041016,0,42,5540.0,1543.2845528455284,0.7500800043344498,10.280175924301147,mixed,MoEPrepareAndFinalizeNoDPEPModular,4,0.10396270700855563,"[44308, 53260, 51140, 41116]",1.1223027646662171,large_mixed,TP_ONLY,189824,large,mixed
