case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,restarts,repeats_per_restart,timing_unit
control_m32_mild_skew_fanout4,controlled,-1,1,controlled,small,32,128,normal_cached,0.009168000,0.047728000,0.103024002,0.056799999,0.208208002,0.221376002,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_mild_skew_fanout4,controlled,-1,1,controlled,small,32,128,normal_fresh,0.032336000,0.063920002,0.109471999,0.053199999,0.253711998,0.275424004,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_strong_skew_fanout2,controlled,-1,1,controlled,small,32,128,low_latency,0.009216000,0.039983999,0.006928000,0.039600000,0.092320003,0.108608000,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_strong_skew_fanout2,controlled,-1,1,controlled,small,32,128,normal_cached,0.009264000,0.045952000,0.101312000,0.082976002,0.199776001,0.221440002,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_strong_skew_fanout2,controlled,-1,1,controlled,small,32,128,normal_fresh,0.031872001,0.063616000,0.104079999,0.079696000,0.241983995,0.261983991,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_uniform_fanout4,controlled,-1,1,controlled,small,32,128,low_latency,0.009152000,0.039952001,0.006528000,0.038192000,0.091136001,0.101056002,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_uniform_fanout4,controlled,-1,1,controlled,small,32,128,normal_cached,0.009168000,0.047440000,0.106624000,0.056000000,0.209327996,0.234944001,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m32_uniform_fanout4,controlled,-1,1,controlled,small,32,128,normal_fresh,0.032591999,0.065872002,0.109088000,0.052528000,0.249343999,0.272543997,0.000000000,0.000000000,256.000000000,256.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_fanout1_local,controlled,-1,1,controlled,medium,512,128,low_latency,0.009200000,0.046287999,0.003200000,0.038096000,0.096543998,0.108287998,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_fanout1_local,controlled,-1,1,controlled,medium,512,128,normal_cached,0.009216000,0.052304002,0.099360000,0.059487998,0.209568001,0.227231994,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_fanout1_local,controlled,-1,1,controlled,medium,512,128,normal_fresh,0.032496000,0.073183998,0.101680003,0.053424001,0.249136001,0.270368010,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_fanout1_remote,controlled,-1,1,controlled,medium,512,128,low_latency,0.009280000,0.068207998,0.003200000,0.052687999,0.130815998,0.145695999,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_fanout1_remote,controlled,-1,1,controlled,medium,512,128,normal_cached,0.009232000,0.057424001,0.103872001,0.063887998,0.216335997,0.239904001,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_fanout1_remote,controlled,-1,1,controlled,medium,512,128,normal_fresh,0.032256000,0.076640002,0.099471997,0.056512000,0.252959996,0.271712005,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_mild_skew_fanout4,controlled,-1,1,controlled,medium,512,128,low_latency,0.009376000,0.066528000,0.003200000,0.053984001,0.131680004,0.136928007,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_mild_skew_fanout4,controlled,-1,1,controlled,medium,512,128,normal_cached,0.009280000,0.066159997,0.092048001,0.072063997,0.223247997,0.256767988,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_mild_skew_fanout4,controlled,-1,1,controlled,medium,512,128,normal_fresh,0.032800000,0.089968000,0.089823999,0.070080001,0.268656000,0.295136005,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_strong_skew_fanout2,controlled,-1,1,controlled,medium,512,128,low_latency,0.009328000,0.099920001,0.003168000,0.106207997,0.210687995,0.217375994,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_strong_skew_fanout2,controlled,-1,1,controlled,medium,512,128,normal_cached,0.009312000,0.063455999,0.087152001,0.096671999,0.213312000,0.231680006,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_strong_skew_fanout2,controlled,-1,1,controlled,medium,512,128,normal_fresh,0.032095999,0.083344001,0.087600000,0.093151998,0.256927997,0.273600012,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_uniform_fanout4,controlled,-1,1,controlled,medium,512,128,low_latency,0.009392000,0.063120000,0.003200000,0.046192000,0.119600002,0.130687997,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_uniform_fanout4,controlled,-1,1,controlled,medium,512,128,normal_cached,0.009408000,0.067664001,0.095088001,0.080287997,0.232063994,0.306111991,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
control_m512_uniform_fanout4,controlled,-1,1,controlled,medium,512,128,normal_fresh,0.032224001,0.088463999,0.088320002,0.071343999,0.268672004,0.296480000,0.000000000,0.000000000,4096.000000000,4096.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
