dataset,wave,layer,phase,physical_dense_m,fresh_m,fresh_fraction,shape_class,token_expert_pairs,remote_assignments,remote_bytes_one_way_bf16,active_experts,rows_per_active_expert_mean,rows_per_active_expert_p50,rows_per_active_expert_p90,max_rows_per_expert,tiny_expert_fraction_le4,destination_fanout_mean,destination_fanout_max,rank0_load,rank1_load,rank2_load,rank3_load,rank_load_cv,critical_rank,source_trace_kind,epoch_status,normal_fresh_ms,normal_cached_ms,low_latency_ms,best_existing_ms,best_existing_path,payload_lower_bound_ms,o1_control_free_ms,o2_physical_lower_ms,o3_refineep_target_ms,normal_to_o0_saved_ms,o0_to_o3_saved_ms
gsm8k,1,6,middle,992,441,0.444556452,medium,3528,2584,21168128,139,25.381294964,10.000000000,61.600000000,218,0.266187050,3.129251701,4,1306,836,931,455,0.343250106,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049533469,0.049533469,0.069533469,0.099533469,0.096379215,0.078821840
gsm8k,1,7,middle,992,441,0.444556452,medium,3528,2551,20897792,132,26.727272727,11.000000000,75.500000000,228,0.340909091,3.104308390,4,1421,1044,642,421,0.434288465,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.048900882,0.048900882,0.068900882,0.098900882,0.096379215,0.079454427
gsm8k,1,8,middle,992,441,0.444556452,medium,3528,2570,21053440,142,24.845070423,9.000000000,71.800000000,266,0.330985915,2.977324263,4,666,593,1666,603,0.514180148,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049265099,0.049265099,0.069265099,0.099265099,0.096379215,0.079090210
gsm8k,1,9,middle,992,441,0.444556452,medium,3528,2679,21946368,127,27.779527559,8.000000000,73.200000000,337,0.393700787,2.918367347,4,1335,620,915,658,0.323237639,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.051354552,0.051354552,0.071354552,0.101354552,0.096379215,0.077000757
gsm8k,1,10,middle,992,441,0.444556452,medium,3528,2621,21471232,126,28.000000000,10.500000000,82.500000000,253,0.317460317,3.097505669,4,1212,666,381,1269,0.422830297,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.050242733,0.050242733,0.070242733,0.100242733,0.096379215,0.078112576
gsm8k,1,11,middle,992,441,0.444556452,medium,3528,2513,20586496,107,32.971962617,8.000000000,90.800000000,441,0.383177570,2.877551020,4,1319,1618,473,118,0.690503650,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.048172449,0.048172449,0.068172449,0.098172449,0.096379215,0.080182861
gsm8k,1,12,middle,992,441,0.444556452,medium,3528,2601,21307392,132,26.727272727,9.000000000,71.700000000,317,0.356060606,2.843537415,4,1301,1457,363,407,0.567225526,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049859347,0.049859347,0.069859347,0.099859347,0.096379215,0.078495962
gsm8k,1,13,middle,992,441,0.444556452,medium,3528,2698,22102016,137,25.751824818,11.000000000,62.800000000,259,0.328467153,3.247165533,4,734,948,780,1066,0.150541962,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.051718769,0.051718769,0.071718769,0.101718769,0.096379215,0.076636540
gsm8k,1,14,middle,992,441,0.444556452,medium,3528,2707,22175744,135,26.133333333,13.000000000,57.400000000,224,0.303703704,3.122448980,4,1066,952,392,1118,0.327893822,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.051891293,0.051891293,0.071891293,0.101891293,0.096379215,0.076464016
gsm8k,1,15,middle,992,441,0.444556452,medium,3528,2740,22446080,122,28.918032787,12.500000000,63.000000000,361,0.278688525,3.226757370,4,867,914,521,1226,0.283393419,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.052523880,0.052523880,0.072523880,0.102523880,0.096379215,0.075831430
