case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,repeats,timing_unit,restart
real_13_gsm8k_w25_l1,gsm8k,25,1,late,medium-small,92,256,low_latency,0.009264000,0.046608001,0.003136000,0.035055999,0.092208002,0.105215997,0.000290383,0.000000000,736,736,True,30,critical-rank wall via same-GPU CUDA events,1
real_13_gsm8k_w25_l1,gsm8k,25,1,late,medium-small,92,256,normal_cached,0.009136000,0.045952000,0.105456002,0.054848000,0.202976003,0.222847998,0.000000000,0.000290382,736,736,True,30,critical-rank wall via same-GPU CUDA events,1
real_13_gsm8k_w25_l1,gsm8k,25,1,late,medium-small,92,256,normal_fresh,0.031231999,0.064143997,0.103456002,0.053360000,0.244864002,0.263135999,0.000000000,0.000290382,736,736,True,30,critical-rank wall via same-GPU CUDA events,1
real_14_humaneval_w65_l1,humaneval,65,1,middle,medium-small,127,256,low_latency,0.009152000,0.050031999,0.003104000,0.039568000,0.097567998,0.112127997,0.000000000,0.000000000,1016,1016,True,30,critical-rank wall via same-GPU CUDA events,1
real_14_humaneval_w65_l1,humaneval,65,1,middle,medium-small,127,256,normal_cached,0.009184000,0.049007999,0.104272000,0.056704000,0.207120001,0.250591993,0.000000000,0.000000000,1016,1016,True,30,critical-rank wall via same-GPU CUDA events,1
real_14_humaneval_w65_l1,humaneval,65,1,middle,medium-small,127,256,normal_fresh,0.031647999,0.067151997,0.102943998,0.052048001,0.242399998,0.261568010,0.000000000,0.000000000,1016,1016,True,30,critical-rank wall via same-GPU CUDA events,1
real_15_gsm8k_w23_l1,gsm8k,23,1,late,medium,129,256,low_latency,0.009200000,0.050656000,0.003104000,0.036496000,0.095024001,0.112255998,0.000569277,0.000000000,1032,1032,True,30,critical-rank wall via same-GPU CUDA events,1
real_15_gsm8k_w23_l1,gsm8k,23,1,late,medium,129,256,normal_cached,0.009184000,0.048224000,0.101520002,0.055536000,0.202959999,0.223455995,0.000000000,0.000569276,1032,1032,True,30,critical-rank wall via same-GPU CUDA events,1
real_15_gsm8k_w23_l1,gsm8k,23,1,late,medium,129,256,normal_fresh,0.032048000,0.066736002,0.104095999,0.052480001,0.244543999,0.270240009,0.000000000,0.000569276,1032,1032,True,30,critical-rank wall via same-GPU CUDA events,1
real_16_gsm8k_w45_l1,gsm8k,45,1,late,medium,206,256,low_latency,0.009200000,0.065375999,0.003200000,0.045472000,0.119119998,0.123776004,0.000536874,0.000000000,1648,1648,True,30,critical-rank wall via same-GPU CUDA events,1
real_16_gsm8k_w45_l1,gsm8k,45,1,late,medium,206,256,normal_cached,0.009152000,0.055119999,0.102511998,0.057824001,0.213199995,0.235936001,0.000000000,0.000536871,1648,1648,True,30,critical-rank wall via same-GPU CUDA events,1
real_16_gsm8k_w45_l1,gsm8k,45,1,late,medium,206,256,normal_fresh,0.031856000,0.072864000,0.099904001,0.057151999,0.249519996,0.267807990,0.000000000,0.000536871,1648,1648,True,30,critical-rank wall via same-GPU CUDA events,1
real_17_humaneval_w50_l1,humaneval,50,1,middle,medium,302,256,low_latency,0.009136000,0.071152002,0.003168000,0.055679999,0.129104003,0.131935999,0.000141062,0.000000000,2416,2416,True,30,critical-rank wall via same-GPU CUDA events,1
real_17_humaneval_w50_l1,humaneval,50,1,middle,medium,302,256,normal_cached,0.009152000,0.054655999,0.100992002,0.063632000,0.217087999,0.234495997,0.000000000,0.000141062,2416,2416,True,30,critical-rank wall via same-GPU CUDA events,1
