case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,restarts,repeats_per_restart,timing_unit
real_13_gsm8k_w25_l1,gsm8k,25,1,late,medium-small,92,256,low_latency,0.009360000,0.046656001,0.003232000,0.036095999,0.092799999,0.111327998,0.000290383,0.000000000,736.000000000,736.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_13_gsm8k_w25_l1,gsm8k,25,1,late,medium-small,92,256,normal_cached,0.009168000,0.047567999,0.105519999,0.056000000,0.208448000,0.236384004,0.000000000,0.000290382,736.000000000,736.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_13_gsm8k_w25_l1,gsm8k,25,1,late,medium-small,92,256,normal_fresh,0.032127999,0.067024000,0.106800001,0.053360000,0.248879999,0.274751991,0.000000000,0.000290382,736.000000000,736.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_14_humaneval_w65_l1,humaneval,65,1,middle,medium-small,127,256,low_latency,0.009216000,0.050767999,0.003232000,0.039568000,0.098320000,0.112127997,0.000000000,0.000000000,1016.000000000,1016.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_14_humaneval_w65_l1,humaneval,65,1,middle,medium-small,127,256,normal_cached,0.009264000,0.049856000,0.104991999,0.058479998,0.209472001,0.250591993,0.000000000,0.000000000,1016.000000000,1016.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_14_humaneval_w65_l1,humaneval,65,1,middle,medium-small,127,256,normal_fresh,0.031872001,0.067151997,0.107232001,0.054703999,0.250880003,0.282880008,0.000000000,0.000000000,1016.000000000,1016.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_15_gsm8k_w23_l1,gsm8k,23,1,late,medium,129,256,low_latency,0.009408000,0.050656000,0.003232000,0.037440000,0.096383996,0.112255998,0.000569277,0.000000000,1032.000000000,1032.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_15_gsm8k_w23_l1,gsm8k,23,1,late,medium,129,256,normal_cached,0.009216000,0.049232000,0.106320001,0.057263998,0.210048005,0.228735998,0.000000000,0.000569276,1032.000000000,1032.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_15_gsm8k_w23_l1,gsm8k,23,1,late,medium,129,256,normal_fresh,0.032095999,0.067104001,0.112064000,0.056671999,0.253855988,0.294912010,0.000000000,0.000569276,1032.000000000,1032.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_16_gsm8k_w45_l1,gsm8k,45,1,late,medium,206,256,low_latency,0.009440000,0.065792002,0.003312000,0.045791999,0.120223999,0.130879998,0.000536874,0.000000000,1648.000000000,1648.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_16_gsm8k_w45_l1,gsm8k,45,1,late,medium,206,256,normal_cached,0.009296000,0.055119999,0.103120003,0.059359999,0.214624003,0.241311997,0.000000000,0.000536871,1648.000000000,1648.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_16_gsm8k_w45_l1,gsm8k,45,1,late,medium,206,256,normal_fresh,0.032304000,0.073663998,0.102352001,0.057151999,0.257263988,0.287488014,0.000000000,0.000536871,1648.000000000,1648.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_17_humaneval_w50_l1,humaneval,50,1,middle,medium,302,256,low_latency,0.009216000,0.071376000,0.003232000,0.055679999,0.129247993,0.131999999,0.000141062,0.000000000,2416.000000000,2416.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_17_humaneval_w50_l1,humaneval,50,1,middle,medium,302,256,normal_cached,0.009184000,0.055679999,0.104079999,0.065200001,0.221152000,0.248543993,0.000000000,0.000141062,2416.000000000,2416.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_17_humaneval_w50_l1,humaneval,50,1,middle,medium,302,256,normal_fresh,0.032880001,0.077248000,0.102768000,0.062511999,0.260991991,0.325984001,0.000000000,0.000141062,2416.000000000,2416.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_18_gsm8k_w6_l1,gsm8k,6,1,middle,medium,406,256,low_latency,0.009408000,0.088384002,0.003296000,0.078832000,0.167135999,0.191136003,0.000455067,0.000000000,3248.000000000,3248.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_18_gsm8k_w6_l1,gsm8k,6,1,middle,medium,406,256,normal_cached,0.009296000,0.061503999,0.100127999,0.069375999,0.223552004,0.244448006,0.000000000,0.000455065,3248.000000000,3248.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_18_gsm8k_w6_l1,gsm8k,6,1,middle,medium,406,256,normal_fresh,0.032671999,0.081039999,0.096672002,0.064736001,0.263791993,0.302464008,0.000000000,0.000455065,3248.000000000,3248.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_19_gsm8k_w0_l1,gsm8k,0,1,middle,medium,493,256,low_latency,0.009856000,0.104448002,0.003200000,0.084719997,0.195023999,0.199072003,0.000552340,0.000000000,3944.000000000,3944.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_19_gsm8k_w0_l1,gsm8k,0,1,middle,medium,493,256,normal_cached,0.009520000,0.081248000,0.116928000,0.103840001,0.261280000,0.291135997,0.000000000,0.000552337,3944.000000000,3944.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_19_gsm8k_w0_l1,gsm8k,0,1,middle,medium,493,256,normal_fresh,0.037024001,0.103328001,0.114336003,0.087967999,0.307103992,0.346783996,0.000000000,0.000552337,3944.000000000,3944.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_20_humaneval_w31_l1,humaneval,31,1,middle,large,533,256,low_latency,0.012272000,0.115936000,0.003168000,0.116112001,0.212512001,0.217664003,0.000078193,0.000000000,4264.000000000,4264.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_20_humaneval_w31_l1,humaneval,31,1,middle,large,533,256,normal_cached,0.012288000,0.087456003,0.129536003,0.134639993,0.295535997,0.310431987,0.000000000,0.000078193,4264.000000000,4264.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_20_humaneval_w31_l1,humaneval,31,1,middle,large,533,256,normal_fresh,0.042672001,0.116544001,0.124960002,0.109648000,0.341775998,0.380800009,0.000000000,0.000078193,4264.000000000,4264.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
