case_id,family,N,perm_index,perm,S,I,total_assignments,total_incidence,traffic_entropy,max_peer_fraction
balanced_spread_N1024_p17,balanced_spread,1024,17,"[2,3,1,0]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p18,balanced_spread,1024,18,"[3,0,1,2]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p19,balanced_spread,1024,19,"[3,0,2,1]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p20,balanced_spread,1024,20,"[3,1,0,2]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p21,balanced_spread,1024,21,"[3,1,2,0]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p22,balanced_spread,1024,22,"[3,2,0,1]",0.5,1.0,32768,8192,3.584962156699829,0.25
balanced_spread_N1024_p23,balanced_spread,1024,23,"[3,2,1,0]",0.5,1.0,32768,8192,3.584962156699829,0.25
pair_concentrated_N1024_p00,pair_concentrated,1024,0,"[0,1,2,3]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p01,pair_concentrated,1024,1,"[0,1,3,2]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p02,pair_concentrated,1024,2,"[0,2,1,3]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p03,pair_concentrated,1024,3,"[0,2,3,1]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p04,pair_concentrated,1024,4,"[0,3,1,2]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p05,pair_concentrated,1024,5,"[0,3,2,1]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p06,pair_concentrated,1024,6,"[1,0,2,3]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p07,pair_concentrated,1024,7,"[1,0,3,2]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p08,pair_concentrated,1024,8,"[1,2,0,3]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p09,pair_concentrated,1024,9,"[1,2,3,0]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p10,pair_concentrated,1024,10,"[1,3,0,2]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p11,pair_concentrated,1024,11,"[1,3,2,0]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p12,pair_concentrated,1024,12,"[2,0,1,3]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p13,pair_concentrated,1024,13,"[2,0,3,1]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p14,pair_concentrated,1024,14,"[2,1,0,3]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p15,pair_concentrated,1024,15,"[2,1,3,0]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p16,pair_concentrated,1024,16,"[2,3,0,1]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p17,pair_concentrated,1024,17,"[2,3,1,0]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p18,pair_concentrated,1024,18,"[3,0,1,2]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p19,pair_concentrated,1024,19,"[3,0,2,1]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p20,pair_concentrated,1024,20,"[3,1,0,2]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p21,pair_concentrated,1024,21,"[3,1,2,0]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p22,pair_concentrated,1024,22,"[3,2,0,1]",0.5,1.0,32768,8192,3.0,0.25
pair_concentrated_N1024_p23,pair_concentrated,1024,23,"[3,2,1,0]",0.5,1.0,32768,8192,3.0,0.25
destination_hotspot_N1024_p00,destination_hotspot,1024,0,"[0,1,2,3]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p01,destination_hotspot,1024,1,"[0,1,3,2]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p02,destination_hotspot,1024,2,"[0,2,1,3]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p03,destination_hotspot,1024,3,"[0,2,3,1]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p04,destination_hotspot,1024,4,"[0,3,1,2]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p05,destination_hotspot,1024,5,"[0,3,2,1]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p06,destination_hotspot,1024,6,"[1,0,2,3]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p07,destination_hotspot,1024,7,"[1,0,3,2]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p08,destination_hotspot,1024,8,"[1,2,0,3]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p09,destination_hotspot,1024,9,"[1,2,3,0]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p10,destination_hotspot,1024,10,"[1,3,0,2]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p11,destination_hotspot,1024,11,"[1,3,2,0]",0.5,1.5,32768,8192,3.0,0.375
