case_id,family,N,perm_index,metric,median_ms,p5_ms,p95_ms,cv,n_iterations,S,I,traffic_entropy,max_peer_fraction
balanced_spread_N256_p11,balanced_spread,256,11,full_path_ms,0.16384000331163406,0.15880000218749046,0.17917120084166527,0.038529778858202184,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p11,balanced_spread,256,11,host_ms,0.1803775,0.1742496,0.19458430000000002,0.033882064184711576,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p12,balanced_spread,256,12,layout_ms,0.02603200078010559,0.02408320000395179,0.032052798755466926,0.10494064302053774,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p12,balanced_spread,256,12,dispatch_only_ms,0.08336000144481659,0.07924639992415905,0.09002720005810261,0.21769218676799776,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p12,balanced_spread,256,12,combine_ms,0.04328000172972679,0.04178559985011816,0.05103519912809133,0.06823837864577449,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p12,balanced_spread,256,12,full_path_ms,0.1623840034008026,0.15632800236344338,0.17576160058379173,0.12400160160012721,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p12,balanced_spread,256,12,host_ms,0.1785455,0.17247389999999999,0.1928842,0.1154484056726086,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p13,balanced_spread,256,13,layout_ms,0.02566399984061718,0.024039999675005676,0.02913279915228486,0.07550215705213452,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p13,balanced_spread,256,13,dispatch_only_ms,0.08268800005316734,0.07905119843780994,0.09186239764094352,0.04710255101910438,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p13,balanced_spread,256,13,combine_ms,0.04310400038957596,0.041152000427246094,0.052012799121439454,0.07102079530990119,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p13,balanced_spread,256,13,full_path_ms,0.16070400178432465,0.15647359937429428,0.1734128050506115,0.03441058290591054,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p13,balanced_spread,256,13,host_ms,0.1763265,0.1721881,0.18914405,0.031135000333443453,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p14,balanced_spread,256,14,layout_ms,0.026064000092446804,0.024644800554960967,0.033225600980222224,0.10367240141068551,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p14,balanced_spread,256,14,dispatch_only_ms,0.08348800241947174,0.07899680212140084,0.09111519940197467,0.04618892332877578,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p14,balanced_spread,256,14,combine_ms,0.04288000054657459,0.04095359891653061,0.04796479940414428,0.05705365440109782,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p14,balanced_spread,256,14,full_path_ms,0.16091199964284897,0.15742719992995263,0.17656319588422775,0.03464459987906291,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p14,balanced_spread,256,14,host_ms,0.177068,0.17283185,0.19217114999999999,0.033083301149730474,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p15,balanced_spread,256,15,layout_ms,0.025728000327944756,0.024260799493640663,0.029094399884343147,0.11111876550297649,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p15,balanced_spread,256,15,dispatch_only_ms,0.08369599655270576,0.08011039905250072,0.09100639931857585,0.0802322059245453,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p15,balanced_spread,256,15,combine_ms,0.04395199939608574,0.04155680015683174,0.05264160018414259,0.07834994578832066,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p15,balanced_spread,256,15,full_path_ms,0.16327999532222748,0.15815040469169617,0.1744559973478317,0.05686577744837411,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p15,balanced_spread,256,15,host_ms,0.1788145,0.17355915,0.1897197,0.051497041878167664,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p16,balanced_spread,256,16,layout_ms,0.025776000693440437,0.02432479998096824,0.030388799309730524,0.09479155834101771,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p16,balanced_spread,256,16,dispatch_only_ms,0.08313599973917007,0.07979520075023175,0.09174559749662875,0.3572064927132174,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p16,balanced_spread,256,16,combine_ms,0.044576000422239304,0.04162719864398241,0.049839999154210085,0.059127937767803396,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p16,balanced_spread,256,16,full_path_ms,0.16431999951601028,0.15737439543008805,0.17702719792723656,0.19324267157603547,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p16,balanced_spread,256,16,host_ms,0.180458,0.17334705,0.19277224999999998,0.17751353361198394,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p17,balanced_spread,256,17,layout_ms,0.025775999762117863,0.023940800782293083,0.03035359950736164,0.10591714641493956,50,0.5,1.0,3.5849569936828383,0.25
