N,perm_index,metric,balanced_ms,concentrated_ms,hotspot_ms,family_a_relative,hotspot_relative
256,15,layout_ms,0.025728000327944756,0.025936000049114227,0.025647999718785286,0.008084566173747693,-0.003109476373590374
256,15,dispatch_only_ms,0.08369599655270576,0.08875199779868126,0.08686399832367897,0.06040911697361278,0.03785129398606568
256,15,combine_ms,0.04395199939608574,0.04158399999141693,0.047760000452399254,-0.0538769438752699,0.08663999610112495
256,15,full_path_ms,0.16327999532222748,0.1639840006828308,0.166143998503685,0.004311644909188061,0.017540441349263317
256,16,layout_ms,0.025776000693440437,0.02526400052011013,0.02574400044977665,-0.01986344504795899,-0.001241474348343394
256,16,dispatch_only_ms,0.08313599973917007,0.08787199854850769,0.08897599950432777,0.05696688347041334,0.07024634073662489
256,16,combine_ms,0.044576000422239304,0.04054399952292442,0.0498879998922348,-0.09045228062460454,0.11916725187720749
256,16,full_path_ms,0.16431999951601028,0.16379199922084808,0.16875199973583221,-0.003213244259477715,0.026971763832010626
256,17,layout_ms,0.025775999762117863,0.02595200017094612,0.025679999962449074,0.006828073031212567,-0.003724387048213612
256,17,dispatch_only_ms,0.08297599852085114,0.08801599964499474,0.08790399879217148,0.060740469701935466,0.059390671509448364
256,17,combine_ms,0.04230400174856186,0.04078400135040283,0.05003200098872185,-0.03593041639874412,0.18267773545614285
256,17,full_path_ms,0.16033600270748138,0.16411200165748596,0.16830399632453918,0.023550536911497964,0.04969559850880584
256,18,layout_ms,0.02548799943178892,0.025728000327944756,0.02512000035494566,0.009416231226704375,-0.014438131083143744
256,18,dispatch_only_ms,0.08198399841785431,0.08772799745202065,0.08718400076031685,0.07006244078131495,0.06342703994454232
256,18,combine_ms,0.04158399999141693,0.04064000025391579,0.0491040013730526,-0.022701032553289462,0.18083881741024957
256,18,full_path_ms,0.15944000333547592,0.16393599659204483,0.16713599860668182,0.028198652549629843,0.048268910625979135
256,19,layout_ms,0.025344000197947025,0.025839999318122864,0.025887999683618546,0.01957067220256795,0.021464626003103747
256,19,dispatch_only_ms,0.08249600231647491,0.08830400183796883,0.088639996945858,0.07040340572156455,0.07447627105387744
256,19,combine_ms,0.042447999119758606,0.04097599908709526,0.049936000257730484,-0.0346777248206774,0.17640410132986406
256,19,full_path_ms,0.16052799671888351,0.1640480011701584,0.1690240055322647,0.02192766696913997,0.052925402341246416
256,20,layout_ms,0.025071999989449978,0.025232000276446342,0.025615999475121498,0.006381632381289524,0.021697490662907996
256,20,dispatch_only_ms,0.08321600034832954,0.08726400136947632,0.08753599971532822,0.04864450351137349,0.05191308581181277
