case_id,case_index,iteration,rank,physical_gpu,N,received_tokens,layout_ms,dispatch_only_ms,combine_ms,full_path_ms,host_ms
balanced_spread_N256_p00,0,27,0,1,256,512,0.025119999423623085,0.14975999295711517,0.06748799979686737,0.25443199276924133,0.271074
balanced_spread_N256_p00,0,28,0,1,256,512,0.023744000121951103,0.12595200538635254,0.06425599753856659,0.2269120067358017,0.24398
balanced_spread_N256_p00,0,29,0,1,256,512,0.02332800067961216,0.13769599795341492,0.08060800284147263,0.2536959946155548,0.269181
balanced_spread_N256_p00,0,30,0,1,256,512,0.02393599972128868,0.13286399841308594,0.06224000081419945,0.23158399760723114,0.2483
balanced_spread_N256_p00,0,31,0,1,256,512,0.022624000906944275,0.13609600067138672,0.06492800265550613,0.23625600337982178,0.252043
balanced_spread_N256_p00,0,32,0,1,256,512,0.02630399912595749,0.13651199638843536,0.06409599632024765,0.23958399891853333,0.257211
balanced_spread_N256_p00,0,33,0,1,256,512,0.022816000506281853,0.12537600100040436,0.07129599899053574,0.23199999332427979,0.248714
balanced_spread_N256_p00,0,34,0,1,256,512,0.026784000918269157,0.1318719983100891,0.07660800218582153,0.24774399399757385,0.27287
balanced_spread_N256_p00,0,35,0,1,256,512,0.024831999093294144,0.15059199929237366,0.06908799707889557,0.25676798820495605,0.273219
balanced_spread_N256_p00,0,36,0,1,256,512,0.023360000923275948,0.14032000303268433,0.06617599725723267,0.2423039972782135,0.257808
balanced_spread_N256_p00,0,37,0,1,256,512,0.02396799996495247,0.12134400010108948,0.05936000123620033,0.21715199947357178,0.233247
balanced_spread_N256_p00,0,38,0,1,256,512,0.023423999547958374,0.11292800307273865,0.06428799778223038,0.21273599565029144,0.228043
balanced_spread_N256_p00,0,39,0,1,256,512,0.024768000468611717,0.12723200023174286,0.06188800185918808,0.22620800137519836,0.242338
balanced_spread_N256_p00,0,40,0,1,256,512,0.02377600036561489,0.11734399944543839,0.06403200328350067,0.21801599860191345,0.234211
