run,wave,batch_id,condition,modality,concurrency,request_ids,phase,instrument,measured,iteration,source_dp_rank,driver_dp_rank,wall_ms,output_count,output_tokens,prompt_metadata,decode_requests,prefill_requests,output_token_counts
ep4_serving_straggler_regime_20260901_1340,16,text_control_c2_i1,text_control,text,2,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,0,0,0,3084.139631,2,"[[785], [2132]]","[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,17,text_control_c2_i2,text_control,text,2,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,1,0,0,3215.128416,2,"[[785], [2132]]","[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,19,vision_heavy_c4_i1,vision_heavy,vision,4,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,0,0,0,3277.437092,4,"[[1986], [2124], [785], [785]]","[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}]",,,
ep4_serving_straggler_regime_20260901_1340,20,vision_heavy_c4_i2,vision_heavy,vision,4,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,1,0,0,3156.441392,4,"[[1986], [2124], [785], [785]]","[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}]",,,
ep4_serving_straggler_regime_20260901_1340,22,text_control_c4_i1,text_control,text,4,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,0,0,0,3093.621728,4,"[[785], [2132], [2132], [13146]]","[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,23,text_control_c4_i2,text_control,text,4,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,1,0,0,3889.10557,4,"[[785], [2132], [2132], [13146]]","[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,25,vision_heavy_c8_i1,vision_heavy,vision,8,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,0,0,0,3206.948489,8,"[[1986], [2124], [785], [785], [1986], [2124], [785], [785]]","[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}, {'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}]",,,
ep4_serving_straggler_regime_20260901_1340,26,vision_heavy_c8_i2,vision_heavy,vision,8,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,1,0,0,3294.273612,8,"[[1986], [2124], [785], [785], [1986], [2124], [785], [785]]","[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}, {'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}]",,,
ep4_serving_straggler_regime_20260901_1340,28,text_control_c8_i1,text_control,text,8,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,0,0,0,3112.753869,8,"[[785], [2132], [2132], [13146], [785], [2132], [2132], [13146]]","[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,29,text_control_c8_i2,text_control,text,8,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,1,0,0,3196.278892,8,"[[785], [2132], [2132], [13146], [785], [2132], [2132], [13146]]","[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,31,vision_heavy_c16_i1,vision_heavy,vision,16,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,0,0,0,3249.52598,16,"[[1986], [2124], [785], [785], [1986], [2124], [785], [785], [1986], [2124], [785], [785], [1986], [2124], [785], [785]]","[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}, {'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}, {'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}, {'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}]",,,
ep4_serving_straggler_regime_20260901_1340,32,vision_heavy_c16_i2,vision_heavy,vision,16,"['coins', 'coffee', 'histology', 'coffee_rocket']",concurrent,True,True,1,0,0,3388.565895,16,"[[1986], [2124], [785], [785], [1986], [2124], [785], [785], [1986], [2124], [785], [785], [1986], [2124], [785], [785]]","[{'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}, {'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}, {'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}, {'request_id': 'coins', 'modality': 'vision', 'prompt_tokens': 128, 'image_count': 1, 'category': 'natural'}, {'request_id': 'coffee', 'modality': 'vision', 'prompt_tokens': 248, 'image_count': 1, 'category': 'natural'}, {'request_id': 'histology', 'modality': 'vision', 'prompt_tokens': 277, 'image_count': 1, 'category': 'fine_grained'}, {'request_id': 'coffee_rocket', 'modality': 'vision', 'prompt_tokens': 511, 'image_count': 2, 'category': 'multi_image'}]",,,
ep4_serving_straggler_regime_20260901_1340,34,text_control_c16_i1,text_control,text,16,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,0,0,0,3121.565823,16,"[[785], [2132], [2132], [13146], [785], [2132], [2132], [13146], [785], [2132], [2132], [13146], [785], [2132], [2132], [13146]]","[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,35,text_control_c16_i2,text_control,text,16,"['text_00_coins', 'text_05_coffee', 'text_08_histology', 'text_14_coffee_rocket']",concurrent,True,True,1,0,0,3244.267623,16,"[[785], [2132], [2132], [13146], [785], [2132], [2132], [13146], [785], [2132], [2132], [13146], [785], [2132], [2132], [13146]]","[{'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_00_coins', 'modality': 'text', 'prompt_tokens': 128, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_05_coffee', 'modality': 'text', 'prompt_tokens': 248, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_08_histology', 'modality': 'text', 'prompt_tokens': 277, 'image_count': 0, 'category': 'text_only'}, {'request_id': 'text_14_coffee_rocket', 'modality': 'text', 'prompt_tokens': 511, 'image_count': 0, 'category': 'text_only'}]",,,
ep4_serving_straggler_regime_20260901_1340,37,long_multi_image_c1_i1,long_multi_image,vision,1,"['long_6img_natural_fine', 'long_10img_chart_mixed']",long,True,True,0,0,0,4392.451752,1,[[785]],"[{'category': 'multi_image', 'sample_id': 'long_6img_natural_fine', 'image_paths': ['/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/astronaut.png', '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/motorcycle_left.png', '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/coffee.png', '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/chelsea.png', '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/retina.jpg', '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/ihc.png'], 'question': 'Compare the images and summarize their visible content and common patterns briefly.', 'suite_origin': 'bounded_long_scale_validation', 'image_token_id': 151655, 'processor_prompt_tokens': 3203, 'processor_vision_tokens': 3170, 'images': [{'image_index': 0, 'path': '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/astronaut.png', 'sha256': '88431cd9653ccd539741b555fb0a46b61558b301d4110412b5bc28b5e3ea6cb5', 'source_size': [512, 512], 'image_grid_thw': [1, 32, 32], 'merge_size': 2, 'post_merge_grid_hw': [16, 16], 'token_span': [4, 260], 'vision_tokens': 256}, {'image_index': 1, 'path': '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/motorcycle_left.png', 'sha256': 'db18e9c4157617403c3537a6ba355dfeafe9a7eabb6b9b94cb33f6525dd49179', 'source_size': [741, 500], 'image_grid_thw': [1, 32, 46], 'merge_size': 2, 'post_merge_grid_hw': [16, 23], 'token_span': [262, 630], 'vision_tokens': 368}, {'image_index': 2, 'path': '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/coffee.png', 'sha256': 'cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7', 'source_size': [600, 400], 'image_grid_thw': [1, 24, 38], 'merge_size': 2, 'post_merge_grid_hw': [12, 19], 'token_span': [632, 860], 'vision_tokens': 228}, {'image_index': 3, 'path': '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/chelsea.png', 'sha256': '596aa1e7cb875eb79f437e310381d26b338a81c2da23439704a73c4651e8c4bb', 'source_size': [451, 300], 'image_grid_thw': [1, 18, 28], 'merge_size': 2, 'post_merge_grid_hw': [9, 14], 'token_span': [862, 988], 'vision_tokens': 126}, {'image_index': 4, 'path': '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/retina.jpg', 'sha256': '38a07f36f27f095e818aea7b96d34202c05176d30253c66733f2e00379e9e0e6', 'source_size': [1411, 1411], 'image_grid_thw': [1, 88, 88], 'merge_size': 2, 'post_merge_grid_hw': [44, 44], 'token_span': [990, 2926], 'vision_tokens': 1936}, {'image_index': 5, 'path': '/home/esjung/anaconda3/lib/python3.14/site-packages/skimage/data/ihc.png', 'sha256': 'f8dd1aa387ddd1f49d8ad13b50921b237df8e9b262606d258770687b0ef93cef', 'source_size': [512, 512], 'image_grid_thw': [1, 32, 32], 'merge_size': 2, 'post_merge_grid_hw': [16, 16], 'token_span': [2928, 3184], 'vision_tokens': 256}], 'request_id': 'long_6img_natural_fine', 'modality': 'vision', 'condition': 'long_multi_image'}]",,,
