dataset,evidence_class,output_budget,ignore_eos,restart,run,label,source_request_id,family,prompt_tokens,ttft_s,e2e_s,processor_s
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_012,long_text_plus_image,655,2.140839214902371,2.140839214902371,0.01616585860028863
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_016,long_text_plus_image,657,2.124644347000867,2.124644347000867,0.012279297690838575
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_022,long_text_plus_image,658,2.1123348912224174,2.1123348912224174,0.012223334051668644
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_007,long_text_plus_image,662,2.310839375015348,2.310839375015348,0.017576589714735746
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_003,long_text_plus_image,664,2.293232662137598,2.293232662137598,0.017541817855089903
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_024,long_text_plus_image,665,2.2756588491611183,2.2756588491611183,0.013255984988063574
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_021,long_text_plus_image,666,2.2623728080652654,2.2623728080652654,0.0133631550706923
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_018,long_text_plus_image,667,2.248979235999286,2.248979235999286,0.014133888762444258
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_028,long_text_plus_image,670,2.234815586358309,2.234815586358309,0.013384602963924408
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_009,long_text_plus_image,671,2.2214000350795686,2.2214000350795686,0.02074662083759904
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_019,long_text_plus_image,673,2.20062362216413,2.20062362216413,0.013413816224783659
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_029,long_text_plus_image,674,2.1871809121221304,2.1871809121221304,0.013820016756653786
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b128:P2_lm_length_bucket:w0,longtext_025,long_text_plus_image,682,2.1733180163428187,2.1733180163428187,0.013461726251989603
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_013,long_text_plus_image,591,0.819361565168947,0.819361565168947,0.042794622015208006
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_008,long_text_plus_image,606,0.7764903651550412,0.7764903651550412,0.026141360867768526
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_010,long_text_plus_image,652,0.7502919980324805,0.7502919980324805,0.02374616079032421
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_012,long_text_plus_image,655,0.7265099412761629,0.7265099412761629,0.01728937728330493
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_016,long_text_plus_image,657,0.7091864352114499,0.7091864352114499,0.013666743878275156
