dR0,dR1,dR2,dR3,delta_l2,direction,layer,request_id
0.0,0.0,-1.0,1.0,1.4142135623730951,TV,32,cat
-1.0,1.0,0.0,0.0,1.4142135623730951,VT,32,cat
2.0,1.0,-2.0,-1.0,3.1622776601683795,TV,33,cat
-1.0,1.0,-1.0,1.0,2.0,VT,33,cat
-1.0,0.0,0.0,1.0,1.4142135623730951,TV,34,cat
0.0,0.0,2.0,-2.0,2.8284271247461903,VT,34,cat
-4.0,3.0,1.0,0.0,5.0990195135927845,TV,35,cat
3.0,1.0,-2.0,-2.0,4.242640687119285,VT,35,cat
1.0,-2.0,-1.0,2.0,3.1622776601683795,TV,36,cat
-1.0,1.0,-1.0,1.0,2.0,VT,36,cat
-1.0,2.0,0.0,-1.0,2.449489742783178,TV,37,cat
2.0,-2.0,-2.0,2.0,4.0,VT,37,cat
0.0,0.0,-1.0,1.0,1.4142135623730951,TV,38,cat
2.0,-1.0,0.0,-1.0,2.449489742783178,VT,38,cat
0.0,-2.0,1.0,1.0,2.449489742783178,TV,39,cat
3.0,-1.0,-1.0,-1.0,3.4641016151377544,VT,39,cat
-2.0,0.0,1.0,1.0,2.449489742783178,TV,40,cat
-2.0,-1.0,3.0,0.0,3.7416573867739413,VT,40,cat
-1.0,2.0,-1.0,0.0,2.449489742783178,TV,41,cat
-3.0,2.0,1.0,0.0,3.7416573867739413,VT,41,cat
1.0,-2.0,2.0,-1.0,3.1622776601683795,TV,42,cat
-1.0,-1.0,2.0,0.0,2.449489742783178,VT,42,cat
-1.0,1.0,1.0,-1.0,2.0,TV,43,cat
-1.0,0.0,2.0,-1.0,2.449489742783178,VT,43,cat
2.0,1.0,-1.0,-2.0,3.1622776601683795,TV,44,cat
0.0,0.0,3.0,-3.0,4.242640687119285,VT,44,cat
0.0,-2.0,1.0,1.0,2.449489742783178,TV,45,cat
-1.0,1.0,0.0,0.0,1.4142135623730951,VT,45,cat
0.0,0.0,1.0,-1.0,1.4142135623730951,TV,46,cat
-3.0,1.0,-1.0,3.0,4.47213595499958,VT,46,cat
0.0,2.0,-1.0,-1.0,2.449489742783178,TV,47,cat
-1.0,-1.0,0.0,2.0,2.449489742783178,VT,47,cat
3.0,0.0,-3.0,0.0,4.242640687119285,TV,0,phantom
-1.0,0.0,0.0,1.0,1.4142135623730951,VT,0,phantom
-1.0,1.0,1.0,-1.0,2.0,TV,1,phantom
-1.0,1.0,0.0,0.0,1.4142135623730951,VT,1,phantom
-2.0,0.0,1.0,1.0,2.449489742783178,TV,2,phantom
0.0,1.0,-2.0,1.0,2.449489742783178,VT,2,phantom
0.0,3.0,-3.0,0.0,4.242640687119285,TV,3,phantom
0.0,0.0,0.0,0.0,0.0,VT,3,phantom
0.0,0.0,-1.0,1.0,1.4142135623730951,TV,4,phantom
