request_id,category,pair_id,token_bucket,prompt_tokens,vision_tokens,prefix_tokens,tail_tokens,layer,component,duration_ms,dispatch_ms,expert_ms,combine_ms,fastest_rank_ms
bit_allocate,chart_document,15,medium,671,648,653,18,34,language_tail,0.8737919926643372,0.1963519984856248,0.41145601868629456,0.09347200393676758,0.8388159871101379
bit_allocate,chart_document,15,medium,671,648,653,18,34,vision_prefix,0.9767040014266968,0.24694399163126945,0.5542080104351044,0.08783996105194092,0.9468479752540588
bit_allocate,chart_document,15,medium,671,648,653,18,35,language_tail,0.8604159951210022,0.17871999461203814,0.4159039855003357,0.11203199625015259,0.8260800242424011
bit_allocate,chart_document,15,medium,671,648,653,18,35,vision_prefix,1.0034559965133667,0.252000012435019,0.5721599757671356,0.10607999563217163,0.955295979976654
bit_allocate,chart_document,15,medium,671,648,653,18,36,language_tail,0.89164799451828,0.19871999882161617,0.4158079922199249,0.11216002702713013,0.8347839713096619
bit_allocate,chart_document,15,medium,671,648,653,18,36,vision_prefix,1.0075839757919312,0.24374400358647108,0.5959360301494598,0.12214398384094238,0.9624959826469421
bit_allocate,chart_document,15,medium,671,648,653,18,37,language_tail,0.8581759929656982,0.19215999636799097,0.39910396933555603,0.10319995880126953,0.8272640109062195
bit_allocate,chart_document,15,medium,671,648,653,18,37,vision_prefix,1.0205440521240234,0.28147198911756277,0.568448007106781,0.08854401111602783,0.9535999894142151
bit_allocate,chart_document,15,medium,671,648,653,18,38,language_tail,0.9358720183372498,0.21692800149321556,0.4495360255241394,0.1584320068359375,0.8726400136947632
bit_allocate,chart_document,15,medium,671,648,653,18,38,vision_prefix,0.986303985118866,0.2580800047144294,0.5646400153636932,0.10454398393630981,0.9540479779243469
bit_allocate,chart_document,15,medium,671,648,653,18,39,language_tail,0.8515840172767639,0.1833920069038868,0.4036799967288971,0.1002880334854126,0.8239039778709412
bit_allocate,chart_document,15,medium,671,648,653,18,39,vision_prefix,1.0108799934387207,0.26396800950169563,0.5739519894123077,0.10063999891281128,0.9701759815216064
bit_allocate,chart_document,15,medium,671,648,653,18,40,language_tail,0.9222080111503601,0.19520000275224447,0.44127997756004333,0.13603198528289795,0.8686400055885315
bit_allocate,chart_document,15,medium,671,648,653,18,40,vision_prefix,1.022976040840149,0.28188799787312746,0.5680639743804932,0.10486394166946411,0.9556159973144531
bit_allocate,chart_document,15,medium,671,648,653,18,41,language_tail,0.8604159951210022,0.18742399383336306,0.4145919978618622,0.10150402784347534,0.8282560110092163
bit_allocate,chart_document,15,medium,671,648,653,18,41,vision_prefix,1.0003520250320435,0.2543680081143975,0.579200029373169,0.13174396753311157,0.9658880233764648
bit_allocate,chart_document,15,medium,671,648,653,18,42,language_tail,0.880128026008606,0.1812480054795742,0.431007981300354,0.14425599575042725,0.8610560297966003
bit_allocate,chart_document,15,medium,671,648,653,18,42,vision_prefix,1.0032320022583008,0.2660800088196993,0.5649599730968475,0.10454404354095459,0.9653120040893555
bit_allocate,chart_document,15,medium,671,648,653,18,43,language_tail,0.8908159732818604,0.19468799885362387,0.43856000900268555,0.1197119951248169,0.8508480191230774
bit_allocate,chart_document,15,medium,671,648,653,18,43,vision_prefix,0.9881920218467712,0.2464639926329255,0.582144021987915,0.1037440299987793,0.9561600089073181
bit_allocate,chart_document,15,medium,671,648,653,18,44,language_tail,0.8658879995346069,0.19094400014728308,0.4129919707775116,0.10348796844482422,0.8326719999313354
bit_allocate,chart_document,15,medium,671,648,653,18,44,vision_prefix,1.0408320426940918,0.2618559952825308,0.5613760054111481,0.11993610858917236,0.9863359928131104
bit_allocate,chart_document,15,medium,671,648,653,18,45,language_tail,1.7988159656524658,0.6051520118489861,0.7189760804176331,0.598080039024353,1.5339839458465576
bit_allocate,chart_document,15,medium,671,648,653,18,45,vision_prefix,0.9997760057449341,0.26934399362653494,0.5629760026931763,0.09084802865982056,0.9509760141372681
bit_allocate,chart_document,15,medium,671,648,653,18,46,language_tail,0.8895999789237976,0.21251199394464493,0.41520002484321594,0.12207996845245361,0.8517760038375854
bit_allocate,chart_document,15,medium,671,648,653,18,46,vision_prefix,1.1452800035476685,0.29888000898063183,0.6303359866142273,0.13443207740783691,1.0725760459899902
