source,budget,strategy,observations,expert_median_ms,wall_median_ms,dispatch_median_ms,combine_median_ms,median_chunks,median_min_chunk,median_max_chunk,median_chunk_cv,correctness_all,route_identity_all,expert_reduction_median,expert_reduction_p25,expert_reduction_p75,expert_positive_fraction,wall_reduction_median,wall_reduction_p25,wall_reduction_p75,wall_positive_fraction,dispatch_reduction_median,dispatch_reduction_p25,dispatch_reduction_p75,dispatch_positive_fraction,combine_reduction_median,combine_reduction_p25,combine_reduction_p75,combine_positive_fraction
short,512,same_count,40,0.6397760361433029,1.6731839776039124,0.61359997629188,0.46514400839805603,1.0,298.0,362.0,0.0,True,True,0.0007495452998678709,-0.0024059996667323835,0.004650704143699752,0.575,0.00034778887653047486,-0.0024704282103882313,0.004621922815562729,0.55,0.0034963008894527414,-0.0036599444180495655,0.011526201624126459,0.675,-0.002993150550396728,-0.01882713011313658,0.020948964987995672,0.425
short,512,strict,40,0.641352005302906,1.6738159954547882,0.6147680000867695,0.46984797716140747,1.0,263.5,362.0,0.0,True,True,-0.0010122921189954504,-0.005352059868549974,0.0025192294061840703,0.4,-5.25774941579904e-05,-0.0061011873544038475,0.004086903045492141,0.475,0.003237431116335676,-0.015667167729986553,0.00972234280439116,0.575,-0.007715940329249382,-0.0268913109241391,0.007795373087754798,0.325
short,512,relaxed,40,0.6401200219988823,1.67467200756073,0.6145599908195436,0.46247199177742004,1.0,331.5,349.5,0.0,True,True,0.002523503533180149,-0.0010823222271218458,0.010555535997550908,0.7,0.002752098401870795,-0.001814039832605141,0.007803576684908636,0.6,0.003672889720804706,-0.0055962219133818825,0.02572761446152036,0.6,0.002747062579738946,-0.011807703090071786,0.017926733177147658,0.525
short,1024,fixed,40,0.6359760016202927,1.6694240272045135,0.6124880074057728,0.47330403327941895,1.0,297.0,395.0,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short,1024,balanced,40,0.6363520100712776,1.6695760190486908,0.6107119843363762,0.47437596321105957,1.0,395.0,395.0,0.0,True,True,-0.0014481501307389566,-0.005037780526601476,0.004094948064282317,0.4,-0.0013358918535119058,-0.006329479988791964,0.0014896467105850464,0.375,0.0009969740384700443,-0.0020739053102148963,0.012605681652939127,0.65,-0.0004768427285452015,-0.02768294113207903,0.01388874872936785,0.45
short,1024,same_count,40,0.6370879858732224,1.667191982269287,0.6101840029004961,0.47707200050354004,1.0,395.0,395.0,0.0,True,True,-0.0009896894975346404,-0.004225860556432592,0.004139811450793368,0.45,0.00020556663278598064,-0.0038634396792772696,0.005598203391813605,0.525,0.0015941766960133608,-0.004168201091138746,0.012327353441023009,0.575,0.0013163484867473318,-0.020466279777212937,0.019365053803187066,0.525
short,1024,strict,40,0.6366880014538765,1.6672639846801758,0.6119519856292754,0.4694879949092865,1.0,263.5,395.0,0.0,True,True,-0.0005621387880557771,-0.007699063633068937,0.004009056069923023,0.425,-0.0009069190236403735,-0.010533751193202823,0.004425555797474973,0.45,-0.0032075202693662153,-0.01687392529582532,0.01108266346782194,0.4,-0.0007397323744565698,-0.029729742897072142,0.009105180522183703,0.475
short,1024,relaxed,40,0.6366799846291542,1.6702559888362885,0.6124480124562979,0.47280001640319824,1.0,395.0,395.0,0.0,True,True,-0.0005446112772813372,-0.0033298873934664575,0.0034170031827724934,0.4,-0.0008297864048437686,-0.004822798084567481,0.004284805922572799,0.475,0.008070481258864226,-0.0016302142093264638,0.0174324673520041,0.7,0.004732161060537365,-0.008028321522204729,0.025792492643304882,0.575
long,128,fixed,4,18.29724410176277,34.480480670928955,5.93032656959258,4.7659139931201935,48.0,88.5,128.0,0.040075216071069814,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long,128,balanced,4,18.232349812984467,34.47257661819458,5.931782602332532,4.660245597362518,48.0,126.5,127.5,0.0034322668338395883,True,True,0.0013975354669524265,0.0008757066893783638,0.0025260763390952123,0.75,0.00023582836355484638,-0.0005952539288333891,0.0018993416933189011,0.75,-0.000677958351160246,-0.00750422221953273,0.006368224787545174,0.5,-0.00526772203934045,-0.02378239962587464,0.01664855969754367,0.5
