request_id,source,category,budget,layer,rank,strategy,total_tokens,vision_tokens,chunks,boundaries,chunk_sizes,wall_median_ms,wall_p25_ms,wall_p75_ms,wall_cv,expert_median_ms,expert_p25_ms,expert_p75_ms,expert_cv,dispatch_median_ms,dispatch_p25_ms,dispatch_p75_ms,dispatch_cv,combine_median_ms,combine_p25_ms,combine_p75_ms,combine_cv,correctness_passed,route_identity,token_partition_identity,min_chunk,max_chunk,chunk_size_cv
logo,short,chart_document,128,0,3,balanced,279,256,3,"[0, 93, 186, 279]","[93, 93, 93]",3.734079957008362,3.709720015525818,3.903015971183777,0.028909601387040403,1.8763839304447174,1.8696001321077347,1.8848240673542023,0.00709989659540614,0.5833119228482246,0.5569039080291986,0.5957199800759554,0.07046806842346917,0.31078386306762695,0.2916159927845001,0.5709118545055389,0.35416357448305025,True,True,True,93.0,93.0,0.0
logo,short,chart_document,128,0,3,same_count,279,256,3,"[0, 128, 256, 279]","[128, 128, 23]",3.9596959352493286,3.939520001411438,3.982728064060211,0.0525987905685081,1.8727678805589676,1.8625919669866562,1.8953359574079514,0.05413567330144365,0.5517279664054513,0.5440000277012587,0.5591359231621027,0.03469237853108628,0.5945760607719421,0.5690959692001343,0.6068879067897797,0.18443662077549225,True,True,True,23.0,128.0,0.5322309105705196
logo,short,chart_document,128,0,3,strict,279,256,4,"[0, 4, 132, 260, 279]","[4, 128, 128, 19]",4.928032159805298,4.914192199707031,4.9376959800720215,0.011713624638879016,2.4910557866096497,2.4733122885227203,2.495128020644188,0.00763926326615136,0.7759199095889926,0.7677199556492269,0.7895519761368632,0.04301435222017551,0.3969762325286865,0.3859761953353882,0.4032241404056549,0.09174605130230032,True,True,True,4.0,128.0,0.8385794709455705
logo,short,chart_document,128,0,3,relaxed,279,256,2,"[0, 119, 279]","[119, 160]",2.4806560277938843,2.467256009578705,2.492247998714447,0.02973688693968773,1.2512800097465515,1.239032007753849,1.2613840401172638,0.03566233361145082,0.4005120089277625,0.39541599759832025,0.4129599863663316,0.038362559793077455,0.19696009159088135,0.19553601741790771,0.20226415991783142,0.06751204664482266,True,True,True,119.0,160.0,0.14695340501792115
logo,short,chart_document,128,12,3,fixed,279,256,3,"[0, 128, 256, 279]","[128, 128, 23]",3.7274560928344727,3.7214799523353577,3.736679971218109,0.011892483179684952,1.874671995639801,1.8658159226179123,1.8863200694322586,0.010891593370589226,0.598303952254355,0.5841359631158412,0.6013520970009267,0.05884614971419489,0.3021920919418335,0.2917517423629761,0.30913615226745605,0.06576501005283793,True,True,True,23.0,128.0,0.5322309105705196
logo,short,chart_document,128,12,3,balanced,279,256,3,"[0, 93, 186, 279]","[93, 93, 93]",4.468191862106323,4.439544200897217,4.481055855751038,0.038823969712801755,2.162416011095047,2.138856053352356,2.2026239782571793,0.04010228454650278,0.5890239141881466,0.5746559700928628,0.59633584972471,0.04677868303009356,0.34782397747039795,0.3365841507911682,0.3613761365413666,0.06928162396092756,True,True,True,93.0,93.0,0.0
logo,short,chart_document,128,12,3,same_count,279,256,3,"[0, 128, 256, 279]","[128, 128, 23]",3.7529759407043457,3.7246479392051697,4.378439903259277,0.08515016259135987,1.91678386926651,1.8878879696130753,2.1410560309886932,0.06838318782371741,0.5955680059269071,0.5788241317495704,0.6016240124590695,0.06068057669530325,0.2983679175376892,0.29130399227142334,0.33468788862228394,0.07849743767097862,True,True,True,23.0,128.0,0.5322309105705196
logo,short,chart_document,128,12,3,strict,279,256,4,"[0, 4, 132, 260, 279]","[4, 128, 128, 19]",4.964591979980469,4.945551872253418,4.988839864730835,0.008375353218716642,2.511695772409439,2.5025757402181625,2.5263519138097763,0.00807719499076725,0.7833120124414563,0.7754079708829522,0.7997201234102249,0.047647944890331445,0.39556771516799927,0.3858076333999634,0.405512273311615,0.04119264712231076,True,True,True,4.0,128.0,0.8385794709455705
logo,short,chart_document,128,12,3,relaxed,279,256,2,"[0, 119, 279]","[119, 160]",2.510304093360901,2.490224003791809,2.5224961042404175,0.029973643590682168,1.2607359439134598,1.2498559430241585,1.2705040946602821,0.03141707163803156,0.4004320027306676,0.39627998461946845,0.4149200809188187,0.04586249313887647,0.19977593421936035,0.19679996371269226,0.21272790431976318,0.0748853267582026,True,True,True,119.0,160.0,0.14695340501792115
logo,short,chart_document,128,24,3,fixed,279,256,3,"[0, 128, 256, 279]","[128, 128, 23]",3.734511971473694,3.7177359461784363,3.7453439235687256,0.011084877529253362,1.8747040927410126,1.866623878479004,1.8905599191784859,0.012541457137611555,0.5904160402715206,0.5848318357020617,0.5988399479538202,0.05041703165515218,0.2954239845275879,0.292559951543808,0.31233611702919006,0.059503889888465576,True,True,True,23.0,128.0,0.5322309105705196
