sample_id,layer,modality,cosine,relative_l2
camera,4,visual,0.999996542930603,0.002621669787913561
camera,4,visual,0.9999963045120239,0.002729228464886546
camera,4,visual,0.9999960064888,0.0028012553229928017
camera,4,visual,0.9999964833259583,0.0026663262397050858
camera,4,visual,0.9999961256980896,0.002780661452561617
camera,4,visual,0.9999963045120239,0.0027019816916435957
camera,4,visual,0.9999963641166687,0.0026930365711450577
camera,4,visual,0.9999960660934448,0.0027820239774882793
camera,4,visual,0.9999963045120239,0.002675269963219762
camera,4,visual,0.9999961256980896,0.0028500657062977552
camera,4,visual,0.9999961853027344,0.002762935124337673
camera,4,visual,0.9999967217445374,0.0025385250337421894
camera,4,visual,0.999995768070221,0.002920725615695119
camera,4,visual,0.9999966025352478,0.002614674624055624
camera,4,visual,0.9999955296516418,0.0030290973372757435
camera,4,visual,0.9999964833259583,0.0026938687078654766
camera,4,visual,0.9999961853027344,0.002778591588139534
camera,4,visual,0.9999964237213135,0.0027114287950098515
camera,4,visual,0.9999961853027344,0.002756576519459486
camera,4,visual,0.999996542930603,0.0026131656486541033
camera,4,visual,0.9999961256980896,0.002770744264125824
camera,4,visual,0.999996542930603,0.002632156480103731
camera,4,visual,0.9999966025352478,0.0026245303452014923
camera,4,visual,0.9999966025352478,0.0026068096049129963
camera,4,visual,0.9999969005584717,0.002523571252822876
camera,4,visual,0.9999966621398926,0.0025583028327673674
camera,4,visual,0.9999966621398926,0.002599924337118864
camera,4,visual,0.9999961256980896,0.002762985648587346
camera,4,visual,0.9999966025352478,0.002608276205137372
camera,4,visual,0.999996542930603,0.0026322449557483196
camera,4,visual,0.9999962449073792,0.002761323004961014
camera,4,visual,0.9999960660934448,0.0027922510635107756
camera,4,visual,0.9999960064888,0.002846044721081853
camera,4,visual,0.9999960064888,0.002847084077075124
camera,4,visual,0.9999961256980896,0.0027841811534017324
camera,4,visual,0.9999963045120239,0.0027451214846223593
camera,4,text,0.9999964237213135,0.0026956647634506226
camera,4,text,0.9999962449073792,0.002770904218778014
camera,12,visual,0.9999974370002747,0.002257223706692457
camera,12,visual,0.9999961256980896,0.0028005701024085283
camera,12,visual,0.9999956488609314,0.002894073026254773
camera,12,visual,0.999996542930603,0.0026249848306179047
camera,12,visual,0.9999963641166687,0.0026847142726182938
camera,12,visual,0.9999961853027344,0.002762415213510394
camera,12,visual,0.9999959468841553,0.002841407898813486
camera,12,visual,0.9999960064888,0.00285814399830997
camera,12,visual,0.9999960064888,0.002825962845236063
camera,12,visual,0.9999958276748657,0.002878625178709626
camera,12,visual,0.9999960660934448,0.0027846521697938442
camera,12,visual,0.9999961256980896,0.00276320893317461
camera,12,visual,0.9999958276748657,0.002928560832515359
camera,12,visual,0.9999962449073792,0.002688123844563961
camera,12,visual,0.9999955892562866,0.0029226336628198624
camera,12,visual,0.9999955892562866,0.002915844088420272
camera,12,visual,0.9999960660934448,0.0028060374315828085
camera,12,visual,0.9999960660934448,0.0027763736434280872
camera,12,visual,0.9999955892562866,0.0029701320454478264
camera,12,visual,0.9999961853027344,0.0027555301785469055
camera,12,visual,0.9999962449073792,0.0027640932239592075
camera,12,visual,0.9999963045120239,0.002720143413171172
camera,12,visual,0.9999960660934448,0.0028729902114719152
camera,12,visual,0.9999958872795105,0.0029036984778940678
camera,12,visual,0.9999958276748657,0.0028959831688553095
camera,12,visual,0.9999963641166687,0.002708661137148738
camera,12,visual,0.9999963641166687,0.0027293467428535223
camera,12,visual,0.9999961853027344,0.0027730069123208523
camera,12,visual,0.9999961256980896,0.0027787175495177507
camera,12,visual,0.9999960660934448,0.002758527873083949
camera,12,visual,0.999996542930603,0.0026503149420022964
camera,12,visual,0.9999963045120239,0.002778735477477312
camera,12,visual,0.999995768070221,0.002892440417781472
camera,12,visual,0.9999963045120239,0.0027658159378916025
camera,12,visual,0.9999962449073792,0.002751551568508148
camera,12,visual,0.9999967217445374,0.0025574788451194763
