layer,region,expert,modality,tokens,pairwise_cosine,normalized_dispersion,centered_participation_rank,nearest_neighbor_relative_l2
4,early,77,visual,14,0.48375443158137443,0.7055441946441984,8.54229251742623,0.8221090360087242
4,early,77,text,14,0.6761646641216195,0.5110858232232056,1.5311663593316456,0.2078506215395774
4,early,81,visual,32,0.2595376757568313,0.860686300904137,18.04528553531362,0.8890327320431788
4,early,81,text,32,0.25512298424893803,0.8503944340008023,5.926541347269282,0.2783557864171996
4,early,85,visual,17,0.30193618614066975,0.8256693462572948,9.320272098331648,0.7278449922937187
4,early,85,text,17,0.39262210508394974,0.7584330522003722,2.0334855737389153,0.21923044855567878
4,early,104,visual,11,0.41511005761377406,0.7484896059093898,7.029082445952429,0.922788429657901
4,early,104,text,11,0.3151703987655662,0.8693543218343929,3.123886219054749,0.5265718849594179
4,early,106,visual,12,0.37400145347847713,0.7663921879594033,8.54442122415323,0.9394152655450774
4,early,106,text,12,0.6152845191249809,0.5967731656118936,1.3106082859030495,0.221781020257269
4,early,109,visual,14,0.321571125927785,0.8046733242432496,10.015342616866365,0.9726799360752854
4,early,109,text,14,0.7337957080201977,0.4816492698935369,1.9527986045177361,0.22475627317303748
4,early,115,visual,28,0.39892971135485394,0.7660488193939216,12.400542290188364,0.6732159674767563
4,early,115,text,28,0.3467009228212998,0.8059916322205941,3.000136105176893,0.22917422839511575
4,early,126,visual,19,0.19034120654261785,0.8826723666755465,12.634767979862868,0.9291155381693945
4,early,126,text,19,0.38046787805537313,0.7734276751595266,2.436874734375711,0.2507338010363992
12,early,2,visual,10,0.22589255732064545,0.8510651164255677,7.134823096417146,1.0755345023881302
12,early,2,text,10,0.4039302852579459,0.7581085906283036,2.465489716308786,0.5409558555905756
12,early,8,visual,23,0.18511215676469317,0.9019075997993171,16.724254894249835,1.13977443417876
12,early,8,text,23,0.31177487262495673,0.8248517833905932,3.845699508168992,0.2876066119469649
12,early,9,visual,15,0.22947787544280826,0.8556744084659523,10.044323360947171,0.9971784473131992
12,early,9,text,15,0.42750525665601735,0.7434134610615692,2.68949175389271,0.37186113003786486
12,early,21,visual,8,0.24387747611243984,0.8292103975220592,5.567221656495158,1.1031915927120117
12,early,21,text,8,0.9809361554167441,0.13004536877908443,5.247897445893482,0.15815392385375288
12,early,38,visual,13,0.2145149472705394,0.8604937286719041,9.913021291563696,1.1035312888392903
12,early,38,text,13,0.4478646951932511,0.7197742385863869,1.4427286721069434,0.3547006022443979
12,early,45,visual,8,0.214980686169888,0.8330383218656724,6.407274195737705,1.1641497639006984
12,early,45,text,8,0.9760284799432448,0.14545218688584272,4.467933120813425,0.1682011160912223
12,early,64,visual,8,0.1758603190633055,0.8782960880809373,5.591739383629361,1.203766032701232
12,early,64,text,8,0.9779362965551198,0.14069530449096385,4.98227911492729,0.1686492794350691
12,early,78,visual,9,0.16282171819017682,0.8696294707313001,6.824906589476716,1.143621410998428
12,early,78,text,9,0.38940108271894736,0.7599781075437375,2.8423210639637797,0.6055194210154083
12,early,85,visual,11,0.132910604402015,0.9032832442058384,8.441885767046704,1.225027363362402
12,early,85,text,11,0.20468568412579427,0.8549675918059934,5.893871177975199,0.7573410710835685
12,early,91,visual,8,0.1341198571405831,0.8814890543766492,6.125524994783687,1.2011717298605613
12,early,91,text,8,0.9740905500920806,0.15193560710480422,4.657521940703827,0.17826857688790482
12,early,92,visual,8,0.0783157684731085,0.9046195246810734,6.373159818503732,1.2523853214646152
12,early,92,text,8,0.9717939104644849,0.15782655061654388,4.8829181758707785,0.18669796380161302
12,early,96,visual,11,0.2559713900636302,0.8309208833442233,7.471539477406376,0.9999794638612186
12,early,96,text,11,0.27844948187420604,0.8137890004081546,4.150750950959602,0.3927546890042507
12,early,99,visual,13,0.30078214275484466,0.8194045056547562,9.483827965075873,1.0599759113929947
12,early,99,text,13,0.6631848762256869,0.5544252364411055,1.592320548520007,0.285015643275517
12,early,100,visual,10,0.34706334235116776,0.7794797585899615,6.489603061584602,0.9842471070092726
12,early,100,text,10,0.591621353887527,0.6035096646745505,1.3639066724547377,0.31283077046742347
12,early,101,visual,11,0.1622307475322265,0.8769872056511941,8.703371604221347,1.1559413373170533
12,early,101,text,11,0.4506728460740135,0.7102546327097372,1.5223850099197647,0.38174039730367365
12,early,105,visual,9,0.26689709650974514,0.834638653649601,5.901344920234558,1.0803267092561124
12,early,105,text,9,0.4125122666019527,0.7715061972513855,2.241929219585477,0.31483767000070517
12,early,116,visual,23,0.22540860699527474,0.8705048187376082,13.71783514848127,0.9813844800411837
12,early,116,text,23,0.27875482693895814,0.8461888790283729,5.459661574330851,0.4076052631904198
12,early,119,visual,21,0.09300407313569459,0.9525348318055701,13.344531693049303,1.1345078939252733
12,early,119,text,21,0.3741182766875098,0.7829021649500862,4.244255010675701,0.4134992692855339
12,early,126,visual,18,0.08643938497390011,0.9727275411846431,9.019583705205077,1.1083686192302036
12,early,126,text,18,0.3859065777900269,0.7596649229353538,2.740568008028876,0.34987802503520565
24,middle,8,visual,13,0.11249006816295705,0.9157171570478938,6.733550654372875,0.9482467846973434
24,middle,8,text,13,0.3786108632812048,0.776020673200637,3.8364693827969387,0.4478383943384162
24,middle,9,visual,8,0.039427112909167436,0.9231380808461956,6.277001188366789,1.2493924309429025
24,middle,9,text,8,0.2290445322157662,0.8228271560228441,5.066037514034441,0.8894153038071279
24,middle,17,visual,17,0.06925450422181989,0.9490520965927369,12.596190823021976,1.1788707797500173
24,middle,17,text,17,0.33135667486289333,0.7695894020312306,3.019702114066725,0.5833140383153579
24,middle,21,visual,8,0.1912674551591044,0.8538636738463272,5.704221637159335,1.1162717101815325
24,middle,21,text,8,0.4616333209687057,0.7005296459151318,1.07416751059443,0.203270504963929
24,middle,24,visual,12,0.118617732698171,0.9386572196385242,7.596375877541191,1.2397411374786582
24,middle,24,text,12,0.8852201943793464,0.3269071825024207,4.418784879909497,0.2736604040838242
24,middle,49,visual,14,0.07290762805786555,0.9426119640151199,10.55761574951966,1.2222793547169009
24,middle,49,text,14,0.3390470061496811,0.7854141997053975,4.348452188890285,0.691936177002553
24,middle,59,visual,9,0.0756307970851717,0.924045926493105,7.036570063227509,1.2949575665069006
24,middle,59,text,9,0.9359600711208841,0.23971489392781717,5.2840247640412805,0.28584618025326525
24,middle,65,visual,32,0.21472901707856504,0.8893397247221027,12.731667717713384,0.928164138234788
24,middle,65,text,32,0.272513296123005,0.846935568496538,7.790391697148225,0.4458486174221141
24,middle,85,visual,28,0.07061127475447011,0.9615285888142021,17.148864495954758,1.0668451670584935
24,middle,85,text,28,0.2983606411507751,0.8485356896849661,5.618256581359666,0.5173721526543805
24,middle,96,visual,10,0.12230693634349614,0.8967912393803906,6.908784790299899,1.1578201234069647
24,middle,96,text,10,0.3211206672637666,0.7826862028852217,4.0639285994646555,0.673191827463308
24,middle,101,visual,10,0.12089907915455075,0.9222145064090639,5.697656947517713,1.1121235000774736
24,middle,101,text,10,0.7510189382101669,0.44751958418530957,2.102744963826303,0.3439948285844865
24,middle,105,visual,13,0.2363734418705226,0.8550842005378916,8.546680957854111,1.0680600862164071
24,middle,105,text,13,0.5625812400053135,0.6522995756548274,1.1915848026841462,0.22419682597331508
24,middle,116,visual,26,0.1924827690637881,0.9324906151832814,6.5687400054637335,0.9883305624897774
24,middle,116,text,26,0.38904212823293477,0.803370935039933,2.5994963580555845,0.4104302512821039
24,middle,119,visual,29,0.09483372672735245,0.9629012172507053,19.701759214941966,1.2106210872846057
24,middle,119,text,29,0.33949020756032583,0.8053699115223494,4.282050597215411,0.49216152792457984
24,middle,126,visual,15,0.14919436841643394,0.9127555681870436,9.958314776557408,1.1590657504208202
24,middle,126,text,15,0.30581766365432994,0.8131881489347469,3.8554384938835895,0.2698472748561497
36,late,8,visual,32,0.10264348669540947,1.0308756655730786,3.955347094263362,0.8714249998006668
36,late,8,text,32,0.34179455632761074,0.8233945693010972,5.661578379917933,0.3241379834974176
36,late,9,visual,14,0.11207857138760173,0.9320448250974206,9.920535920186765,1.2201495877813735
36,late,9,text,14,0.2432466809935791,0.8475762970935927,5.11458756382465,0.6716569351280431
36,late,15,visual,10,0.24330430362731062,0.8387131794871915,7.382221874028378,1.1172552100614648
36,late,15,text,10,0.79678320106007,0.42223200693267543,2.8779167763441142,0.35615451551270905
36,late,17,visual,11,0.08355790843305883,0.9291857197297564,8.758588881893031,1.2838083139007592
36,late,17,text,11,0.30235219112881845,0.798948992443329,2.513682291934305,0.45262156706805
36,late,21,visual,13,0.41609192300627956,0.760234739950088,7.7401963065800095,0.8404797876952526
36,late,21,text,13,0.3623441582007307,0.8232432226667867,2.0969451233347964,0.2267661694736153
36,late,32,visual,10,0.16132336584280677,0.8754967316979615,8.169791167363748,1.1936473353188668
36,late,32,text,10,0.2880007062728138,0.8051222242360234,6.292489312743215,0.8144545479096914
36,late,38,visual,8,0.21274194387846695,0.8535860305800348,5.246145421780131,1.1050697754815277
36,late,38,text,8,0.5770146067112185,0.6673690448845786,1.3248289166118854,0.2772399558786694
36,late,42,visual,11,0.16764362222095358,0.8790191325195978,8.179693330463056,1.1215307613354428
36,late,42,text,11,0.23689629128012138,0.8393379471734913,7.005990231921322,0.8837703957593145
36,late,46,visual,8,0.09259331870997976,0.8958467024050487,6.176618602292152,1.2249501458530925
36,late,46,text,8,0.3109496887679612,0.7888528416642057,4.998442183511841,0.7533045139741976
36,late,49,visual,13,0.1207807776042987,0.9507232150345799,7.379991947894625,1.1875181883989632
36,late,49,text,13,0.4527511506005358,0.7082115099764773,2.149358166556289,0.4479722156495593
36,late,56,visual,32,0.16657539792761294,0.9431883336652538,11.316321464216134,0.9995063176404402
36,late,56,text,32,0.41428085596550007,0.7955812807134107,4.845108782768299,0.2634150276231279
36,late,65,visual,32,0.16685798243649536,1.0256083888858751,2.9745058955791106,0.6268015451096967
36,late,65,text,32,0.3294361816536625,0.8391508277413041,6.057139915819815,0.3606317511996384
36,late,78,visual,8,0.20761916385855558,0.9204886682158622,3.670975344993065,1.1628168415145783
36,late,78,text,8,0.5109934356816473,0.6591767940016342,2.641891121654242,0.4514895645151962
36,late,85,visual,32,0.10097583837754108,0.9973286271783097,8.082136612014862,1.0854188057379597
36,late,85,text,32,0.2433950980599388,0.9057817408647778,6.437429935624314,0.3223200384583766
36,late,96,visual,32,0.29509206618564077,0.8904214747787734,11.400934816090526,0.8913003816156471
36,late,96,text,32,0.43467596443884055,0.7616083159641521,3.926669797433302,0.2404305006518831
36,late,99,visual,17,0.33414881766698,0.7996592288218946,10.773321094579936,0.9511574900807327
36,late,99,text,17,0.5852225302594062,0.6307961780751287,1.9529400122336664,0.27009377126078066
36,late,105,visual,14,0.23758953778915903,0.9207940230097029,2.4690541273919724,0.8846179112175792
36,late,105,text,14,0.3843985107476641,0.7848296044420484,2.5352201880598666,0.2993452655671608
36,late,116,visual,14,0.17232421616910928,0.9744972746665833,5.000702739775899,0.9495173239634226
36,late,116,text,14,0.3934080158838381,0.7937417125424063,2.664223611724605,0.2946923962195217
36,late,119,visual,14,0.07000933535200474,0.9501660612432794,9.512798011893686,1.2471422181671639
36,late,119,text,14,0.2812460194312445,0.8306407556805366,4.8400655660051735,0.4671819673061716
36,late,121,visual,8,0.1052844551170874,0.916580577124635,5.481946837820371,1.2548637579013389
36,late,121,text,8,0.21825227489978263,0.8433539782702638,3.894111840598877,0.7389316089584373
36,late,126,visual,15,0.12461642112860305,0.9181119946021888,10.881459796976696,1.1713984307318077
36,late,126,text,15,0.4272756787686576,0.7298159378705747,3.3827088395235663,0.37088067136808334
44,late,12,visual,15,0.26015081695345593,0.8672288533368812,9.269228294941684,1.0459273927060844
44,late,12,text,15,0.5505221236865334,0.6014849568427376,1.9620033211373662,0.25149629573579096
44,late,13,visual,9,0.4060113577328131,0.7574411106844737,5.199903042427736,0.9138077344631896
44,late,13,text,9,0.6169963518908801,0.7327666230529981,1.0719381079777097,0.17830937889208506
44,late,14,visual,10,0.07442592576525955,1.0367881543603255,3.9725250117548603,1.2895842209834725
44,late,14,text,10,0.3427916214959415,0.8511527547220543,3.748167538083248,0.8322140994909912
44,late,21,visual,12,0.11738549691918881,0.9685966872486363,5.843111631331635,1.2396505340959674
44,late,21,text,12,0.617124394059522,0.5933898452725496,1.5335528668587246,0.300395270019866
44,late,23,visual,9,0.12032599672103757,0.9094487797859415,6.525921944075821,1.252889083778079
44,late,23,text,9,0.633480277544745,0.5427426572450741,1.4424280571888688,0.2624115491588447
44,late,25,visual,16,0.10329177967690042,1.3081539743911852,1.8897738850801888,1.2605134879954072
44,late,25,text,16,0.401088844045921,0.7568697485126467,3.3382371149468435,0.22321941480876406
44,late,31,visual,32,0.2724853137022597,0.9445766197525954,7.329845478336972,0.8199183119092333
44,late,31,text,32,0.43886561674723373,0.7646725686790546,3.9445087179705016,0.2928594137579683
44,late,32,visual,21,0.20739205723354706,0.8903575735178034,13.42193011677333,1.07931664146661
44,late,32,text,21,0.40795305507773144,0.7834715541390812,4.011697853505528,0.438926963610705
44,late,47,visual,8,0.13398142014219,0.9283876562687342,2.68136496579713,0.9849663087677021
44,late,47,text,8,0.48550580837823765,0.6812792456599885,3.4941331476245763,0.7691877786058393
44,late,51,visual,31,0.08632478465361669,1.0264635051695934,7.0333082423806195,0.9876981351932711
44,late,51,text,31,0.38874657185855516,0.7814247008717753,3.67956631739556,0.28581013492376955
44,late,53,visual,14,0.5030176556536881,0.6822290694123665,10.977885623414137,0.8769915161700996
44,late,53,text,14,0.5878086635413204,0.67705481650103,2.4360480384215113,0.36649666520515767
44,late,60,visual,9,0.14774507274165025,0.9558807175283442,4.308121485579636,1.1791426009164598
44,late,60,text,9,0.545035161900424,0.6118828641858944,1.953947110930341,0.42843832927069364
44,late,70,visual,21,0.20266485827447378,0.96104200558403,7.7518678795315505,0.9679787931317366
44,late,70,text,21,0.3330905789001409,0.8153145106308369,4.212385491384301,0.3839269088140537
44,late,73,visual,12,0.36942455052582457,0.7658241926884765,8.623696153663438,0.9666534083656805
44,late,73,text,12,0.6141125887120937,0.6248986679505456,2.4657165379326114,0.4386221948919295
44,late,80,visual,14,0.39510190415597135,0.8307348273565854,5.962558306682208,0.8796977308554271
44,late,80,text,14,0.6957769069664422,0.532133767135144,1.4167195684719427,0.23428982688947747
44,late,90,visual,32,0.26051447486363893,0.9350178753721042,9.227649693472205,0.9583766837360741
44,late,90,text,32,0.3463856946643098,0.835639725958399,5.63877762118646,0.3266877558699347
44,late,94,visual,32,0.3040527047315853,0.9868943201164214,4.532094809621476,0.9173020663125404
44,late,94,text,32,0.40441942340872383,0.8026687716174286,3.8639193702574137,0.23842737605650743
44,late,98,visual,13,0.07386427914798836,1.0572315973777775,5.476053188550479,1.2892034703557504
44,late,98,text,13,0.5427688055995549,0.6694715919111324,4.056273652337928,0.5231938630438894
44,late,102,visual,22,0.3062324101506967,0.8996023594009307,3.396553373266031,0.6584092491069986
44,late,102,text,22,0.39811450075760396,0.7716005669690459,3.925759587061487,0.30219590717262773
44,late,110,visual,14,0.49063687303426845,0.6922440021931161,8.60110372735445,0.8256829357214585
44,late,110,text,14,0.7230399205736184,0.5119868435151839,1.5424475054218505,0.2550336566841995
44,late,121,visual,21,0.21458164370009636,1.0868828123055854,5.62368136452679,0.948535729992591
44,late,121,text,21,0.4081506966271767,0.7697278902227683,4.534170255186033,0.4762637540511195
44,late,125,visual,8,0.13035714089066236,0.9346116339874744,4.306930934118891,1.2220155282183534
44,late,125,text,8,0.9473359748379411,0.21656832614954094,4.122636050691133,0.22382315419999188
44,late,127,visual,11,0.13474273359269515,0.9453815129448067,4.288197808666423,0.9412617423222962
44,late,127,text,11,0.5128736651288014,0.6045168417952206,1.8401680855421392,0.5154826974217597
47,late,2,visual,14,0.72399270611932,0.5436445476360539,5.351559836591254,0.5127716213718999
47,late,2,text,14,0.45317539509708826,0.8165179326808794,1.3498472953169152,0.3088602361317959
47,late,11,visual,11,0.8279930820363297,0.4038535708527679,5.772330039718046,0.4459491831793525
47,late,11,text,11,0.9301868470335124,0.2825078203668133,2.3438576381947502,0.18772139006642466
47,late,14,visual,12,0.8521998202127326,0.38781098264140396,7.363916357769046,0.4512911637159873
47,late,14,text,12,0.5057235386927871,0.7878331790865508,1.2146707377788772,0.18537390504514098
47,late,15,visual,11,0.9400713078669474,0.24636935391742998,6.189533921090211,0.26731612927880055
47,late,15,text,11,0.9413066210243247,0.23709109463824055,1.7071291608467556,0.13362512694451525
47,late,20,visual,24,0.7267442364249206,0.590927065625694,5.2862806914626175,0.5059211586396936
47,late,20,text,24,0.7116412983340946,0.5469491319273458,3.193776325950007,0.21077550446839147
47,late,28,visual,9,0.4616608888682031,0.7398174168905757,5.129978913307246,0.8870994382337314
47,late,28,text,9,0.8865631503624231,0.3205570711975289,1.1517675875439308,0.1069606359695279
47,late,31,visual,11,0.9326501644185021,0.2525143887697179,5.739056711619255,0.2808016432206552
47,late,31,text,11,0.9464088420873463,0.23897063903569252,1.903732737109275,0.13690781224471052
47,late,44,visual,12,0.8758327078228174,0.35261186731312716,2.533138314279471,0.26447444688077887
47,late,44,text,12,0.6210004159288544,0.6414613002695144,1.5432979306895436,0.20816219718785944
47,late,48,visual,10,0.30905997734087026,0.820751670722316,5.909816411637725,1.0064469766645505
47,late,48,text,10,0.48001609793130356,0.6729975720732745,2.0242977798608472,0.5141909730823848
47,late,54,visual,9,0.7583594405451252,0.4791668367128303,4.851797474468976,0.5512549694610991
47,late,54,text,9,0.456949243139474,0.7176043042712917,1.2407343952216676,0.3192316521721285
47,late,57,visual,29,0.7386418055262982,0.5242775383083684,8.60028492462898,0.4797820838209354
47,late,57,text,29,0.7327566831997522,0.5354743646284023,6.073591174442188,0.28480983294250756
47,late,73,visual,15,0.9302334427870308,0.2690896117623709,5.499737143330644,0.2773164817520756
47,late,73,text,15,0.9169973027074985,0.344059389024234,2.023121150329014,0.14174593045178693
47,late,77,visual,24,0.6566968768230854,0.6052381512090991,6.502777037249962,0.4768381363348366
47,late,77,text,24,0.5784082500981279,0.6760120841128284,2.5955463538919274,0.19834184027433988
47,late,86,visual,12,0.7712205461269792,0.49842630283903805,1.9581847109606334,0.380445047218192
47,late,86,text,12,0.8987377588908754,0.31970074786822994,2.6729367997845164,0.24019627686736425
47,late,101,visual,15,0.7367511951066401,0.5041200700596163,6.33293437259717,0.5182139724308835
47,late,101,text,15,0.5936494427260607,0.6372616076869071,1.9582747829787068,0.2516334440481988
47,late,105,visual,22,0.4604582778368768,0.8849935220916116,3.781399851426088,0.5652250819069311
47,late,105,text,22,0.31869682901292046,0.8886768115709922,1.705713564662119,0.26910914627281995
47,late,125,visual,16,0.6698973865074599,0.5726917839279771,6.192822394409612,0.5795512307513553
47,late,125,text,16,0.622898027853544,0.6121156300948546,2.0260780342100695,0.2748843897346087
47,late,126,visual,18,0.8387112225046186,0.41411526301705254,9.736869460747654,0.4374568959046504
47,late,126,text,18,0.837213154795551,0.41659630172631174,4.039018792772281,0.23303135585540222
47,late,127,visual,11,0.9801036362522529,0.14707453316431637,4.6065972578464605,0.15700940617089312
47,late,127,text,11,0.9806987825051767,0.14642795273096976,1.5689880017665991,0.06514532787414243
