fold,policy,fit_source,eval_source,layer,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
A_first12,P_V_load,vision,vision,40,modality_greedy_load+swap,13020,104160,3.6221966205837175,4.0,4.0,0.6405529953917051,0.9817204301075269,27257,26040.0,0.045861756335684935,1.0467357910906299,0,34141.0
A_first12,P_V_load,vision,text,40,modality_greedy_load+swap,266,2128,3.556390977443609,4.0,4.0,0.6127819548872181,0.943609022556391,710,532.0,0.29781519720138105,1.3345864661654134,0,680.0
A_first12,P_V_load,vision,all,41,modality_greedy_load+swap,13286,106288,3.6880927291886194,4.0,4.0,0.6996086105675147,0.988484118621105,29846,26572.0,0.07138493147637326,1.1232124040343219,3,35714.0
A_first12,P_V_load,vision,vision,41,modality_greedy_load+swap,13020,104160,3.6893241167434714,4.0,4.0,0.7006912442396314,0.9886328725038402,29334,26040.0,0.07368456508888449,1.1264976958525346,3,35015.0
A_first12,P_V_load,vision,text,41,modality_greedy_load+swap,266,2128,3.6278195488721803,4.0,4.0,0.6466165413533834,0.981203007518797,708,532.0,0.20665153992141216,1.330827067669173,0,699.0
A_first12,P_V_load,vision,all,42,modality_greedy_load+swap,13286,106288,3.6241156104169803,4.0,4.0,0.642179738070149,0.9819358723468312,27985,26572.0,0.053083916014678184,1.0531762757790155,2,34864.0
A_first12,P_V_load,vision,vision,42,modality_greedy_load+swap,13020,104160,3.6240399385560678,4.0,4.0,0.6423963133640553,0.9816436251920123,27401,26040.0,0.05601691231939517,1.0522657450076804,2,34165.0
A_first12,P_V_load,vision,text,42,modality_greedy_load+swap,266,2128,3.6278195488721803,4.0,4.0,0.631578947368421,0.9962406015037594,653,532.0,0.17230291635832592,1.2274436090225564,1,699.0
A_first12,P_V_load,vision,all,43,modality_greedy_load+swap,13286,106288,3.6378895077525213,4.0,4.0,0.6541472226403733,0.9837422851121481,28796,26572.0,0.04899943763247664,1.0836971247930152,1,35047.0
A_first12,P_V_load,vision,vision,43,modality_greedy_load+swap,13020,104160,3.6354070660522275,4.0,4.0,0.6517665130568356,0.9836405529953917,28181,26040.0,0.04871746446656094,1.0822196620583717,1,34313.0
A_first12,P_V_load,vision,text,43,modality_greedy_load+swap,266,2128,3.7593984962406015,4.0,4.0,0.7706766917293233,0.9887218045112782,643,532.0,0.21188971784827312,1.2086466165413534,2,734.0
A_first12,P_V_load,vision,all,44,modality_greedy_load+swap,13286,106288,3.6579858497666717,4.0,4.0,0.6713834111094386,0.9866024386572332,28024,26572.0,0.05175780937994963,1.0546439861508354,3,35314.0
A_first12,P_V_load,vision,vision,44,modality_greedy_load+swap,13020,104160,3.65852534562212,4.0,4.0,0.6721198156682028,0.9864055299539171,27351,26040.0,0.048320540076289414,1.0503456221198157,3,34614.0
A_first12,P_V_load,vision,text,44,modality_greedy_load+swap,266,2128,3.6315789473684212,4.0,4.0,0.6353383458646616,0.9962406015037594,698,532.0,0.3077228995270315,1.3120300751879699,0,700.0
A_first12,P_V_load,vision,all,45,modality_greedy_load+swap,13286,106288,3.6441366852325756,4.0,4.0,0.6599427969290983,0.9841938883034773,28777,26572.0,0.06410250395751421,1.0829820864067439,1,35130.0
A_first12,P_V_load,vision,vision,45,modality_greedy_load+swap,13020,104160,3.6467741935483873,4.0,4.0,0.6622887864823349,0.9844854070660523,27970,26040.0,0.0608120409824124,1.0741167434715821,1,34461.0
A_first12,P_V_load,vision,text,45,modality_greedy_load+swap,266,2128,3.5150375939849625,4.0,4.0,0.5451127819548872,0.9699248120300752,807,532.0,0.2990524117276848,1.5169172932330828,1,669.0
A_first12,P_V_load,vision,all,46,modality_greedy_load+swap,13286,106288,3.6719855486978776,4.0,4.0,0.685533644437754,0.9864519042601234,30587,26572.0,0.1080974714285773,1.151098901098901,2,35500.0
A_first12,P_V_load,vision,vision,46,modality_greedy_load+swap,13020,104160,3.6701996927803378,4.0,4.0,0.6840245775729646,0.9861751152073732,30014,26040.0,0.11195319268553189,1.1526113671274962,2,34766.0
A_first12,P_V_load,vision,text,46,modality_greedy_load+swap,266,2128,3.7593984962406015,4.0,4.0,0.7593984962406015,1.0,729,532.0,0.25604650199151435,1.3703007518796992,3,734.0
A_first12,P_V_load,vision,all,47,modality_greedy_load+swap,13286,106288,3.630212253499925,4.0,4.0,0.6460183651964474,0.9842691555020322,29281,26572.0,0.05901388169002922,1.101949420442571,3,34945.0
A_first12,P_V_load,vision,vision,47,modality_greedy_load+swap,13020,104160,3.6337941628264208,4.0,4.0,0.6498463901689708,0.9840245775729647,28587,26040.0,0.05683677267725038,1.0978110599078341,3,34292.0
A_first12,P_V_load,vision,text,47,modality_greedy_load+swap,266,2128,3.454887218045113,3.0,4.0,0.45864661654135336,0.9962406015037594,694,532.0,0.25799514146250885,1.3045112781954886,3,653.0
A_first12,P_T_load,text,all,0,modality_greedy_load+swap,13286,106288,3.6314165286768025,4.0,4.0,0.651437603492398,0.9800541923829595,28325,26572.0,0.053007983308911745,1.0659716995333435,0,34961.0
A_first12,P_T_load,text,vision,0,modality_greedy_load+swap,13020,104160,3.631182795698925,4.0,4.0,0.6516129032258065,0.9796466973886329,27761,26040.0,0.053616914109170695,1.0660906298003072,0,34258.0
A_first12,P_T_load,text,text,0,modality_greedy_load+swap,266,2128,3.642857142857143,4.0,4.0,0.6428571428571429,1.0,564,532.0,0.047645834043746525,1.0601503759398496,0,703.0
A_first12,P_T_load,text,all,1,modality_greedy_load+swap,13286,106288,3.6366852325756436,4.0,4.0,0.6527924130663857,0.9838928195092579,28312,26572.0,0.04605370867984122,1.0654824627427366,1,35031.0
A_first12,P_T_load,text,vision,1,modality_greedy_load+swap,13020,104160,3.6381720430107527,4.0,4.0,0.6544546850998464,0.9837173579109063,27760,26040.0,0.046854531671563455,1.06605222734255,1,34349.0
A_first12,P_T_load,text,text,1,modality_greedy_load+swap,266,2128,3.56390977443609,4.0,4.0,0.5714285714285714,0.9924812030075187,552,532.0,0.05231172951156296,1.037593984962406,1,682.0
A_first12,P_T_load,text,all,2,modality_greedy_load+swap,13286,106288,3.6290832455216018,4.0,4.0,0.6469968387776607,0.9821616739424959,30903,26572.0,0.12846122308896984,1.1629911184705706,1,34930.0
A_first12,P_T_load,text,vision,2,modality_greedy_load+swap,13020,104160,3.6293394777265746,4.0,4.0,0.6474654377880185,0.9819508448540707,30387,26040.0,0.13078087374272826,1.1669354838709678,1,34234.0
A_first12,P_T_load,text,text,2,modality_greedy_load+swap,266,2128,3.6165413533834587,4.0,4.0,0.6240601503759399,0.9924812030075187,596,532.0,0.07018103271652057,1.1203007518796992,2,696.0
A_first12,P_T_load,text,all,3,modality_greedy_load+swap,13286,106288,3.646244166792112,4.0,4.0,0.6627276832756285,0.9835164835164835,30616,26572.0,0.11951692003203006,1.1521902754779467,2,35158.0
A_first12,P_T_load,text,vision,3,modality_greedy_load+swap,13020,104160,3.643625192012289,4.0,4.0,0.6604454685099846,0.9831797235023041,30090,26040.0,0.12159922524933052,1.1555299539170507,2,34420.0
A_first12,P_T_load,text,text,3,modality_greedy_load+swap,266,2128,3.774436090225564,4.0,4.0,0.7744360902255639,1.0,560,532.0,0.03583773677619853,1.0526315789473684,3,738.0
A_first12,P_T_load,text,all,4,modality_greedy_load+swap,13286,106288,3.657308444979678,4.0,4.0,0.6713081439108837,0.9860755682673491,28881,26572.0,0.0919657101979545,1.0868959807315972,0,35305.0
A_first12,P_T_load,text,vision,4,modality_greedy_load+swap,13020,104160,3.654301075268817,4.0,4.0,0.6685099846390169,0.985867895545315,28307,26040.0,0.09137536189556845,1.0870583717357911,0,34559.0
A_first12,P_T_load,text,text,4,modality_greedy_load+swap,266,2128,3.8045112781954886,4.0,4.0,0.8082706766917294,0.9962406015037594,599,532.0,0.123596479157947,1.1259398496240602,2,746.0
A_first12,P_T_load,text,all,5,modality_greedy_load+swap,13286,106288,3.6348035526117717,4.0,4.0,0.6505343971097396,0.9842691555020322,32316,26572.0,0.12876362528201707,1.216167394249586,1,35006.0
A_first12,P_T_load,text,vision,5,modality_greedy_load+swap,13020,104160,3.6321812596006144,4.0,4.0,0.6481566820276498,0.9840245775729647,31763,26040.0,0.13088107204786614,1.2197772657450077,1,34271.0
A_first12,P_T_load,text,text,5,modality_greedy_load+swap,266,2128,3.763157894736842,4.0,4.0,0.7669172932330827,0.9962406015037594,553,532.0,0.026079768656976705,1.0394736842105263,1,735.0
A_first12,P_T_load,text,all,6,modality_greedy_load+swap,13286,106288,3.631115459882583,4.0,4.0,0.6480505795574288,0.9830648803251543,29717,26572.0,0.11931691254473213,1.1183576697275328,3,34957.0
A_first12,P_T_load,text,vision,6,modality_greedy_load+swap,13020,104160,3.62542242703533,4.0,4.0,0.6427035330261137,0.9827188940092166,29217,26040.0,0.12167907974124649,1.1220046082949309,3,34183.0
A_first12,P_T_load,text,text,6,modality_greedy_load+swap,266,2128,3.9097744360902253,4.0,4.0,0.9097744360902256,1.0,590,532.0,0.0780923987888759,1.1090225563909775,1,774.0
A_first12,P_T_load,text,all,7,modality_greedy_load+swap,13286,106288,3.6475237091675448,4.0,4.0,0.6615234080987505,0.9860003010687942,29080,26572.0,0.06410678454846665,1.0943850669878068,2,35175.0
A_first12,P_T_load,text,vision,7,modality_greedy_load+swap,13020,104160,3.647542242703533,4.0,4.0,0.6618279569892473,0.9857142857142858,28413,26040.0,0.06329849282348954,1.0911290322580645,2,34471.0
A_first12,P_T_load,text,text,7,modality_greedy_load+swap,266,2128,3.6466165413533833,4.0,4.0,0.6466165413533834,1.0,667,532.0,0.15110841344749557,1.2537593984962405,2,704.0
A_first12,P_T_load,text,all,8,modality_greedy_load+swap,13286,106288,3.632846605449345,4.0,4.0,0.6489537859400873,0.9838928195092579,32045,26572.0,0.13189759695181616,1.205968688845401,3,34980.0
A_first12,P_T_load,text,vision,8,modality_greedy_load+swap,13020,104160,3.6276497695852536,4.0,4.0,0.6440860215053763,0.9835637480798771,31490,26040.0,0.13343794783848445,1.2092933947772657,3,34212.0
A_first12,P_T_load,text,text,8,modality_greedy_load+swap,266,2128,3.887218045112782,4.0,4.0,0.8872180451127819,1.0,591,532.0,0.08312224759080725,1.1109022556390977,2,768.0
A_first12,P_T_load,text,all,9,modality_greedy_load+swap,13286,106288,3.660695468914647,4.0,4.0,0.6748457022429625,0.9858497666716844,30112,26572.0,0.13567942335263808,1.1332229414421195,3,35350.0
A_first12,P_T_load,text,vision,9,modality_greedy_load+swap,13020,104160,3.6605990783410136,4.0,4.0,0.6748847926267281,0.9857142857142858,29624,26040.0,0.1396885771818703,1.1376344086021506,3,34641.0
A_first12,P_T_load,text,text,9,modality_greedy_load+swap,266,2128,3.6654135338345863,4.0,4.0,0.6729323308270677,0.9924812030075187,579,532.0,0.06874407348838249,1.0883458646616542,1,709.0
A_first12,P_T_load,text,all,10,modality_greedy_load+swap,13286,106288,3.5607406292337798,4.0,4.0,0.5847508655727833,0.9759897636609965,32687,26572.0,0.1725404347156148,1.2301294595815144,2,34022.0
A_first12,P_T_load,text,vision,10,modality_greedy_load+swap,13020,104160,3.558986175115207,4.0,4.0,0.5831797235023042,0.9758064516129032,32187,26040.0,0.1757993317470147,1.2360599078341015,2,33318.0
A_first12,P_T_load,text,text,10,modality_greedy_load+swap,266,2128,3.6466165413533833,4.0,4.0,0.6616541353383458,0.9849624060150376,589,532.0,0.09153768654557103,1.1071428571428572,1,704.0
