layer,placement,fit_source,eval_source,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
2,P_T_load,text,text,modality_greedy_load+swap,515,4120,3.7689320388349516,4.0,4.0,0.7805825242718447,0.9883495145631068,1030,1030.0,0.0,1.0,0,1426.0
2,P_V_sat,vision,all,modality_coactivation_surrogate+swap,15929,127432,3.1249921526775064,3.0,4.0,0.32130077217653336,0.813673174712788,58350,31858.0,0.5434991828349708,1.8315650699981167,0,33849.0
2,P_V_sat,vision,vision,modality_coactivation_surrogate+swap,15414,123312,3.109316206046451,3.0,4.0,0.31159984429739196,0.8080316595302971,57571,30828.0,0.565967203387067,1.8674905929674321,0,32513.0
2,P_V_sat,vision,text,modality_coactivation_surrogate+swap,515,4120,3.5941747572815532,4.0,4.0,0.6116504854368932,0.9825242718446602,1371,1030.0,0.2080140985817668,1.3310679611650484,2,1336.0
2,P_T_sat,text,all,modality_coactivation_surrogate+swap,15929,127432,3.4374411450812983,4.0,4.0,0.5248917069495888,0.9183878460669219,38793,31858.0,0.1369422252067564,1.2176847259714985,1,38826.0
2,P_T_sat,text,vision,modality_coactivation_surrogate+swap,15414,123312,3.4831322174646426,4.0,4.0,0.5411963150382769,0.9427144154664591,38208,30828.0,0.14233754461513431,1.239392759828727,1,38275.0
2,P_T_sat,text,text,modality_coactivation_surrogate+swap,515,4120,2.0699029126213593,2.0,3.0,0.036893203883495145,0.19029126213592232,2778,1030.0,0.9915276405267537,2.6970873786407767,0,551.0
2,P_joint_0.5,all,all,joint_surrogate_lambda_0.5,15929,127432,3.5807018645238244,4.0,4.0,0.605436625023542,0.9753280180802311,31903,31858.0,0.001290783175023673,1.0014125180488418,0,41108.0
2,P_joint_0.5,all,vision,joint_surrogate_lambda_0.5,15414,123312,3.5855066822369275,4.0,4.0,0.6108732321266381,0.9746983261969638,31068,30828.0,0.006178872539271758,1.0077851304009342,0,39853.0
2,P_joint_0.5,all,text,joint_surrogate_lambda_0.5,515,4120,3.436893203883495,3.0,4.0,0.44271844660194176,0.9941747572815534,1289,1030.0,0.18570990932457096,1.2514563106796117,3,1255.0
2,P_joint_0.75,all,all,joint_surrogate_lambda_0.75,15929,127432,3.5834641220415593,4.0,4.0,0.6065666394626154,0.9769602611588926,31895,31858.0,0.0008704516682693231,1.0011614037290477,3,41152.0
2,P_joint_0.75,all,vision,joint_surrogate_lambda_0.75,15414,123312,3.5885558583106265,4.0,4.0,0.6121058777734527,0.9765148566238484,31014,30828.0,0.0058103046406013745,1.006033476060724,0,39900.0
2,P_joint_0.75,all,text,joint_surrogate_lambda_0.75,515,4120,3.4310679611650485,3.0,4.0,0.4407766990291262,0.9902912621359223,1289,1030.0,0.1892008584578109,1.2514563106796117,3,1252.0
3,P0,all,all,fixed_linear,15929,127432,3.6531483457844183,4.0,4.0,0.6663946261535564,0.986753719630862,36134,31858.0,0.1203978087035074,1.1342206039299392,1,42262.0
3,P0,all,vision,fixed_linear,15414,123312,3.6574542623588946,4.0,4.0,0.6701050992604126,0.9873491630984819,35472,30828.0,0.12879432482026335,1.150642273258077,1,40962.0
3,P0,all,text,fixed_linear,515,4120,3.5242718446601944,4.0,4.0,0.5553398058252427,0.9689320388349515,1159,1030.0,0.20639347282200374,1.1252427184466018,2,1300.0
3,P_load,all,all,greedy_load+swap,15929,127432,3.646242701990081,4.0,4.0,0.6657668403540712,0.9804758616360097,31877,31858.0,0.0006066340664852687,1.000596396509511,1,42152.0
3,P_load,all,vision,greedy_load+swap,15414,123312,3.6422083819903985,4.0,4.0,0.6622550927728039,0.9799532892175944,31115,30828.0,0.007296000300906838,1.009309718437784,0,40727.0
3,P_load,all,text,greedy_load+swap,515,4120,3.766990291262136,4.0,4.0,0.7708737864077669,0.996116504854369,1391,1030.0,0.23389999820870508,1.350485436893204,2,1425.0
3,P_V_load,vision,all,modality_greedy_load+swap,15929,127432,3.653462238684161,4.0,4.0,0.6699102266306736,0.9836147906334358,32222,31858.0,0.011574457518819567,1.011425701550631,0,42267.0
3,P_V_load,vision,vision,modality_greedy_load+swap,15414,123312,3.661087323212664,4.0,4.0,0.6756844427144154,0.9854677565849228,30831,30828.0,9.998076428845491e-05,1.0000973141300116,0,41018.0
3,P_V_load,vision,text,modality_greedy_load+swap,515,4120,3.425242718446602,3.0,4.0,0.4970873786407767,0.9281553398058252,1391,1030.0,0.356353665299465,1.350485436893204,0,1249.0
