case_id,kind,pair_key,side,request_id,layer,token_count,S,I,vision_fraction,metric,median_ms,p25_ms,p75_ms,p95_ms,cv,n_iterations,rank_medians_ms
pair_similar_I_different_S_02_high,similar_I_different_S,similar_I_different_S_02,high_S,tui_log,18,1255,0.9264940239043825,1.349402390438247,0.9816733067729083,combine_ms,0.11852800101041794,0.11807999946177006,0.11948000080883503,0.12121439911425114,0.011795447921211597,20,"{""0"": 0.11656000092625618, ""1"": 0.11495999991893768, ""2"": 0.1143999993801117, ""3"": 0.11827199906110764}"
pair_similar_I_different_S_02_high,similar_I_different_S,similar_I_different_S_02,high_S,tui_log,18,1255,0.9264940239043825,1.349402390438247,0.9816733067729083,total_ms,0.3367840051651001,0.3336000144481659,0.34039200097322464,0.35185919702053076,0.05861434596877043,20,"{""0"": 0.3332640081644058, ""1"": 0.3356480002403259, ""2"": 0.33456000685691833, ""3"": 0.3341120034456253}"
pair_similar_I_different_S_02_high,similar_I_different_S,similar_I_different_S_02,high_S,tui_log,18,1255,0.9264940239043825,1.349402390438247,0.9816733067729083,host_ms,0.3540545,0.351261,0.35919225,0.36978060000000007,0.055866111188428116,20,"{""0"": 0.351781, ""1"": 0.3524965, ""2"": 0.35194400000000003, ""3"": 0.35240249999999995}"
pair_similar_I_different_S_03_low,similar_I_different_S,similar_I_different_S_03,low_S,logo,0,279,0.8870967741935484,1.17921146953405,0.9175627240143369,dispatch_ms,0.10947199910879135,0.10680000111460686,0.11359999887645245,0.13094720244407657,0.10913368400164267,20,"{""0"": 0.108559999614954, ""1"": 0.10897599905729294, ""2"": 0.10831999778747559, ""3"": 0.10628800094127655}"
pair_similar_I_different_S_03_low,similar_I_different_S,similar_I_different_S_03,low_S,logo,0,279,0.8870967741935484,1.17921146953405,0.9175627240143369,combine_ms,0.048976000398397446,0.04835999943315983,0.05163999833166599,0.05967199932783842,0.08203119438949774,20,"{""0"": 0.04734399914741516, ""1"": 0.04622399993240833, ""2"": 0.04862399958074093, ""3"": 0.048448000103235245}"
pair_similar_I_different_S_03_low,similar_I_different_S,similar_I_different_S_03,low_S,logo,0,279,0.8870967741935484,1.17921146953405,0.9175627240143369,total_ms,0.17084799706935883,0.16715199872851372,0.1849920004606247,0.1914544001221657,0.07640604961512619,20,"{""0"": 0.17084799706935883, ""1"": 0.16795200109481812, ""2"": 0.17046399414539337, ""3"": 0.16870400309562683}"
pair_similar_I_different_S_03_low,similar_I_different_S,similar_I_different_S_03,low_S,logo,0,279,0.8870967741935484,1.17921146953405,0.9175627240143369,host_ms,0.1877965,0.1841605,0.200409,0.20798335,0.06964058418861632,20,"{""0"": 0.187583, ""1"": 0.1837855, ""2"": 0.18770799999999999, ""3"": 0.185497}"
pair_similar_I_different_S_03_high,similar_I_different_S,similar_I_different_S_03,high_S,moon,31,276,0.9375,1.1775362318840579,0.927536231884058,dispatch_ms,0.11323200166225433,0.10802400298416615,0.1976960003376007,0.2260464034974575,0.33279176731166443,20,"{""0"": 0.1114719994366169, ""1"": 0.11233600229024887, ""2"": 0.11320000141859055, ""3"": 0.10814400017261505}"
pair_similar_I_different_S_03_high,similar_I_different_S,similar_I_different_S_03,high_S,moon,31,276,0.9375,1.1775362318840579,0.927536231884058,combine_ms,0.050623999908566475,0.04975199978798628,0.08179200254380703,0.0913775995373726,0.2848679808564719,20,"{""0"": 0.04992000013589859, ""1"": 0.05011199973523617, ""2"": 0.04833599925041199, ""3"": 0.04870399832725525}"
pair_similar_I_different_S_03_high,similar_I_different_S,similar_I_different_S_03,high_S,moon,31,276,0.9375,1.1775362318840579,0.927536231884058,total_ms,0.17553599923849106,0.16978399828076363,0.29233600199222565,0.32615839391946794,0.2983739371767215,20,"{""0"": 0.17400000244379044, ""1"": 0.17553599923849106, ""2"": 0.17363199591636658, ""3"": 0.17097600549459457}"
