block,policy,workload,requests,tokens_s,elapsed_s,joint_slo_fraction_ttft2_tpot02,max_arrival_lateness_ms,e2e_s_mean,e2e_s_p50,e2e_s_p90,e2e_s_p99,ttft_s_mean,ttft_s_p50,ttft_s_p90,ttft_s_p99,tpot_s_mean,tpot_s_p50,tpot_s_p90,tpot_s_p99
0,pp_only,heterogeneous_steady,48,219.38484070264303,32.67317822435871,1,1.649527344852686,9.136920638236916,8.731183986645192,17.2236650923267,18.130633121500722,0.3319540037191473,0.330405340064317,0.5393675043713302,0.5462623862968757,0.061431625479912016,0.06584403535416691,0.06958475958530054,0.07424965241395352
0,pp_only,heterogeneous_bursty,48,228.719397886659,31.339711743872613,0.875,2.1157688647512884,7.906662305690891,6.746435343287885,13.184894863888621,13.287713405634276,1.277246125236464,1.3394704011734575,2.0798012751154604,2.392680031657219,0.04625996998594108,0.04537735267508368,0.05808724818810348,0.0681432662233119
0,greedy,short_high_concurrency,512,5588.708034007596,11.726502726785839,1,43.146794028579905,8.5023468169029,8.58621706161648,9.832189221214502,9.998217486580835,0.6182144663580402,0.606796188512817,0.7632329239975661,0.8805447025224565,0.062079528617407884,0.06301081917014002,0.07227720129523632,0.0732469550699113
0,greedy,fastpp_official_azure_conv_192,192,534.6396821715169,83.50109707284719,1,6.310367801539485,9.351175865029896,7.522260882426053,17.35572156207636,20.936757339173933,0.1944723656900654,0.16407958907075226,0.42103922860696913,0.6605623534787447,0.03888458718226302,0.03928005329902644,0.042044571522930264,0.04502274171462625
0,greedy,heterogeneous_steady,48,218.64051774401565,32.784408278763294,1,1.949839759618044,6.7378509982857695,5.9590657411608845,11.760948334541172,12.108405860112981,0.48846967357288423,0.5572223586495966,0.8541596070863308,0.9591672270046547,0.04241429659349802,0.04330183878122279,0.0446160264499404,0.04652029381133558
0,greedy,heterogeneous_bursty,48,226.40553784181125,31.660002967808396,0.7708333333333334,2.0630758255713033,8.203834203799488,7.009734220802784,13.409939072327688,14.228719120947645,1.4193789746592909,1.3504755944013596,2.4751696966588503,3.0360041180020203,0.04743842001949899,0.04608985113052184,0.0589934583235946,0.06610864034077774
1,alp_rebalance,short_high_concurrency,512,5118.831729382672,12.802921343129128,1,55.56037632748456,9.010747039244961,9.118671928765252,9.758733857609332,9.832266683131456,1.2126079768795535,1.3053950918838382,1.4260742948390543,1.660091216065921,0.061402323659866115,0.06316123057457465,0.06802809269710144,0.06825018600956721
1,alp_rebalance,heterogeneous_steady,48,216.20609865022556,33.153551378753036,0.9791666666666666,1.9725370220839977,7.1891932262224145,6.256216991925612,12.142562397383156,13.23113127689343,0.7331541091746961,0.6714239004068077,1.2645654212217785,1.9798651717929174,0.04417131684843889,0.0446014596152992,0.04616993280674612,0.057950354855560694
1,alp_rebalance,fastpp_official_azure_conv_192,192,536.4723549853829,83.21584436763078,1,4.914426141318984,9.46324035840371,8.089685949031264,17.33640401349403,20.782758997688074,0.20735152969427872,0.17665964434854686,0.4443500943481922,0.7157428600871936,0.039808040519210365,0.0399428032615429,0.042534763834235816,0.056045455790494934
1,alp_rebalance,heterogeneous_bursty,48,223.5419467574102,32.06557026086375,0.5208333333333334,2.0995257236080533,8.950162462696122,7.33371366513893,15.22600224427879,15.61664581776131,1.897148162611605,1.8995638496708125,3.1485402019694457,3.738811952499673,0.04865190932397133,0.047612924689764344,0.05882045365500427,0.07258978138796039
1,pp_only,short_high_concurrency,512,3474.2779548228964,18.863200023770332,1,59.61324259638789,15.149365308036977,14.952603325014934,16.494361558835955,16.720224536024034,0.3636351216082403,0.2675320217385888,0.6517695693764836,0.7021975351916626,0.11642277357478584,0.11532821609843963,0.12863195674149247,0.1308973133353898
1,pp_only,heterogeneous_steady,48,174.5434752958291,41.06713234540075,1,2.181017305701971,15.697401181115614,14.89638960105367,26.605215548537675,30.05806652079802,0.3663791021099314,0.36411709850654006,0.5658190468791873,0.6019415288697928,0.10972092165371734,0.10890350642510703,0.14190521354949664,0.1490038898719534
1,pp_only,fastpp_official_azure_conv_192,192,439.85678362068074,101.49439922813326,1,3.791616039557688,17.62976868021845,14.87978715565987,32.866057600593194,39.19540596228559,0.1951162000283754,0.17333796666935086,0.2929011188913137,0.7510850149486229,0.07442209949037633,0.0751835936516009,0.0885096766350058,0.11905133601355343
1,pp_only,heterogeneous_bursty,48,181.16630174099362,39.56585706677288,0.875,2.115960810333495,12.535812664592717,9.859882457647473,20.015122142620392,21.523724469640293,1.2846423664692945,1.3524768254719675,2.1166624960489573,2.3903560891747473,0.0808995169587678,0.0763315373199483,0.10672260298438019,0.12550189725670313
