dataset,layer,rank,slow_wave,fast_wave,pairs_slow,pairs_fast,expert_ms_slow,expert_ms_fast,latency_ratio,active_experts_slow,active_experts_fast,rows_p50_slow,rows_p50_fast,tiny_le4_slow,tiny_le4_fast
humaneval,9,1,11,19,152,150,0.6141759753227234,0.5301759839057922,1.1584379413003687,32,32,2.5,3.0,0.6875,0.625
humaneval,27,1,24,72,152,151,0.6174719929695129,0.5331199765205383,1.158223327138305,33,30,4.0,2.5,0.6666666666666666,0.6333333333333333
humaneval,9,2,15,79,192,183,0.6314240097999573,0.5453439950942993,1.1578453517046121,33,35,4.0,3.0,0.5151515151515151,0.6285714285714286
humaneval,22,1,12,70,115,114,0.5009920001029968,0.43273600935935974,1.1577312478448143,23,20,4.0,4.5,0.6086956521739131,0.5
gsm8k,20,0,53,31,172,169,0.5896000266075134,0.5093439817428589,1.157567474518962,30,24,4.0,5.0,0.5333333333333333,0.4166666666666667
humaneval,10,2,60,4,713,737,0.9943680167198181,0.8590400218963623,1.1575339813908954,55,50,5.0,7.0,0.41818181818181815,0.34
humaneval,28,2,52,0,954,991,0.8501759767532349,0.7345600128173828,1.157394851228575,47,34,11.0,16.5,0.3191489361702128,0.23529411764705882
gsm8k,7,2,11,36,1139,1109,0.8736960291862488,0.7549120187759399,1.1573481511168844,47,34,14.0,6.5,0.2765957446808511,0.4117647058823529
humaneval,6,2,19,21,219,218,0.8346239924430847,0.7212479710578918,1.1571942326838,43,41,4.0,5.0,0.5348837209302325,0.4146341463414634
gsm8k,9,2,18,17,1918,1911,1.1341760158538818,0.9801279902458191,1.157171335928716,51,52,10.0,8.5,0.3333333333333333,0.36538461538461536
humaneval,3,0,37,29,1234,1237,1.0400639772415161,0.8988800048828125,1.1570665401296916,62,47,10.5,4.0,0.1774193548387097,0.5106382978723404
gsm8k,21,1,41,16,1346,1344,0.9417600035667419,0.8139839768409729,1.1569760957969477,51,42,11.0,18.0,0.27450980392156865,0.19047619047619047
humaneval,12,1,67,13,580,585,0.7331519722938538,0.6336960196495056,1.1569458376894284,40,31,7.5,7.0,0.4,0.3548387096774194
humaneval,31,1,68,12,126,125,0.6519039869308472,0.5636799931526184,1.1565143252376207,33,28,3.0,2.0,0.7272727272727273,0.6785714285714286
humaneval,21,1,9,8,371,384,0.6906880140304565,0.597216010093689,1.1565128904064446,34,28,7.0,9.0,0.4411764705882353,0.2857142857142857
gsm8k,8,2,31,56,253,244,0.8473920226097107,0.7328320145606995,1.1563250591852008,46,41,3.0,3.0,0.5869565217391305,0.5365853658536586
humaneval,28,0,20,80,82,81,0.5054720044136047,0.4371519982814789,1.156284327649659,19,22,3.0,2.0,0.7368421052631579,0.6818181818181818
gsm8k,29,3,21,0,1533,1570,0.9806720018386841,0.8481919765472412,1.1561910852195667,54,42,17.5,18.0,0.25925925925925924,0.19047619047619047
gsm8k,28,0,47,23,580,592,0.7248640060424805,0.6269440054893494,1.1561861979630883,34,29,10.0,11.0,0.29411764705882354,0.27586206896551724
humaneval,7,0,74,72,106,106,0.5155839920043945,0.44598400592803955,1.1560593769086533,25,21,2.0,3.0,0.84,0.6190476190476191
humaneval,11,3,63,6,343,352,0.7357439994812012,0.6365759968757629,1.1557834462690122,37,32,3.0,6.0,0.6486486486486487,0.46875
humaneval,11,2,69,11,332,346,0.6978560090065002,0.6038079857826233,1.155758163916923,36,30,4.0,5.0,0.5277777777777778,0.5
humaneval,27,1,69,14,276,278,0.7338240146636963,0.6349440217018127,1.1557302527187512,39,32,4.0,8.0,0.5384615384615384,0.4375
humaneval,27,3,69,13,260,259,0.7027519941329956,0.6081920266151428,1.1554771575091518,37,32,4.0,4.0,0.5405405405405406,0.5
humaneval,24,0,65,7,294,308,0.6904640197753906,0.5977280139923096,1.1551474978789837,33,28,6.0,9.5,0.45454545454545453,0.32142857142857145
humaneval,10,1,15,71,149,146,0.6712960004806519,0.5812479853630066,1.1549218532971046,30,39,3.0,3.0,0.6333333333333333,0.6410256410256411
humaneval,2,3,23,20,195,199,0.8828480243682861,0.7644799947738647,1.154834698623389,53,47,3.0,3.0,0.6981132075471698,0.7659574468085106
humaneval,25,2,61,3,351,349,0.7237759828567505,0.6269760131835938,1.1543918230326482,36,32,5.0,5.0,0.4722222222222222,0.46875
humaneval,15,0,9,68,239,233,0.7194880247116089,0.6233599781990051,1.1542095255943994,37,32,3.0,4.5,0.5945945945945946,0.5
gsm8k,12,3,50,23,554,555,0.8447999954223633,0.7319679856300354,1.1541488316530792,46,39,4.5,8.0,0.5,0.38461538461538464
gsm8k,12,3,7,39,1273,1264,0.9878399968147278,0.8559359908103943,1.1541049884810284,49,46,7.0,11.0,0.40816326530612246,0.2826086956521739
gsm8k,10,3,42,36,1453,1490,1.0291520357131958,0.8918079733848572,1.1540063179823894,58,46,14.0,13.0,0.2413793103448276,0.2391304347826087
humaneval,16,3,19,70,218,212,0.6344959735870361,0.5498560070991516,1.153931148146249,33,27,3.0,5.0,0.6060606060606061,0.4444444444444444
humaneval,11,3,11,70,142,138,0.4896320104598999,0.4243200123310089,1.1539215597447277,22,13,3.0,5.0,0.6363636363636364,0.46153846153846156
gsm8k,30,0,41,36,1745,1767,0.9871360063552856,0.8556479811668396,1.1536707011324179,53,42,16.0,11.5,0.22641509433962265,0.3333333333333333
gsm8k,17,1,32,55,251,255,0.6709439754486084,0.5816640257835388,1.1534905816889807,35,30,3.0,5.5,0.6571428571428571,0.4666666666666667
gsm8k,5,3,61,64,17,17,0.5477759838104248,0.47491198778152466,1.153426314566774,15,14,1.0,1.0,1.0,1.0
humaneval,4,1,59,5,463,455,0.8533120155334473,0.7398399710655212,1.1533737685252434,52,41,4.0,5.0,0.5576923076923077,0.4634146341463415
humaneval,28,0,40,0,900,928,0.7869120240211487,0.6823679804801941,1.1532077215396086,37,28,14.0,6.0,0.32432432432432434,0.39285714285714285
humaneval,8,1,16,76,205,207,0.6096000075340271,0.5286399722099304,1.153147774629396,30,32,5.0,4.0,0.43333333333333335,0.53125
humaneval,12,2,23,72,117,119,0.5238720178604126,0.4544000029563904,1.1528873557483,25,23,3.0,1.0,0.72,0.7391304347826086
gsm8k,25,0,13,37,1157,1142,0.9131839871406555,0.7921599745750427,1.15277723748986,49,48,14.0,11.0,0.2653061224489796,0.3333333333333333
humaneval,3,1,53,3,653,639,0.9423040151596069,0.8175039887428284,1.1526598379155288,54,46,6.5,8.0,0.35185185185185186,0.41304347826086957
humaneval,4,0,60,5,1302,1299,0.9609919786453247,0.8338239789009094,1.1525118046041798,55,45,10.0,8.0,0.3090909090909091,0.37777777777777777
humaneval,12,0,9,8,218,220,0.5822399854660034,0.505407989025116,1.1520197505961254,27,22,4.0,6.0,0.5925925925925926,0.45454545454545453
gsm8k,8,1,11,36,1359,1355,0.9781439900398254,0.8490880131721497,1.1519936388991399,56,44,13.0,6.5,0.23214285714285715,0.36363636363636365
gsm8k,8,0,64,59,78,80,0.5390719771385193,0.46803200244903564,1.1517844384951417,22,21,2.5,3.0,0.6818181818181818,0.6666666666666666
humaneval,9,0,53,5,827,842,0.915008008480072,0.7944319844245911,1.1517763967456753,55,45,9.0,7.0,0.2545454545454545,0.4222222222222222
humaneval,6,0,66,9,493,489,0.8961600065231323,0.7781760096549988,1.151616080943489,54,44,6.0,5.5,0.37037037037037035,0.36363636363636365
gsm8k,12,2,24,25,538,548,0.9048960208892822,0.7857919931411743,1.151571953885651,46,45,9.5,9.0,0.2608695652173913,0.24444444444444444
gsm8k,29,0,27,23,364,359,0.7258560061454773,0.6303679943084717,1.1514797906923528,36,32,6.5,8.0,0.4166666666666667,0.40625
gsm8k,8,0,23,24,989,964,1.0389440059661865,0.902400016784668,1.1513120419346146,54,52,10.0,9.5,0.3148148148148148,0.34615384615384615
humaneval,31,3,2,0,1454,1427,0.9250879883766174,0.8036800026893616,1.1510650822230082,48,40,11.0,11.0,0.22916666666666666,0.325
humaneval,28,2,53,1,1013,1013,0.8619840145111084,0.7488639950752258,1.151055492292054,49,35,11.0,18.0,0.2653061224489796,0.05714285714285714
