dataset,wave,layer,actual_expert_critical_ms,fragment_ideal_expert_critical_ms,fragment_removable_ms,actual_expert_critical_ms_p99_winsorized,fragment_ideal_expert_critical_ms_p99_trimmed,fragment_removable_ms_p99_trimmed,compact_predicted_expert_critical_ms,compact_ideal_expert_critical_ms,post_compaction_fragment_residual_ms,compaction_expert_work_removal_ms,compact_predicted_expert_critical_ms_p99_trimmed,compact_ideal_expert_critical_ms_p99_trimmed,post_compaction_fragment_residual_ms_p99_trimmed,compaction_expert_work_removal_ms_p99_trimmed
gsm8k,0,23,1.0710079669952393,1.0001984059810638,0.07080956101417546,1.0710079669952393,1.0001984059810638,0.07080956101417546,0.8044918662990497,0.8907871842384338,0.0,0.2665161006961896,0.8001655214098284,0.8907871842384338,0.0,0.2708424455854108
gsm8k,0,24,0.994271993637085,0.916345626115799,0.07792636752128601,0.994271993637085,0.9155840277671814,0.07868796586990356,0.7254116586149533,0.7755935847759247,0.0,0.2688603350221317,0.7228656936285565,0.7755935847759247,0.0,0.2714063000085285
gsm8k,0,25,1.0364160537719727,0.9370400011539459,0.09937605261802673,1.0364160537719727,0.9326272010803223,0.10378885269165039,0.7322913222847126,0.7808703899383544,0.0,0.30412473148726005,0.7291102047319513,0.7808703899383544,0.0,0.30730584904002134
gsm8k,0,26,1.0215359926223755,1.0038912296295166,0.017644762992858887,1.0215359926223755,1.0027392387390137,0.018796753883361772,0.7483197715326225,0.8570560097694397,0.0,0.27321622108975296,0.7419316100089638,0.8570560097694397,0.0,0.2796043826134117
gsm8k,0,27,1.098688006401062,1.0157279968261719,0.08296000957489014,1.098688006401062,1.0157279968261719,0.08296000957489014,0.7748943527834515,0.8419647872447967,0.0,0.3237936536176105,0.7737617466979191,0.8419647872447967,0.0,0.32492625970314293
gsm8k,0,28,1.0089919567108154,1.0097023725509644,0.0,1.0089919567108154,1.0097023725509644,0.0,0.827124628581005,0.9051007986068725,0.0,0.18186732812981043,0.8196346572426236,0.9051007986068725,0.0,0.1893572994681918
gsm8k,0,29,0.9339839816093445,0.9130303978919982,0.020953583717346236,0.9339839816093445,0.9130303978919982,0.020953583717346236,0.7947312560770432,0.8408736109733582,0.0,0.13925272553230128,0.7898135215916565,0.8408736109733582,0.0,0.14417046001768796
gsm8k,0,30,0.9600639939308167,0.9253279983997345,0.0347359955310822,0.9600639939308167,0.9253279983997345,0.0347359955310822,0.7906766672352946,0.8696607947349548,0.0,0.16938732669552203,0.784697589103304,0.8696607947349548,0.0,0.17536640482751265
gsm8k,0,31,1.0171840190887451,0.9987327992916107,0.018451219797134377,1.0171840190887451,0.9987327992916107,0.018451219797134377,0.80321985676469,0.8731935977935791,0.0,0.21396416232405513,0.8003919524243674,0.8731935977935791,0.0,0.21679206666437767
gsm8k,1,1,1.1042239665985107,1.036073625087738,0.0681503415107727,1.1042239665985107,1.036073625087738,0.0681503415107727,0.6827136913371016,0.9138624191284179,0.0,0.42151027526140916,0.6799492211758876,0.9138624191284179,0.0,0.4242747454226231
gsm8k,1,2,1.152959942817688,1.123468804359436,0.02949113845825191,1.152959942817688,1.123468804359436,0.02949113845825191,0.7045904053418398,1.022867214679718,0.0,0.4483695374758482,0.7001652051082429,1.022867214679718,0.0,0.4527947377094451
gsm8k,1,3,1.0769920349121094,1.0751328468322754,0.0018591880798339844,1.0769920349121094,1.0751328468322754,0.0018591880798339844,0.7120425469695165,0.9620927810668946,0.0,0.36494948794259285,0.7019104406168627,0.9620927810668946,0.0,0.3750815942952467
gsm8k,1,4,1.0768959522247314,1.014073634147644,0.06282231807708749,1.0768959522247314,1.014073634147644,0.06282231807708749,0.7700144046931178,0.8986720144748688,0.0,0.3068815475316137,0.7644626868759211,0.8986720144748688,0.0,0.31243326534881033
gsm8k,1,5,1.1040639877319336,1.0732767820358275,0.030787205696106046,1.1040639877319336,1.0732767820358275,0.030787205696106046,0.7366393502475413,0.9818880021572113,0.0,0.36742463748439225,0.7290104703761437,0.9818880021572113,0.0,0.37505351735578984
gsm8k,1,6,1.1496319770812988,1.1107327699661256,0.03889920711517325,1.1496319770812988,1.09154554605484,0.05808643102645883,0.8386658643560203,0.901091194152832,0.0,0.3109661127252785,0.8186878671318728,0.901091194152832,0.0,0.330944109949426
gsm8k,1,7,1.0954240560531616,1.1065727949142456,0.0,1.0954240560531616,1.1065727949142456,0.0,0.8204353280715161,0.7675455868244171,0.052889741247099,0.27498872798164553,0.8123817234734997,0.7675455868244171,0.04483613664908259,0.28304233257966194
gsm8k,1,8,1.0693440437316895,1.0277663469314575,0.041577696800231934,1.0693440437316895,1.0277663469314575,0.041577696800231934,0.9086336163169404,0.9619839787483215,0.0,0.16071042741474906,0.9098807793676527,0.9619839787483215,0.0,0.1594632643640368
gsm8k,1,9,1.0187519788742065,0.9945343852043151,0.024217593669891402,1.0187519788742065,0.9945343852043151,0.024217593669891402,0.7678042349816956,0.8303071916103363,0.0,0.25094774389251095,0.7668256597787005,0.8303071916103363,0.0,0.251926319095506
gsm8k,1,10,1.0711679458618164,0.9701983749866485,0.10096957087516789,1.0711679458618164,0.9701983749866485,0.10096957087516789,0.8031090369382571,0.8624575853347778,0.0,0.2680589089235593,0.7970512269164498,0.8624575853347778,0.0,0.2741167189453666
gsm8k,1,11,1.0518079996109009,0.9890559911727905,0.06275200843811035,1.0518079996109009,0.9890559911727905,0.06275200843811035,0.8094944260381557,0.8358336091041565,0.0,0.2423135735727452,0.7976952955399199,0.8213280022144318,0.0,0.25411270407098097
gsm8k,1,12,1.0762879848480225,0.9802272260189057,0.0960607588291168,1.0762879848480225,0.9802272260189057,0.0960607588291168,0.7900512787434498,0.8051104068756103,0.0,0.28623670610457264,0.7846153474494914,0.8051104068756103,0.0,0.2916726373985311
gsm8k,1,13,1.0526399612426758,0.9627263903617859,0.08991357088088991,1.0526399612426758,0.9627263903617859,0.08991357088088991,0.7726989063758332,0.7831008076667786,0.0,0.2799410548668426,0.7715703883127586,0.7831008076667786,0.0,0.2810695729299172
gsm8k,1,14,1.0597440004348755,1.0104415655136108,0.04930243492126474,1.0597440004348755,1.0104415655136108,0.04930243492126474,0.7858719744271127,0.8254208207130432,0.0,0.27387202600776284,0.7859012611849644,0.8254208207130432,0.0,0.2738427392499111
