dataset,wave,layer,phase,moe_output_rel_l2_lag1,moe_output_cosine_lag1,hidden_matched_rows,hidden_cosine_mean,hidden_cosine_p50,hidden_rel_l2_mean,hidden_near_equal_fraction,hidden_live_cosine_mean,hidden_live_rel_l2_mean,moe_output_matched_rows,moe_output_cosine_mean,moe_output_cosine_p50,moe_output_rel_l2_mean,moe_output_near_equal_fraction,moe_output_live_cosine_mean,moe_output_live_rel_l2_mean
gsm8k,38,1,middle,0.4387805461883545,0.9101414680480957,1024,0.8664982318878174,0.9881247878074646,0.4366890788078308,0.0,0.9539585113525391,0.23669438064098358,1024,0.9304553270339966,0.9980210661888123,0.26324960589408875,0.0,0.9838863611221313,0.10770883411169052
gsm8k,39,1,middle,,,960,0.9357854723930359,0.9937039613723755,0.2559369206428528,0.0,0.9576879739761353,0.22881922125816345,960,0.9636719226837158,0.9990546107292175,0.1566031575202942,0.0,0.9864888787269592,0.09881841391324997
gsm8k,40,1,middle,0.5700859427452087,0.8458290696144104,960,0.9144344925880432,0.9938325881958008,0.31715327501296997,0.0,0.9527634978294373,0.24635449051856995,960,0.9503623843193054,0.9988042116165161,0.20016679167747498,0.0,0.9824300408363342,0.11165611445903778
gsm8k,41,1,middle,,,896,0.9134124517440796,0.9920306205749512,0.3194105327129364,0.0,0.9432447552680969,0.2760501205921173,896,0.9501835107803345,0.9982306957244873,0.1992374211549759,0.0,0.9818394184112549,0.11993850022554398
gsm8k,42,1,middle,,,800,0.8994585275650024,0.9925519227981567,0.35014984011650085,0.0,0.9504715204238892,0.2576858699321747,800,0.9396976232528687,0.998516321182251,0.2335101068019867,0.0,0.9813377261161804,0.1161799505352974
gsm8k,43,1,middle,,,768,0.937522292137146,0.9962255954742432,0.238103449344635,0.0,0.940906822681427,0.28010424971580505,768,0.9648185968399048,0.998815655708313,0.14843104779720306,0.0,0.980139434337616,0.12994106113910675
gsm8k,44,1,middle,,,704,0.9061400890350342,0.9952495098114014,0.3097080886363983,0.0,0.9357007145881653,0.30012115836143494,704,0.9458184838294983,0.9984321594238281,0.21256999671459198,0.0,0.9755104184150696,0.15334869921207428
gsm8k,45,1,late,,,640,0.9224641919136047,0.9962368011474609,0.28031477332115173,0.0,0.934429943561554,0.31371936202049255,640,0.9552996754646301,0.9984495043754578,0.18774715065956116,0.0,0.9768057465553284,0.14750678837299347
gsm8k,46,1,late,,,544,0.9186607003211975,0.9973554611206055,0.28126734495162964,0.0,0.916692316532135,0.3612213134765625,544,0.9509766697883606,0.998971700668335,0.1915699988603592,0.0,0.9646042585372925,0.1914975643157959
gsm8k,47,1,late,,,512,0.9470644593238831,0.9982898831367493,0.20036429166793823,0.0,0.9340547323226929,0.3038424551486969,512,0.9637187719345093,0.9993621110916138,0.14751845598220825,0.0,0.9741469621658325,0.16223280131816864
gsm8k,48,1,late,,,448,0.9467254281044006,0.998200535774231,0.20355544984340668,0.0,0.9440444111824036,0.27078914642333984,448,0.9595705270767212,0.9993276596069336,0.1679350584745407,0.0,0.9733150005340576,0.15856166183948517
gsm8k,49,1,late,,,416,0.9313903450965881,0.9979304075241089,0.24856141209602356,0.0,0.9392896890640259,0.28616610169410706,416,0.9531385898590088,0.9992698431015015,0.18810804188251495,0.0,0.9753044843673706,0.15905068814754486
gsm8k,50,1,late,,,384,0.9515358805656433,0.998130738735199,0.1915782392024994,0.0,0.9281150102615356,0.33459216356277466,384,0.9696452021598816,0.9992073774337769,0.16152140498161316,0.0,0.9729611277580261,0.17175976932048798
gsm8k,51,1,late,,,256,0.9541625380516052,0.9985870718955994,0.1881047785282135,0.0,0.9222210645675659,0.35905522108078003,256,0.9697436094284058,0.999478816986084,0.1480264514684677,0.0,0.9725150465965271,0.1680418848991394
gsm8k,52,1,late,,,192,0.9685757160186768,0.9985822439193726,0.14834663271903992,0.0,0.9547151327133179,0.22445429861545563,192,0.9725863337516785,0.9996895790100098,0.11432710289955139,0.0,0.9818708300590515,0.11395490914583206
gsm8k,53,1,late,,,160,0.9681310653686523,0.9996867179870605,0.13059934973716736,0.0,0.9306830763816833,0.32035332918167114,160,0.978144109249115,0.9998881816864014,0.0915437713265419,0.0,0.9722652435302734,0.16757869720458984
gsm8k,54,1,late,,,128,0.9315407276153564,0.9982519149780273,0.24212172627449036,0.0,0.8785496354103088,0.48110300302505493,128,0.9620827436447144,0.999420166015625,0.1717337667942047,0.0,0.962948203086853,0.2234961986541748
gsm8k,55,1,late,0.16520319879055023,0.986789882183075,128,0.9366246461868286,0.995755672454834,0.23025789856910706,0.0,0.9040303230285645,0.38651400804519653,128,0.9506669640541077,0.9981813430786133,0.18774119019508362,0.0,0.9433717727661133,0.2880029082298279
gsm8k,56,1,late,,,96,0.9608081579208374,0.9992135763168335,0.15265312790870667,0.0,0.9058443903923035,0.37338414788246155,96,0.960921049118042,0.9996263980865479,0.13731883466243744,0.0,0.9618738889694214,0.20853567123413086
gsm8k,57,1,late,,,64,0.9667431116104126,0.9986153841018677,0.14268095791339874,0.0,0.9265540838241577,0.30293765664100647,64,0.9702814817428589,0.9992436766624451,0.128504678606987,0.0,0.9432679414749146,0.24392516911029816
gsm8k,58,1,late,0.01564761810004711,0.9998778104782104,64,0.9726699590682983,0.9995166063308716,0.11428029090166092,0.0,0.986685037612915,0.10890381038188934,64,0.977800726890564,0.9998369216918945,0.09874958544969559,0.0,0.9956261515617371,0.06630843132734299
gsm8k,59,1,late,,,32,0.9652898907661438,0.9997578859329224,0.13127261400222778,0.0,0.9299654364585876,0.23230016231536865,32,0.9697156548500061,0.9998611211776733,0.12600606679916382,0.0,0.9634990692138672,0.17883971333503723
gsm8k,60,1,late,0.619992196559906,0.843536913394928,32,0.964551568031311,0.9986334443092346,0.17084990441799164,0.0,0.9398928284645081,0.24233713746070862,32,0.9670810699462891,0.9984803199768066,0.15321007370948792,0.0,0.9569534659385681,0.26347577571868896
gsm8k,61,1,late,0.528925895690918,0.8588241338729858,32,0.9725013375282288,0.9992293119430542,0.12227525562047958,0.0,0.9990271329879761,0.040562160313129425,32,0.9741217494010925,0.9995782375335693,0.1029183566570282,0.0,0.9990060329437256,0.0447523295879364
gsm8k,62,1,late,0.013549813069403172,0.9999098777770996,32,0.9859560132026672,0.9996868968009949,0.061824649572372437,0.0,0.9998491406440735,0.017528289929032326,32,0.9875422120094299,0.9999337196350098,0.05465017631649971,0.0,0.999939501285553,0.012213659472763538
gsm8k,63,1,late,0.054049763828516006,0.9985387921333313,32,0.9777511954307556,0.9987895488739014,0.11249032616615295,0.0,0.9995012879371643,0.03160426765680313,32,0.978000819683075,0.9994006156921387,0.12511637806892395,0.0,0.9995555877685547,0.03320310264825821
gsm8k,64,1,late,0.3419051170349121,0.9407828450202942,32,0.9743697643280029,0.9964876174926758,0.1433802843093872,0.0,,,32,0.9707478880882263,0.9981282949447632,0.13548041880130768,0.0,,
gsm8k,0,16,middle,,,704,0.1077393889427185,0.0653802752494812,1.3050613403320312,0.0,0.13464492559432983,1.2306727170944214,704,0.4616633951663971,0.49604761600494385,1.18763267993927,0.0,0.4539481997489929,1.0076478719711304
gsm8k,1,16,middle,0.4668375551700592,0.901465117931366,992,0.7827264666557312,0.8550207614898682,0.547575831413269,0.0,0.6194881796836853,0.8610458374023438,992,0.8101691603660583,0.86110919713974,0.5503004789352417,0.0,0.664976954460144,0.8550459742546082
gsm8k,2,16,middle,0.7411297559738159,0.6834977865219116,992,0.8050518035888672,0.91590416431427,0.5008618235588074,0.0,0.6683012843132019,0.7681722044944763,992,0.8222166895866394,0.9206320643424988,0.5135155320167542,0.0,0.6978065967559814,0.7676836848258972
gsm8k,3,16,middle,0.9192571043968201,0.6116125583648682,960,0.8599351644515991,0.963874876499176,0.4110119938850403,0.0,0.7602810263633728,0.6448518633842468,960,0.857853353023529,0.9623739719390869,0.4472222924232483,0.0,0.7431626319885254,0.6985166072845459
gsm8k,4,16,middle,0.7282794713973999,0.730750322341919,960,0.8086077570915222,0.9396860599517822,0.4822567105293274,0.0,0.6476046442985535,0.7748948335647583,960,0.8168947100639343,0.9364861249923706,0.5246674418449402,0.0,0.6481284499168396,0.8380314111709595
gsm8k,5,16,middle,,,928,0.8222457766532898,0.9420240521430969,0.46304556727409363,0.0,0.6887816190719604,0.7162812948226929,928,0.831417977809906,0.9393774271011353,0.501144528388977,0.0,0.7012917399406433,0.7500212788581848
gsm8k,6,16,middle,0.7884302139282227,0.6570030450820923,896,0.8352366089820862,0.9507245421409607,0.43043971061706543,0.0,0.6959292888641357,0.6946902871131897,896,0.8401443362236023,0.9469258785247803,0.4553849697113037,0.0,0.7018089890480042,0.7328038215637207
gsm8k,7,16,middle,0.4478019177913666,0.9018138647079468,960,0.8594078421592712,0.9541074633598328,0.4161108732223511,0.0,0.7542983293533325,0.6553598642349243,960,0.8520345091819763,0.9529534578323364,0.4598681926727295,0.0,0.7343631386756897,0.7195935249328613
gsm8k,8,16,late,0.4365394711494446,0.9123905897140503,928,0.8548904657363892,0.9480757117271423,0.4379802644252777,0.0,0.7555305361747742,0.6533929109573364,928,0.8531908392906189,0.9519740343093872,0.5013638138771057,0.0,0.7357283234596252,0.7135472297668457
gsm8k,9,16,middle,0.7786288261413574,0.6695656776428223,768,0.8055429458618164,0.9414432048797607,0.48823875188827515,0.0,0.6666519045829773,0.7261059880256653,768,0.8158321380615234,0.9292876720428467,0.5375596880912781,0.0,0.6854068040847778,0.7691231966018677
gsm8k,10,16,middle,0.8729410171508789,0.6488020420074463,896,0.8030760884284973,0.8863946199417114,0.5400466322898865,0.0,0.7126510739326477,0.7344589233398438,896,0.7969833612442017,0.8633731007575989,0.6104032397270203,0.0,0.6979760527610779,0.7947306632995605
gsm8k,11,16,middle,,,896,0.8004739880561829,0.865102231502533,0.5455998182296753,0.0,0.7132494449615479,0.7317931056022644,896,0.7972699999809265,0.8488185405731201,0.617242157459259,0.0,0.69913649559021,0.7868019938468933
gsm8k,12,16,middle,0.6841574311256409,0.7706512808799744,768,0.8337718844413757,0.922493040561676,0.47628888487815857,0.0,0.7438909411430359,0.675439178943634,768,0.8253132104873657,0.9113298654556274,0.5314635634422302,0.0,0.7235896587371826,0.7381536364555359
gsm8k,13,16,middle,0.8464934229850769,0.6926977634429932,832,0.829895555973053,0.9140354990959167,0.48987141251564026,0.0,0.7641010284423828,0.6412414312362671,832,0.819328784942627,0.8939082622528076,0.5523139834403992,0.0,0.7388413548469543,0.7030887007713318
gsm8k,14,16,middle,0.685585081577301,0.7492992281913757,864,0.791999101638794,0.8920245170593262,0.5362906455993652,0.0,0.6847470998764038,0.7340268492698669,864,0.788973331451416,0.8646261692047119,0.5982727408409119,0.0,0.6822211742401123,0.7781535387039185
gsm8k,15,16,middle,,,800,0.7921714782714844,0.867591381072998,0.5562141537666321,0.0,0.7142580151557922,0.7183217406272888,800,0.7743310332298279,0.8462507724761963,0.6306772232055664,0.0,0.67978835105896,0.7957778573036194
gsm8k,16,16,middle,0.7251724004745483,0.6928009986877441,800,0.7956656217575073,0.8685556650161743,0.5397306680679321,0.0,0.7154696583747864,0.7211874723434448,800,0.7868844270706177,0.8539333939552307,0.5938538312911987,0.0,0.7037224769592285,0.7691316604614258
gsm8k,17,16,middle,0.7534626722335815,0.7499920725822449,864,0.8104075193405151,0.9032905101776123,0.5155945420265198,0.0,0.7532870173454285,0.6568329930305481,864,0.8071606755256653,0.8953310251235962,0.5860632061958313,0.0,0.7436303496360779,0.7149655818939209
gsm8k,18,16,middle,0.7005323767662048,0.7348443269729614,832,0.8331097960472107,0.9149059653282166,0.480880469083786,0.0,0.7599889039993286,0.6527872085571289,832,0.8195812702178955,0.898055911064148,0.5515466928482056,0.0,0.7445911169052124,0.7107933163642883
gsm8k,19,16,middle,,,800,0.8431228995323181,0.9253007173538208,0.4696204364299774,0.0,0.7743419408798218,0.6224788427352905,800,0.8394033908843994,0.920976459980011,0.5368371605873108,0.0,0.7671607732772827,0.6663332581520081
gsm8k,20,16,middle,,,704,0.8435830473899841,0.9327508807182312,0.45367464423179626,0.0,0.7623193264007568,0.6367858052253723,704,0.8405880928039551,0.9255365133285522,0.501802921295166,0.0,0.7467474341392517,0.6824778914451599
gsm8k,21,16,late,,,672,0.8199573755264282,0.9142799973487854,0.5022626519203186,0.0,0.7195799946784973,0.7032355070114136,672,0.8239895105361938,0.9020006656646729,0.5861707329750061,0.0,0.7173811197280884,0.7358224391937256
gsm8k,22,16,late,,,544,0.8520963191986084,0.9405454397201538,0.4438530206680298,0.0,0.8145809173583984,0.5512434244155884,544,0.8522000908851624,0.9281244277954102,0.5148410797119141,0.0,0.8180106282234192,0.5858741998672485
