topology,max_num_batched_tokens,condition,concurrency,n,scheduled_tokens_median,arrival_skew_ms_median,arrival_skew_ratio_median,ep_wait_proxy_ms_median,stall_fraction_median,rank_ratio_median,expert_ratio_median,dispatch_ratio_median,combine_ratio_median,layers
A,4096,text_balanced,2,48,188.0,0.01488003134727478,0.016424441545117126,0.02011197805404663,0.010394738408534734,1.2998670212765957,1.033606147590294,1.0904472631334388,1.099553821447988,48
A,4096,text_balanced,4,96,262.5,0.019552022218704224,0.020870326683849034,0.021376073360443115,0.01143001710177841,1.2951706840829518,1.0267619981146012,1.0903086028486244,1.1136653616698524,48
A,4096,text_balanced,8,96,1121.5,0.09068799018859863,0.09661195864704913,0.012719988822937012,0.0059888740704369175,1.2672872340425532,1.0441996016786894,1.1422424982162713,1.18839216773467,48
A,4096,text_balanced,16,144,1453.5,0.02883198857307434,0.03384167301886098,0.00793600082397461,0.00355173380994804,1.2604661499713101,1.047719162797506,1.0953120297184729,1.179878744649593,48
A,4096,text_heterogeneous,2,48,1976.5,0.06382399797439575,0.0676565678078339,0.007360100746154785,0.0032731092511252206,1.238745574102175,1.0570864163662594,1.187607318179658,1.2329599345926567,48
A,4096,text_heterogeneous,4,96,1050.5,0.025855988264083862,0.026853112516565893,0.019680023193359375,0.009091196070406028,1.2581490104772992,1.0501753610994768,1.1189645513510138,1.2309366143327458,48
A,4096,text_heterogeneous,8,96,2296.0,0.05144000053405762,0.05798782768741878,0.002528071403503418,0.0011698864164583047,1.2577199661590526,1.0698145062126723,1.137698590779984,1.2849467677752973,48
A,4096,text_heterogeneous,16,144,2653.5,0.027487993240356445,0.039467948144054035,0.0032320022583007812,0.0015031881066273406,1.2496827411167515,1.075775818227568,1.0997129412825082,1.3002213823359599,48
A,4096,vision_balanced,2,48,188.0,0.05673596262931824,0.058384382123458395,0.09718400239944458,0.04419730299605211,1.158909574468085,1.0425086460528816,1.1788175843008806,1.2014127609903813,48
A,4096,vision_balanced,4,96,262.5,0.018416017293930054,0.019985524711904793,0.02068805694580078,0.010501933160438445,1.1549202127659575,1.0245033175633238,1.1015742837677345,1.1409013249668212,48
A,4096,vision_balanced,8,96,1121.0,0.023775994777679443,0.028048102181306614,0.013216018676757812,0.0062333495448153725,1.1634577795152463,1.0371090199290363,1.119208676492049,1.1743518757151614,48
A,4096,vision_balanced,16,144,1453.5,0.03604799509048462,0.04101421496089913,0.010816097259521484,0.005331491158439309,1.162384033203125,1.043643293008425,1.1289717991938781,1.1683009588771491,48
A,4096,vision_heterogeneous,2,48,1976.0,0.0761919915676117,0.07501993533183748,0.009760022163391113,0.004579171179649778,1.192653009610521,1.0752508722508511,1.163586930933132,1.268313835538589,48
A,4096,vision_heterogeneous,4,96,1050.0,0.02852800488471985,0.03018192571440048,0.018559932708740234,0.008751190467011428,1.1877182770663564,1.0390332153730013,1.1158849528367831,1.2213899393234693,48
A,4096,vision_heterogeneous,8,96,2295.5,0.02964797616004944,0.03182603707411059,0.0029600858688354492,0.0013348315078965359,1.179547649651787,1.0491549970220406,1.100570219062813,1.231405540081402,48
A,4096,vision_heterogeneous,16,144,2651.5,0.0448479950428009,0.05624437967018488,0.004879951477050781,0.002221485666598207,1.1786806040399935,1.0570986689746098,1.1263713800328672,1.2588971142563348,48
A,8192,long_balanced,2,48,4218.5,0.17777599394321442,0.24321878744681755,0.017776012420654297,0.0063470092761614885,1.1332958046930552,1.0904906482965055,1.2036183257792268,1.2192875381863493,48
A,8192,long_balanced,4,96,4218.5,0.1332160234451294,0.19479520619340532,0.01676809787750244,0.006811281599816111,1.1332958046930552,1.061686509230618,1.2144020424705269,1.2077594247113845,48
A,8192,long_balanced,8,144,6372.0,0.5674879997968674,0.5480938629745393,0.018863916397094727,0.0052499933844693345,1.1371474283005452,1.1159806950764568,1.4288499981365517,1.2512353277355848,48
A,8192,long_heterogeneous,2,48,4218.5,0.07889598608016968,0.12204458144091779,0.01764810085296631,0.007469057503037875,1.1309255747807536,1.0684676052460667,1.162609364964081,1.2424542340809421,48
A,8192,long_heterogeneous,4,96,3203.0,0.09006398916244507,0.1204943952696714,0.010895967483520508,0.003582248625735942,1.128821995733586,1.0703465627736524,1.1833479991413447,1.2398364746195147,48
A,8192,long_heterogeneous,8,144,5234.0,0.00907200574874878,0.012664512431407867,0.007743954658508301,0.0027755124668645413,1.1366282817649622,1.0655301808911635,1.0265267966792282,1.2498072275445682,48
A,8192,text_balanced,2,48,188.0,0.029279977083206177,0.0310658387406874,0.02771204710006714,0.014326689649473454,1.2998670212765957,1.0328811907913584,1.1777807014632269,1.1438834209109827,48
A,8192,text_balanced,4,96,262.5,0.031423985958099365,0.03217114588266645,0.031535983085632324,0.016202130089648527,1.2951706840829518,1.0291862195479324,1.1682932601394467,1.1404662011150717,48
A,8192,text_balanced,8,96,1121.5,0.03996798396110535,0.04673461292726798,0.012223958969116211,0.005948960006395351,1.2672872340425532,1.060684230833028,1.19012039781108,1.2287093333812682,48
A,8192,text_balanced,16,96,2257.5,0.11561599373817444,0.12382147655837272,0.022240042686462402,0.009104029177908955,1.2672872340425532,1.0718786612813032,1.265573384023211,1.2340880386218755,48
A,8192,text_heterogeneous,2,48,1976.5,0.036735981702804565,0.041982072860424685,0.006783962249755859,0.0031096955840311607,1.238745574102175,1.0680006994898021,1.17111256585331,1.2845671694267589,48
A,8192,text_heterogeneous,4,96,1050.5,0.03313598036766052,0.033672753726477545,0.04014384746551514,0.018762424191199417,1.2581490104772992,1.0511474057331724,1.1631567623767105,1.2680314787045956,48
A,8192,text_heterogeneous,8,96,2296.0,0.04976004362106323,0.055143092643529616,0.0024799108505249023,0.0011402408316346575,1.2577199661590526,1.0761930077482287,1.1769267669696757,1.2936861472840941,48
A,8192,text_heterogeneous,16,96,4460.5,0.0663520097732544,0.08869239481599042,0.004096031188964844,0.0016097902217618342,1.252171084790374,1.1028748296483524,1.1033261682368298,1.3339442277344342,48
A,8192,vision_balanced,2,48,188.0,0.033215999603271484,0.036045926370221054,0.026127994060516357,0.013326512717176355,1.158909574468085,1.0269351376764846,1.1762043235384962,1.1445237474470247,48
A,8192,vision_balanced,4,96,262.5,0.03195199370384216,0.03406453870253237,0.027568042278289795,0.014056113052171068,1.1549202127659575,1.0303018230657899,1.1878970004865008,1.1448261087796514,48
A,8192,vision_balanced,8,96,1121.0,0.04590404033660889,0.05252765670882818,0.012032091617584229,0.005736233705056631,1.1634577795152463,1.0410078767743953,1.1944682179054826,1.1944174456752323,48
A,8192,vision_balanced,16,96,2256.5,0.1265760064125061,0.14627317975060666,0.022831976413726807,0.008158851597825468,1.1602393617021276,1.0571668456567824,1.2599858507065473,1.1990992453136329,48
A,8192,vision_heterogeneous,2,48,1976.0,0.08395197987556458,0.08501548561948602,0.011247873306274414,0.005227582265566459,1.192653009610521,1.0587128960369496,1.1796403930890058,1.2712310145966157,48
A,8192,vision_heterogeneous,4,96,1050.0,0.034415990114212036,0.03627313947816004,0.05287986993789673,0.025366827439870857,1.1877182770663564,1.0475342137877082,1.1392872096670321,1.2399149068985602,48
A,8192,vision_heterogeneous,8,96,2295.5,0.05563202500343323,0.06286648817794721,0.003023982048034668,0.0014224566717839283,1.179547649651787,1.04796271965178,1.1406704926853828,1.2487342416998974,48
A,8192,vision_heterogeneous,16,96,4459.5,0.06257599592208862,0.08384760745959893,0.0042400360107421875,0.001707080395944786,1.1955023710729105,1.0683423481825813,1.0957370733094058,1.2714151022947668,48
A,16384,long_balanced,2,96,4218.5,0.11212795972824097,0.16755551616499376,0.017279982566833496,0.007213881973907628,1.1332958046930552,1.0655019999259394,1.1869240481727865,1.2237489846509795,48
