ep,m,repeats,router_p50_ms,router_p90_ms,prepare_p50_ms,prepare_p90_ms,dispatch_p50_ms,dispatch_p90_ms,expert_p50_ms,expert_p90_ms,combine_p50_ms,combine_p90_ms,moe_p50_ms,moe_p90_ms,max_over_mean_rank_load_p50
2,2,30,0.3051519989967346,0.3257376044988632,0.715391993522644,0.7415167987346649,0.1462080031633377,0.16146879941225054,0.4154080003499985,0.43339199125766753,0.24078399688005447,0.2789472073316574,1.5585119724273682,1.6082815885543824,1.25
2,4,30,0.3091040104627609,0.32741441428661344,0.7221919894218445,0.7763359844684602,0.14536000043153763,0.1618240013718605,0.4159200042486191,0.45283839702606205,0.24478399753570557,0.2695807904005051,1.5695679783821106,1.6488991737365724,1.1875
2,8,30,0.3063200116157532,0.33009280562400817,0.7273920178413391,0.77082878947258,0.14348799735307693,0.17939520478248597,0.42056000232696533,0.468928012251854,0.2504960000514984,0.3044896125793458,1.5834879875183105,1.6869951844215392,1.09375
2,16,30,0.3035999983549118,0.3239295989274979,0.7117280066013336,0.7429088175296784,0.14270400255918503,0.1650239944458008,0.4251040071249008,0.4644095867872238,0.23535999655723572,0.2577952116727829,1.563759982585907,1.6133856296539308,1.0
2,32,30,0.3073599934577942,0.32839360237121584,0.7348639965057373,0.7760159969329834,0.14499200135469437,0.17782079577445986,0.4960479885339737,0.5160608232021332,0.1727520003914833,0.21650560200214394,1.592672049999237,1.650060760974884,1.0078125
2,64,30,0.30878399312496185,0.32939199209213255,0.7289600074291229,0.7614016234874725,0.14230399578809738,0.1679999977350235,0.5245920121669769,0.541996818780899,0.15561600029468536,0.21880320310592688,1.5980160236358643,1.913123214244846,1.05078125
2,128,30,0.31041601300239563,0.33427519500255587,0.7182239890098572,0.7489376246929169,0.1435519978404045,0.15584000051021574,0.5454400181770325,0.567167991399765,0.16920000314712524,0.18938879370689393,1.620303988456726,1.6538847804069519,1.0234375
2,256,30,0.31166400015354156,0.33158399164676666,0.7220640182495117,0.7609120130538941,0.1475519984960556,0.16856000125408174,0.5753920078277588,0.5903136193752289,0.19523200392723083,0.21937919855117802,1.6856639981269836,1.7510047793388366,1.0029296875
4,1,30,0.3255839943885803,0.33837441205978397,0.7422399818897247,0.7839424133300782,0.16340799629688263,0.18870400488376618,0.9884479939937592,1.0062304139137268,0.2971999943256378,0.32436479628086096,1.6837759613990784,1.767030441761017,2.0
4,2,30,0.31300799548625946,0.3356384128332138,0.72816002368927,0.7722720146179199,0.15531199425458908,0.18464959859848024,0.4259999990463257,0.4617887914180756,0.2961120009422302,0.4184416085481645,1.62254399061203,1.7302080035209657,1.25
4,4,30,0.31705600023269653,0.33118719756603243,0.7390879988670349,0.7718015909194946,0.15929600596427917,0.17503359615802763,0.431984007358551,0.46595201194286345,0.29896000027656555,0.34568958580493925,1.6254720091819763,1.6634944200515749,1.375
4,8,30,0.3133919984102249,0.3301536113023758,0.7312799990177155,0.773526394367218,0.15563200414180756,0.17841599583625795,0.43484801054000854,0.47049918770790106,0.30830399692058563,0.34667198956012724,1.619167983531952,1.660547161102295,1.125
4,16,30,0.30903999507427216,0.3289503872394562,0.7375359833240509,0.772380793094635,0.15795199573040009,0.18471360504627227,0.4289280027151108,0.4660704106092453,0.3075200021266937,0.35514880418777467,1.6136640310287476,1.7192192435264588,1.09375
4,32,30,0.3129599988460541,0.32987841069698337,0.7375999987125397,0.7700767934322358,0.15643199533224106,0.1835807979106903,0.42718400061130524,0.48729279935359954,0.30614399909973145,0.3619968056678772,1.616864025592804,1.6924736261367799,1.125
4,64,30,0.3137599974870682,0.332515212893486,0.7302879989147186,0.7747391998767852,0.15399999916553497,0.17560000270605086,0.41761600971221924,0.4486592024564743,0.30079999566078186,0.3317151993513108,1.61599999666214,1.653216052055359,1.203125
4,128,30,0.31169600784778595,0.3311967879533768,0.7387680113315582,0.7659615933895111,0.15937600284814835,0.17843840271234512,0.4304479956626892,0.45963839292526243,0.3171679973602295,0.3436223953962326,1.6292800307273865,1.6764127492904661,1.0390625
4,256,30,0.31993600726127625,0.3360768020153046,0.7414080202579498,0.7733343720436097,0.15531199425458908,0.17997439652681352,0.4392959922552109,0.4634271919727325,0.3328319936990738,1.2888703584671022,1.652079999446869,2.7647744178771982,1.111328125
