B_s,B_e,seed,cost,max_rank_load,mean_rank_load,cv_mean,critical_rank_mode,critical_set_3pct_mean,critical_set_5pct_mean,critical_set_10pct_mean,window_id,layer,group_count,method
8,4,-1,6371,6371,6116.0,0.04337618769917515,0,2.5,2.5,3.0,1,34,2,fifo
8,4,-1,6763,6763,6116.0,0.08533895605179002,3,1.0,1.0,2.0,1,35,2,fifo
8,4,-1,7003,7003,6116.0,0.1371538400423431,3,1.5,2.0,2.0,1,36,2,fifo
8,4,-1,6625,6625,6116.0,0.07620545625294801,0,1.0,1.5,3.0,1,37,2,fifo
8,4,-1,6394,6394,6116.0,0.043121550804081366,1,2.0,2.5,3.5,1,38,2,fifo
8,4,-1,7142,7142,6116.0,0.17043454201360078,1,1.5,2.0,2.0,1,39,2,fifo
8,4,-1,6636,6636,6116.0,0.059768031814502964,1,1.0,1.0,2.5,1,40,2,fifo
8,4,-1,7136,7136,6116.0,0.14495155723219072,2,1.0,1.5,2.0,1,41,2,fifo
8,4,-1,7147,7147,6116.0,0.13133951703516558,1,1.5,1.5,1.5,1,42,2,fifo
8,4,-1,6762,6762,6116.0,0.10351509143320034,1,1.5,1.5,2.5,1,43,2,fifo
8,4,-1,6712,6712,6116.0,0.06491600148823765,1,1.0,1.0,2.5,1,44,2,fifo
8,4,-1,6719,6719,6116.0,0.08166064199214539,0,1.0,1.0,2.5,1,45,2,fifo
8,4,-1,6579,6579,6116.0,0.07576948368252863,2,2.0,2.0,2.5,1,46,2,fifo
8,4,-1,7583,7583,6116.0,0.1629402192586082,0,1.0,1.0,1.0,1,47,2,fifo
8,4,-1,24420,24420,22676.0,0.088790557971265,1,2.0,2.0,3.0,2,0,2,fifo
8,4,-1,25726,25726,22676.0,0.13024033143541497,1,1.5,1.5,2.0,2,1,2,fifo
8,4,-1,26848,26848,22676.0,0.11271746295541393,0,1.0,1.0,1.0,2,2,2,fifo
8,4,-1,27219,27219,22676.0,0.14503783496148923,1,1.0,2.0,2.0,2,3,2,fifo
8,4,-1,25974,25974,22676.0,0.10765838993271012,1,1.0,1.0,1.5,2,4,2,fifo
8,4,-1,27250,27250,22676.0,0.1448840934237644,0,1.0,1.0,1.0,2,5,2,fifo
8,4,-1,27108,27108,22676.0,0.18239909572937363,2,1.0,1.0,2.0,2,6,2,fifo
8,4,-1,30340,30340,22676.0,0.2128569111671589,3,1.0,1.0,1.0,2,7,2,fifo
8,4,-1,28759,28759,22676.0,0.1790094147069456,1,1.0,1.0,1.0,2,8,2,fifo
8,4,-1,26606,26606,22676.0,0.13979802420806006,1,2.0,2.5,2.5,2,9,2,fifo
8,4,-1,26274,26274,22676.0,0.11454256212823369,1,1.0,1.5,1.5,2,10,2,fifo
8,4,-1,28342,28342,22676.0,0.18554621487410625,0,1.0,1.0,1.0,2,11,2,fifo
