request_id,pair_id,category,modality,layer,sample_tokens,total_assignments,active_experts,effective_experts,expert_entropy,expert_hhi,top4_share,top8_share,max_expert_load,median_active_load,p10_active_load,tiny_le_1,tiny_le_2,tiny_le_4,max_rank_load,mean_rank_load,rank_imbalance,rank_cv,active_ep_ranks
coins,0,natural,vision,13,64,512.0,63,35.717364043474035,5.158553707772823,0.03919219970703125,0.2734375,0.462890625,52.0,4.0,1.0,0.2698412698412698,0.36507936507936506,0.5396825396825397,148.0,128.0,1.15625,0.15634762575148048,4
coins,0,natural,vision,14,64,512.0,71,48.2017692055022,5.591014195225617,0.0281829833984375,0.224609375,0.349609375,44.0,5.0,1.0,0.18309859154929578,0.22535211267605634,0.4647887323943662,206.0,128.0,1.609375,0.36422508440437623,4
coins,0,natural,vision,15,64,512.0,65,40.056767540537955,5.323974099627749,0.03224945068359375,0.232421875,0.400390625,34.0,5.0,1.0,0.26153846153846155,0.4153846153846154,0.49230769230769234,183.0,128.0,1.4296875,0.2875275971809054,4
coins,0,natural,vision,16,64,512.0,81,48.44575098858034,5.5982982322198165,0.02984619140625,0.234375,0.39453125,43.0,4.0,1.0,0.24691358024691357,0.3950617283950617,0.5925925925925926,170.0,128.0,1.328125,0.2640116445111844,4
coins,0,natural,vision,17,64,512.0,73,43.86527507237002,5.455007410390341,0.03143310546875,0.240234375,0.39453125,40.0,4.0,1.0,0.2602739726027397,0.3698630136986301,0.5616438356164384,166.0,128.0,1.296875,0.2685955224636107,4
coins,0,natural,vision,18,64,512.0,66,40.630781143322345,5.3445011961229705,0.032806396484375,0.244140625,0.404296875,41.0,4.5,1.0,0.2727272727272727,0.3484848484848485,0.5,174.0,128.0,1.359375,0.22069448268477398,4
coins,0,natural,vision,19,64,512.0,67,40.31203712053043,5.333138784785055,0.03426361083984375,0.26953125,0.427734375,39.0,4.0,1.0,0.23880597014925373,0.373134328358209,0.5373134328358209,214.0,128.0,1.671875,0.4091319053992551,4
coins,0,natural,vision,20,64,512.0,78,45.8900843378806,5.520110553058997,0.03061676025390625,0.23828125,0.39453125,39.0,4.0,1.0,0.23076923076923078,0.46153846153846156,0.6025641025641025,161.0,128.0,1.2578125,0.1531927464931842,4
coins,0,natural,vision,21,64,512.0,85,57.319363026365586,5.840950672320471,0.0225372314453125,0.169921875,0.3125,24.0,4.0,1.0,0.21176470588235294,0.35294117647058826,0.5647058823529412,161.0,128.0,1.2578125,0.2783048926649512,4
coins,0,natural,vision,22,64,512.0,81,49.92059460904827,5.641563213270542,0.02606201171875,0.18359375,0.337890625,26.0,3.0,1.0,0.30864197530864196,0.43209876543209874,0.5925925925925926,178.0,128.0,1.390625,0.2526108783472616,4
coins,0,natural,vision,23,64,512.0,81,49.50230976422139,5.629423937405768,0.0275726318359375,0.220703125,0.3671875,29.0,3.0,1.0,0.25925925925925924,0.3950617283950617,0.6049382716049383,171.0,128.0,1.3359375,0.19725595582738434,4
coins,0,natural,vision,24,64,512.0,85,56.564013872643095,5.821812594608403,0.02295684814453125,0.18359375,0.30859375,28.0,4.0,1.0,0.25882352941176473,0.35294117647058826,0.5411764705882353,170.0,128.0,1.328125,0.19609219371892395,4
coins,0,natural,vision,25,64,512.0,80,50.05294848435788,5.645383151730248,0.02693939208984375,0.2109375,0.3515625,37.0,4.0,1.0,0.2625,0.4125,0.5875,164.0,128.0,1.28125,0.2822789338303073,4
coins,0,natural,vision,26,64,512.0,90,60.49401088697539,5.9187204126239585,0.02114105224609375,0.162109375,0.2890625,23.0,4.0,1.0,0.26666666666666666,0.37777777777777777,0.5666666666666667,145.0,128.0,1.1328125,0.13002591388354093,4
coins,0,natural,vision,27,64,512.0,86,51.93343049532477,5.698591621586503,0.02643585205078125,0.205078125,0.369140625,28.0,3.0,1.0,0.26744186046511625,0.47674418604651164,0.5930232558139535,166.0,128.0,1.296875,0.21854063641717758,4
coins,0,natural,vision,28,64,512.0,87,58.16794566953604,5.862152447966612,0.0234222412109375,0.205078125,0.330078125,34.0,4.0,1.0,0.21839080459770116,0.3563218390804598,0.5747126436781609,134.0,128.0,1.046875,0.06346905003621844,4
coins,0,natural,vision,29,64,512.0,84,57.728005517331376,5.85119947647831,0.02254486083984375,0.17578125,0.3125,26.0,4.0,1.0,0.15476190476190477,0.34523809523809523,0.5357142857142857,153.0,128.0,1.1953125,0.11614116208842583,4
coins,0,natural,vision,30,64,512.0,82,55.71855438520969,5.800085922669602,0.02358245849609375,0.19140625,0.330078125,29.0,4.0,1.0,0.17073170731707318,0.34146341463414637,0.524390243902439,149.0,128.0,1.1640625,0.10275739404660864,4
coins,0,natural,vision,31,64,512.0,78,53.501300061401466,5.7415020437721465,0.02411651611328125,0.177734375,0.337890625,23.0,5.0,1.0,0.19230769230769232,0.2948717948717949,0.47435897435897434,180.0,128.0,1.40625,0.2511569907137267,4
coins,0,natural,vision,32,64,512.0,86,55.033008419244084,5.782225291679136,0.02381134033203125,0.171875,0.31640625,24.0,3.0,1.0,0.23255813953488372,0.4418604651162791,0.5813953488372093,171.0,128.0,1.3359375,0.19663613982270656,4
coins,0,natural,vision,33,64,512.0,98,61.92292642396163,5.95240174850103,0.022308349609375,0.18359375,0.318359375,31.0,3.0,1.0,0.2653061224489796,0.45918367346938777,0.6530612244897959,168.0,128.0,1.3125,0.3087173407574881,4
coins,0,natural,vision,34,64,512.0,97,65.64875256042032,6.036695692570738,0.0199127197265625,0.15625,0.275390625,25.0,3.0,1.0,0.2268041237113402,0.36082474226804123,0.6494845360824743,166.0,128.0,1.296875,0.17806673937564815,4
coins,0,natural,vision,35,64,512.0,95,59.23877838382393,5.888469984707722,0.0234222412109375,0.197265625,0.326171875,29.0,3.0,1.0,0.24210526315789474,0.4631578947368421,0.6421052631578947,143.0,128.0,1.1171875,0.12524390267094843,4
coins,0,natural,vision,36,64,512.0,92,60.98792459168135,5.930451716968664,0.0223388671875,0.19921875,0.30859375,33.0,4.0,1.0,0.29347826086956524,0.3695652173913043,0.5217391304347826,149.0,128.0,1.1640625,0.2030498659119848,4
coins,0,natural,vision,37,64,512.0,96,65.56803943429064,6.034920852023001,0.0199127197265625,0.1640625,0.28125,24.0,3.0,1.0,0.21875,0.3645833333333333,0.6145833333333334,133.0,128.0,1.0390625,0.054407766707750466,4
coins,0,natural,vision,38,64,512.0,94,69.88234890820243,6.126856196291183,0.01734161376953125,0.12890625,0.2421875,18.0,4.0,1.0,0.20212765957446807,0.30851063829787234,0.5319148936170213,134.0,128.0,1.046875,0.06346905003621844,4
coins,0,natural,vision,39,64,512.0,92,67.44571435596016,6.075654869064082,0.01813507080078125,0.138671875,0.24609375,22.0,4.0,1.0,0.1956521739130435,0.33695652173913043,0.5434782608695652,136.0,128.0,1.0625,0.03983608994994363,4
coins,0,natural,vision,40,64,512.0,92,67.43714788582699,6.075471616665812,0.01868438720703125,0.158203125,0.26171875,26.0,4.0,1.0,0.1956521739130435,0.2717391304347826,0.532608695652174,135.0,128.0,1.0546875,0.05606523474377861,4
coins,0,natural,vision,41,64,512.0,92,64.24977913506608,6.0056195897963285,0.0194244384765625,0.140625,0.255859375,21.0,4.0,1.0,0.21739130434782608,0.3695652173913043,0.6195652173913043,155.0,128.0,1.2109375,0.12633563772497053,4
coins,0,natural,vision,42,64,512.0,90,65.73838881706595,6.038664192709394,0.0185089111328125,0.142578125,0.25,20.0,4.0,1.0,0.24444444444444444,0.2777777777777778,0.5333333333333333,177.0,128.0,1.3828125,0.245006277821355,4
coins,0,natural,vision,43,64,512.0,96,70.91374533224948,6.147993389498485,0.01837921142578125,0.169921875,0.267578125,28.0,4.0,1.0,0.16666666666666666,0.28125,0.5520833333333334,154.0,128.0,1.203125,0.19825902406952375,4
coins,0,natural,vision,44,64,512.0,86,64.61720290633264,6.013846396705418,0.0189971923828125,0.158203125,0.265625,24.0,5.0,1.0,0.16279069767441862,0.29069767441860467,0.46511627906976744,163.0,128.0,1.2734375,0.16209760875973772,4
coins,0,natural,vision,45,64,512.0,91,67.06941247732159,6.067583059102453,0.01874542236328125,0.158203125,0.271484375,22.0,4.0,1.0,0.15384615384615385,0.2857142857142857,0.5274725274725275,156.0,128.0,1.21875,0.16526715469770453,4
coins,0,natural,vision,46,64,512.0,86,64.39932249953712,6.0089736057163945,0.019287109375,0.162109375,0.279296875,23.0,5.0,1.0,0.1744186046511628,0.2558139534883721,0.43023255813953487,160.0,128.0,1.25,0.14750943428515004,4
coins,0,natural,vision,47,64,512.0,82,56.00553737184298,5.807497571056777,0.02236175537109375,0.162109375,0.294921875,24.0,4.0,1.0,0.21951219512195122,0.3780487804878049,0.5121951219512195,163.0,128.0,1.2734375,0.2375436843048558,4
text_00_coins,0,text_only,text,0,64,512.0,110,89.16828572825045,6.4784587763532775,0.01291656494140625,0.09375,0.171875,13.0,4.0,1.0,0.14545454545454545,0.3181818181818182,0.5727272727272728,142.0,128.0,1.109375,0.08468548198702656,4
text_00_coins,0,text_only,text,1,64,512.0,111,79.77413242597098,6.317849108620025,0.01700592041015625,0.15625,0.25390625,31.0,3.0,1.0,0.1891891891891892,0.36936936936936937,0.6036036036036037,175.0,128.0,1.3671875,0.29142824146241386,4
text_00_coins,0,text_only,text,2,64,512.0,89,58.74206360976884,5.876322043343545,0.02375030517578125,0.203125,0.353515625,28.0,4.0,1.0,0.1797752808988764,0.34831460674157305,0.5842696629213483,148.0,128.0,1.15625,0.14854026048305893,4
text_00_coins,0,text_only,text,3,64,512.0,99,74.02136424773127,6.209869820302569,0.01663970947265625,0.1328125,0.234375,21.0,4.0,1.0,0.1717171717171717,0.3333333333333333,0.5757575757575758,167.0,128.0,1.3046875,0.18952358547981568,4
text_00_coins,0,text_only,text,4,64,512.0,88,56.481344444550295,5.81970252486332,0.026153564453125,0.23046875,0.353515625,42.0,4.0,1.0,0.20454545454545456,0.3181818181818182,0.5909090909090909,143.0,128.0,1.1171875,0.10867521674409028,4
text_00_coins,0,text_only,text,5,64,512.0,83,54.73824916431981,5.774477384863353,0.026885986328125,0.2421875,0.357421875,38.0,4.0,1.0,0.14457831325301204,0.30120481927710846,0.5180722891566265,144.0,128.0,1.125,0.07948042948974923,4
text_00_coins,0,text_only,text,6,64,512.0,78,44.957060265046294,5.4904757959333015,0.03438568115234375,0.28125,0.419921875,51.0,3.0,1.0,0.23076923076923078,0.32051282051282054,0.6025641025641025,193.0,128.0,1.5078125,0.3044369963812299,4
text_00_coins,0,text_only,text,7,64,512.0,82,51.11813004947933,5.6757631569608895,0.026885986328125,0.21875,0.359375,32.0,4.0,1.0,0.25609756097560976,0.4268292682926829,0.524390243902439,166.0,128.0,1.296875,0.1825518975866863,4
text_00_coins,0,text_only,text,8,64,512.0,89,59.31828518510595,5.8904049868352875,0.02547454833984375,0.2109375,0.3125,52.0,4.0,1.0,0.2247191011235955,0.30337078651685395,0.550561797752809,207.0,128.0,1.6171875,0.3671875,4
text_00_coins,0,text_only,text,9,64,512.0,79,50.28525618695142,5.65206355368547,0.02667999267578125,0.205078125,0.353515625,29.0,4.0,1.0,0.22784810126582278,0.3291139240506329,0.5569620253164557,156.0,128.0,1.21875,0.30797505225667227,4
