experiment,start_utc,end_utc,physical_devices,resident_experiment_seconds,unadjusted_process_gpu_hours,clock_source,kind,status
online/libra_native_vl48_chartqa_2_frozen_control_20260908,2026-09-08T05:36:58.797155+00:00,2026-09-08T05:38:25.248254+00:00,7,86.451099,0.024014194166666666,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_3_frozen_control_20260908,2026-09-08T05:33:01.046338+00:00,2026-09-08T05:34:39.623888+00:00,4,98.57755,0.02738265277777778,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_3_frozen_control_20260908,2026-09-08T05:32:58.418790+00:00,2026-09-08T05:34:39.624154+00:00,5,101.205364,0.02811260111111111,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_3_frozen_control_20260908,2026-09-08T05:33:01.420214+00:00,2026-09-08T05:34:39.624057+00:00,6,98.203843,0.02727884527777778,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_chartqa_3_frozen_control_20260908,2026-09-08T05:32:59.154403+00:00,2026-09-08T05:34:39.623951+00:00,7,100.469548,0.027908207777777777,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa0_layoutfix,2026-09-08T03:06:28.455166+00:00,2026-09-08T03:08:02.630087+00:00,4,94.174921,0.026159700277777777,recorded_UTC,native_supplement_prefill,INVALIDATED_OR_PORT_FAILURE_REAL_GPU_TIME_NOT_SCIENTIFIC_RESULT
online/libra_native_vl48_gqa0_layoutfix,2026-09-08T03:06:31.778268+00:00,2026-09-08T03:08:02.630074+00:00,5,90.851806,0.025236612777777778,recorded_UTC,native_supplement_prefill,INVALIDATED_OR_PORT_FAILURE_REAL_GPU_TIME_NOT_SCIENTIFIC_RESULT
online/libra_native_vl48_gqa0_layoutfix,2026-09-08T03:06:29.415385+00:00,2026-09-08T03:08:02.630329+00:00,6,93.214944,0.02589304,recorded_UTC,native_supplement_prefill,INVALIDATED_OR_PORT_FAILURE_REAL_GPU_TIME_NOT_SCIENTIFIC_RESULT
online/libra_native_vl48_gqa0_layoutfix,2026-09-08T03:06:31.863965+00:00,2026-09-08T03:08:02.630067+00:00,7,90.766102,0.02521280611111111,recorded_UTC,native_supplement_prefill,INVALIDATED_OR_PORT_FAILURE_REAL_GPU_TIME_NOT_SCIENTIFIC_RESULT
online/libra_native_vl48_gqa0_lifetimefix,2026-09-08T03:23:34.198027+00:00,2026-09-08T03:24:56.597416+00:00,4,82.399389,0.022888719166666665,recorded_UTC,native_supplement_prefill,COMPLETE
