request_id,layer,iteration,q_len,batch,physical_rows,live_positions,live_ratio,phase,prepare_attn_critical_ms,attention_critical_ms,prepare_mlp_critical_ms,mlp_critical_ms,postprocess_critical_ms,block_critical_sum_ms
measured_0,0,11,32,8,256,147,0.57421875,middle,0.12428800016641617,0.6606720089912415,0.40463998913764954,0.29872000217437744,0.010367999784648418,1.498688000254333
measured_0,0,12,32,8,256,135,0.52734375,middle,0.12665599584579468,0.6280959844589233,0.273824006319046,0.30374398827552795,0.010495999827980995,1.342815974727273
measured_0,0,13,32,8,256,160,0.625,middle,0.139615997672081,0.6768320202827454,0.40774399042129517,0.2574400007724762,0.010367999784648418,1.4920000089332461
measured_0,0,14,32,8,256,148,0.578125,middle,0.2550399899482727,1.3222719430923462,3.071135997772217,0.5840319991111755,0.019551999866962433,5.252031929790974
measured_0,0,15,32,8,256,133,0.51953125,middle,0.12041600048542023,0.625216007232666,0.3405759930610657,0.290912002325058,0.010688000358641148,1.387808003462851
measured_0,0,16,32,8,256,122,0.4765625,middle,0.1674560010433197,0.619488000869751,0.40115201473236084,0.29974400997161865,0.010239999741315842,1.498080026358366
measured_0,0,17,32,8,256,110,0.4296875,middle,0.12211199849843979,0.6327360272407532,0.3383359909057617,0.2728320062160492,0.009472000412642956,1.3754880232736468
measured_0,0,18,32,8,256,105,0.41015625,middle,0.13708800077438354,0.6643199920654297,0.302047997713089,0.26425600051879883,0.009503999724984169,1.3772159907966852
measured_0,0,19,32,8,256,94,0.3671875,middle,0.1371839940547943,0.6351360082626343,0.3651520013809204,0.31590399146080017,0.009727999567985535,1.4631039947271347
measured_0,0,20,32,8,256,81,0.31640625,late,0.1257600039243698,0.6606400012969971,0.4151360094547272,0.274944007396698,0.010847999714314938,1.487328021787107
measured_0,0,21,32,8,256,70,0.2734375,late,0.13900800049304962,0.6537280082702637,0.35414400696754456,0.26607999205589294,0.009855999611318111,1.422816007398069
measured_0,0,22,32,8,256,53,0.20703125,late,0.13478399813175201,0.6005120277404785,0.33932799100875854,0.3142719864845276,0.010816000401973724,1.3997120037674904
measured_0,0,23,32,8,256,43,0.16796875,late,0.1420159935951233,0.6028800010681152,0.29363200068473816,0.30140799283981323,0.01033599954098463,1.3502719877287745
measured_0,0,24,32,8,256,27,0.10546875,late,0.11788800358772278,0.6328319907188416,0.35155200958251953,0.28016000986099243,0.010528000071644783,1.392960013821721
measured_0,0,25,32,8,256,18,0.0703125,late,0.13740800321102142,0.648576021194458,0.5134080052375793,0.5964480042457581,0.01033599954098463,1.9061760334298015
measured_0,0,26,32,8,256,11,0.04296875,late,0.13715200126171112,0.6490880250930786,0.3806400001049042,0.32095998525619507,0.010944000445306301,1.4987840121611953
measured_0,0,27,32,8,256,1,0.00390625,late,0.1231359988451004,0.6304960250854492,0.3630400002002716,0.27136000990867615,0.010432000271975994,1.3984640343114734
measured_0,0,28,32,8,256,0,0.0,late,0.1308159977197647,0.6218240261077881,0.33616000413894653,0.30483201146125793,0.01071999967098236,1.4043520390987396
measured_16,0,0,32,8,256,130,0.5078125,middle,0.12476799637079239,0.6790400147438049,0.5381439924240112,0.28889599442481995,0.009184000082314014,1.6400319980457425
measured_16,0,1,32,8,256,118,0.4609375,middle,0.1470080018043518,0.6471359729766846,0.2842240035533905,0.26105600595474243,0.03001599945127964,1.369439983740449
measured_16,0,2,32,8,256,102,0.3984375,middle,0.12454400211572647,0.6188160181045532,0.2821759879589081,0.24959999322891235,0.010015999898314476,1.2851520013064146
measured_16,0,3,32,8,256,93,0.36328125,middle,0.1263359934091568,0.6249279975891113,0.37331199645996094,0.27507200837135315,0.010400000028312206,1.4100479958578944
measured_16,0,4,32,8,256,77,0.30078125,late,0.13398399949073792,0.6196479797363281,0.3702720105648041,0.312032014131546,0.014751999638974667,1.4506880035623908
measured_16,0,5,32,8,256,69,0.26953125,late,0.14371199905872345,0.6060159802436829,0.30563199520111084,0.2815999984741211,0.010143999941647053,1.3471039729192853
measured_16,0,6,32,8,256,60,0.234375,late,0.1276160031557083,0.6476799845695496,0.3657599985599518,0.29977598786354065,0.010623999871313572,1.4514559740200639
measured_16,0,7,32,8,256,45,0.17578125,late,0.12572799623012543,0.6188799738883972,0.39321601390838623,0.2730560004711151,0.010015999898314476,1.4208959843963385
measured_16,0,8,32,8,256,35,0.13671875,late,0.12960000336170197,0.6181120276451111,0.26495999097824097,0.286624014377594,0.010591999627649784,1.3098880359902978
measured_16,0,9,32,8,256,23,0.08984375,late,0.12080000340938568,0.6357439756393433,0.43331199884414673,0.2894720137119293,0.01017600018531084,1.4895039917901158
