case_id,rank,layer,M,active_experts,expert_entropy,expert_hhi,rank_cv,fanout,max_expert_mean_ratio,condition,source_dir,phase,latency_ms,predicted_ms,residual_pct
balanced_rank_A1_M512,1,44,512,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.17574405670166016,0.26911527596250134,-34.69562213698028
balanced_rank_A2_M512,1,44,512,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.16553592681884766,0.26932808223102783,-38.53744271759525
balanced_rank_A4_M512,1,44,512,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.16908800601959229,0.2725745769961943,-37.96633278020162
balanced_rank_A8_M512,1,44,512,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.18630409240722656,0.2804780076405849,-33.576220832984646
balanced_rank_A16_M512,1,44,512,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.17699205875396729,0.2969900894863951,-40.40472560547339
balanced_rank_A1_M1024,1,44,1024,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.20377600193023682,0.3681682498406174,-44.65139185183599
balanced_rank_A2_M1024,1,44,1024,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.21692800521850586,0.36838105610914323,-41.113148566946165
balanced_rank_A4_M1024,1,44,1024,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.21139204502105713,0.37162755087430993,-43.11722999984113
balanced_rank_A8_M1024,1,44,1024,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.21324801445007324,0.37953098151870074,-43.81275183471002
balanced_rank_A16_M1024,1,44,1024,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.21667194366455078,0.39604306336451073,-45.29081210920492
balanced_rank_A1_M128,2,44,128,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.15504002571105957,0.19482554555391457,-20.42110018464958
balanced_rank_A4_M128,2,44,128,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.16691207885742188,0.19828484658760753,-15.822070254029388
balanced_rank_A8_M128,2,44,128,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.14726388454437256,0.20618827723199812,-28.577954808422618
balanced_rank_A16_M128,2,44,128,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.12934410572052002,0.22270035907780833,-41.9201180204074
balanced_rank_A1_M512,2,44,512,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.13520002365112305,0.26911527596250134,-49.761297210804976
balanced_rank_A2_M512,2,44,512,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.1467519998550415,0.26932808223102783,-45.511809002835946
balanced_rank_A4_M512,2,44,512,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.14204800128936768,0.2725745769961943,-47.88655535862725
balanced_rank_A8_M512,2,44,512,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.15440011024475098,0.2804780076405849,-44.95108135444077
balanced_rank_A16_M512,2,44,512,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.14617598056793213,0.2969900894863951,-50.780855744808164
balanced_rank_A1_M1024,2,44,1024,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer44,combine,0.18419194221496582,0.3681682498406174,-49.97071521112866
