call,request_id,phase,normalized_progress,ready_requests,masked_before,accepted,accepted_per_ready_request,confidence_median,confidence_p90,threshold,policy
13,measured_0,middle,0.5089285714285714,28,440,85,3.0357142857142856,0.3744647800922394,0.9673473834991455,0.9,"phase:0.9,0.825,0.825"
14,measured_0,middle,0.5520833333333333,27,387,57,2.111111111111111,0.3555435836315155,0.8807783722877502,0.9,"phase:0.9,0.825,0.825"
15,measured_0,middle,0.5649038461538461,26,362,108,4.153846153846154,0.5605989694595337,0.9830474257469177,0.9,"phase:0.9,0.825,0.825"
16,measured_0,middle,0.6947115384615384,26,254,73,2.8076923076923075,0.48258833587169647,0.9991838335990906,0.9,"phase:0.9,0.825,0.825"
17,measured_0,middle,0.72265625,24,213,53,2.2083333333333335,0.47543320059776306,0.9869189858436584,0.9,"phase:0.9,0.825,0.825"
18,measured_0,middle,0.631578947368421,19,224,56,2.9473684210526314,0.43382006883621216,0.9989239573478699,0.9,"phase:0.9,0.825,0.825"
19,measured_0,middle,0.671875,16,168,33,2.0625,0.39808739721775055,0.9015763401985168,0.9,"phase:0.9,0.825,0.825"
20,measured_0,middle,0.736328125,16,135,28,1.75,0.4091584086418152,0.9401745796203613,0.9,"phase:0.9,0.825,0.825"
21,measured_0,middle,0.7427884615384616,13,107,29,2.230769230769231,0.36035600304603577,0.9885982275009155,0.9,"phase:0.9,0.825,0.825"
22,measured_0,middle,0.7135416666666667,12,110,32,2.6666666666666665,0.441697359085083,0.979021430015564,0.9,"phase:0.9,0.825,0.825"
23,measured_0,middle,0.6953125,8,78,25,3.125,0.5085577070713043,0.999809205532074,0.9,"phase:0.9,0.825,0.825"
24,measured_0,late,0.7633928571428572,7,53,13,1.8571428571428572,0.5342943072319031,0.9204238653182983,0.9,"phase:0.9,0.825,0.825"
25,measured_0,late,0.7916666666666666,6,40,24,4.0,0.8693934977054596,0.9929260015487671,0.9,"phase:0.9,0.825,0.825"
26,measured_0,late,0.875,4,16,5,1.25,0.7180051505565643,0.9999839067459106,0.9,"phase:0.9,0.825,0.825"
27,measured_0,late,0.9140625,4,11,11,2.75,0.9994412064552307,0.9999951124191284,0.9,"phase:0.9,0.825,0.825"
28,measured_0,late,1.0,2,0,0,0.0,,,0.9,"phase:0.9,0.825,0.825"
29,measured_0,early,0.0,32,1024,158,4.9375,0.3094041347503662,0.9865559339523315,0.9,"phase:0.9,0.825,0.825"
30,measured_0,early,0.154296875,32,866,128,4.0,0.33311794698238373,0.9500167369842529,0.9,"phase:0.9,0.825,0.825"
31,measured_0,middle,0.279296875,32,738,86,2.6875,0.3614148497581482,0.8937737345695496,0.9,"phase:0.9,0.825,0.825"
32,measured_0,middle,0.33203125,32,684,140,4.375,0.373420849442482,0.9931864738464355,0.9,"phase:0.9,0.825,0.825"
33,measured_0,middle,0.4375,32,576,98,3.0625,0.36986398696899414,0.9525536894798279,0.9,"phase:0.9,0.825,0.825"
34,measured_0,middle,0.439453125,32,574,123,3.84375,0.4629647582769394,0.9995148181915283,0.9,"phase:0.9,0.825,0.825"
35,measured_0,middle,0.4345703125,32,579,89,2.78125,0.4027174115180969,0.9285688996315002,0.9,"phase:0.9,0.825,0.825"
36,measured_0,middle,0.458984375,32,554,144,4.5,0.5552115142345428,0.9983774423599243,0.9,"phase:0.9,0.825,0.825"
37,measured_0,middle,0.5544354838709677,31,442,118,3.806451612903226,0.523026168346405,0.999923586845398,0.9,"phase:0.9,0.825,0.825"
38,measured_0,middle,0.5766129032258065,31,420,110,3.5483870967741935,0.5231998264789581,0.998336911201477,0.9,"phase:0.9,0.825,0.825"
39,measured_0,middle,0.655241935483871,31,342,70,2.2580645161290325,0.4009130746126175,0.9940809607505798,0.9,"phase:0.9,0.825,0.825"
40,measured_0,middle,0.4032258064516129,31,592,163,5.258064516129032,0.4956759065389633,0.9994912147521973,0.9,"phase:0.9,0.825,0.825"
41,measured_0,middle,0.5352822580645161,31,461,106,3.4193548387096775,0.4843307137489319,0.9836893677711487,0.9,"phase:0.9,0.825,0.825"
42,measured_0,middle,0.5776209677419355,31,419,85,2.7419354838709675,0.535872220993042,0.9499762058258057,0.9,"phase:0.9,0.825,0.825"
43,measured_0,middle,0.5987903225806452,31,398,97,3.129032258064516,0.5529530644416809,0.9932882189750671,0.9,"phase:0.9,0.825,0.825"
44,measured_0,middle,0.6320564516129032,31,365,102,3.2903225806451615,0.523512065410614,0.9980025887489319,0.9,"phase:0.9,0.825,0.825"
45,measured_0,middle,0.659375,30,327,42,1.4,0.4212031960487366,0.8279407024383545,0.9,"phase:0.9,0.825,0.825"
46,measured_0,middle,0.5204741379310345,29,445,94,3.2413793103448274,0.4484184980392456,0.9947733283042908,0.9,"phase:0.9,0.825,0.825"
47,measured_0,middle,0.5183189655172413,29,447,57,1.9655172413793103,0.32607394456863403,0.8718887567520142,0.9,"phase:0.9,0.825,0.825"
48,measured_0,middle,0.4575892857142857,28,486,82,2.9285714285714284,0.3763663172721863,0.9824230670928955,0.9,"phase:0.9,0.825,0.825"
49,measured_0,middle,0.5491071428571428,28,404,44,1.5714285714285714,0.34568461775779724,0.8170956373214722,0.9,"phase:0.9,0.825,0.825"
50,measured_0,middle,0.4553571428571429,28,488,70,2.5,0.3910895884037018,0.9020909667015076,0.9,"phase:0.9,0.825,0.825"
51,measured_0,middle,0.44212962962962965,27,482,104,3.8518518518518516,0.446087047457695,0.9980169534683228,0.9,"phase:0.9,0.825,0.825"
52,measured_0,middle,0.525462962962963,27,410,110,4.074074074074074,0.44225431978702545,0.9947512745857239,0.9,"phase:0.9,0.825,0.825"
53,measured_0,middle,0.6009615384615384,26,332,50,1.9230769230769231,0.3417864590883255,0.8932324051856995,0.9,"phase:0.9,0.825,0.825"
54,measured_0,middle,0.5733695652173914,23,314,54,2.347826086956522,0.4191906899213791,0.8829644322395325,0.9,"phase:0.9,0.825,0.825"
55,measured_0,middle,0.49431818181818177,22,356,65,2.9545454545454546,0.42132410407066345,0.8982536792755127,0.9,"phase:0.9,0.825,0.825"
56,measured_0,middle,0.5411931818181819,22,323,53,2.409090909090909,0.46110668778419495,0.977931797504425,0.9,"phase:0.9,0.825,0.825"
57,measured_0,middle,0.478125,20,334,89,4.45,0.5476498901844025,0.9903271794319153,0.9,"phase:0.9,0.825,0.825"
58,measured_0,middle,0.5970394736842105,19,245,73,3.8421052631578947,0.5513852834701538,0.9988295435905457,0.9,"phase:0.9,0.825,0.825"
59,measured_0,middle,0.6644736842105263,19,204,48,2.526315789473684,0.43264104425907135,0.9999756813049316,0.9,"phase:0.9,0.825,0.825"
60,measured_0,middle,0.6736111111111112,18,188,40,2.2222222222222223,0.43093985319137573,0.9983909130096436,0.9,"phase:0.9,0.825,0.825"
61,measured_0,middle,0.5763888888888888,18,244,43,2.388888888888889,0.3494879901409149,0.9392583966255188,0.9,"phase:0.9,0.825,0.825"
62,measured_0,middle,0.5954861111111112,18,233,35,1.9444444444444444,0.35082706809043884,0.9146144986152649,0.9,"phase:0.9,0.825,0.825"
63,measured_0,middle,0.5451388888888888,18,262,61,3.388888888888889,0.3590950518846512,0.9965127110481262,0.9,"phase:0.9,0.825,0.825"
64,measured_0,middle,0.5128676470588236,17,265,26,1.5294117647058822,0.36836621165275574,0.7747241258621216,0.9,"phase:0.9,0.825,0.825"
65,measured_0,middle,0.408203125,16,303,47,2.9375,0.43422046303749084,0.9277576208114624,0.9,"phase:0.9,0.825,0.825"
66,measured_0,middle,0.4666666666666667,15,256,54,3.6,0.44495613873004913,0.9407464861869812,0.9,"phase:0.9,0.825,0.825"
67,measured_0,middle,0.4776785714285714,14,234,41,2.9285714285714284,0.45449572801589966,0.9195260405540466,0.9,"phase:0.9,0.825,0.825"
68,measured_0,middle,0.4977678571428571,14,225,40,2.857142857142857,0.3638567328453064,0.9271589517593384,0.9,"phase:0.9,0.825,0.825"
69,measured_0,middle,0.5870535714285714,14,185,51,3.642857142857143,0.42840155959129333,0.9989795088768005,0.9,"phase:0.9,0.825,0.825"
70,measured_0,middle,0.7008928571428572,14,134,25,1.7857142857142858,0.30427616834640503,0.9997925162315369,0.9,"phase:0.9,0.825,0.825"
71,measured_0,middle,0.5072115384615384,13,205,51,3.923076923076923,0.3629569709300995,0.990456759929657,0.9,"phase:0.9,0.825,0.825"
72,measured_0,middle,0.5528846153846154,13,186,33,2.5384615384615383,0.34387604892253876,0.9936037659645081,0.9,"phase:0.9,0.825,0.825"
73,measured_0,middle,0.47443181818181823,11,185,18,1.6363636363636365,0.27200549840927124,0.7528860569000244,0.9,"phase:0.9,0.825,0.825"
74,measured_0,middle,0.43465909090909094,11,199,32,2.909090909090909,0.4416210651397705,0.9529187679290771,0.9,"phase:0.9,0.825,0.825"
75,measured_0,middle,0.478125,10,167,36,3.6,0.3940484821796417,0.9971843361854553,0.9,"phase:0.9,0.825,0.825"
76,measured_0,middle,0.590625,10,131,15,1.5,0.4290555715560913,0.8660045266151428,0.9,"phase:0.9,0.825,0.825"
77,measured_0,middle,0.5972222222222222,9,116,41,4.555555555555555,0.6186969876289368,0.9995087385177612,0.9,"phase:0.9,0.825,0.825"
78,measured_0,middle,0.6284722222222222,9,107,20,2.2222222222222223,0.4198985993862152,0.9581772685050964,0.9,"phase:0.9,0.825,0.825"
79,measured_0,middle,0.46875,7,119,31,4.428571428571429,0.3246537148952484,0.9995744824409485,0.9,"phase:0.9,0.825,0.825"
80,measured_0,middle,0.6071428571428572,7,88,14,2.0,0.4343496710062027,0.9233736991882324,0.9,"phase:0.9,0.825,0.825"
81,measured_0,middle,0.5267857142857143,7,106,15,2.142857142857143,0.35136668384075165,0.8993576169013977,0.9,"phase:0.9,0.825,0.825"
82,measured_0,middle,0.5260416666666667,6,91,5,0.8333333333333334,0.5635985732078552,0.8232202529907227,0.9,"phase:0.9,0.825,0.825"
83,measured_0,middle,0.4625,5,86,35,7.0,0.7136741280555725,0.9999518394470215,0.9,"phase:0.9,0.825,0.825"
84,measured_0,middle,0.68125,5,51,22,4.4,0.5621762275695801,0.9973921775817871,0.9,"phase:0.9,0.825,0.825"
85,measured_0,late,0.81875,5,29,3,0.6,0.202936589717865,0.5621757507324219,0.9,"phase:0.9,0.825,0.825"
86,measured_0,middle,0.7291666666666667,3,26,2,0.6666666666666666,0.16939768940210342,0.516014039516449,0.9,"phase:0.9,0.825,0.825"
87,measured_0,middle,0.625,2,24,2,1.0,0.18004043400287628,0.4614771008491516,0.9,"phase:0.9,0.825,0.825"
88,measured_0,middle,0.65625,2,22,1,0.5,0.16503459215164185,0.409185528755188,0.9,"phase:0.9,0.825,0.825"
89,measured_0,middle,0.34375,1,21,1,1.0,0.21505969762802124,0.36215218901634216,0.9,"phase:0.9,0.825,0.825"
90,measured_0,middle,0.375,1,20,6,6.0,0.7966755926609039,0.9011218547821045,0.9,"phase:0.9,0.825,0.825"
91,measured_0,middle,0.5625,1,14,13,13.0,0.9999895095825195,0.9999997615814209,0.9,"phase:0.9,0.825,0.825"
92,measured_0,late,0.96875,1,1,1,1.0,0.7200221419334412,0.7200221419334412,0.9,"phase:0.9,0.825,0.825"
93,measured_0,late,1.0,1,0,0,0.0,,,0.9,"phase:0.9,0.825,0.825"
