M,active_experts,cuda_ms,dp_rank,ep_rank,ep_size,expert_cv,expert_entropy,expert_hhi,expert_max_load,expert_max_mean,expert_p90_load,fanout_f1,fanout_f2,fanout_f3,fanout_f4,fanout_max,fanout_mean,fanout_median,fanout_p10,fanout_p90,layer,padded_work_proxy,phase,rank_cv,rank_max_mean,request_context,route_file,timestamp_ns,top_k,total_assignments,traffic_concentration,traffic_entropy,wall_ms
8.0,8.0,0.7292159795761108,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,8,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000057_dp1_l8.npz,3282486944128746,8,64.0,1.0,-1.000088900581841e-12,0.735436
8.0,8.0,0.7103040218353271,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,8,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000057_dp1_l8.npz,3282486944147499,8,64.0,1.0,-1.000088900581841e-12,0.71545
8.0,8.0,0.7813439965248108,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,8,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000057_dp0_l8.npz,3282486944114031,8,64.0,1.0,-1.000088900581841e-12,0.7871
8.0,8.0,0.7124159932136536,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,8,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000057_dp0_l8.npz,3282486944145549,8,64.0,1.0,-1.000088900581841e-12,0.717692
8.0,8.0,0.7868480086326599,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,9,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000058_dp1_l9.npz,3282486947033763,8,64.0,1.0,-1.000088900581841e-12,0.792043
8.0,8.0,0.8751680254936218,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,9,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000058_dp1_l9.npz,3282486946945401,8,64.0,1.0,-1.000088900581841e-12,0.88142
8.0,8.0,0.7738239765167236,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,9,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000058_dp0_l9.npz,3282486947086676,8,64.0,1.0,-1.000088900581841e-12,0.779597
8.0,8.0,0.7689279913902283,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,9,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000058_dp0_l9.npz,3282486947052075,8,64.0,1.0,-1.000088900581841e-12,0.774203
8.0,8.0,0.8478400111198425,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,10,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000059_dp1_l10.npz,3282486949869275,8,64.0,1.0,-1.000088900581841e-12,0.853436
8.0,8.0,0.7631679773330688,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,10,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000059_dp1_l10.npz,3282486949953358,8,64.0,1.0,-1.000088900581841e-12,0.768628
