label,task,n,mini,generation,threshold,policy,policy_class,observer_heavy,correct,accuracy_pct,nfe,generated_tokens,bct_s,waves,evidence,baseline_quality_pct,quality_delta_pp,baseline_median_bct_s,latency_gain_pct,nfe_reduction_pct,statistical_status
full1static_gsm8k1319_t800,gsm8k,1319,32,128,0.8,static,static,False,142,10.765731614859742,2758,148226,265.4381,42,actual_full_trajectory,10.917361637604246,-0.151630022744504,227.7815,-16.53189569828982,14.507129572225667,descriptive_only_use_paired_stats_json
full1static_gsm8k1319_t825,gsm8k,1319,32,128,0.825,static,static,False,140,10.614101592115238,2863,148220,215.6695,42,actual_full_trajectory,10.917361637604246,-0.303260045489008,227.7815,5.3173765209202655,11.25232486050837,descriptive_only_use_paired_stats_json
full2static_gsm8k1319_t800,gsm8k,1319,32,128,0.8,static,static,False,142,10.765731614859742,2758,148226,229.017,42,actual_full_trajectory,10.917361637604246,-0.151630022744504,227.7815,-0.5424057704422887,14.507129572225667,descriptive_only_use_paired_stats_json
full2static_gsm8k1319_t825,gsm8k,1319,32,128,0.825,static,static,False,140,10.614101592115238,2863,148220,201.9536,42,actual_full_trajectory,10.917361637604246,-0.303260045489008,227.7815,11.338892754679375,11.25232486050837,descriptive_only_use_paired_stats_json
gsm32_t090_r2,gsm8k,32,32,128,0.9,static,static,False,13,40.625,102,5224,11.2508,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,-46.15319663027169,0.0,descriptive_only_use_paired_stats_json
hemini16_humaneval164_t900,humaneval,164,16,128,0.9,static,static,False,13,7.926829268292683,672,23413,47.1545,6,actual_full_trajectory,7.926829268292683,0.0,47.1545,0.0,0.0,descriptive_only_use_paired_stats_json
hemini16phase_humaneval164_p00,humaneval,164,16,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,14,8.536585365853659,613,23427,45.294200000000004,6,actual_full_trajectory,7.926829268292683,0.6097560975609762,47.1545,3.94511658484343,8.779761904761905,descriptive_only_use_paired_stats_json
pair2_gsm8k32_t825,gsm8k,32,32,128,0.825,static,static,False,13,40.625,88,5211,6.4132,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,16.689508245701788,13.72549019607843,descriptive_only_use_paired_stats_json
pair2_gsm8k32_t900,gsm8k,32,32,128,0.9,static,static,False,13,40.625,102,5224,7.5477,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,1.951818341246704,0.0,descriptive_only_use_paired_stats_json
pair3_gsm8k32_t825,gsm8k,32,32,128,0.825,static,static,False,13,40.625,88,5211,9.5173,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,-23.634214303808154,13.72549019607843,descriptive_only_use_paired_stats_json
pair3_gsm8k32_t900,gsm8k,32,32,128,0.9,static,static,False,13,40.625,102,5224,7.6532,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,0.5813235991400374,0.0,descriptive_only_use_paired_stats_json
phase32a_gsm8k32_p00,gsm8k,32,32,128,0.9,"phase:0.9,0.8,0.9",dynamic,False,12,37.5,96,5223,7.1328,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,7.341564962100311,5.882352941176471,descriptive_only_use_paired_stats_json
phase32a_gsm8k32_p01,gsm8k,32,32,128,0.9,"phase:0.9,0.825,0.9",dynamic,False,12,37.5,99,5240,7.3507,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,4.510941224611757,2.9411764705882355,descriptive_only_use_paired_stats_json
phase32a_gsm8k32_p02,gsm8k,32,32,128,0.9,"phase:0.825,0.9,0.9",dynamic,False,12,37.5,103,5244,7.6125,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,1.1100357887489616,-0.9803921568627451,descriptive_only_use_paired_stats_json
phase32a_gsm8k32_p03,gsm8k,32,32,128,0.9,"phase:0.9,0.9,0.825",dynamic,False,12,37.5,102,5218,7.558,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,1.8180164849083285,0.0,descriptive_only_use_paired_stats_json
phase32a_gsm8k32_p04,gsm8k,32,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,13,40.625,95,5213,7.115,1,actual_full_trajectory,40.625,0.0,7.6979500000000005,7.572795354607399,6.862745098039215,descriptive_only_use_paired_stats_json
phase32a_gsm8k32_p05,gsm8k,32,32,128,0.9,"phase:0.825,0.8,0.9",dynamic,False,12,37.5,92,5267,7.0497,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,8.42107314284973,9.803921568627452,descriptive_only_use_paired_stats_json
phase32a_gsm8k32_p06,gsm8k,32,32,128,0.9,"phase:0.8,0.9,0.9",dynamic,False,12,37.5,102,5216,7.9647,1,actual_full_trajectory,40.625,-3.125,7.6979500000000005,-3.4652082697341386,0.0,descriptive_only_use_paired_stats_json
promoted1_gsm8k512_t825,gsm8k,512,32,128,0.825,static,static,False,69,13.4765625,1125,58812,113.8877,16,actual_full_trajectory,13.28125,0.1953125,100.336,-13.50631876893637,13.461538461538462,descriptive_only_use_paired_stats_json
promoted1_gsm8k512_t900,gsm8k,512,32,128,0.9,static,static,False,68,13.28125,1300,58819,113.864,16,actual_full_trajectory,13.28125,0.0,100.336,-13.482698134268864,0.0,descriptive_only_use_paired_stats_json
promoted1phase_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,85.558,16,actual_full_trajectory,13.28125,-0.1953125,100.336,14.728512199011314,8.461538461538462,descriptive_only_use_paired_stats_json
promoted2_gsm8k512_t900,gsm8k,512,32,128,0.9,static,static,False,68,13.28125,1300,58819,92.4178,16,actual_full_trajectory,13.28125,0.0,100.336,7.891683941955031,0.0,descriptive_only_use_paired_stats_json
promoted2phase_retry_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,95.1646,16,actual_full_trajectory,13.28125,-0.1953125,100.336,5.154082283527353,8.461538461538462,descriptive_only_use_paired_stats_json
promoted3_gsm8k512_t900,gsm8k,512,32,128,0.9,static,static,False,68,13.28125,1300,58819,100.336,16,actual_full_trajectory,13.28125,0.0,100.336,0.0,0.0,descriptive_only_use_paired_stats_json
promoted3phase_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,87.3608,16,actual_full_trajectory,13.28125,-0.1953125,100.336,12.931749322277149,8.461538461538462,descriptive_only_use_paired_stats_json
