backend,e2e_ms,iteration,output_tokens,prompt_tokens,request_id,restart,ttft_ms,workload_id
agrs,160.62378883361816,1,1,8192,dp1-r0,3,160.62378883361816,text8192_c2
agrs,160.42590141296387,2,1,8192,dp0-r0,3,160.42590141296387,text8192_c2
agrs,160.14552116394043,2,1,8192,dp1-r0,3,160.14552116394043,text8192_c2
agrs,160.7663631439209,3,1,8192,dp0-r0,3,160.7663631439209,text8192_c2
agrs,160.61663627624512,3,1,8192,dp1-r0,3,160.61663627624512,text8192_c2
agrs,137.37988471984863,1,1,216,dp0-r0,3,137.37988471984863,image448_c2
agrs,136.0313892364502,1,1,216,dp1-r0,3,136.0313892364502,image448_c2
agrs,102.32663154602051,2,1,216,dp0-r0,3,102.32663154602051,image448_c2
agrs,100.88229179382324,2,1,216,dp1-r0,3,100.88229179382324,image448_c2
agrs,112.80035972595215,3,1,216,dp0-r0,3,112.80035972595215,image448_c2
agrs,111.1609935760498,3,1,216,dp1-r0,3,111.1609935760498,image448_c2
agrs,145.51758766174316,1,1,1077,dp0-r0,3,145.51758766174316,image1024_c2
agrs,144.1183090209961,1,1,1077,dp1-r0,3,144.1183090209961,image1024_c2
agrs,170.38702964782715,2,1,1077,dp0-r0,3,170.38702964782715,image1024_c2
agrs,172.13153839111328,2,1,1077,dp1-r0,3,172.13153839111328,image1024_c2
agrs,133.41307640075684,3,1,1077,dp0-r0,3,133.41307640075684,image1024_c2
agrs,131.92224502563477,3,1,1077,dp1-r0,3,131.92224502563477,image1024_c2
deepep_ht,129.90903854370117,1,1,512,dp0-r0,3,129.90903854370117,text512_c2
deepep_ht,129.1825771331787,1,1,512,dp1-r0,3,129.1825771331787,text512_c2
deepep_ht,128.0841827392578,2,1,512,dp0-r0,3,128.0841827392578,text512_c2
deepep_ht,127.5026798248291,2,1,512,dp1-r0,3,127.5026798248291,text512_c2
deepep_ht,125.99992752075195,3,1,512,dp0-r0,3,125.99992752075195,text512_c2
deepep_ht,125.62823295593262,3,1,512,dp1-r0,3,125.62823295593262,text512_c2
deepep_ht,102.93960571289062,1,1,2048,dp0-r0,3,102.93960571289062,text2048_c2
deepep_ht,102.93722152709961,1,1,2048,dp1-r0,3,102.93722152709961,text2048_c2
deepep_ht,103.86466979980469,2,1,2048,dp0-r0,3,103.86466979980469,text2048_c2
deepep_ht,103.8522720336914,2,1,2048,dp1-r0,3,103.8522720336914,text2048_c2
deepep_ht,104.08496856689453,3,1,2048,dp0-r0,3,104.08496856689453,text2048_c2
deepep_ht,103.98721694946289,3,1,2048,dp1-r0,3,103.98721694946289,text2048_c2
deepep_ht,184.77916717529297,1,1,8192,dp0-r0,3,184.77916717529297,text8192_c2
deepep_ht,184.67259407043457,1,1,8192,dp1-r0,3,184.67259407043457,text8192_c2
deepep_ht,183.8703155517578,2,1,8192,dp0-r0,3,183.8703155517578,text8192_c2
deepep_ht,183.72178077697754,2,1,8192,dp1-r0,3,183.72178077697754,text8192_c2
deepep_ht,184.0980052947998,3,1,8192,dp0-r0,3,184.0980052947998,text8192_c2
deepep_ht,184.35382843017578,3,1,8192,dp1-r0,3,184.35382843017578,text8192_c2
deepep_ht,128.45754623413086,1,1,216,dp0-r0,3,128.45754623413086,image448_c2
deepep_ht,128.66687774658203,1,1,216,dp1-r0,3,128.66687774658203,image448_c2
deepep_ht,106.25767707824707,2,1,216,dp0-r0,3,106.25767707824707,image448_c2
deepep_ht,106.31752014160156,2,1,216,dp1-r0,3,106.31752014160156,image448_c2
deepep_ht,111.78112030029297,3,1,216,dp0-r0,3,111.78112030029297,image448_c2
deepep_ht,111.89651489257812,3,1,216,dp1-r0,3,111.89651489257812,image448_c2
deepep_ht,152.48966217041016,1,1,1077,dp0-r0,3,152.48966217041016,image1024_c2
deepep_ht,152.62794494628906,1,1,1077,dp1-r0,3,152.62794494628906,image1024_c2
deepep_ht,148.3314037322998,2,1,1077,dp0-r0,3,148.3314037322998,image1024_c2
deepep_ht,148.41055870056152,2,1,1077,dp1-r0,3,148.41055870056152,image1024_c2
deepep_ht,136.70682907104492,3,1,1077,dp0-r0,3,136.70682907104492,image1024_c2
deepep_ht,136.9314193725586,3,1,1077,dp1-r0,3,136.9314193725586,image1024_c2
agrs,136.19565963745117,1,1,512,dp0-r0,4,136.19565963745117,text512_c2
agrs,133.80718231201172,1,1,512,dp1-r0,4,133.80718231201172,text512_c2
agrs,133.75544548034668,2,1,512,dp0-r0,4,133.75544548034668,text512_c2
agrs,131.86097145080566,2,1,512,dp1-r0,4,131.86097145080566,text512_c2
agrs,132.63201713562012,3,1,512,dp0-r0,4,132.63201713562012,text512_c2
agrs,130.57637214660645,3,1,512,dp1-r0,4,130.57637214660645,text512_c2
agrs,92.54002571105957,1,1,2048,dp0-r0,4,92.54002571105957,text2048_c2
agrs,92.33570098876953,1,1,2048,dp1-r0,4,92.33570098876953,text2048_c2
agrs,125.37527084350586,2,1,2048,dp0-r0,4,125.37527084350586,text2048_c2
agrs,125.2279281616211,2,1,2048,dp1-r0,4,125.2279281616211,text2048_c2
agrs,98.13690185546875,3,1,2048,dp0-r0,4,98.13690185546875,text2048_c2
agrs,97.97430038452148,3,1,2048,dp1-r0,4,97.97430038452148,text2048_c2
agrs,185.2555274963379,1,1,8192,dp0-r0,4,185.2555274963379,text8192_c2
agrs,185.22310256958008,1,1,8192,dp1-r0,4,185.22310256958008,text8192_c2
agrs,160.00795364379883,2,1,8192,dp0-r0,4,160.00795364379883,text8192_c2
agrs,159.95264053344727,2,1,8192,dp1-r0,4,159.95264053344727,text8192_c2
agrs,211.40718460083008,3,1,8192,dp0-r0,4,211.40718460083008,text8192_c2
agrs,211.43174171447754,3,1,8192,dp1-r0,4,211.43174171447754,text8192_c2
agrs,150.28834342956543,1,1,216,dp0-r0,4,150.28834342956543,image448_c2
agrs,149.9497890472412,1,1,216,dp1-r0,4,149.9497890472412,image448_c2
agrs,149.13606643676758,2,1,216,dp0-r0,4,149.13606643676758,image448_c2
agrs,148.66304397583008,2,1,216,dp1-r0,4,148.66304397583008,image448_c2
agrs,141.55960083007812,3,1,216,dp0-r0,4,141.55960083007812,image448_c2
agrs,141.12043380737305,3,1,216,dp1-r0,4,141.12043380737305,image448_c2
agrs,156.76426887512207,1,1,1077,dp0-r0,4,156.76426887512207,image1024_c2
agrs,156.66985511779785,1,1,1077,dp1-r0,4,156.66985511779785,image1024_c2
agrs,117.3546314239502,2,1,1077,dp0-r0,4,117.3546314239502,image1024_c2
agrs,116.45150184631348,2,1,1077,dp1-r0,4,116.45150184631348,image1024_c2
