source,sample,layer,tokens,renormalized,policy,reps,moe_median_ms,moe_p90_ms,moe_gain_pct,expert_gain_pct,worst_rel_l2_median,worst_cosine_median,assignment_drop_fraction,router_mass_drop_fraction
replay_budget_cell_e448_l24_M8192_preserve_20260911_0140.jsonl,cell_e448,24,8192,False,budget_semantic_0.2,30,4.264512062072754,4.29314546585083,10.177232973310623,12.140921268666215,0.14543281495571136,0.9893777370452881,0.1773223876953125,0.07582496106624603
replay_budget_cell_e448_l24_M8192_preserve_20260911_0140.jsonl,cell_e448,24,8192,False,budget_tail_0.1,30,4.032991886138916,4.087065410614014,15.053707121393,19.29965719108785,0.11847785860300064,0.9929589629173279,0.088653564453125,0.05160529166460037
replay_budget_cell_e448_l24_M8192_preserve_20260911_0140.jsonl,cell_e448,24,8192,False,budget_random_0.1,30,4.583039999008179,4.596281480789185,3.468127627988582,5.119318199850309,0.16567490994930267,0.9861842393875122,0.088653564453125,0.0744757130742073
replay_budget_cell_e448_l24_M8192_preserve_20260911_0140.jsonl,cell_e448,24,8192,False,budget_semantic_0.1,30,4.405007839202881,4.423052597045898,7.217991851769678,7.896897086654475,0.04161300137639046,0.9991341829299927,0.088653564453125,0.011468050070106983
replay_budget_cell_e448_l24_M8192_preserve_20260911_0140.jsonl,cell_e448,24,8192,False,budget_tail_0.2,30,3.853376030921936,3.872540760040283,18.836928480043046,25.649591035864706,0.1698470413684845,0.9854774475097656,0.1773223876953125,0.10562948137521744
replay_budget_cell_e448_l24_M8192_preserve_20260911_0140.jsonl,cell_e448,24,8192,False,full_k8,30,4.747696161270142,4.757663822174072,0.0,0.0,0.0,1.0,0.0,0.0
replay_budget_cell_e448_l24_M8192_preserve_20260911_0140.jsonl,cell_e448,24,8192,False,budget_random_0.2,30,4.379280090332031,4.391830587387085,7.7598915015561705,11.010566025993473,0.2350996732711792,0.9719863533973694,0.1773223876953125,0.14916805922985077
replay_budget_chessboard_RGB_e448_l24_M8192_preserve_20260911_0140.jsonl,chessboard_RGB_e448,24,8192,False,budget_semantic_0.2,30,3.716207981109619,3.7282336235046385,11.947214333025924,13.974072469355669,0.19883672893047333,0.9800521731376648,0.1773223876953125,0.10306773334741592
replay_budget_chessboard_RGB_e448_l24_M8192_preserve_20260911_0140.jsonl,chessboard_RGB_e448,24,8192,False,budget_tail_0.1,30,3.7491999864578247,3.760355234146118,11.165493290927042,13.286446312743417,0.13164298236370087,0.9913005828857422,0.088653564453125,0.04864511638879776
replay_budget_chessboard_RGB_e448_l24_M8192_preserve_20260911_0140.jsonl,chessboard_RGB_e448,24,8192,False,budget_random_0.1,30,4.0556159019470215,4.070339202880859,3.905195947863982,5.5666284116287486,0.19511637091636658,0.9807887077331543,0.088653564453125,0.07879818230867386
replay_budget_chessboard_RGB_e448_l24_M8192_preserve_20260911_0140.jsonl,chessboard_RGB_e448,24,8192,False,budget_semantic_0.1,30,3.8998559713363647,3.916483211517334,7.5958117194462105,8.68743020085555,0.10087806731462479,0.9949016571044922,0.088653564453125,0.03274586796760559
replay_budget_chessboard_RGB_e448_l24_M8192_preserve_20260911_0140.jsonl,chessboard_RGB_e448,24,8192,False,budget_tail_0.2,30,3.6574079990386963,3.668883204460144,13.340436199194716,17.73794380861008,0.20009489357471466,0.9797918796539307,0.1773223876953125,0.11023952066898346
replay_budget_chessboard_RGB_e448_l24_M8192_preserve_20260911_0140.jsonl,chessboard_RGB_e448,24,8192,False,full_k8,30,4.2204320430755615,4.234844732284546,0.0,0.0,0.0,1.0,0.0,0.0
replay_budget_chessboard_RGB_e448_l24_M8192_preserve_20260911_0140.jsonl,chessboard_RGB_e448,24,8192,False,budget_random_0.2,30,3.855647921562195,3.87060170173645,8.643288596765009,11.71249719502434,0.27611321210861206,0.9611557722091675,0.1773223876953125,0.15765142440795898
replay_camera_l24_20260911_0054.jsonl,camera_e448,24,221,False,semantic_k4,30,0.6688799858093262,0.7030848145484925,2.754196530052755,3.470508123584115,0.33985668420791626,0.9406033754348755,0.4434389140271493,0.3505920171737671
replay_camera_l24_20260911_0054.jsonl,camera_e448,24,221,False,tail_k6_s0.01,30,0.6755679845809937,0.7228415727615356,1.7818549621257729,0.6735741126439376,0.22669386863708496,0.9739983677864075,0.22171945701357465,0.16952872276306152
replay_camera_l24_20260911_0054.jsonl,camera_e448,24,221,False,random_k6,30,0.6877439916133881,0.7277855932712555,0.011633678724332075,0.41055920308875615,0.5057399272918701,0.8631846904754639,0.22171945701357465,0.22350187599658966
replay_camera_l24_20260911_0054.jsonl,camera_e448,24,221,False,semantic_k6,30,0.6710880100727081,0.7118335783481597,2.4331806555623503,1.2092257362868564,0.22243629395961761,0.9749742150306702,0.22171945701357465,0.1674661785364151
replay_camera_l24_20260911_0054.jsonl,camera_e448,24,221,False,tail_k4_s0.01,30,0.6798720061779022,0.723391991853714,1.1561103633589975,1.1771520587749218,0.3479318916797638,0.9376590847969055,0.4434389140271493,0.3519963026046753
replay_camera_l24_20260911_0054.jsonl,camera_e448,24,221,False,full_k8,30,0.687824010848999,0.7119359791278839,0.0,0.0,0.0,1.0,0.0,0.0
replay_camera_l24_20260911_0054.jsonl,camera_e448,24,221,False,random_k4,30,0.6796160042285919,0.7168351829051971,1.193329469594373,2.8097640793870227,0.6410528421401978,0.7684202790260315,0.4434389140271493,0.4415420591831207
replay_camera_l24_M8192_20260911_0058.jsonl,camera_e448,24,8192,False,semantic_k4,30,3.3828160762786865,3.4018944025039675,20.841507319612585,25.91447520396629,0.339193195104599,0.9408422708511353,0.44329833984375,0.3504285216331482
replay_camera_l24_M8192_20260911_0058.jsonl,camera_e448,24,8192,False,tail_k6_s0.01,30,3.6841280460357666,3.7074336051940917,13.790754096644875,18.13522763032229,0.22623850405216217,0.9741040468215942,0.221649169921875,0.1694435328245163
replay_camera_l24_M8192_20260911_0058.jsonl,camera_e448,24,8192,False,random_k6,30,3.8010400533676147,3.8192384004592896,11.054992509864158,14.850917261992713,0.4620630145072937,0.8871661424636841,0.221649169921875,0.2209618091583252
replay_camera_l24_M8192_20260911_0058.jsonl,camera_e448,24,8192,False,semantic_k6,30,3.8593279123306274,3.876198482513428,9.69104633217105,12.7133985411805,0.22198732197284698,0.9750763177871704,0.221649169921875,0.16738364100456238
replay_camera_l24_M8192_20260911_0058.jsonl,camera_e448,24,8192,False,tail_k4_s0.01,30,3.0895040035247803,3.1048864364624023,27.705061542075892,33.536486673071906,0.3472486734390259,0.9379117488861084,0.44329833984375,0.3518315255641937
replay_camera_l24_M8192_20260911_0058.jsonl,camera_e448,24,8192,False,full_k8,30,4.27347207069397,4.3027873039245605,0.0,0.0,0.0,1.0,0.0,0.0
