sample,category,layer,modality,tokens,router_entropy_median,top1_mass_median,top2_mass_median,top3_mass_median,top4_mass_median,top5_mass_median,top6_mass_median,top7_mass_median,top8_mass_median
cell_e448,fine_grained,44,text,21,1.991410493850708,0.23901686072349548,0.415516197681427,0.5307387709617615,0.6567841172218323,0.7557423710823059,0.8449577689170837,0.9239054322242737,1.0
clock_motion_e672,fine_grained,4,vision,441,2.070396900177002,0.1585664004087448,0.2991352677345276,0.4273386299610138,0.5506671071052551,0.6691339015960693,0.7824636101722717,0.8929312229156494,1.0
clock_motion_e672,fine_grained,4,text,21,1.9683512449264526,0.22641681134700775,0.40822896361351013,0.5388898849487305,0.6668921709060669,0.7677534818649292,0.851350724697113,0.930031418800354,1.0
clock_motion_e672,fine_grained,24,vision,441,2.0647377967834473,0.16837596893310547,0.3137495815753937,0.4442012310028076,0.5657102465629578,0.6819090247154236,0.7919111251831055,0.897559404373169,1.0
clock_motion_e672,fine_grained,24,text,21,1.985448956489563,0.23197749257087708,0.4165237545967102,0.5587718486785889,0.6658524870872498,0.7679320573806763,0.8574914932250977,0.9356310963630676,1.0
clock_motion_e672,fine_grained,44,vision,441,2.0761399269104004,0.14481672644615173,0.27881234884262085,0.4071180522441864,0.531452476978302,0.652166485786438,0.7703510522842407,0.8864800930023193,1.0
clock_motion_e672,fine_grained,44,text,21,1.9807922840118408,0.23433378338813782,0.4167924225330353,0.555878758430481,0.6515341401100159,0.7466983795166016,0.8479398488998413,0.9282956123352051,1.0
chessboard_GRAY_e336,chart_document,4,vision,100,2.070005178451538,0.15825940668582916,0.29984718561172485,0.4291080832481384,0.5517596006393433,0.6712021827697754,0.7840831279754639,0.8927829265594482,1.0
chessboard_GRAY_e336,chart_document,4,text,21,1.9901096820831299,0.22072385251522064,0.39495164155960083,0.5348800420761108,0.6693059802055359,0.766668975353241,0.852321445941925,0.9267376065254211,1.0
chessboard_GRAY_e336,chart_document,24,vision,100,2.0677833557128906,0.16493168473243713,0.3062978982925415,0.4352588951587677,0.5566592216491699,0.6743926405906677,0.7869505286216736,0.8958883285522461,1.0
chessboard_GRAY_e336,chart_document,24,text,21,1.984508991241455,0.23097197711467743,0.4091607928276062,0.5502512454986572,0.6701536178588867,0.7687848806381226,0.8572668433189392,0.928633451461792,1.0
chessboard_GRAY_e336,chart_document,44,vision,100,2.0715229511260986,0.15473493933677673,0.29372113943099976,0.42419177293777466,0.5463764667510986,0.6627939939498901,0.779644787311554,0.8902644515037537,1.0
chessboard_GRAY_e336,chart_document,44,text,21,2.006107807159424,0.22833594679832458,0.40407854318618774,0.5482030510902405,0.6444288492202759,0.7465182542800903,0.8403821587562561,0.9245201945304871,1.0
chessboard_RGB_e448,chart_document,4,vision,196,2.0672717094421387,0.16693013906478882,0.30792781710624695,0.4369237422943115,0.5595552921295166,0.6760066747665405,0.7872107028961182,0.8959035873413086,1.0
chessboard_RGB_e448,chart_document,4,text,21,1.9848787784576416,0.22083546221256256,0.4028562903404236,0.536691427230835,0.6660164594650269,0.7662194967269897,0.8519276976585388,0.9271761775016785,1.0
chessboard_RGB_e448,chart_document,24,vision,196,2.0678622722625732,0.16568982601165771,0.3058663010597229,0.437358021736145,0.5592342019081116,0.6773648858070374,0.7900776863098145,0.8966566324234009,1.0
chessboard_RGB_e448,chart_document,24,text,21,1.982879877090454,0.23085863888263702,0.4110979437828064,0.5504196882247925,0.6653379201889038,0.7647438645362854,0.858041524887085,0.9295753240585327,1.0
chessboard_RGB_e448,chart_document,44,vision,196,2.074263095855713,0.14936921000480652,0.28673210740089417,0.41651231050491333,0.5384677648544312,0.6575018167495728,0.7744300365447998,0.8886920213699341,1.0
chessboard_RGB_e448,chart_document,44,text,21,2.0097222328186035,0.23054982721805573,0.40203985571861267,0.5374131202697754,0.6397190093994141,0.7464956641197205,0.8442867994308472,0.9256181716918945,1.0
ds_airport_connections_e672,chart_document,4,vision,441,2.058774948120117,0.17949138581752777,0.3273830711841583,0.45787668228149414,0.5762132406234741,0.6902716755867004,0.7983357906341553,0.9014779925346375,1.0
ds_airport_connections_e672,chart_document,4,text,21,1.9876980781555176,0.22597333788871765,0.40839171409606934,0.5373811721801758,0.6673911809921265,0.7697242498397827,0.8526298999786377,0.9279676079750061,1.0
ds_airport_connections_e672,chart_document,24,vision,441,2.042405605316162,0.19676214456558228,0.35245299339294434,0.48422959446907043,0.6037659645080566,0.7111534476280212,0.8119357824325562,0.9081462621688843,1.0
ds_airport_connections_e672,chart_document,24,text,21,1.988139271736145,0.22342099249362946,0.40700268745422363,0.5616639256477356,0.6665021777153015,0.7748162746429443,0.8640121221542358,0.9341301918029785,1.0
ds_airport_connections_e672,chart_document,44,vision,441,2.062422275543213,0.17310447990894318,0.31748151779174805,0.4473312199115753,0.5709147453308105,0.683856189250946,0.7933439612388611,0.8980876207351685,1.0
ds_airport_connections_e672,chart_document,44,text,21,1.9971590042114258,0.2265929877758026,0.4039759039878845,0.526469349861145,0.6439244151115417,0.7534701824188232,0.8457038402557373,0.9252620339393616,1.0
