per_tp_M,prompt_length,layer,samples,expert_critical_median_ms,expert_rank_spread_median_ms,rank_max_mean_median,load_balance_tail_oracle_median_ms,dispatch_critical_median_ms,combine_critical_median_ms,moe_critical_median_ms
1024,2048,13,6,0.7191359996795654,0.046632006764411926,1.3818359375,0.1986983454040782,0.1037760004401207,0.0032319999299943447,1.4237120151519775
1024,2048,14,6,0.6994079947471619,0.024831995368003845,1.30615234375,0.16393711365974936,0.14739200472831726,0.003247999935410917,1.4672319889068604
1024,2048,15,6,0.6938560009002686,0.011464014649391174,1.279052734375,0.15139177545136412,0.1347999982535839,0.0032319999299943447,1.428447961807251
1024,2048,16,6,0.7082719802856445,0.02479998767375946,1.46435546875,0.22455947348751704,0.14300800114870071,0.0032159999245777726,1.4469919800758362
1024,2048,17,6,0.7110719978809357,0.022752001881599426,1.5849609375,0.26250641037896916,0.11152000352740288,0.0031999999191612005,1.4292320013046265
1024,2048,18,6,0.6901600062847137,0.011536002159118652,1.22802734375,0.12821939566522253,0.12887999787926674,0.0031999999191612005,1.4342080354690552
1024,2048,19,6,0.7142239809036255,0.0027039945125579834,1.500244140625,0.23813177329066798,0.20271999388933182,0.0032159999245777726,1.5090720057487488
1024,2048,20,6,0.7260800004005432,0.051007986068725586,1.36572265625,0.19444915729734058,0.18358400464057922,0.0032159999245777726,1.5097600221633911
1024,2048,21,6,0.6854400038719177,0.010144010186195374,1.342529296875,0.1749365827413223,0.1387680023908615,0.0032159999245777726,1.429423987865448
1024,2048,22,6,0.73020800948143,0.03140801191329956,1.224853515625,0.13404705229143216,0.14788799732923508,0.0031999999191612005,1.4819040298461914
1024,2048,23,6,0.7385599911212921,0.019928008317947388,1.535888671875,0.25345067046176484,0.16646400094032288,0.0033439999679103494,1.4959999918937683
1024,2048,24,6,0.7248319983482361,0.028847992420196533,1.338623046875,0.18147331144589804,0.1584000065922737,0.0031999999191612005,1.4799360036849976
1024,2048,25,6,0.7352800071239471,0.033424004912376404,1.455078125,0.22995030351387086,0.11371200159192085,0.0031999999191612005,1.4377760291099548
1024,2048,26,6,0.7338720262050629,0.05820801854133606,1.4541015625,0.2291575252174023,0.13280000165104866,0.0031999999191612005,1.447712004184723
1024,2048,27,6,0.7129919826984406,0.027263984084129333,1.3212890625,0.17397113611692872,0.13140799850225449,0.0031999999191612005,1.449072003364563
1024,2048,28,6,0.6971040070056915,0.014944002032279968,1.22021484375,0.12582605476676295,0.17972800135612488,0.0032319999299943447,1.4478880167007446
1024,2048,29,6,0.7106560170650482,0.033832013607025146,1.464599609375,0.22546971698597448,0.1339999958872795,0.0031999999191612005,1.433519959449768
1024,2048,30,6,0.7073599994182587,0.009248003363609314,1.25146484375,0.14227503566030897,0.1459360010921955,0.0031839999137446284,1.4345600008964539
1024,2048,31,6,0.7083999812602997,0.026600003242492676,1.18896484375,0.11227657968254051,0.12249599769711494,0.0031999999191612005,1.4202719926834106
1024,2048,32,6,0.712799996137619,0.02324800193309784,1.28076171875,0.154367300331632,0.14056000113487244,0.0031839999137446284,1.4384160041809082
1024,2048,33,6,0.7084639966487885,0.03300000727176666,1.47412109375,0.22785051182783517,0.17321600019931793,0.0031999999191612005,1.460591971874237
