source_layer,target_layer,distance,model,r2,jsd,top1,topk
4,16,12,mean,0.8771541967934612,0.0904900567300372,0.9166666666666666,0.8541666666666666
4,16,12,early_text,0.8401091571981036,0.10407953457598491,0.7083333333333334,0.8177083333333334
4,16,12,shuffle,0.7833701051658952,0.13033690022674477,0.8458333333333334,0.7885416666666666
4,20,16,visual,0.938200771241152,0.08363637466654171,0.9375,0.9244791666666666
4,20,16,mean,0.9239437396580253,0.0965280885623583,0.9166666666666666,0.9244791666666666
4,20,16,early_text,0.9057748998256774,0.10965067732018534,0.8958333333333334,0.9140625
4,20,16,shuffle,0.8694258558453898,0.13262241229815533,0.9020833333333333,0.8848958333333334
4,24,20,visual,0.9373993478662539,0.072811619324493,0.5208333333333334,0.9140625
4,24,20,mean,0.9374983077617328,0.07750018185228336,0.7916666666666666,0.9479166666666666
4,24,20,early_text,0.9019894408509723,0.09655437696017218,0.5833333333333334,0.875
4,24,20,shuffle,0.8870653277961569,0.10982043048521109,0.5604166666666666,0.8979166666666668
4,28,24,visual,0.8951764341766321,0.086348502656957,0.5208333333333334,0.9375
4,28,24,mean,0.8640280359355639,0.10344072323025653,0.6041666666666666,0.9166666666666666
4,28,24,early_text,0.8268944467561548,0.12312681107938789,0.5625,0.8932291666666666
4,28,24,shuffle,0.7621124970888826,0.14722835730239173,0.5000000000000001,0.8760416666666668
4,32,28,visual,0.8955187090127797,0.10468989624194668,0.6458333333333334,0.8776041666666666
4,32,28,mean,0.8924117723661935,0.10413663327966094,0.3333333333333333,0.8671875
4,32,28,early_text,0.8559160212102016,0.12563386223533238,0.4791666666666667,0.8489583333333334
4,32,28,shuffle,0.8164073122527125,0.14397384275680503,0.41875,0.83203125
4,36,32,visual,0.9145329012372655,0.09041336303893621,0.2916666666666667,0.8515625
4,36,32,mean,0.9189463824289406,0.0893980196427499,0.125,0.8802083333333334
4,36,32,early_text,0.8739728008655053,0.11919369359559422,0.3333333333333333,0.8072916666666666
4,36,32,shuffle,0.8551858507093488,0.1287249095569862,0.275,0.7934895833333333
4,40,36,visual,0.9212025984274903,0.0727117146722384,0.7916666666666666,0.9192708333333334
4,40,36,mean,0.9194314381270903,0.08018224361928505,0.8125,0.9401041666666666
4,40,36,early_text,0.8775547529931896,0.10035860115311379,0.7291666666666666,0.8958333333333334
4,40,36,shuffle,0.8597218404782057,0.11329981682895933,0.74375,0.9104166666666667
4,44,40,visual,0.8718948290263874,0.10328723510059738,0.6041666666666666,0.8619791666666666
4,44,40,mean,0.8713304164641062,0.10788447931782082,0.2708333333333333,0.8541666666666666
4,44,40,early_text,0.7878339178478094,0.14562519836266793,0.6041666666666666,0.8098958333333334
4,44,40,shuffle,0.7789099785922858,0.15251642139963528,0.4354166666666666,0.8033854166666666
4,47,43,visual,0.8970353198098299,0.0664397043745305,0.375,0.8333333333333334
4,47,43,mean,0.918798368542146,0.05931455324649523,0.6041666666666666,0.8489583333333334
4,47,43,early_text,0.8589812770611288,0.08445344322882072,0.375,0.8072916666666666
4,47,43,shuffle,0.8478072463072331,0.0858933991151942,0.35625,0.8197916666666666
8,16,8,visual,0.8985947454871088,0.07562138704801376,0.8541666666666666,0.8541666666666666
8,16,8,mean,0.8771541967934612,0.0904900567300372,0.9166666666666666,0.8541666666666666
8,16,8,early_text,0.8622399102108255,0.09141125713064195,0.6666666666666666,0.8463541666666666
8,16,8,shuffle,0.7672838977634344,0.13790840859543368,0.8041666666666668,0.7796875
8,20,12,visual,0.9316533436563544,0.08515238825781941,0.9583333333333334,0.9192708333333334
8,20,12,mean,0.9239437396580253,0.0965280885623583,0.9166666666666666,0.9244791666666666
8,20,12,early_text,0.9287753642560788,0.08560451029148854,0.9166666666666666,0.9140625
8,20,12,shuffle,0.8581702621885219,0.13876573460958014,0.8395833333333333,0.87734375
8,24,16,visual,0.9262504245765061,0.07991585559065387,0.6041666666666666,0.921875
8,24,16,mean,0.9374983077617328,0.07750018185228336,0.7916666666666666,0.9479166666666666
8,24,16,early_text,0.9202454779941277,0.08447025234076906,0.6458333333333334,0.8932291666666666
8,24,16,shuffle,0.8768721751771785,0.11591548423128255,0.5229166666666667,0.8971354166666666
8,28,20,visual,0.8827566779386666,0.09173574081662202,0.4791666666666667,0.9401041666666666
8,28,20,mean,0.8640280359355639,0.10344072323025653,0.6041666666666666,0.9166666666666666
8,28,20,early_text,0.8772061924456294,0.09702920927790437,0.6458333333333334,0.9296875
8,28,20,shuffle,0.7478712218028292,0.15251213274926742,0.44375,0.8713541666666667
8,32,24,visual,0.8960144755617352,0.09831125058960417,0.625,0.8802083333333334
8,32,24,mean,0.8924117723661935,0.10413663327966094,0.3333333333333333,0.8671875
8,32,24,early_text,0.8844376146319006,0.10690762015927459,0.6875,0.8645833333333334
8,32,24,shuffle,0.796275156337025,0.1518674200243054,0.3979166666666667,0.8221354166666668
8,36,28,visual,0.9104906159497889,0.09318706354946464,0.25,0.8333333333333334
8,36,28,mean,0.9189463824289406,0.0893980196427499,0.125,0.8802083333333334
8,36,28,early_text,0.8909655525145942,0.10672342094176805,0.14583333333333334,0.8307291666666666
8,36,28,shuffle,0.8438146508752894,0.1348282511225444,0.2895833333333333,0.78671875
8,40,32,visual,0.9160903465539987,0.07333160119701375,0.7083333333333334,0.9166666666666666
8,40,32,mean,0.9194314381270903,0.08018224361928505,0.8125,0.9401041666666666
8,40,32,early_text,0.9054284722180588,0.08511221196428014,0.7083333333333334,0.9140625
8,40,32,shuffle,0.8467289041825111,0.11853570122242649,0.7270833333333333,0.903125
8,44,36,visual,0.8603468242637214,0.10601991900950485,0.5416666666666666,0.8541666666666666
8,44,36,mean,0.8713304164641062,0.10788447931782082,0.2708333333333333,0.8541666666666666
8,44,36,early_text,0.8296262971699513,0.11644148215079216,0.4375,0.8411458333333334
8,44,36,shuffle,0.7586306307667681,0.16083845912859124,0.4375,0.7942708333333333
8,47,39,visual,0.8995526183702062,0.0675802229638614,0.4375,0.8333333333333334
8,47,39,mean,0.918798368542146,0.05931455324649523,0.6041666666666666,0.8489583333333334
8,47,39,early_text,0.8791081385552264,0.07549564158274605,0.4375,0.8203125
8,47,39,shuffle,0.836244592029334,0.09090016059685126,0.32499999999999996,0.8114583333333332
12,16,4,visual,0.8914743133155223,0.08136682373752596,0.8125,0.8697916666666666
12,16,4,mean,0.8771541967934612,0.0904900567300372,0.9166666666666666,0.8541666666666666
12,16,4,early_text,0.8787858396709481,0.0868524400171064,0.7708333333333334,0.8385416666666666
12,16,4,shuffle,0.771385464532705,0.13460020818935586,0.8208333333333334,0.7763020833333333
12,20,8,visual,0.9375458851622217,0.08395901887369757,0.9375,0.9140625
12,20,8,mean,0.9239437396580253,0.0965280885623583,0.9166666666666666,0.9244791666666666
12,20,8,early_text,0.9262818685367447,0.09302564702276224,0.9166666666666666,0.921875
12,20,8,shuffle,0.8614619374984563,0.13644140595881418,0.8770833333333332,0.8744791666666668
12,24,12,visual,0.9332713148933531,0.07186265525906865,0.6041666666666666,0.9140625
12,24,12,mean,0.9374983077617328,0.07750018185228336,0.7916666666666666,0.9479166666666666
12,24,12,early_text,0.9238024766750257,0.08317954142586266,0.5625,0.9166666666666666
12,24,12,shuffle,0.8813286472911802,0.11424569779614517,0.5562499999999999,0.8901041666666668
12,28,16,visual,0.8884383881693292,0.08822268835220469,0.6041666666666666,0.9270833333333334
12,28,16,mean,0.8640280359355639,0.10344072323025653,0.6041666666666666,0.9166666666666666
12,28,16,early_text,0.863024306360716,0.1065412773470988,0.5833333333333334,0.9140625
12,28,16,shuffle,0.7533717954754836,0.1492575654493803,0.4479166666666667,0.87421875
12,32,20,visual,0.9044899225406171,0.0972555562676534,0.7291666666666666,0.8671875
12,32,20,mean,0.8924117723661935,0.10413663327966094,0.3333333333333333,0.8671875
12,32,20,early_text,0.8756214979279427,0.11279203576746864,0.625,0.8645833333333334
12,32,20,shuffle,0.8042189507177934,0.14976031104707177,0.4229166666666666,0.8244791666666667
12,36,24,visual,0.9137205974826292,0.08762126537434574,0.3541666666666667,0.8359375
12,36,24,mean,0.9189463824289406,0.0893980196427499,0.125,0.8802083333333334
12,36,24,early_text,0.8868697616595019,0.10612656420725468,0.1875,0.7994791666666666
12,36,24,shuffle,0.8468467141354822,0.13353895617692335,0.30000000000000004,0.7890624999999999
12,40,28,visual,0.9168656279141846,0.07588139285240221,0.7708333333333334,0.9296875
12,40,28,mean,0.9194314381270903,0.08018224361928505,0.8125,0.9401041666666666
12,40,28,early_text,0.887945408800759,0.089583201593968,0.6458333333333334,0.90625
12,40,28,shuffle,0.8517041886496827,0.11754617186343341,0.725,0.90625
12,44,32,visual,0.8642613045198493,0.10731800650370349,0.6875,0.8515625
12,44,32,mean,0.8713304164641062,0.10788447931782082,0.2708333333333333,0.8541666666666666
12,44,32,early_text,0.8361188972323369,0.1222406012368239,0.4791666666666667,0.8541666666666666
12,44,32,shuffle,0.7658913049782486,0.15822605367409123,0.4375,0.7971354166666668
12,47,35,visual,0.8967418985105897,0.06749906430199394,0.3958333333333333,0.8411458333333334
12,47,35,mean,0.918798368542146,0.05931455324649523,0.6041666666666666,0.8489583333333334
12,47,35,early_text,0.8808946322122736,0.07948944764523767,0.4375,0.8255208333333334
12,47,35,shuffle,0.8402643122625755,0.08941824884587456,0.3104166666666667,0.8158854166666666
