policy,risk_kind,target_fraction,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,rank_cv_after_median,rank_cv_after_p10,rank_cv_after_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_rel_l2_median,vision_rel_l2_p10,vision_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,renorm_combined_rel_l2_median,renorm_combined_rel_l2_p10,renorm_combined_rel_l2_p90,renorm_vision_rel_l2_median,renorm_vision_rel_l2_p10,renorm_vision_rel_l2_p90,swaps_median,swaps_p10,swaps_p90
ep_refined_s0.02,router,0.3,9,0.2997448979591837,0.2997448979591837,0.2997448979591837,0.35079365079365077,0.3125851659728428,0.3773879593538833,0.032939227005288056,0.0015408320493066256,0.19954050945126567,0.3077222406864166,0.24951503276824952,0.3897177577018738,0.357509583234787,0.2586027652025223,0.4065339028835297,0.9515195488929749,0.9208520174026489,0.9682220697402955,0.6344287991523743,0.4228330016136169,0.7015060544013977,0.6612476110458374,0.43817230463027956,0.7405093789100647,78.0,48.6,99.0
ep_refined_s0.02,router,0.4,9,0.39987244897959184,0.39987244897959184,0.39987244897959184,0.44126984126984126,0.39577079836969553,0.4623179179928852,0.03254591521056467,0.0015180112248631703,0.18135783852432874,0.3618968427181244,0.3067805230617523,0.4593900144100189,0.42044925689697266,0.31823345422744753,0.47920677661895755,0.9322789311408997,0.8882261514663696,0.9517766118049622,0.6875424981117249,0.6102946996688843,0.8489500641822815,0.773583710193634,0.629089081287384,0.8857957482337951,77.0,36.2,101.8
ep_refined_s0.05,contribution,0.05,9,0.04974489795918367,0.04974489795918367,0.04974489795918367,0.06024096385542166,0.04817081977047757,0.0764475550931618,0.13030117848640876,0.06448904377397124,0.28655047021053265,0.1189759224653244,0.01730688950046897,0.13779280185699463,0.12286534160375595,0.01795177860185504,0.14661283791065216,0.9928973913192749,0.9904285311698914,0.9998350262641906,0.32098838686943054,0.055587757006287576,0.5048378944396973,0.3651612102985382,0.0576679864898324,0.5359504938125611,12.0,1.8,17.200000000000003
ep_refined_s0.05,contribution,0.1,9,0.10012755102040816,0.10012755102040816,0.10012755102040816,0.1252371916508539,0.10014652014652012,0.1500963981612584,0.10350236881737655,0.04759264155444695,0.28446872759407976,0.17570045590400696,0.09215358719229698,0.20671164095401764,0.19066840410232544,0.0955711029469967,0.21563328802585602,0.9844570159912109,0.9783474922180175,0.995438277721405,0.45119190216064453,0.221549354493618,0.6380356311798097,0.4993423819541931,0.2297493800520897,0.7233609437942506,27.0,15.4,37.0
ep_refined_s0.05,contribution,0.15,9,0.14987244897959184,0.14987244897959184,0.14987244897959184,0.18816067653276958,0.1646079270031366,0.2013940776073673,0.0874662709921216,0.037548462301707566,0.2690517123132259,0.21863217651844025,0.14018487334251403,0.2636571884155273,0.24596311151981354,0.14531343430280685,0.27503356933593753,0.9758224487304688,0.9645674586296081,0.9899701237678528,0.5458934903144836,0.3953340411186218,0.861673641204834,0.6021375060081482,0.4097066640853882,0.9784207344055177,34.0,25.0,57.2
ep_refined_s0.05,contribution,0.2,9,0.2002551020408163,0.2002551020408163,0.2002551020408163,0.2406311637080868,0.2191502708867978,0.2750298718319688,0.0716985558730242,0.02460890716643299,0.2521126295307921,0.25064051151275635,0.18759290874004364,0.3132982194423676,0.2911924123764038,0.19444965720176696,0.32682067751884464,0.968104362487793,0.9495373010635376,0.9820120930671692,0.6117217540740967,0.5565301656723023,0.9051650285720826,0.6635292768478394,0.5768538534641265,1.027899479866028,45.0,27.0,63.2
ep_refined_s0.05,contribution,0.3,9,0.2997448979591837,0.2997448979591837,0.2997448979591837,0.33532934131736525,0.3133009306684684,0.37845211145342206,0.03414255748252749,0.02006929989754256,0.22517289788726466,0.31048905849456787,0.2458271712064743,0.3960145473480225,0.3562158942222595,0.25478444397449496,0.4130967080593109,0.950657069683075,0.9182168960571289,0.9691161036491394,0.7878677845001221,0.6666471838951111,0.9840844154357911,0.8825051188468933,0.6909765362739563,1.1174185514450075,59.0,47.0,71.0
ep_refined_s0.05,contribution,0.4,9,0.39987244897959184,0.39987244897959184,0.39987244897959184,0.4291417165668663,0.3990697674418605,0.47055607564126567,0.02592497713891155,0.0015180112248631703,0.19067501701230255,0.36338549852371216,0.3074031829833984,0.46420787572860717,0.4169025421142578,0.31857184767723085,0.48423085212707523,0.9317483305931091,0.8857341051101685,0.9514881014823914,0.9885920286178589,0.8614529728889465,1.1423601150512697,1.0612297058105469,0.8926591038703918,1.2608685016632082,66.0,47.800000000000004,84.2
ep_refined_s0.05,router,0.05,9,0.04974489795918367,0.04974489795918367,0.04974489795918367,0.07835051546391758,0.05021575895827397,0.09460209088969493,0.12494598111520773,0.05881023259156622,0.2832679158989002,0.1162591353058815,0.01687050359323621,0.1506327986717224,0.12005973607301712,0.017499399185180665,0.17069867849349976,0.9932191371917725,0.9885745406150818,0.9998427748680114,0.22361651062965393,0.051767472922801976,0.27248204946517945,0.2339589148759842,0.053703803010284906,0.30432950854301455,22.0,2.6,25.8
ep_refined_s0.05,router,0.1,9,0.10012755102040816,0.10012755102040816,0.10012755102040816,0.14799154334038056,0.11198935462408517,0.17716808714691565,0.09244329993687057,0.03474471854334555,0.2821585410660574,0.18605193495750427,0.09161576107144356,0.2221151202917099,0.19213411211967468,0.09501227363944054,0.24995240569114685,0.9825429916381836,0.9750054478645325,0.9954967617988586,0.32770052552223206,0.15972380191087723,0.4245476841926575,0.3415532112121582,0.16561620086431503,0.448762583732605,41.0,18.2,55.2
