sample_id,category,edge,layer,policy,risk_kind,target_fraction,vision_tokens,dropped,vision_assignment_reduction,risk_value,swaps,max_rank_before,max_rank_after,max_rank_reduction,rank_cv_after,k1,k2,k3,k4,k5,k6,k7,k8,combined_rel_l2,vision_rel_l2,combined_cosine,renorm_combined_rel_l2,renorm_vision_rel_l2,ep_advantage_over_semantic
cell_e448,fine_grained,448,24,semantic_coarse,contribution,0.2,196,314,0.2002551020408163,28.002415289866832,0,630,532,0.15555555555555556,0.28149722022699497,22,7,0,16,0,27,0,124,0.14569666981697083,0.14993219077587128,0.9893394708633423,0.4490579068660736,0.4621123969554901,
cell_e448,fine_grained,448,24,ep_refined_s0.02,contribution,0.2,196,314,0.2002551020408163,28.231308595794133,18,630,509,0.19206349206349205,0.24583280894536141,22,5,3,4,12,15,33,102,0.14135809242725372,0.14546748995780945,0.9899677634239197,0.43508580327033997,0.4477340877056122,1.1747572815533982
cell_e448,fine_grained,448,24,ep_refined_s0.05,contribution,0.2,196,314,0.2002551020408163,29.08890131718681,29,630,498,0.20952380952380956,0.23092694421835985,22,5,3,4,10,16,37,99,0.14328639209270477,0.14745184779167175,0.9896901249885559,0.4353703260421753,0.4480269253253937,1.2815533980582527
cell_e448,fine_grained,448,24,semantic_full,contribution,0.3,196,470,0.2997448979591837,60.88759774821529,0,630,482,0.23492063492063497,0.28952476113632536,23,11,11,14,23,15,33,66,0.19952915608882904,0.20532964169979095,0.9799105525016785,0.547735869884491,0.5636590123176575,
cell_e448,fine_grained,448,24,semantic_coarse,contribution,0.3,196,469,0.29910714285714285,61.38983281564445,0,630,479,0.23968253968253972,0.2871212534391631,25,17,0,28,0,40,0,86,0.2056083083152771,0.21158552169799805,0.9786547422409058,0.627621591091156,0.6458670496940613,
cell_e448,fine_grained,448,24,ep_refined_s0.02,contribution,0.3,196,470,0.2997448979591837,62.07875103619556,37,630,445,0.2936507936507936,0.2269421219753391,22,11,11,18,21,15,30,68,0.20146071910858154,0.20731735229492188,0.9795160293579102,0.5328818559646606,0.5483732223510742,1.2499999999999996
cell_e448,fine_grained,448,24,ep_refined_s0.05,contribution,0.3,196,470,0.2997448979591837,63.85654137323999,56,630,426,0.32380952380952377,0.1976774025255328,22,11,10,16,25,15,31,66,0.20363102853298187,0.20955075323581696,0.9790665507316589,0.5303732752799988,0.5457916855812073,1.3783783783783778
cell_e448,fine_grained,448,24,semantic_full,contribution,0.4,196,627,0.39987244897959184,100.11459673519953,0,630,419,0.33492063492063495,0.28079925281713575,28,17,18,26,17,28,28,34,0.24974818527698517,0.2570085823535919,0.9683409929275513,0.7162716388702393,0.7370942831039429,
cell_e448,fine_grained,448,24,semantic_coarse,contribution,0.4,196,627,0.39987244897959184,100.38797305732767,0,630,421,0.3317460317460318,0.2863359780480283,27,31,0,44,0,38,0,56,0.2569756805896759,0.2644461989402771,0.9664551615715027,0.7501910924911499,0.7719997763633728,
cell_e448,fine_grained,448,24,ep_refined_s0.02,contribution,0.4,196,627,0.39987244897959184,102.03863128562753,49,630,370,0.4126984126984127,0.18509572603492533,27,20,14,24,29,22,21,39,0.25027722120285034,0.25755301117897034,0.9682042598724365,0.6928269863128662,0.7129680514335632,1.2322274881516586
cell_e448,fine_grained,448,24,ep_refined_s0.05,contribution,0.4,196,627,0.39987244897959184,104.94665447872748,66,630,353,0.4396825396825397,0.1565907861804883,35,12,15,22,27,21,24,40,0.27290165424346924,0.2808351218700409,0.9620913863182068,0.8171358704566956,0.8408907055854797,1.3127962085308056
cell_e448,fine_grained,448,44,semantic_full,router,0.05,196,78,0.04974489795918367,6.394845839589834,0,473,454,0.04016913319238902,0.04333688384284155,0,0,4,3,6,9,10,164,0.14632971584796906,0.16788022220134735,0.9892403483390808,0.2775771915912628,0.3184569776058197,
cell_e448,fine_grained,448,44,semantic_coarse,router,0.05,196,78,0.04974489795918367,6.477765593677759,0,473,453,0.04228329809725162,0.041756872815094326,0,3,0,5,0,20,0,168,0.15710857510566711,0.180246502161026,0.987590491771698,0.35872769355773926,0.41155877709388733,
cell_e448,fine_grained,448,44,ep_refined_s0.02,router,0.05,196,78,0.04974489795918367,6.508917700499296,16,473,438,0.07399577167019022,0.021202926470022386,0,0,1,5,6,10,15,159,0.14373818039894104,0.16490700840950012,0.989619255065918,0.24277421832084656,0.2785284221172333,1.842105263157893
cell_e448,fine_grained,448,44,ep_refined_s0.05,router,0.05,196,78,0.04974489795918367,6.702228296548128,25,473,429,0.09302325581395354,0.0098303240981279,0,0,1,5,5,9,20,156,0.13949452340602875,0.16003836691379547,0.9902254343032837,0.2387349158525467,0.2738942503929138,2.315789473684211
cell_e448,fine_grained,448,44,semantic_full,router,0.1,196,157,0.10012755102040816,14.408656802028418,0,473,429,0.09302325581395354,0.03935169673642573,0,2,4,10,12,20,9,139,0.22239774465560913,0.25515103340148926,0.9749939441680908,0.42154449224472046,0.4836268424987793,
cell_e448,fine_grained,448,44,semantic_coarse,router,0.1,196,156,0.09948979591836735,14.442229758948088,0,473,431,0.08879492600422834,0.041964105521805864,0,5,0,13,0,37,0,141,0.2237083911895752,0.2566547095775604,0.9746981263160706,0.46763014793395996,0.5364996790885925,
cell_e448,fine_grained,448,44,ep_refined_s0.02,router,0.1,196,157,0.10012755102040816,14.565211046487093,30,473,403,0.14799154334038056,0.0010751401660886884,0,4,3,7,13,17,17,135,0.2173309475183487,0.2493380457162857,0.9761344790458679,0.45103245973587036,0.5174576044082642,1.5909090909090902
