policy,risk_kind,target_fraction,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,rank_cv_after_median,rank_cv_after_p10,rank_cv_after_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_rel_l2_median,vision_rel_l2_p10,vision_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,renorm_combined_rel_l2_median,renorm_combined_rel_l2_p10,renorm_combined_rel_l2_p90,renorm_vision_rel_l2_median,renorm_vision_rel_l2_p10,renorm_vision_rel_l2_p90,swaps_median,swaps_p10,swaps_p90
semantic_coarse,contribution,0.2,54,0.2,0.19875,0.2002551020408163,0.16756527955451878,0.13280342191166414,0.19550696132509052,0.16692036725128492,0.09268668064579286,0.2563467768614053,0.23904012888669968,0.19139474034309387,0.325272998213768,0.2677050232887268,0.20099827349185945,0.3396362990140915,0.9726411402225494,0.9456644833087922,0.9819956123828888,0.6396616101264954,0.3127855658531189,0.8647177636623384,0.6847307980060577,0.3788031339645386,0.9801213383674623,0.0,0.0,0.0
semantic_coarse,contribution,0.3,54,0.2997448979591837,0.29875,0.3,0.24433524371731147,0.20366881621372646,0.29100386545156665,0.169574674958211,0.0983533234334712,0.2689866875194913,0.3238489627838135,0.247835972905159,0.3997730821371078,0.3629409372806549,0.2647672265768051,0.42737539410591124,0.9497109651565552,0.9166813313961029,0.9688393652439118,0.8562633097171783,0.4125594347715378,1.0679897189140322,0.8880910575389862,0.4914705812931061,1.1753524541854858,0.0,0.0,0.0
semantic_coarse,router,0.02,54,0.01984126984126984,0.01913265306122449,0.02,0.013256743695633066,0.009737292975442591,0.022763469937285112,0.15855380837008878,0.07472107917175157,0.25065248658747924,0.06367179751396179,0.026301076076924806,0.09349829927086831,0.0722537524998188,0.028435485810041433,0.09986288920044899,0.9979717433452606,0.9956190943717956,0.9996483743190765,0.11889644339680672,0.043489062413573275,0.19604032486677175,0.125591441988945,0.054217098280787475,0.21273037791252136,0.0,0.0,0.0
semantic_coarse,router,0.05,54,0.049886621315192746,0.049107142857142856,0.05,0.040867886621644534,0.02717704728950404,0.052142266715650296,0.15904227488611783,0.07458648622749385,0.2535391254701479,0.1127142459154129,0.07429217025637627,0.15664519965648652,0.12483565881848335,0.0809697911143303,0.16705177575349808,0.9937155246734619,0.9876629114151001,0.9972331821918488,0.19794242084026337,0.08345677554607392,0.278038901090622,0.20444340258836746,0.10499137565493584,0.30627074837684637,0.0,0.0,0.0
semantic_coarse,router,0.1,54,0.09977324263038549,0.09948979591836735,0.10012755102040816,0.08221431146359048,0.05962413498909852,0.09745926172264718,0.16288992721726658,0.08510641348863149,0.254691989035203,0.16799580305814743,0.12042274698615074,0.2250785082578659,0.1832212209701538,0.12723129391670226,0.2417127251625061,0.9867779612541199,0.9743797183036804,0.9927299737930297,0.2927587181329727,0.13775257319211962,0.39593330919742586,0.30962836742401123,0.16879362016916274,0.44137710332870483,0.0,0.0,0.0
semantic_coarse,router,0.15,54,0.14987244897959184,0.14923469387755103,0.15,0.12269415656717059,0.09468204106650319,0.14910854519408348,0.1640878347164002,0.09305489839587112,0.26030961750616166,0.2065322920680046,0.1587598502635956,0.28140088021755216,0.2284661829471588,0.16449441462755204,0.29923899173736573,0.9790224134922028,0.9596182525157928,0.9875371992588043,0.3883090019226074,0.1795460194349289,0.48130584955215455,0.41457700729370117,0.20896793901920319,0.5455818176269532,0.0,0.0,0.0
semantic_coarse,router,0.2,54,0.2,0.19901020408163267,0.2002551020408163,0.16282236367215697,0.13026327123936687,0.20098015778149653,0.16353442156853404,0.0915905509591539,0.25830881993875193,0.2444624975323677,0.18791241347789764,0.32652342319488525,0.266428604722023,0.19936683923006057,0.3436694353818894,0.9710579216480255,0.9452184498310089,0.9830026507377625,0.4521384537220001,0.20606331527233124,0.5406204640865326,0.48439760506153107,0.2394151896238327,0.6000487804412842,0.0,0.0,0.0
semantic_coarse,router,0.3,54,0.2997448979591837,0.29875,0.3,0.24789604199698367,0.20082506166915026,0.29640713245480055,0.1627198764400351,0.09471441189845294,0.28309770679784346,0.3034227341413498,0.24603247344493867,0.39846391379833224,0.34400877356529236,0.26180200278759,0.42547256052494054,0.9558748006820679,0.9172968626022339,0.9695570707321167,0.5913612544536591,0.2500340282917023,0.6727802276611329,0.6220639050006866,0.2935306787490845,0.7334626615047455,0.0,0.0,0.0
semantic_full,contribution,0.02,54,0.02,0.019770408163265307,0.020124716553287982,0.015145753545376894,0.00942496493688636,0.02167230933713469,0.15495491904605632,0.07575618805566246,0.2500475253945661,0.05018736235797405,0.018887185677886012,0.08392248675227165,0.054697996005415916,0.023441746830940247,0.0895418643951416,0.9987386167049408,0.9964725911617279,0.9998224258422852,0.12597791850566864,0.04210255481302739,0.269641074538231,0.13624299317598343,0.05336559154093266,0.2900540173053742,0.0,0.0,0.0
semantic_full,contribution,0.05,54,0.049886621315192746,0.04974489795918367,0.05,0.04251624545725019,0.02963444213444213,0.04947465299795669,0.1541876772998695,0.08117810496617747,0.251446409044786,0.09322623908519745,0.049338890612125395,0.14292715340852738,0.1017252765595913,0.05700302384793759,0.15323467403650284,0.9956503808498383,0.9897349774837494,0.998821473121643,0.2366984263062477,0.08803506270051002,0.40430357158184055,0.25604569911956787,0.10123149305582047,0.427593144774437,0.0,0.0,0.0
