duration_ms,layer,modality,p10_ms,p90_ms,repetitions,stage,tokens
0.8492799997329712,10,text,0.020287999883294106,0.9121919870376587,21,expert,3972
2.9231839179992676,10,text,2.7763839960098267,4.289584040641785,6,layer_total,2363
1.990559995174408,10,text,1.9176479578018188,2.9296319484710693,6,moe,2363
0.7834240198135376,11,text,0.7643679976463318,1.2596800327301025,6,attention,2363
0.4398080110549927,11,text,0.2149920016527176,0.9333600103855133,6,combine,1182
0.568575993180275,11,text,0.4110559970140457,1.2328959703445435,6,dispatch,1182
0.8136000037193298,11,text,0.036768000572919846,0.9069120287895203,21,expert,3914
2.8992480039596558,11,text,2.7718400955200195,3.7910239696502686,6,layer_total,2363
1.9722560048103333,11,text,1.85043203830719,2.6652159690856934,6,moe,2363
0.7996639907360077,12,text,0.76910400390625,1.137120008468628,6,attention,2363
0.23953599482774734,12,text,0.20387200266122818,0.4323039948940277,6,combine,1182
0.6066399961709976,12,text,0.40083199739456177,1.1015039682388306,6,dispatch,1182
0.8356480002403259,12,text,0.5082336008548736,0.9546431958675385,18,expert,4102
2.9689759016036987,12,text,2.7082080841064453,3.4656319618225098,6,layer_total,2363
2.0155200362205505,12,text,1.8349760174751282,2.4335999488830566,6,moe,2363
0.8459039926528931,13,text,0.7218720018863678,1.0450720191001892,6,attention,2363
0.48921598494052887,13,text,0.22604800015687943,0.786048024892807,6,combine,1182
0.47196801006793976,13,text,0.4092160016298294,1.0493599772453308,6,dispatch,1182
0.8049280047416687,13,text,0.04307200014591217,0.9218239784240723,21,expert,3694
2.955456018447876,13,text,2.7777920961380005,3.2892160415649414,6,layer_total,2363
2.0812480449676514,13,text,1.8605599999427795,2.2613919973373413,6,moe,2363
0.90243199467659,14,text,0.7455520033836365,1.1196479797363281,6,attention,2363
0.48308800160884857,14,text,0.252191998064518,1.375648021697998,6,combine,1182
0.7329919934272766,14,text,0.3925600051879883,1.0159199833869934,6,dispatch,1182
0.8270080089569092,14,text,0.033663999289274216,0.9218559861183167,21,expert,4674
3.076751947402954,14,text,2.9039199352264404,3.3232959508895874,6,layer_total,2363
2.0855519771575928,14,text,1.9777759909629822,2.5002719163894653,6,moe,2363
0.7989919781684875,15,text,0.7443839907646179,1.0033279955387115,6,attention,2363
0.30164800584316254,15,text,0.2852479964494705,0.644768014550209,6,combine,1182
0.7190560102462769,15,text,0.38622400164604187,1.378976047039032,6,dispatch,1182
0.881743997335434,15,text,0.561423996090889,0.9086335837841034,18,expert,3012
2.9017279148101807,15,text,2.8655999898910522,3.4039520025253296,6,layer_total,2363
