task,trajectory_complete,request_id,call_index,sequence_id,block_start,iteration,phase,masked_before,transfer_count,selected_cutoff,best_unselected,cutoff_gap,delta,alternatives,swappable_selected,future_step_available,future_positions_traced,base_rank_load,best_rank_load,base_max_rank,best_max_rank,max_rank_reduction_pct,best_swap,one_swap_only,frozen_baseline_route_not_rollout
gsm8k,1,measured_0,129,1,32,2,late,6,1,0.7310358881950378,0.3751963973045349,0.3558394908905029,0.001,0,1,1,6,"[36, 45, 69, 50]","[36, 45, 69, 50]",69,69,0.0,,1,1
gsm8k,1,measured_0,129,1,32,2,late,6,1,0.7310358881950378,0.3751963973045349,0.3558394908905029,0.002,0,1,1,6,"[36, 45, 69, 50]","[36, 45, 69, 50]",69,69,0.0,,1,1
gsm8k,1,measured_0,129,1,32,2,late,6,1,0.7310358881950378,0.3751963973045349,0.3558394908905029,0.005,0,1,1,6,"[36, 45, 69, 50]","[36, 45, 69, 50]",69,69,0.0,,1,1
gsm8k,1,measured_0,129,1,32,2,late,6,1,0.7310358881950378,0.3751963973045349,0.3558394908905029,0.01,0,1,1,6,"[36, 45, 69, 50]","[36, 45, 69, 50]",69,69,0.0,,1,1
gsm8k,1,measured_0,129,1,32,2,late,6,1,0.7310358881950378,0.3751963973045349,0.3558394908905029,0.02,0,1,1,6,"[36, 45, 69, 50]","[36, 45, 69, 50]",69,69,0.0,,1,1
gsm8k,1,measured_0,129,1,32,2,late,6,1,0.7310358881950378,0.3751963973045349,0.3558394908905029,0.05,0,1,1,6,"[36, 45, 69, 50]","[36, 45, 69, 50]",69,69,0.0,,1,1
gsm8k,1,measured_0,129,1,32,2,late,6,1,0.7310358881950378,0.3751963973045349,0.3558394908905029,0.1,0,1,1,6,"[36, 45, 69, 50]","[36, 45, 69, 50]",69,69,0.0,,1,1
gsm8k,1,measured_0,129,2,64,0,early,32,1,0.8513421416282654,0.8424249887466431,0.0089171528816223,0.001,0,1,1,32,"[268, 293, 367, 312]","[268, 293, 367, 312]",367,367,0.0,,1,1
gsm8k,1,measured_0,129,2,64,0,early,32,1,0.8513421416282654,0.8424249887466431,0.0089171528816223,0.002,0,1,1,32,"[268, 293, 367, 312]","[268, 293, 367, 312]",367,367,0.0,,1,1
gsm8k,1,measured_0,129,2,64,0,early,32,1,0.8513421416282654,0.8424249887466431,0.0089171528816223,0.005,0,1,1,32,"[268, 293, 367, 312]","[268, 293, 367, 312]",367,367,0.0,,1,1
