workload_id,layer,tokens,split,split_fraction,is_modality_boundary,attention_all_ms,moe_all_ms,attention_head_ms,attention_tail_ms,moe_head_ms,moe_tail_ms,base_ms,ideal_wave_ms,ideal_improvement_pct
W2_standard,13,248,12,0.04838709677419355,False,0.6201439797878265,1.3385920524597168,0.03000696676392709,0.5901370130238994,0.06477058318353468,1.2738214692761822,1.9587360322475433,1.8939654490640088,3.3067540555331454
W2_standard,13,248,25,0.10080645161290322,False,0.6201439797878265,1.3385920524597168,0.06251451409151476,0.5576294656963118,0.13493871496569726,1.2036533374940195,1.9587360322475433,1.823797317281846,6.889070949027387
W2_standard,13,248,37,0.14919354838709678,False,0.6201439797878265,1.3385920524597168,0.09252148085544187,0.5276224989323847,0.19970929814923194,1.138882754310485,1.9587360322475433,1.7590267340983115,10.195825004560533
W2_standard,13,248,50,0.20161290322580644,False,0.6201439797878265,1.3385920524597168,0.12502902818302952,0.49511495160479696,0.2698774299313945,1.0687146225283222,1.9587360322475433,1.6888586023161487,13.778141898054786
W2_standard,13,248,62,0.25,False,0.6201439797878265,1.3385920524597168,0.15503599494695663,0.4651079848408699,0.3346480131149292,1.0039440393447876,1.9587360322475433,1.6240880191326141,17.08489595358792
W2_standard,13,248,82,0.33064516129032256,False,0.6201439797878265,1.3385920524597168,0.20504760622016843,0.4150963735676581,0.44259898508748696,0.8959930673722298,1.9587360322475433,1.5436396586798853,21.192052769425874
W2_standard,13,248,104,0.41935483870967744,False,0.6201439797878265,1.3385920524597168,0.26006037862070147,0.36008360116712507,0.5613450542573006,0.7772469982024162,1.9587360322475433,1.5986524310804182,18.383467462634496
W2_standard,13,248,124,0.5,False,0.6201439797878265,1.3385920524597168,0.31007198989391327,0.31007198989391327,0.6692960262298584,0.6692960262298584,1.9587360322475433,1.64866404235363,15.830208092824149
W2_standard,13,248,132,0.532258064516129,False,0.6201439797878265,1.3385920524597168,0.33007663440319795,0.2900673453846286,0.7124764150188815,0.6261156374408353,1.9587360322475433,1.6686686868629148,14.808904344900009
W2_standard,13,248,166,0.6693548387096774,False,0.6201439797878265,1.3385920524597168,0.41509637356765805,0.2050476062201685,0.8959930673722297,0.4425989850874871,1.9587360322475433,1.7536884260273746,10.468363416222438
W2_standard,13,248,186,0.75,False,0.6201439797878265,1.3385920524597168,0.4651079848408699,0.15503599494695663,1.0039440393447876,0.3346480131149292,1.9587360322475433,1.8037000373005867,7.915104046412081
W2_standard,13,248,198,0.7983870967741935,False,0.6201439797878265,1.3385920524597168,0.49511495160479696,0.12502902818302958,1.0687146225283222,0.2698774299313946,1.9587360322475433,1.8337070040645138,6.383148424525864
W2_standard,13,248,223,0.8991935483870968,False,0.6201439797878265,1.3385920524597168,0.5576294656963118,0.06251451409151479,1.2036533374940195,0.1349387149656973,1.9587360322475433,1.8962215181560285,3.1915742122629376
W2_standard,13,248,232,0.9354838709677419,True,0.6201439797878265,1.3385920524597168,0.580134690769257,0.04000928901856949,1.2522312748816704,0.08636077757804632,1.9587360322475433,1.9187267432289739,2.042607495848281
W2_standard,13,248,247,0.9959677419354839,False,0.6201439797878265,1.3385920524597168,0.617643399224166,0.0025005805636605888,1.3331945038610888,0.005397548598627885,1.9587360322475433,1.956235451683883,0.12766296849050507
W2_standard,14,248,1,0.004032258064516129,False,0.6374399960041046,1.341055989265442,0.00257032256453268,0.6348696734395719,0.005407483827683233,1.3356485054377587,1.9784959852695465,1.9730885014418633,0.2733128531947182
W2_standard,14,248,4,0.016129032258064516,True,0.6374399960041046,1.341055989265442,0.01028129025813072,0.6271587057459739,0.021629935310732932,1.319426053954709,1.9784959852695465,1.9568660499588135,1.093251412778895
W2_standard,14,248,12,0.04838709677419355,False,0.6374399960041046,1.341055989265442,0.030843870774392157,0.6065961252297125,0.0648898059321988,1.2761661833332432,1.9784959852695465,1.9136061793373478,3.279754238336663
W2_standard,14,248,25,0.10080645161290322,False,0.6374399960041046,1.341055989265442,0.064258064113317,0.5731819318907876,0.13518709569208082,1.205868893573361,1.9784959852695465,1.8433088895774656,6.832821329868066
W2_standard,14,248,37,0.14919354838709678,False,0.6374399960041046,1.341055989265442,0.09510193488770916,0.5423380611163955,0.20007690162427966,1.1409790876411623,1.9784959852695465,1.778419083645267,10.11257556820473
W2_standard,14,248,50,0.20161290322580644,False,0.6374399960041046,1.341055989265442,0.128516128226634,0.5089238677774706,0.27037419138416163,1.0706817978812802,1.9784959852695465,1.7081217938853848,13.665642659736122
W2_standard,14,248,62,0.25,False,0.6374399960041046,1.341055989265442,0.15935999900102615,0.47807999700307846,0.3352639973163605,1.0057919919490814,1.9784959852695465,1.643231987953186,16.945396898072794
W2_standard,14,248,82,0.33064516129032256,False,0.6374399960041046,1.341055989265442,0.21076645029167973,0.4266735457124249,0.4434136738700251,0.8976423153954168,1.9784959852695465,1.5518224395571218,21.565550240643805
W2_standard,14,248,104,0.41935483870967744,False,0.6374399960041046,1.341055989265442,0.26731354671139873,0.3701264492927059,0.5623783180790562,0.7786776711863855,1.9784959852695465,1.6083695359768404,18.70746526899223
W2_standard,14,248,124,0.5,False,0.6374399960041046,1.341055989265442,0.3187199980020523,0.3187199980020523,0.670527994632721,0.670527994632721,1.9784959852695465,1.6597759872674942,16.10920620385441
W2_standard,14,248,132,0.532258064516129,False,0.6374399960041046,1.341055989265442,0.3392825785183137,0.2981574174857909,0.7137878652541868,0.6272681240112551,1.9784959852695465,1.6803385677837555,15.069902577799299
W2_standard,14,248,166,0.6693548387096774,False,0.6374399960041046,1.341055989265442,0.42667354571242483,0.21076645029167979,0.8976423153954167,0.44341367387002517,1.9784959852695465,1.7677295349778668,10.652862167065013
W2_standard,14,248,186,0.75,False,0.6374399960041046,1.341055989265442,0.47807999700307846,0.15935999900102615,1.0057919919490814,0.3352639973163605,1.9784959852695465,1.8191359862685204,8.054603101927205
W2_standard,14,248,198,0.7983870967741935,False,0.6374399960041046,1.341055989265442,0.5089238677774706,0.12851612822663402,1.0706817978812802,0.27037419138416174,1.9784959852695465,1.8499798570429125,6.495647662844528
W2_standard,14,248,223,0.8991935483870968,False,0.6374399960041046,1.341055989265442,0.5731819318907876,0.06425806411331701,1.205868893573361,0.13518709569208087,1.9784959852695465,1.9142379211562295,3.2478238314222585
W2_standard,14,248,232,0.9354838709677419,True,0.6374399960041046,1.341055989265442,0.5963148349715817,0.041125161032522915,1.2545362480225102,0.08651974124293181,1.9784959852695465,1.9373708242370236,2.078607252110254
W2_standard,14,248,247,0.9959677419354839,False,0.6374399960041046,1.341055989265442,0.6348696734395719,0.0025703225645326774,1.3356485054377587,0.005407483827683229,1.9784959852695465,1.9759256627050137,0.12991295325689434
W2_standard,15,248,1,0.004032258064516129,False,0.6234879791736603,1.3016319870948792,0.002514064432151856,0.6209739147415084,0.00524851607699548,1.2963834710178836,1.9251199662685394,1.919871450191544,0.2726331952791816
W2_standard,15,248,4,0.016129032258064516,True,0.6234879791736603,1.3016319870948792,0.010056257728607423,0.6134317214450529,0.02099406430798192,1.2806379227868971,1.9251199662685394,1.9041259019605574,1.0905327811167376
W2_standard,15,248,12,0.04838709677419355,False,0.6234879791736603,1.3016319870948792,0.03016877318582227,0.593319205987838,0.06298219292394576,1.2386497941709333,1.9251199662685394,1.8621377733445936,3.2715983433502127
W2_standard,15,248,25,0.10080645161290322,False,0.6234879791736603,1.3016319870948792,0.06285161080379639,0.5606363683698639,0.131212901924887,1.170419085169992,1.9251199662685394,1.7939070643436523,6.815829881979618
W2_standard,15,248,37,0.14919354838709678,False,0.6234879791736603,1.3016319870948792,0.09302038398961868,0.5304675951840416,0.1941950948488328,1.1074368922460465,1.9251199662685394,1.7309248714197067,10.08742822532983
W2_standard,15,248,50,0.20161290322580644,False,0.6234879791736603,1.3016319870948792,0.12570322160759279,0.49778475756606744,0.262425803849774,1.0392061832451052,1.9251199662685394,1.6626941624187654,13.631659763959226
W2_standard,15,248,62,0.25,False,0.6234879791736603,1.3016319870948792,0.15587199479341507,0.4676159843802452,0.3254079967737198,0.9762239903211594,1.9251199662685394,1.5997119694948196,16.903258107309448
W2_standard,15,248,82,0.33064516129032256,False,0.6234879791736603,1.3016319870948792,0.20615328343645217,0.41733469573720816,0.4303783183136294,0.8712536687812499,1.9251199662685394,1.5077852705313313,21.678373454623102
W2_standard,15,248,104,0.41935483870967744,False,0.6234879791736603,1.3016319870948792,0.26146270094379304,0.3620252782298672,0.54584567200753,0.7557863150873491,1.9251199662685394,1.5630946880386722,18.805336008829666
