request_id,iteration,wave,layer,segment,stage,duration_ms
coffee,0,1,12,prefix,moe_total,1.4868799448013306
coffee,0,1,12,tail,attention,0.7089599967002869
coffee,0,1,12,tail,combine,0.17689600586891174
coffee,0,1,12,tail,decoder_layer,2.301664113998413
coffee,0,1,12,tail,dispatch,0.46492800116539
coffee,0,1,12,tail,expert,0.4589439928531647
coffee,0,1,12,tail,moe_total,1.5171840190887451
coffee,0,1,13,prefix,attention,0.726207971572876
coffee,0,1,13,prefix,combine,0.20006400346755981
coffee,0,1,13,prefix,decoder_layer,2.3225278854370117
coffee,0,1,13,prefix,dispatch,0.42841601371765137
coffee,0,1,13,prefix,expert,0.44998401403427124
coffee,0,1,13,prefix,moe_total,1.4820480346679688
coffee,0,1,13,tail,attention,0.7836800217628479
coffee,0,1,13,tail,combine,0.11340799927711487
coffee,0,1,13,tail,decoder_layer,2.301919937133789
coffee,0,1,13,tail,dispatch,0.4798400104045868
coffee,0,1,13,tail,expert,0.4501760005950928
coffee,0,1,13,tail,moe_total,1.549056053161621
coffee,0,1,14,prefix,attention,0.8267840147018433
coffee,0,1,14,prefix,combine,0.11289600282907486
coffee,0,1,14,prefix,decoder_layer,2.3341760635375977
coffee,0,1,14,prefix,dispatch,0.5213119983673096
coffee,0,1,14,prefix,expert,0.40720000863075256
coffee,0,1,14,prefix,moe_total,1.534783959388733
coffee,0,1,14,tail,attention,0.754368007183075
coffee,0,1,14,tail,combine,0.13526399433612823
coffee,0,1,14,tail,decoder_layer,2.2820799350738525
coffee,0,1,14,tail,dispatch,0.44412800669670105
coffee,0,1,14,tail,expert,0.45903998613357544
coffee,0,1,14,tail,moe_total,1.4607360363006592
coffee,0,1,15,prefix,attention,0.677951991558075
coffee,0,1,15,prefix,combine,0.14998400211334229
coffee,0,1,15,prefix,decoder_layer,2.3161919116973877
coffee,0,1,15,prefix,dispatch,0.4394879937171936
coffee,0,1,15,prefix,expert,0.4597119987010956
coffee,0,1,15,prefix,moe_total,1.5277760028839111
coffee,0,1,15,tail,attention,0.712831974029541
coffee,0,1,15,tail,combine,0.1249919980764389
coffee,0,1,15,tail,decoder_layer,2.233952045440674
coffee,0,1,15,tail,dispatch,0.39577600359916687
coffee,0,1,15,tail,expert,0.4177600145339966
coffee,0,1,15,tail,moe_total,1.44268798828125
coffee,0,1,16,prefix,attention,0.7832639813423157
coffee,0,1,16,prefix,combine,0.11347199976444244
coffee,0,1,16,prefix,decoder_layer,2.297152042388916
coffee,0,1,16,prefix,dispatch,0.47600001096725464
coffee,0,1,16,prefix,expert,0.4129599928855896
coffee,0,1,16,prefix,moe_total,1.5085760354995728
coffee,0,1,16,tail,attention,0.6849279999732971
coffee,0,1,16,tail,combine,0.12620800733566284
coffee,0,1,16,tail,decoder_layer,2.3041279315948486
coffee,0,1,16,tail,dispatch,0.45001599192619324
coffee,0,1,16,tail,expert,0.43055999279022217
coffee,0,1,16,tail,moe_total,1.5306559801101685
coffee,0,1,17,prefix,attention,0.7436479926109314
coffee,0,1,17,prefix,combine,0.10768000036478043
