run_id,wave,request_id,workload_id,iteration,layer,stage,tokens,duration_ms,source_run
baseline_r1,8,W1_text,W1_text,0,18,attention_total,2363,0.6739839911460876,baseline_v2
baseline_r1,8,W1_text,W1_text,0,18,combine,1182,0.14688000082969666,baseline_v2
baseline_r1,8,W1_text,W1_text,0,18,dispatch,1182,0.3150080144405365,baseline_v2
baseline_r1,8,W1_text,W1_text,0,18,expert,-1,0.5564159750938416,baseline_v2
baseline_r1,8,W1_text,W1_text,0,18,layer_total,2363,2.0895678997039795,baseline_v2
baseline_r1,8,W1_text,W1_text,0,18,moe_total,2363,1.3175679445266724,baseline_v2
baseline_r1,8,W1_text,W1_text,0,19,attention_total,2363,0.6709120273590088,baseline_v2
baseline_r1,8,W1_text,W1_text,0,19,combine,1182,0.1549759954214096,baseline_v2
baseline_r1,8,W1_text,W1_text,0,19,dispatch,1182,0.2840319871902466,baseline_v2
baseline_r1,8,W1_text,W1_text,0,19,expert,-1,0.559552013874054,baseline_v2
baseline_r1,8,W1_text,W1_text,0,19,layer_total,2363,2.0945279598236084,baseline_v2
baseline_r1,8,W1_text,W1_text,0,19,moe_total,2363,1.325984001159668,baseline_v2
baseline_r1,8,W1_text,W1_text,0,20,attention_total,2363,0.6607040166854858,baseline_v2
baseline_r1,8,W1_text,W1_text,0,20,combine,1182,0.15593600273132324,baseline_v2
baseline_r1,8,W1_text,W1_text,0,20,dispatch,1182,0.28038400411605835,baseline_v2
baseline_r1,8,W1_text,W1_text,0,20,expert,-1,0.561024010181427,baseline_v2
baseline_r1,8,W1_text,W1_text,0,20,layer_total,2363,2.0663681030273438,baseline_v2
baseline_r1,8,W1_text,W1_text,0,20,moe_total,2363,1.314560055732727,baseline_v2
baseline_r1,8,W1_text,W1_text,0,21,attention_total,2363,0.6600000262260437,baseline_v2
baseline_r1,8,W1_text,W1_text,0,21,combine,1182,0.14211200177669525,baseline_v2
baseline_r1,8,W1_text,W1_text,0,21,dispatch,1182,0.26576000452041626,baseline_v2
baseline_r1,8,W1_text,W1_text,0,21,expert,-1,0.5733759999275208,baseline_v2
baseline_r1,8,W1_text,W1_text,0,21,layer_total,2363,2.076319932937622,baseline_v2
baseline_r1,8,W1_text,W1_text,0,21,moe_total,2363,1.30457603931427,baseline_v2
baseline_r1,8,W1_text,W1_text,0,22,attention_total,2363,0.672544002532959,baseline_v2
