workload_id,layer,attention_total,combine,dispatch,expert,layer_total,moe_total
W2_standard,33,0.6304160058498383,0.10889599844813347,0.3442879915237427,0.4137600064277649,2.0514559745788574,1.3079999685287476
W2_standard,34,0.6129759848117828,0.12163200229406357,0.3503360003232956,0.4169920086860657,2.0428320169448853,1.3562400341033936
W2_standard,35,0.6179039776325226,0.10699199885129929,0.38704000413417816,0.420960009098053,2.0905280113220215,1.327344000339508
W2_standard,36,0.6093119978904724,0.1106560006737709,0.3166240006685257,0.4228479862213135,2.0242719650268555,1.3173120021820068
W2_standard,37,0.6270560026168823,0.11537599936127663,0.33476801216602325,0.4211519956588745,2.0403358936309814,1.2936959862709045
W2_standard,38,0.6132640242576599,0.11115200072526932,0.3394559919834137,0.41625601053237915,2.0536320209503174,1.3288800120353699
W2_standard,39,0.6176479756832123,0.1130560003221035,0.3672959953546524,0.41545599699020386,2.0456960201263428,1.3266720175743103
W2_standard,40,0.6223840117454529,0.10900799930095673,0.33742399513721466,0.4280639886856079,2.054319977760315,1.316096007823944
W2_standard,41,0.6231839954853058,0.10555199906229973,0.3603519946336746,0.4313279986381531,2.04912006855011,1.3353760242462158
W2_standard,42,0.6206719875335693,0.11748800054192543,0.33848001062870026,0.41648000478744507,2.048143982887268,1.3443999886512756
W2_standard,43,0.6174400150775909,0.10172799974679947,0.3840640038251877,0.42239999771118164,2.044655919075012,1.3492799997329712
W2_standard,44,0.6183519959449768,0.12099199742078781,0.3097120076417923,0.41836801171302795,2.0250879526138306,1.3295039534568787
W2_standard,45,0.638128012418747,0.10583999752998352,0.3813759982585907,0.41305598616600037,2.058784008026123,1.3465439677238464
W2_standard,46,0.6235679984092712,0.10409600287675858,0.33059199154376984,0.4322879910469055,2.0340319871902466,1.3345119953155518
W2_standard,47,0.6170559823513031,0.12836800515651703,0.31675200164318085,0.42873600125312805,2.0461440086364746,1.3125759959220886
W3_vision_heavy,0,1.0760639905929565,0.1610720008611679,0.6796639859676361,0.5933759808540344,2.702815890312195,1.5849440097808838
W3_vision_heavy,1,0.7358080148696899,0.1387680023908615,0.3973439931869507,0.5721279978752136,2.206704020500183,1.408352017402649
W3_vision_heavy,2,0.6705280244350433,0.1297599971294403,0.30963200330734253,0.5796480178833008,2.142656087875366,1.3789920210838318
W3_vision_heavy,3,0.6821599900722504,0.15355199575424194,0.30721600353717804,0.5780799984931946,2.151087999343872,1.3431519865989685
W3_vision_heavy,4,0.6879680156707764,0.12339199706912041,0.3267520070075989,0.5560320019721985,2.14411199092865,1.365488052368164
W3_vision_heavy,5,0.6953920125961304,0.12092800065875053,0.32094399631023407,0.5641599893569946,2.1384799480438232,1.3532000184059143
W3_vision_heavy,6,0.6904639899730682,0.15707200020551682,0.33721600472927094,0.5745279788970947,2.1898399591445923,1.4151040315628052
W3_vision_heavy,7,0.6752640008926392,0.13447999954223633,0.2876800000667572,0.5632320046424866,2.1134079694747925,1.3427039980888367
W3_vision_heavy,8,0.6935839951038361,0.14150399714708328,0.31539200246334076,0.5657600164413452,2.1528480052948,1.3532159924507141
W3_vision_heavy,9,0.6785440146923065,0.136912003159523,0.3172159940004349,0.5607039928436279,2.11244797706604,1.333407998085022
W3_vision_heavy,10,0.7046079933643341,0.1295360028743744,0.29398399591445923,0.5777279734611511,2.1450719833374023,1.3620960116386414
W3_vision_heavy,11,0.691103994846344,0.13728000223636627,0.3213919997215271,0.5916479825973511,2.136687994003296,1.37391996383667
W3_vision_heavy,12,0.7054399847984314,0.17903999984264374,0.3136799931526184,0.5525760054588318,2.1626240015029907,1.3551040291786194
W3_vision_heavy,13,0.6780479848384857,0.14388799667358398,0.29822398722171783,0.564191997051239,2.112928032875061,1.3455359935760498
W3_vision_heavy,14,0.6788800060749054,0.15276800096035004,0.30057600140571594,0.5859839916229248,2.132672071456909,1.3370559811592102
W3_vision_heavy,15,0.6873120069503784,0.17481600493192673,0.3240959942340851,0.5932160019874573,2.1332799196243286,1.3610879778862
W3_vision_heavy,16,0.6778879761695862,0.15145599842071533,0.31166400015354156,0.5604159832000732,2.1228801012039185,1.3567999601364136
W3_vision_heavy,17,0.6913279891014099,0.13248000293970108,0.3150079995393753,0.5703999996185303,2.1535680294036865,1.3576800227165222
W3_vision_heavy,18,0.689056009054184,0.15144000202417374,0.31166400015354156,0.5868160128593445,2.1552319526672363,1.3501920104026794
W3_vision_heavy,19,0.6955039799213409,0.14081599563360214,0.3394239991903305,0.5735039710998535,2.1420639753341675,1.3589119911193848
W3_vision_heavy,20,0.6816319823265076,0.13062400370836258,0.3134559988975525,0.5733439922332764,2.120176076889038,1.3409759998321533
W3_vision_heavy,21,0.6915520131587982,0.14713599532842636,0.31414400041103363,0.563040018081665,2.152735948562622,1.3583199977874756
W3_vision_heavy,22,0.6838879883289337,0.1454559937119484,0.34275199472904205,0.5685759782791138,2.1507359743118286,1.3521119952201843
W3_vision_heavy,23,0.6814559996128082,0.12200000137090683,0.3194880038499832,0.5800960063934326,2.1670080423355103,1.3597279787063599
W3_vision_heavy,24,0.6841599941253662,0.1268799975514412,0.30961599946022034,0.5617280006408691,2.1143200397491455,1.333184003829956
W3_vision_heavy,25,0.6965759992599487,0.13681600242853165,0.3163039982318878,0.5697280168533325,2.152031898498535,1.354640007019043
W3_vision_heavy,26,0.6886079907417297,0.16785600036382675,0.3115359991788864,0.5822399854660034,2.133776068687439,1.3418079614639282
W3_vision_heavy,27,0.7011200189590454,0.17520000040531158,0.3259519934654236,0.583840012550354,2.1498560905456543,1.3444960117340088
W3_vision_heavy,28,0.6719840168952942,0.1801920011639595,0.3296000063419342,0.5672320127487183,2.1350239515304565,1.3801760077476501
W3_vision_heavy,29,0.68681600689888,0.15009599924087524,0.3133600056171417,0.5551679730415344,2.125872015953064,1.3510879874229431
W3_vision_heavy,30,0.6895679831504822,0.15059199929237366,0.32388798892498016,0.580128014087677,2.166864037513733,1.3934879899024963
W3_vision_heavy,31,0.6773600280284882,0.14219199866056442,0.33635199069976807,0.5627840161323547,2.1379199028015137,1.3466879725456238
W3_vision_heavy,32,0.6937759816646576,0.1329599991440773,0.3153599947690964,0.5764480233192444,2.1401278972625732,1.3606879711151123
W3_vision_heavy,33,0.6919200122356415,0.13708800077438354,0.3115359991788864,0.5619199872016907,2.128000020980835,1.360096037387848
W3_vision_heavy,34,0.7151359915733337,0.1266079992055893,0.3335839956998825,0.5643200278282166,2.1452319622039795,1.3513919711112976
W3_vision_heavy,35,0.6815199851989746,0.12123199924826622,0.3109920024871826,0.5566719770431519,2.125248074531555,1.3389919996261597
W3_vision_heavy,36,0.6944479942321777,0.1297760009765625,0.3137599974870682,0.5545600056648254,2.1581919193267822,1.3477759957313538
W3_vision_heavy,37,0.684799998998642,0.12353599816560745,0.3080960065126419,0.5574399828910828,2.1327039003372192,1.342191994190216
W3_vision_heavy,38,0.7054240107536316,0.12364799901843071,0.29523199796676636,0.5667840242385864,2.1460479497909546,1.3490559458732605
W3_vision_heavy,39,0.6956959962844849,0.14526399970054626,0.34092798829078674,0.5934079885482788,2.1460479497909546,1.3672639727592468
W3_vision_heavy,40,0.6995199918746948,0.12476800382137299,0.32328000664711,0.5715839862823486,2.1374080181121826,1.3343679904937744
W3_vision_heavy,41,0.6874240040779114,0.16151999682188034,0.33159999549388885,0.5620480179786682,2.1507359743118286,1.3773120045661926
W3_vision_heavy,42,0.682015985250473,0.12873600050807,0.3476320058107376,0.5640959739685059,2.153599977493286,1.3746880292892456
W3_vision_heavy,43,0.6771360039710999,0.1422879993915558,0.29894399642944336,0.5718399882316589,2.143231987953186,1.3648479580879211
W3_vision_heavy,44,0.6755520105361938,0.1342559978365898,0.28705599904060364,0.5570560097694397,2.1148799657821655,1.3417440056800842
W3_vision_heavy,45,0.6844960153102875,0.15356799960136414,0.33985599875450134,0.572767972946167,2.1378079652786255,1.338304042816162
W3_vision_heavy,46,0.6918239891529083,0.11876799911260605,0.31939199566841125,0.5640320181846619,2.1124000549316406,1.3287839889526367
W3_vision_heavy,47,0.6946879923343658,0.13819199800491333,0.3156159967184067,0.5691519975662231,2.1588159799575806,1.3657919764518738
W4_multi_image,0,0.9531200230121613,0.1244639977812767,0.611055999994278,0.4469760060310364,2.6706559658050537,1.4681599736213684
W4_multi_image,1,0.6220639944076538,0.10198400169610977,0.3516800105571747,0.450080007314682,2.1203839778900146,1.394607961177826
W4_multi_image,2,0.6184960007667542,0.08808000013232231,0.3102879971265793,0.4522239863872528,2.0588479042053223,1.3299839496612549
W4_multi_image,3,0.6198559999465942,0.09545600041747093,0.3272960036993027,0.4577920138835907,2.092144012451172,1.3458240032196045
W4_multi_image,4,0.6185919940471649,0.09062400087714195,0.32440000772476196,0.4504320025444031,2.0501919984817505,1.334767997264862
W4_multi_image,5,0.6296799778938293,0.08592000231146812,0.3410720080137253,0.454367995262146,2.0612640380859375,1.3453600406646729
