wave,layer,request_id,budget,strategy,base_assignments,removed_assignments,actual_removed_fraction,base_critical_rank,new_critical_rank,critical_rank_load_reduction,max_rank_load_reduction,predicted_expert_latency_reduction,pair_cosine_median,selected_critical_pair_fraction,quality_error_proxy_1_minus_cosine
6,6,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,6,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,1,1,0.2807424593967517,0.2807424593967517,0.2807424593967517,,,
6,6,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,6,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,7,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,6,6,0.04528301886792452,0.04528301886792452,0.04528301886792452,,,
6,7,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,7,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,7,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,6,6,0.09433962264150941,0.09433962264150941,0.09433962264150941,,,
6,7,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,7,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,7,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,6,6,0.19999999999999996,0.19999999999999996,0.19999999999999996,,,
6,7,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,7,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,7,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,6,7,0.30188679245283023,0.2716981132075472,0.2716981132075472,,,
6,7,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,7,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,8,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,4,4,0.04166666666666663,0.04166666666666663,0.04166666666666663,,,
6,8,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,4,4,0.0,0.0,0.0,,,
6,8,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,4,4,0.0,0.0,0.0,,,
6,8,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,4,3,0.10416666666666663,0.09375,0.09375,,,
6,8,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,4,4,0.0,0.0,0.0,,,
6,8,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,4,4,0.0,0.0,0.0,,,
6,8,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,4,3,0.23611111111111116,0.20486111111111116,0.20486111111111116,,,
6,8,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,4,4,0.0,0.0,0.0,,,
6,8,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,4,4,0.0,0.0,0.0,,,
6,8,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,4,3,0.3368055555555556,0.3159722222222222,0.3159722222222222,,,
6,8,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,4,4,0.0,0.0,0.0,,,
6,8,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,4,4,0.0,0.0,0.0,,,
6,9,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,1,1,0.06796116504854366,0.06796116504854366,0.06796116504854366,,,
6,9,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,9,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,9,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,1,1,0.09708737864077666,0.09708737864077666,0.09708737864077666,,,
6,9,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,9,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,9,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,1,1,0.18122977346278313,0.18122977346278313,0.18122977346278313,,,
6,9,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,9,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,9,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,1,1,0.27508090614886727,0.27508090614886727,0.27508090614886727,,,
6,9,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,9,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,1,1,0.0,0.0,0.0,,,
6,10,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,0,0,0.05841924398625431,0.05841924398625431,0.05841924398625431,,,
6,10,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,10,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,10,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,0,0,0.11683848797250862,0.11683848797250862,0.11683848797250862,,,
6,10,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,10,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,10,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,0,0,0.2233676975945017,0.2233676975945017,0.2233676975945017,,,
6,10,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,10,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,10,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,0,0,0.302405498281787,0.302405498281787,0.302405498281787,,,
6,10,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,10,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,0,0,0.0,0.0,0.0,,,
6,11,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,2,2,0.06440677966101693,0.06440677966101693,0.06440677966101693,,,
6,11,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,11,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,11,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,2,2,0.10508474576271187,0.10508474576271187,0.10508474576271187,,,
6,11,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,11,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,11,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,2,2,0.1932203389830508,0.1932203389830508,0.1932203389830508,,,
6,11,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,11,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,11,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,2,2,0.30508474576271183,0.30508474576271183,0.30508474576271183,,,
6,11,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,11,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,12,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,5,5,0.055384615384615365,0.055384615384615365,0.055384615384615365,,,
6,12,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,5,5,0.0,0.0,0.0,,,
6,12,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,5,5,0.0,0.0,0.0,,,
6,12,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,5,5,0.10461538461538467,0.10461538461538467,0.10461538461538467,,,
6,12,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,5,5,0.0,0.0,0.0,,,
6,12,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,5,5,0.0,0.0,0.0,,,
6,12,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,5,5,0.20615384615384613,0.20615384615384613,0.20615384615384613,,,
6,12,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,5,5,0.0,0.0,0.0,,,
6,12,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,5,5,0.0,0.0,0.0,,,
6,12,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,5,5,0.3292307692307692,0.3292307692307692,0.3292307692307692,,,
6,12,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,5,5,0.0,0.0,0.0,,,
6,12,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,5,5,0.0,0.0,0.0,,,
6,13,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,6,6,0.046666666666666634,0.046666666666666634,0.046666666666666634,,,
6,13,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,13,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,13,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,6,6,0.12,0.12,0.12,,,
6,13,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,13,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,13,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,6,6,0.22333333333333338,0.22333333333333338,0.22333333333333338,,,
6,13,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,13,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,13,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,6,6,0.31666666666666665,0.31666666666666665,0.31666666666666665,,,
6,13,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,13,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,6,6,0.0,0.0,0.0,,,
6,14,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,2,2,0.024390243902439046,0.024390243902439046,0.024390243902439046,,,
6,14,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,14,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,14,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,2,2,0.0662020905923345,0.0662020905923345,0.0662020905923345,,,
6,14,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,14,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,14,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,2,2,0.17421602787456447,0.17421602787456447,0.17421602787456447,,,
6,14,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,14,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,14,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,2,2,0.2961672473867596,0.2961672473867596,0.2961672473867596,,,
6,14,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,14,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,15,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,7,7,0.04620462046204621,0.04620462046204621,0.04620462046204621,,,
6,15,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,7,7,0.0,0.0,0.0,,,
6,15,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,7,7,0.0,0.0,0.0,,,
6,15,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,7,7,0.09900990099009899,0.09900990099009899,0.09900990099009899,,,
6,15,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,7,7,0.0,0.0,0.0,,,
6,15,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,7,7,0.0,0.0,0.0,,,
6,15,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,7,7,0.1815181518151815,0.1815181518151815,0.1815181518151815,,,
6,15,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,7,7,0.0,0.0,0.0,,,
6,15,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,7,7,0.0,0.0,0.0,,,
6,15,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,7,7,0.2805280528052805,0.2805280528052805,0.2805280528052805,,,
6,15,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,7,7,0.0,0.0,0.0,,,
6,15,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,7,7,0.0,0.0,0.0,,,
6,16,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,6,6,0.042042042042042094,0.042042042042042094,0.042042042042042094,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.05,REDUNDANCY_ONLY,1744,7,0.0040137614678899085,6,6,0.006006006006005982,0.006006006006005982,0.006006006006005982,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,7,0.0040137614678899085,6,6,0.006006006006005982,0.006006006006005982,0.006006006006005982,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,6,6,0.08408408408408408,0.08408408408408408,0.08408408408408408,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.1,REDUNDANCY_ONLY,1744,7,0.0040137614678899085,6,6,0.006006006006005982,0.006006006006005982,0.006006006006005982,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,7,0.0040137614678899085,6,6,0.006006006006005982,0.006006006006005982,0.006006006006005982,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,6,6,0.17417417417417413,0.17417417417417413,0.17417417417417413,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.2,REDUNDANCY_ONLY,1744,7,0.0040137614678899085,6,6,0.006006006006005982,0.006006006006005982,0.006006006006005982,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,7,0.0040137614678899085,6,6,0.006006006006005982,0.006006006006005982,0.006006006006005982,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,6,6,0.26126126126126126,0.26126126126126126,0.26126126126126126,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.3,REDUNDANCY_ONLY,1744,7,0.0040137614678899085,6,6,0.006006006006005982,0.006006006006005982,0.006006006006005982,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,16,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,7,0.0040137614678899085,6,6,0.006006006006005982,0.006006006006005982,0.006006006006005982,0.9007489681243896,0.2857142857142857,0.09925103187561035
6,17,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,2,2,0.06953642384105962,0.06953642384105962,0.06953642384105962,,,
6,17,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,17,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,17,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,2,2,0.1291390728476821,0.1291390728476821,0.1291390728476821,,,
6,17,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,17,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,17,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,2,2,0.2218543046357616,0.2218543046357616,0.2218543046357616,,,
6,17,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,17,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
