wave,layer,request_id,pair_budget_fraction,strategy,available_pairs,removed_assignments,actual_removed_fraction,max_rank_load_reduction,critical_pair_fraction,pair_cosine_median
8,16,pair_resolution,0.5,REDUNDANCY_ONLY,37,19,0.001979166666666667,0.001388888888888884,0.10526315789473684,0.9305993914604187
8,16,pair_resolution,0.5,CRITICAL_RANK_AWARE,37,19,0.001979166666666667,0.002777777777777768,0.21052631578947367,0.9305993914604187
8,16,pair_resolution,0.75,RANDOM_MATCHED,37,28,0.002916666666666667,0.002083333333333326,0.10714285714285714,0.9121396541595459
8,16,pair_resolution,0.75,REDUNDANCY_ONLY,37,28,0.002916666666666667,0.002083333333333326,0.10714285714285714,0.9173963665962219
8,16,pair_resolution,0.75,CRITICAL_RANK_AWARE,37,28,0.002916666666666667,0.002777777777777768,0.14285714285714285,0.9173963665962219
8,16,pair_resolution,1.0,RANDOM_MATCHED,37,37,0.0038541666666666668,0.002777777777777768,0.10810810810810811,0.9121397137641907
8,16,pair_resolution,1.0,REDUNDANCY_ONLY,37,37,0.0038541666666666668,0.002777777777777768,0.10810810810810811,0.9121397137641907
8,16,pair_resolution,1.0,CRITICAL_RANK_AWARE,37,37,0.0038541666666666668,0.002777777777777768,0.10810810810810811,0.9121397137641907
8,24,pair_resolution,0.25,RANDOM_MATCHED,96,24,0.0025,0.001854140914709479,0.125,0.924929291009903
8,24,pair_resolution,0.25,REDUNDANCY_ONLY,96,24,0.0025,0.0,0.0,0.9692374467849731
8,24,pair_resolution,0.25,CRITICAL_RANK_AWARE,96,24,0.0025,0.008652657601977753,0.5833333333333334,0.9368665218353271
8,24,pair_resolution,0.5,RANDOM_MATCHED,96,48,0.005,0.0030902348578492056,0.10416666666666667,0.9261780083179474
8,24,pair_resolution,0.5,REDUNDANCY_ONLY,96,48,0.005,0.0030902348578492056,0.10416666666666667,0.9457111358642578
8,24,pair_resolution,0.5,CRITICAL_RANK_AWARE,96,48,0.005,0.008652657601977753,0.2916666666666667,0.9457111358642578
8,24,pair_resolution,0.75,RANDOM_MATCHED,96,72,0.0075,0.006180469715698411,0.1388888888888889,0.9261780381202698
8,24,pair_resolution,0.75,REDUNDANCY_ONLY,96,72,0.0075,0.005562422744128548,0.125,0.9384279549121857
8,24,pair_resolution,0.75,CRITICAL_RANK_AWARE,96,72,0.0075,0.008652657601977753,0.19444444444444445,0.9384279549121857
8,24,pair_resolution,1.0,RANDOM_MATCHED,96,96,0.01,0.008652657601977753,0.14583333333333334,0.9286317527294159
8,24,pair_resolution,1.0,REDUNDANCY_ONLY,96,96,0.01,0.008652657601977753,0.14583333333333334,0.9286317527294159
8,24,pair_resolution,1.0,CRITICAL_RANK_AWARE,96,96,0.01,0.008652657601977753,0.14583333333333334,0.9286317527294159
8,40,pair_resolution,0.25,RANDOM_MATCHED,214,54,0.005625,0.005412719891745632,0.14814814814814814,0.9304713010787964
8,40,pair_resolution,0.25,REDUNDANCY_ONLY,214,54,0.005625,0.006765899864682012,0.18518518518518517,0.9546833634376526
8,40,pair_resolution,0.25,CRITICAL_RANK_AWARE,214,54,0.005625,0.026387009472259804,0.7222222222222222,0.940811812877655
8,40,pair_resolution,0.5,RANDOM_MATCHED,214,107,0.011145833333333334,0.012178619756427644,0.16822429906542055,0.9304713010787964
8,40,pair_resolution,0.5,REDUNDANCY_ONLY,214,107,0.011145833333333334,0.012855209742895779,0.17757009345794392,0.9469950199127197
8,40,pair_resolution,0.5,CRITICAL_RANK_AWARE,214,107,0.011145833333333334,0.026387009472259804,0.3644859813084112,0.9469950199127197
8,40,pair_resolution,0.75,RANDOM_MATCHED,214,161,0.016770833333333332,0.01962110960757779,0.18012422360248448,0.9328048825263977
8,40,pair_resolution,0.75,REDUNDANCY_ONLY,214,161,0.016770833333333332,0.01962110960757779,0.18012422360248448,0.9353962540626526
8,40,pair_resolution,0.75,CRITICAL_RANK_AWARE,214,161,0.016770833333333332,0.026387009472259804,0.2422360248447205,0.9353962540626526
8,40,pair_resolution,1.0,RANDOM_MATCHED,214,214,0.022291666666666668,0.026387009472259804,0.1822429906542056,0.9304713010787964
8,40,pair_resolution,1.0,REDUNDANCY_ONLY,214,214,0.022291666666666668,0.026387009472259804,0.1822429906542056,0.9304713010787964
8,40,pair_resolution,1.0,CRITICAL_RANK_AWARE,214,214,0.022291666666666668,0.026387009472259804,0.1822429906542056,0.9304713010787964
9,16,quad_diverse,0.25,RANDOM_MATCHED,27,7,0.0011792452830188679,0.002640845070422504,0.42857142857142855,0.904375433921814
9,16,quad_diverse,0.25,REDUNDANCY_ONLY,27,7,0.0011792452830188679,0.002640845070422504,0.42857142857142855,0.9130926728248596
9,16,quad_diverse,0.25,CRITICAL_RANK_AWARE,27,7,0.0011792452830188679,0.0061619718309858795,1.0,0.904375433921814
9,16,quad_diverse,0.5,RANDOM_MATCHED,27,14,0.0023584905660377358,0.004401408450704247,0.35714285714285715,0.904375433921814
