wave,layer,expert_id,token_a,token_b,dest_rank_a,dest_rank_b,cosine,critical_pair
16,16,21,112,508,1,1,0.9555739164352417,1
16,16,21,64,460,1,1,0.9204559326171875,1
16,16,21,96,492,1,1,0.9065955281257629,1
16,16,22,117,513,1,1,0.9664178490638733,1
16,16,22,36,432,1,1,0.9557017087936401,1
16,16,22,103,499,1,1,0.9541344046592712,1
16,16,22,25,421,1,1,0.9513905644416809,1
16,16,22,128,524,1,1,0.9491958022117615,1
16,16,22,125,521,1,1,0.9456799030303955,1
16,16,22,92,488,1,1,0.9415209293365479,1
16,16,22,105,501,1,1,0.936900794506073,1
16,16,22,104,500,1,1,0.930770754814148,1
16,16,22,113,509,1,1,0.9124626517295837,1
16,16,22,107,503,1,1,0.9098389148712158,1
16,16,23,130,526,1,1,0.9718089699745178,1
16,16,23,37,433,1,1,0.9678249955177307,1
16,16,23,122,518,1,1,0.9672045707702637,1
16,16,23,117,513,1,1,0.9664178490638733,1
16,16,23,60,456,1,1,0.9656626582145691,1
16,16,23,101,497,1,1,0.9583562016487122,1
16,16,23,44,440,1,1,0.93929523229599,1
16,16,23,59,455,1,1,0.9220029711723328,1
16,16,24,39,435,1,1,0.967655599117279,1
16,16,24,121,517,1,1,0.9485054612159729,1
16,16,24,53,449,1,1,0.9306403398513794,1
16,16,27,38,434,1,1,0.9724600911140442,1
16,16,27,37,433,1,1,0.9678249955177307,1
16,16,27,39,435,1,1,0.9676557183265686,1
16,16,27,36,432,1,1,0.9557017087936401,1
16,16,27,61,457,1,1,0.9524069428443909,1
16,16,27,25,421,1,1,0.9513905644416809,1
16,16,27,10,406,1,1,0.9436219930648804,1
16,16,27,42,438,1,1,0.9414204955101013,1
16,16,27,24,420,1,1,0.920650064945221,1
16,16,27,108,504,1,1,0.9161651730537415,1
16,16,27,22,418,1,1,0.9011874198913574,1
16,16,28,38,434,1,1,0.9724600911140442,1
16,16,28,66,462,1,1,0.9693880081176758,1
16,16,28,37,433,1,1,0.9678249955177307,1
16,16,28,39,435,1,1,0.9676557183265686,1
16,16,28,101,497,1,1,0.9583562016487122,1
16,16,28,36,432,1,1,0.9557017087936401,1
16,16,28,29,425,1,1,0.9356420040130615,1
16,16,28,53,449,1,1,0.9306406378746033,1
16,16,28,124,520,1,1,0.9293598532676697,1
16,16,28,23,419,1,1,0.923525869846344,1
16,16,28,59,455,1,1,0.9220029711723328,1
16,16,28,24,420,1,1,0.920650064945221,1
16,16,29,83,479,1,1,0.9701730012893677,1
16,16,29,66,462,1,1,0.9693880081176758,1
16,16,29,51,447,1,1,0.9557679891586304,1
16,16,29,80,476,1,1,0.9497517943382263,1
16,16,29,65,461,1,1,0.9448288679122925,1
16,16,29,52,448,1,1,0.9380956292152405,1
16,16,30,39,435,1,1,0.9676557183265686,1
16,16,30,101,497,1,1,0.9583562016487122,1
16,16,30,121,517,1,1,0.9485055208206177,1
16,16,30,47,443,1,1,0.9465183019638062,1
16,16,30,99,495,1,1,0.9456295371055603,1
16,16,30,88,484,1,1,0.9445227980613708,1
16,16,30,68,464,1,1,0.9423621892929077,1
16,16,30,44,440,1,1,0.93929523229599,1
16,16,30,71,467,1,1,0.9326695799827576,1
16,16,30,43,439,1,1,0.931027352809906,1
16,16,30,59,455,1,1,0.9220029711723328,1
16,16,30,19,415,1,1,0.9188128113746643,1
16,16,30,33,429,1,1,0.9147645831108093,1
16,16,30,118,514,1,1,0.9095090627670288,1
16,16,31,31,427,1,1,0.9605237245559692,1
16,16,31,17,413,1,1,0.9567295908927917,1
16,16,31,15,411,1,1,0.9539114236831665,1
16,16,31,116,512,1,1,0.9508815407752991,1
16,16,31,14,410,1,1,0.9343690872192383,1
16,16,31,46,442,1,1,0.9292713403701782,1
16,16,35,101,497,2,2,0.9583558440208435,0
16,16,35,121,517,2,2,0.9485054612159729,0
16,16,35,59,455,2,2,0.9220028519630432,0
16,16,36,60,456,2,2,0.9656626582145691,0
16,16,36,74,470,2,2,0.9404458999633789,0
16,16,37,118,514,2,2,0.909509003162384,0
16,16,38,130,526,2,2,0.9718089699745178,0
16,16,38,60,456,2,2,0.9656626582145691,0
16,16,38,17,413,2,2,0.9567295908927917,0
16,16,38,74,470,2,2,0.9404457807540894,0
16,16,38,14,410,2,2,0.9343690872192383,0
16,16,38,72,468,2,2,0.917199969291687,0
16,16,38,28,424,2,2,0.9133017659187317,0
16,16,39,59,455,2,2,0.9220028519630432,0
16,16,41,104,500,2,2,0.9307706356048584,0
16,16,41,131,527,2,2,0.929432213306427,0
16,16,42,19,415,2,2,0.91881263256073,0
16,16,44,83,479,2,2,0.9701730012893677,0
16,16,44,66,462,2,2,0.9693880081176758,0
16,16,44,98,494,2,2,0.9649573564529419,0
16,16,44,63,459,2,2,0.9643860459327698,0
16,16,44,79,475,2,2,0.9630393385887146,0
16,16,44,90,486,2,2,0.9589706659317017,0
16,16,44,70,466,2,2,0.9586862921714783,0
16,16,44,51,447,2,2,0.9557679891586304,0
16,16,44,109,505,2,2,0.9542863965034485,0
16,16,44,56,452,2,2,0.9533066749572754,0
16,16,44,25,421,2,2,0.9513905644416809,0
16,16,44,80,476,2,2,0.9497517943382263,0
16,16,44,128,524,2,2,0.9491958022117615,0
16,16,44,47,443,2,2,0.9465183019638062,0
16,16,44,125,521,2,2,0.9456799030303955,0
16,16,44,88,484,2,2,0.9445227980613708,0
16,16,44,54,450,2,2,0.9407636523246765,0
16,16,44,84,480,2,2,0.9357660412788391,0
16,16,44,29,425,2,2,0.9356420040130615,0
16,16,44,19,415,2,2,0.9188128113746643,0
16,16,44,72,468,2,2,0.917199969291687,0
16,16,44,28,424,2,2,0.9133017659187317,0
16,16,46,45,441,2,2,0.9669752717018127,0
16,16,46,31,427,2,2,0.9605236053466797,0
16,16,46,17,413,2,2,0.9567295908927917,0
16,16,47,31,427,2,2,0.9605236053466797,0
16,16,51,79,475,3,3,0.9630393981933594,0
16,16,51,128,524,3,3,0.949195921421051,0
16,16,51,124,520,3,3,0.9293597340583801,0
16,16,51,118,514,3,3,0.909509003162384,0
16,16,52,78,474,3,3,0.9654434323310852,0
16,16,52,70,466,3,3,0.9586862921714783,0
16,16,52,101,497,3,3,0.9583562016487122,0
16,16,52,51,447,3,3,0.9557679891586304,0
16,16,52,57,453,3,3,0.9485757946968079,0
16,16,52,121,517,3,3,0.9485055208206177,0
16,16,52,54,450,3,3,0.9407636523246765,0
16,16,52,44,440,3,3,0.93929523229599,0
16,16,52,29,425,3,3,0.9356420040130615,0
16,16,52,71,467,3,3,0.9326695799827576,0
16,16,53,45,441,3,3,0.9669752717018127,0
16,16,54,128,524,3,3,0.949195921421051,0
16,16,57,39,435,3,3,0.967655599117279,0
16,16,60,122,518,3,3,0.9672045707702637,0
16,16,60,78,474,3,3,0.9654434323310852,0
16,16,60,15,411,3,3,0.9539114236831665,0
16,16,60,56,452,3,3,0.9533066749572754,0
16,16,60,100,496,3,3,0.9517463445663452,0
16,16,60,114,510,3,3,0.949985146522522,0
16,16,60,42,438,3,3,0.9414204955101013,0
