call,request_id,invocation,phase,normalized_progress,ready_requests,decision_live_rows,physical_m,topk_pairs,remote_pairs,remote_fraction,rank_load,rank_load_cv,rank_fanout_mean,active_experts,median_m_e,tiny_le4_fraction,router_ms_observer,dispatch_ms_observer,expert_ms_observer,combine_ms_observer,shared_ms_observer,gather_ms_observer
15,measured_0,146,middle,0.4467592592592593,27,478,864,6912,5131,0.7423321759259259,"[1490, 1103, 2627, 1692]",0.32437955798751394,3.0034722685813904,192,10.0,0.3125,9.921952247619629,0.7042880058288574,1.034656047821045,0.2096959948539734,0.0352960005402565,0.05011200159788132
16,measured_0,147,middle,0.45833333333333337,27,468,864,6912,5121,0.7408854166666666,"[1486, 1106, 2632, 1688]",0.3253457605340237,2.9976852536201477,189,11,0.32275132275132273,10.111071586608887,0.7665600180625916,1.0077760219573975,0.1852159947156906,0.03545600175857544,0.05004800111055374
17,measured_0,148,middle,0.5625,27,378,864,6912,5225,0.7559317129629629,"[1500, 1133, 2638, 1641]",0.32242652259411986,2.971064805984497,193,13,0.30569948186528495,9.94934368133545,0.6184639930725098,1.0547200441360474,0.2325119972229004,0.03510399907827377,0.052799999713897705
18,measured_0,149,middle,0.6041666666666667,27,342,864,6912,5138,0.7433449074074074,"[1564, 1161, 2589, 1598]",0.30438467043462175,3.012731432914734,196,13.0,0.29081632653061223,14.213024139404297,4.991424083709717,1.2026560306549072,0.4067839980125427,0.0360959991812706,0.16601599752902985
19,measured_0,150,middle,0.65,25,280,800,6400,4687,0.73234375,"[1419, 1067, 2457, 1457]",0.32351644567935023,2.9924999475479126,189,13,0.2804232804232804,9.253888130187988,0.6949440240859985,1.0157439708709717,0.21939200162887573,0.03465599939227104,0.05023999884724617
20,measured_0,151,middle,0.6453804347826086,23,261,736,5888,4509,0.7657948369565217,"[1294, 1028, 2273, 1293]",0.3226834238415317,2.98505437374115,190,11.0,0.29473684210526313,8.70860767364502,0.8512960076332092,1.0192320346832275,0.23183999955654144,0.03516799956560135,0.05049600079655647
21,measured_0,152,middle,0.6815476190476191,21,214,672,5376,3996,0.7433035714285714,"[1192, 943, 2109, 1132]",0.33566238636004747,3.005952477455139,194,9.5,0.36082474226804123,7.933279991149902,0.5631359815597534,1.0240639448165894,0.23206399381160736,0.03372799977660179,0.04800000041723251
22,measured_0,153,middle,0.6985294117647058,17,164,544,4352,3227,0.7414981617647058,"[965, 735, 1690, 962]",0.33076041973095405,2.994485318660736,184,8.0,0.3641304347826087,6.487648010253906,0.5351999998092651,0.9294400215148926,0.1695680022239685,0.032735999673604965,0.046911999583244324
23,measured_0,154,middle,0.7120535714285714,14,129,448,3584,2633,0.7346540178571429,"[802, 611, 1406, 765]",0.33820923713280143,3.002232253551483,180,8.0,0.3888888888888889,5.745344161987305,0.9462400078773499,0.8940160274505615,0.1573439985513687,0.03372799977660179,0.04585599899291992
24,measured_0,155,middle,0.6808035714285714,14,143,448,3584,2609,0.7279575892857143,"[823, 585, 1430, 746]",0.35718906648602167,3.0200893878936768,176,7.0,0.3693181818181818,5.4673919677734375,0.4976640045642853,0.8864960074424744,0.15174399316310883,0.0331839993596077,0.0459199994802475
