sample_id,category,layer,rank,assignments,vision_assignments,nonvision_assignments,expert_ms
astronaut,natural,32,1,1964,1800,164,0.45236800611019135
astronaut,natural,33,1,1728,1576,152,0.44337598979473114
astronaut,natural,34,1,2016,1872,144,0.45470400154590607
astronaut,natural,35,1,2516,2404,112,0.46031999588012695
astronaut,natural,36,1,2088,1960,128,0.45665599405765533
astronaut,natural,37,1,1948,1824,124,0.4601120054721832
astronaut,natural,38,1,2192,2056,136,0.4545760005712509
astronaut,natural,39,1,2560,2316,244,0.4647520184516907
astronaut,natural,40,1,2008,1872,136,0.4516959935426712
astronaut,natural,41,1,2444,2276,168,0.46326401829719543
astronaut,natural,42,1,2384,2152,232,0.4663039892911911
astronaut,natural,43,1,2320,2196,124,0.45479999482631683
astronaut,natural,44,1,2740,2616,124,0.6061280369758606
astronaut,natural,45,1,2036,1896,140,0.610256016254425
astronaut,natural,46,1,1960,1804,156,0.4675360172986984
astronaut,natural,47,1,2312,2184,128,0.4493279904127121
camera,natural,0,1,1984,1872,112,0.4466240108013153
camera,natural,1,1,2524,2444,80,0.4703519940376282
camera,natural,2,1,2684,2488,196,0.4634079933166504
camera,natural,3,1,2132,2012,120,0.4564320147037506
camera,natural,4,1,2124,1972,152,0.4654080271720886
camera,natural,5,1,2692,2552,140,0.4598720073699951
camera,natural,6,1,1612,1440,172,0.4439839869737625
camera,natural,7,1,2256,2080,176,0.4625760018825531
camera,natural,8,1,2508,2320,188,0.46478401124477386
camera,natural,9,1,2336,2180,156,0.4615519940853119
camera,natural,10,1,1928,1800,128,0.4561920017004013
camera,natural,11,1,2576,2440,136,0.47123199701309204
camera,natural,12,1,1724,1612,112,0.4524799883365631
camera,natural,13,1,1732,1608,124,0.4575680047273636
camera,natural,14,1,2576,2492,84,0.46587198972702026
camera,natural,15,1,2120,1916,204,0.47204799950122833
camera,natural,16,1,1848,1720,128,0.4623519778251648
camera,natural,17,1,2536,2372,164,0.46803201735019684
camera,natural,18,1,1412,1248,164,0.4479840248823166
camera,natural,19,1,2128,1984,144,0.45710398256778717
camera,natural,20,1,2112,1948,164,0.4633439928293228
camera,natural,21,1,2236,2104,132,0.4557119756937027
camera,natural,22,1,1812,1684,128,0.4577439874410629
camera,natural,23,1,2692,2580,112,0.4577280133962631
camera,natural,24,1,1848,1736,112,0.4508800059556961
camera,natural,25,1,1576,1428,148,0.4431360065937042
camera,natural,26,1,2292,2188,104,0.4606560170650482
camera,natural,27,1,2504,2320,184,0.46324799954891205
camera,natural,28,1,1612,1488,124,0.4502880275249481
camera,natural,29,1,2548,2384,164,0.4673600345849991
camera,natural,30,1,1632,1484,148,0.4428800046443939
camera,natural,31,1,2192,2052,140,0.46243199706077576
camera,natural,32,1,1924,1784,140,0.4570239931344986
camera,natural,33,1,1936,1776,160,0.4468640089035034
camera,natural,34,1,2328,2188,140,0.45918402075767517
camera,natural,35,1,2340,2224,116,0.4612479954957962
camera,natural,36,1,1924,1816,108,0.46934400498867035
camera,natural,37,1,1848,1724,124,0.4536479711532593
camera,natural,38,1,2252,2128,124,0.44969601929187775
camera,natural,39,1,2464,2236,228,0.46089600026607513
camera,natural,40,1,2056,1916,140,0.46137598156929016
camera,natural,41,1,2504,2328,176,0.46729597449302673
camera,natural,42,1,2340,2124,216,0.470320001244545
camera,natural,43,1,2456,2324,132,0.46772803366184235
camera,natural,44,1,2116,2012,104,0.4699999690055847
camera,natural,45,1,1924,1776,148,0.4517119973897934
camera,natural,46,1,1996,1864,132,0.4543360024690628
camera,natural,47,1,2368,2248,120,0.4617919772863388
retina,fine_grained,0,1,17108,16976,132,0.9760480225086212
retina,fine_grained,1,1,21056,20948,108,1.0428319871425629
retina,fine_grained,2,1,14440,14216,224,0.9184479713439941
retina,fine_grained,3,1,18352,18236,116,0.9300000369548798
retina,fine_grained,4,1,14796,14668,128,0.8325920104980469
retina,fine_grained,5,1,14612,14496,116,0.8570079803466797
retina,fine_grained,6,1,16972,16788,184,0.8905760049819946
retina,fine_grained,7,1,13124,13000,124,0.8145919889211655
retina,fine_grained,8,1,14820,14648,172,0.8267200440168381
retina,fine_grained,9,1,14976,14796,180,0.8446720242500305
retina,fine_grained,10,1,16264,16096,168,0.8750239908695221
retina,fine_grained,11,1,16684,16520,164,0.8785440027713776
retina,fine_grained,12,1,16140,15988,152,0.87192003428936
retina,fine_grained,13,1,10504,10376,128,0.7534720003604889
retina,fine_grained,14,1,16696,16508,188,0.8882560133934021
retina,fine_grained,15,1,19844,19624,220,0.9348479807376862
retina,fine_grained,16,1,14872,14700,172,0.8510079979896545
retina,fine_grained,17,1,17592,17380,212,0.871456041932106
retina,fine_grained,18,1,16468,16284,184,0.8712639659643173
retina,fine_grained,19,1,12956,12832,124,0.8166240155696869
retina,fine_grained,20,1,15184,14996,188,0.8636319935321808
retina,fine_grained,21,1,14880,14700,180,0.8422400057315826
retina,fine_grained,22,1,16480,16316,164,0.8839360326528549
