M,fast_active_experts,fast_fanout,fast_median_ms,fast_rank_imbalance,fast_total_assignments,layer,n,p50_ms,p95_ms,phase,slow_active_experts,slow_fanout,slow_median_ms,slow_rank_imbalance,slow_total_assignments,source,tail_gap_mean_pct,tail_gap_pct
1,8.0,2.4802631578947367,0.8800960183143616,1.0404969711721934,8.0,41,151,0.9160959720611572,1.5018239617347717,decode,8.0,2.5,2.3438400626182556,1.343312263243809,8.0,online_trace_burst16,380.4451508138293,166.3164034199046
1,8.0,2.5,0.8750080168247223,1.0455404327737439,8.0,42,151,0.908191978931427,1.6318239569664001,decode,8.0,2.5,3.2425119876861572,1.3557821103967154,8.0,online_trace_burst16,256.51436825223135,270.569403403875
1,8.0,2.3223684210526314,0.8776479959487915,1.0459291605922931,8.0,43,151,0.9110720157623291,1.5098080039024353,decode,8.0,2.4375,2.374079942703247,1.3176005735658602,8.0,online_trace_burst16,245.15823174456025,170.5047984682077
1,8.0,2.4671052631578947,0.8655520081520081,1.0361756017774137,8.0,44,151,0.8999680280685425,1.4425439834594727,decode,8.0,2.5,2.1478559374809265,1.3007344665782399,8.0,online_trace_burst16,173.0962135874608,148.14868630080505
1,8.0,2.0789473684210527,0.8661920130252838,1.0428591312216533,8.0,45,151,0.8971840143203735,1.6096640229225159,decode,8.0,2.0,2.6627039909362793,1.4895044453598962,8.0,online_trace_burst16,2478.6091951414883,207.40343375302885
1,8.0,2.3157894736842106,0.8771679997444153,1.0403551293589095,8.0,46,151,0.9136319756507874,1.749184012413025,decode,8.0,2.1875,2.7094560861587524,1.4403072025105956,8.0,online_trace_burst16,368.35165812438777,208.88679100766683
1,8.0,2.236842105263158,0.8739040195941925,1.041830018111505,8.0,47,151,0.9085760116577148,1.8218079805374146,decode,8.0,2.0,2.534592032432556,1.420521030030423,8.0,online_trace_burst16,1526.5539603214838,190.03093882181972
1,8.0,2.373566357181868,0.916159987449646,1.0609977022112664,8.0,0,3662,0.9896160066127777,2.280054497718811,decode,8.0,2.404891304347826,2.4941920042037964,1.2512777687075791,8.0,online_trace_long_c8,226.85217940822633,172.24415368163628
1,8.0,2.0516111414527582,0.8749120235443115,1.0456530873976153,8.0,1,3662,0.9151040017604828,2.3422672390937804,decode,8.0,2.141304347826087,2.499071955680847,1.270712925075108,8.0,online_trace_long_c8,313.24234338000315,185.63694273569675
1,8.0,2.0341343528126705,0.8766400218009949,1.0407487715006978,8.0,2,3662,0.9167680144309998,2.355859124660492,decode,8.0,2.046195652173913,2.6505600214004517,1.2690945629687622,8.0,online_trace_long_c8,461.5017164885677,202.35443916341399
