source,length,concurrency,kind,pcp,replicas,ttft_p50_ms,ttft_p90_ms,e2e_p50_ms,e2e_p90_ms,fleet_wall_ms,prompt_throughput_tok_s,repetitions
pcp1_screen_full_r0,8192,16,natural,1,4,412.5645160675049,424.50952529907227,412.5645160675049,424.50952529907227,457.3402460664511,286596.25110044517,3
pcp1_screen_full_r0,16384,1,natural,1,4,235.88824272155762,235.88824272155762,235.88824272155762,235.88824272155762,256.3924943096936,63902.02663347061,3
pcp1_screen_full_r0,16384,4,natural,1,4,233.95323753356934,237.40365505218506,233.95323753356934,237.40365505218506,259.78171406313777,252273.33739153028,3
pcp1_screen_full_r0,16384,16,natural,1,4,898.9111185073853,908.14208984375,898.9111185073853,908.14208984375,969.6077662520111,270360.87078108866,3
pcp2_32k_r0,32768,1,natural,2,2,333.72974395751953,333.72974395751953,333.72974395751953,333.72974395751953,377.9656230472028,86695.71517065645,3
pcp2_32k_r0,32768,4,natural,2,2,499.87268447875977,667.9519176483154,499.87268447875977,667.9519176483154,714.1649378463626,183531.832849791,3
pcp2_content_matched_r0,8192,2,code,2,2,75.45721530914307,76.07033252716064,75.45721530914307,76.07033252716064,85.19885828718543,192303.04641845514,3
pcp2_content_matched_r0,8192,2,math,2,2,75.40512084960938,76.15489959716797,75.40512084960938,76.15489959716797,85.37513995543122,191905.981162116,3
pcp2_content_matched_r0,8192,2,natural,2,2,75.54244995117188,76.5794038772583,75.54244995117188,76.5794038772583,88.03274109959602,186112.57351925378,3
pcp2_content_matched_r0,8192,2,repetitive,2,2,75.31201839447021,76.10859870910645,75.31201839447021,76.10859870910645,86.05225523933768,190395.9397046722,3
pcp2_content_matched_r0,16384,2,code,2,2,148.94509315490723,150.3469944000244,148.94509315490723,150.3469944000244,168.2846280746162,194717.7254090665,3
pcp2_content_matched_r0,16384,2,math,2,2,148.97096157073975,150.25527477264404,148.97096157073975,150.25527477264404,167.93713392689824,195120.6337382396,3
pcp2_content_matched_r0,16384,2,natural,2,2,148.81932735443115,149.5760679244995,148.81932735443115,149.5760679244995,169.78476289659739,192997.29516927514,3
pcp2_content_matched_r0,16384,2,repetitive,2,2,148.38814735412598,149.27430152893066,148.38814735412598,149.27430152893066,168.4669149108231,194507.0343179581,3
pcp2_screen_full_r0,8192,1,natural,2,2,76.14803314208984,76.14803314208984,76.14803314208984,76.14803314208984,87.10543811321259,94046.94101133735,3
pcp2_screen_full_r0,8192,4,natural,2,2,114.1347885131836,154.04694080352783,114.1347885131836,154.04694080352783,168.2352484203875,194774.87808095408,3
pcp2_screen_full_r0,8192,16,natural,2,2,508.367657661438,512.3295783996582,508.367657661438,512.3295783996582,572.8447339497507,228808.9463549079,3
pcp2_screen_full_r0,16384,1,natural,2,2,148.23198318481445,148.23198318481445,148.23198318481445,148.23198318481445,168.1624031625688,97429.62571818732,3
pcp2_screen_full_r0,16384,4,natural,2,2,221.11201286315918,293.50335597991943,221.11201286315918,293.50335597991943,315.83810271695256,207498.71353784055,3
pcp2_screen_full_r0,16384,16,natural,2,2,1135.9061002731323,1138.145923614502,1135.9061002731323,1138.145923614502,1225.8059768937528,213854.39860905608,3
pcp4_32k_r0,32768,1,natural,4,1,209.64360237121582,209.64360237121582,209.64360237121582,209.64360237121582,249.30498423054814,131437.40427466686,3
pcp4_32k_r0,32768,4,natural,4,1,816.4467811584473,818.0913209915161,816.4467811584473,818.0913209915161,914.7223317995667,143291.57105209978,3
pcp4_content_matched_r0,8192,2,code,4,1,120.02646923065186,151.31361484527588,120.02646923065186,151.31361484527588,169.81953475624323,96478.88874220144,3
pcp4_content_matched_r0,8192,2,math,4,1,128.8203001022339,162.02654838562012,128.8203001022339,162.02654838562012,181.59447889775038,90223.00732625945,3
pcp4_content_matched_r0,8192,2,natural,4,1,139.49882984161377,168.6218500137329,139.49882984161377,168.6218500137329,187.06578202545643,87584.16329593843,3
pcp4_content_matched_r0,8192,2,repetitive,4,1,130.8753490447998,162.56930828094482,130.8753490447998,162.56930828094482,180.4769509471953,90781.67552151134,3
pcp4_content_matched_r0,16384,2,code,4,1,149.3358612060547,187.37869262695312,149.3358612060547,187.37869262695312,216.4980829693377,151354.6889218455,3
pcp4_content_matched_r0,16384,2,math,4,1,148.8790512084961,187.3952865600586,148.8790512084961,187.3952865600586,216.38946095481515,151430.66513226525,3
pcp4_content_matched_r0,16384,2,natural,4,1,149.58453178405762,187.70995140075684,149.58453178405762,187.70995140075684,218.70421105995774,149827.9335417856,3
pcp4_content_matched_r0,16384,2,repetitive,4,1,149.4227647781372,187.8662347793579,149.4227647781372,187.8662347793579,218.2607790455222,150132.3331809681,3
pcp4_screen_full_r0,8192,1,natural,4,1,76.02643966674805,76.02643966674805,76.02643966674805,76.02643966674805,86.71227609738708,94473.35912160252,3
pcp4_screen_full_r0,8192,4,natural,4,1,203.04083824157715,204.40058708190918,203.04083824157715,204.40058708190918,235.37625512108207,139215.40209373928,3
pcp4_screen_full_r0,8192,16,natural,4,1,680.0844669342041,682.0130348205566,680.0844669342041,682.0130348205566,750.7480783388019,174588.5254745189,3
pcp4_screen_full_r0,16384,1,natural,4,1,99.61056709289551,99.61056709289551,99.61056709289551,99.61056709289551,117.15246317908168,139851.94639019307,3
pcp4_screen_full_r0,16384,4,natural,4,1,367.7150011062622,369.0807104110718,367.7150011062622,369.0807104110718,421.82359704747796,155363.52271118597,3
pcp4_screen_full_r0,16384,16,natural,4,1,815.5162334442139,1434.7624778747559,815.5162334442139,1434.7624778747559,1493.0967860855162,175570.66791850014,3
