modality,request_id,pair_id,token_bucket,layer,predicted_rank,actual_rank,correct,imbalance_cv
text,text_00_coins,0,small,38,3,3,1,0.06145364344746982
text,text_00_coins,0,small,39,1,0,0,0.2293903530709852
text,text_00_coins,0,small,40,3,0,0,0.15108655942041965
text,text_00_coins,0,small,41,2,2,1,0.26569679636317833
text,text_00_coins,0,small,42,0,1,0,0.13278377446705886
text,text_00_coins,0,small,43,2,2,1,0.19663613982270656
text,text_00_coins,0,small,44,0,0,1,0.15719926490514755
text,text_00_coins,0,small,45,0,0,1,0.2996758299018187
text,text_00_coins,0,small,46,3,0,0,0.18348983096184446
text,text_00_coins,0,small,47,3,3,1,0.33967533542501105
text,text_01_clock_motion,1,small,0,3,3,1,0.10378626231779756
text,text_01_clock_motion,1,small,1,0,0,1,0.20463868296456275
text,text_01_clock_motion,1,small,2,2,0,0,0.1614935399689896
text,text_01_clock_motion,1,small,3,0,0,1,0.15789519807805177
text,text_01_clock_motion,1,small,4,1,3,0,0.22739752161042837
text,text_01_clock_motion,1,small,5,3,1,0,0.11320218501170724
text,text_01_clock_motion,1,small,6,2,0,0,0.33762115097256484
text,text_01_clock_motion,1,small,7,3,0,0,0.2700830151008589
text,text_01_clock_motion,1,small,8,1,1,1,0.302784882672781
text,text_01_clock_motion,1,small,9,1,1,1,0.31777036697816763
text,text_01_clock_motion,1,small,10,1,0,0,0.21712346626606074
text,text_01_clock_motion,1,small,11,1,1,1,0.09728604959698553
text,text_01_clock_motion,1,small,12,3,3,1,0.3495685701049453
text,text_01_clock_motion,1,small,13,0,0,1,0.2107508018650216
text,text_01_clock_motion,1,small,14,0,0,1,0.2955283387061667
text,text_01_clock_motion,1,small,15,1,1,1,0.4022146641029762
text,text_01_clock_motion,1,small,16,0,2,0,0.30628739842583974
text,text_01_clock_motion,1,small,17,2,2,1,0.2345361616150095
text,text_01_clock_motion,1,small,18,2,2,1,0.43250499798598346
text,text_01_clock_motion,1,small,19,0,0,1,0.3562730314355966
text,text_01_clock_motion,1,small,20,1,1,1,0.31353450844763603
text,text_01_clock_motion,1,small,21,1,1,1,0.22336479898021563
text,text_01_clock_motion,1,small,22,1,0,0,0.1948228738273208
text,text_01_clock_motion,1,small,23,1,1,1,0.12040484160472145
text,text_01_clock_motion,1,small,24,0,0,1,0.4159042962398819
text,text_01_clock_motion,1,small,25,3,0,0,0.29542665153284886
text,text_01_clock_motion,1,small,26,0,0,1,0.19681756836989253
text,text_01_clock_motion,1,small,27,1,0,0,0.31317493666171264
text,text_01_clock_motion,1,small,28,2,2,1,0.43568029410423526
text,text_01_clock_motion,1,small,29,1,1,1,0.22457218506776705
text,text_01_clock_motion,1,small,30,2,2,1,0.580470841172988
text,text_01_clock_motion,1,small,31,0,0,1,0.38373071790821517
text,text_01_clock_motion,1,small,32,1,1,1,0.2808540076612293
text,text_01_clock_motion,1,small,33,1,1,1,0.26970729080798145
text,text_01_clock_motion,1,small,34,0,0,1,0.12170789510160916
text,text_01_clock_motion,1,small,35,0,0,1,0.1371183949713855
text,text_01_clock_motion,1,small,36,0,3,0,0.339097449272859
text,text_01_clock_motion,1,small,37,1,3,0,0.18460764657534665
text,text_01_clock_motion,1,small,38,0,0,1,0.14595480917645529
text,text_01_clock_motion,1,small,39,3,3,1,0.27080516348903205
text,text_01_clock_motion,1,small,40,0,0,1,0.2631380476355609
text,text_01_clock_motion,1,small,41,2,2,1,0.2950195523450088
text,text_01_clock_motion,1,small,42,0,1,0,0.12556584265833384
text,text_01_clock_motion,1,small,43,2,2,1,0.29765574473080764
text,text_01_clock_motion,1,small,44,2,2,1,0.2983111528213491
text,text_01_clock_motion,1,small,45,2,2,1,0.2751801503330345
text,text_01_clock_motion,1,small,46,0,0,1,0.30310721855202505
text,text_01_clock_motion,1,small,47,3,3,1,0.3207115496564598
text,text_02_cat,2,small,0,3,2,0,0.09431807776657816
text,text_02_cat,2,small,1,3,0,0,0.23199369252657465
text,text_02_cat,2,small,2,2,2,1,0.24522795871552927
text,text_02_cat,2,small,3,2,2,1,0.14470951095066165
text,text_02_cat,2,small,4,2,2,1,0.17356291422484327
text,text_02_cat,2,small,5,3,3,1,0.13228224599882168
text,text_02_cat,2,small,6,2,2,1,0.27325462429367875
text,text_02_cat,2,small,7,3,3,1,0.24324713502848988
text,text_02_cat,2,small,8,1,1,1,0.36156502098837895
text,text_02_cat,2,small,9,1,1,1,0.18690286160794264
text,text_02_cat,2,small,10,3,3,1,0.11741632012283403
text,text_02_cat,2,small,11,1,1,1,0.16817474648591393
text,text_02_cat,2,small,12,3,3,1,0.2441134710574895
text,text_02_cat,2,small,13,3,2,0,0.22460897821411593
text,text_02_cat,2,small,14,0,0,1,0.3430047128894365
text,text_02_cat,2,small,15,1,2,0,0.29645549478220856
text,text_02_cat,2,small,16,2,2,1,0.25155502493209503
text,text_02_cat,2,small,17,2,1,0,0.14608081343315865
text,text_02_cat,2,small,18,2,0,0,0.28336842401152956
text,text_02_cat,2,small,19,3,3,1,0.19549065926729559
text,text_02_cat,2,small,20,1,1,1,0.2976793807078853
text,text_02_cat,2,small,21,1,3,0,0.06319397975084223
text,text_02_cat,2,small,22,3,3,1,0.17320778926577798
text,text_02_cat,2,small,23,1,1,1,0.06365626813507227
text,text_02_cat,2,small,24,3,3,1,0.22741118541288013
text,text_02_cat,2,small,25,3,3,1,0.27505138638613835
text,text_02_cat,2,small,26,0,0,1,0.26601235444116356
text,text_02_cat,2,small,27,1,1,1,0.27673055344840336
text,text_02_cat,2,small,28,2,2,1,0.44108339342460334
text,text_02_cat,2,small,29,2,1,0,0.1535186539362528
text,text_02_cat,2,small,30,2,2,1,0.3711687378247931
text,text_02_cat,2,small,31,3,0,0,0.3034640810530921
text,text_02_cat,2,small,32,1,0,0,0.3035896610630413
text,text_02_cat,2,small,33,1,1,1,0.1726482599248969
text,text_02_cat,2,small,34,3,3,1,0.030916900830937996
text,text_02_cat,2,small,35,0,0,1,0.19932271792504822
text,text_02_cat,2,small,36,3,3,1,0.3427823878708115
text,text_02_cat,2,small,37,0,0,1,0.16257206782764275
text,text_02_cat,2,small,38,3,0,0,0.09038111794792224
text,text_02_cat,2,small,39,1,1,1,0.2580224351317884
text,text_02_cat,2,small,40,2,3,0,0.31935734868150045
text,text_02_cat,2,small,41,2,2,1,0.21606576652159254
text,text_02_cat,2,small,42,1,2,0,0.09057555585916571
text,text_02_cat,2,small,43,2,2,1,0.2853070661131686
text,text_02_cat,2,small,44,0,0,1,0.2119279247746877
text,text_02_cat,2,small,45,0,0,1,0.30909312930263905
text,text_02_cat,2,small,46,0,3,0,0.3675249540587454
text,text_02_cat,2,small,47,3,0,0,0.35604911201020806
text,text_03_phantom,3,small,0,2,2,1,0.11765617368677075
text,text_03_phantom,3,small,1,0,0,1,0.12439015607135633
text,text_03_phantom,3,small,2,2,2,1,0.19397490205246304
text,text_03_phantom,3,small,3,0,0,1,0.1673813876320179
text,text_03_phantom,3,small,4,3,3,1,0.15118145070625966
text,text_03_phantom,3,small,5,1,1,1,0.27709466049052617
text,text_03_phantom,3,small,6,3,3,1,0.3450622440223943
text,text_03_phantom,3,small,7,0,0,1,0.45808721165325833
text,text_03_phantom,3,small,8,1,1,1,0.28685623817063916
text,text_03_phantom,3,small,9,1,1,1,0.10936413595526417
text,text_03_phantom,3,small,10,1,1,1,0.32547203835388006
text,text_03_phantom,3,small,11,1,1,1,0.22125362831844617
text,text_03_phantom,3,small,12,3,3,1,0.40278529805208313
text,text_03_phantom,3,small,13,1,3,0,0.21170955726919477
text,text_03_phantom,3,small,14,0,3,0,0.4063488348376565
text,text_03_phantom,3,small,15,1,3,0,0.3796716961769334
text,text_03_phantom,3,small,16,2,3,0,0.41065358105873573
text,text_03_phantom,3,small,17,2,0,0,0.20914579868025432
text,text_03_phantom,3,small,18,2,2,1,0.38547431815114
text,text_03_phantom,3,small,19,3,3,1,0.5080391371951051
text,text_03_phantom,3,small,20,1,1,1,0.33568728068430465
text,text_03_phantom,3,small,21,1,1,1,0.17121882529111088
text,text_03_phantom,3,small,22,0,1,0,0.3065926967922662
text,text_03_phantom,3,small,23,2,2,1,0.1634819698120474
text,text_03_phantom,3,small,24,0,0,1,0.405002012261323
text,text_03_phantom,3,small,25,3,1,0,0.2933843556928168
text,text_03_phantom,3,small,26,0,3,0,0.25681706444737706
text,text_03_phantom,3,small,27,1,1,1,0.3565534950854746
text,text_03_phantom,3,small,28,2,3,0,0.4721295755278992
text,text_03_phantom,3,small,29,0,0,1,0.24219686306288588
text,text_03_phantom,3,small,30,2,1,0,0.4757527504098087
text,text_03_phantom,3,small,31,3,3,1,0.45661649399636417
text,text_03_phantom,3,small,32,1,1,1,0.2885558226927978
text,text_03_phantom,3,small,33,1,1,1,0.18243581962659713
text,text_03_phantom,3,small,34,0,1,0,0.36068881148821674
text,text_03_phantom,3,small,35,0,1,0,0.18595051525351755
text,text_03_phantom,3,small,36,3,3,1,0.27599889540775224
text,text_03_phantom,3,small,37,1,1,1,0.1805892813031256
text,text_03_phantom,3,small,38,3,3,1,0.24015987940696437
text,text_03_phantom,3,small,39,1,1,1,0.27981530048857495
text,text_03_phantom,3,small,40,2,3,0,0.3837373604430722
text,text_03_phantom,3,small,41,2,2,1,0.24675115818968762
text,text_03_phantom,3,small,42,1,1,1,0.3880148908940938
text,text_03_phantom,3,small,43,2,2,1,0.34013042385849546
text,text_03_phantom,3,small,44,3,0,0,0.3535014413749655
text,text_03_phantom,3,small,45,0,0,1,0.21881222058831146
text,text_03_phantom,3,small,46,0,1,0,0.48480113405147285
text,text_03_phantom,3,small,47,3,3,1,0.22849168063091274
text,text_04_color_wheel,4,small,0,3,3,1,0.08043157236355755
text,text_04_color_wheel,4,small,1,3,0,0,0.2667957676473281
text,text_04_color_wheel,4,small,2,2,2,1,0.25866081615604
text,text_04_color_wheel,4,small,3,2,0,0,0.2169261002415889
text,text_04_color_wheel,4,small,4,2,2,1,0.26863085160729716
text,text_04_color_wheel,4,small,5,3,2,0,0.2179186122831886
text,text_04_color_wheel,4,small,6,2,0,0,0.17137964451124507
text,text_04_color_wheel,4,small,7,2,0,0,0.26689900346996404
text,text_04_color_wheel,4,small,8,1,1,1,0.3480761767104845
text,text_04_color_wheel,4,small,9,1,1,1,0.31449523742308055
text,text_04_color_wheel,4,small,10,3,3,1,0.25792311693915104
text,text_04_color_wheel,4,small,11,1,1,1,0.20876126848060406
text,text_04_color_wheel,4,small,12,3,3,1,0.2688700294670981
text,text_04_color_wheel,4,small,13,0,2,0,0.14372392165734157
text,text_04_color_wheel,4,small,14,0,0,1,0.24598707663874997
text,text_04_color_wheel,4,small,15,1,1,1,0.4483056562575436
text,text_04_color_wheel,4,small,16,1,1,1,0.1413401682426526
text,text_04_color_wheel,4,small,17,2,2,1,0.22758564316986948
text,text_04_color_wheel,4,small,18,2,2,1,0.2300536927785885
text,text_04_color_wheel,4,small,19,0,3,0,0.215716288184417
text,text_04_color_wheel,4,small,20,1,1,1,0.31771249658564743
text,text_04_color_wheel,4,small,21,1,1,1,0.2695862898531149
text,text_04_color_wheel,4,small,22,3,1,0,0.2636798988784386
text,text_04_color_wheel,4,small,23,2,1,0,0.01928473039599675
text,text_04_color_wheel,4,small,24,0,0,1,0.32792443529219956
text,text_04_color_wheel,4,small,25,1,1,1,0.1683796270522187
text,text_04_color_wheel,4,small,26,0,0,1,0.17755093424594245
text,text_04_color_wheel,4,small,27,1,1,1,0.39384031388046803
text,text_04_color_wheel,4,small,28,0,3,0,0.1953194271039726
text,text_04_color_wheel,4,small,29,2,2,1,0.18152754548671557
text,text_04_color_wheel,4,small,30,2,1,0,0.3160607513291743
text,text_04_color_wheel,4,small,31,3,2,0,0.28992098603772587
text,text_04_color_wheel,4,small,32,1,1,1,0.3451686749133156
text,text_04_color_wheel,4,small,33,1,1,1,0.2797988914400056
text,text_04_color_wheel,4,small,34,3,3,1,0.16303199278160027
text,text_04_color_wheel,4,small,35,0,0,1,0.19642114758251175
text,text_04_color_wheel,4,small,36,3,3,1,0.3496029493900505
text,text_04_color_wheel,4,small,37,0,0,1,0.1497932459389462
text,text_04_color_wheel,4,small,38,3,3,1,0.20414663701154162
text,text_04_color_wheel,4,small,39,1,1,1,0.3572481807179186
text,text_04_color_wheel,4,small,40,1,1,1,0.11076161746967919
text,text_04_color_wheel,4,small,41,2,3,0,0.290703841735249
text,text_04_color_wheel,4,small,42,1,0,0,0.23164481534776965
text,text_04_color_wheel,4,small,43,2,2,1,0.24018855464291147
text,text_04_color_wheel,4,small,44,0,0,1,0.21036065929464975
text,text_04_color_wheel,4,small,45,0,0,1,0.3144295343121416
text,text_04_color_wheel,4,small,46,0,3,0,0.3808429102846075
text,text_04_color_wheel,4,small,47,3,3,1,0.3837014641494738
text,text_05_coffee,5,small,0,1,1,1,0.05938175997993202
text,text_05_coffee,5,small,1,3,0,0,0.1467002317192186
text,text_05_coffee,5,small,2,0,2,0,0.1776997875353667
text,text_05_coffee,5,small,3,0,2,0,0.17891370311793192
text,text_05_coffee,5,small,4,2,2,1,0.23521841395449344
text,text_05_coffee,5,small,5,2,2,1,0.15792867764166243
text,text_05_coffee,5,small,6,2,2,1,0.17265293745144897
text,text_05_coffee,5,small,7,3,3,1,0.27955575659568455
text,text_05_coffee,5,small,8,1,1,1,0.3136457922760753
text,text_05_coffee,5,small,9,3,3,1,0.21862221256364295
text,text_05_coffee,5,small,10,1,3,0,0.18339572319200814
text,text_05_coffee,5,small,11,1,1,1,0.1613722070368817
text,text_05_coffee,5,small,12,3,3,1,0.30448221175246554
text,text_05_coffee,5,small,13,3,3,1,0.1541383058350597
text,text_05_coffee,5,small,14,0,3,0,0.29403014571109654
text,text_05_coffee,5,small,15,1,1,1,0.3701258196864185
text,text_05_coffee,5,small,16,2,2,1,0.24605035630046937
text,text_05_coffee,5,small,17,2,2,1,0.13418243740834698
text,text_05_coffee,5,small,18,2,2,1,0.22202606664892321
text,text_05_coffee,5,small,19,3,3,1,0.24793879081465803
text,text_05_coffee,5,small,20,1,1,1,0.2902840756275743
text,text_05_coffee,5,small,21,1,1,1,0.18915653083668185
text,text_05_coffee,5,small,22,1,1,1,0.1967353544430314
text,text_05_coffee,5,small,23,1,1,1,0.09630050400054833
text,text_05_coffee,5,small,24,0,0,1,0.32586221476643623
text,text_05_coffee,5,small,25,3,3,1,0.23596893397048588
text,text_05_coffee,5,small,26,0,0,1,0.21127550889956467
text,text_05_coffee,5,small,27,1,1,1,0.3153325064438922
text,text_05_coffee,5,small,28,2,2,1,0.40592093252250194
text,text_05_coffee,5,small,29,3,2,0,0.14601980670104808
text,text_05_coffee,5,small,30,2,1,0,0.39437617446736434
text,text_05_coffee,5,small,31,3,1,0,0.2665067883492131
text,text_05_coffee,5,small,32,1,1,1,0.29372931215481135
text,text_05_coffee,5,small,33,1,1,1,0.19789413083447038
text,text_05_coffee,5,small,34,3,1,0,0.1062731427938988
text,text_05_coffee,5,small,35,0,0,1,0.19195623701844375
text,text_05_coffee,5,small,36,3,3,1,0.3110561075676716
text,text_05_coffee,5,small,37,0,0,1,0.08584543893566035
text,text_05_coffee,5,small,38,3,0,0,0.09180584733893124
text,text_05_coffee,5,small,39,2,1,0,0.2713360651954591
text,text_05_coffee,5,small,40,2,2,1,0.3339296446023095
text,text_05_coffee,5,small,41,2,2,1,0.2260268581579209
text,text_05_coffee,5,small,42,1,1,1,0.07799319005598669
text,text_05_coffee,5,small,43,2,2,1,0.35192281584781626
text,text_05_coffee,5,small,44,0,2,0,0.22736268883366342
text,text_05_coffee,5,small,45,2,2,1,0.2901229992755432
text,text_05_coffee,5,small,46,0,0,1,0.37292392717960493
text,text_05_coffee,5,small,47,3,3,1,0.2665754137625687
text,text_06_moon,6,small,0,2,2,1,0.08542391849892994
text,text_06_moon,6,small,1,3,3,1,0.22187776877463977
text,text_06_moon,6,small,2,2,3,0,0.1457573616137733
text,text_06_moon,6,small,3,2,2,1,0.19288161817690094
text,text_06_moon,6,small,4,2,1,0,0.18805272798450826
text,text_06_moon,6,small,5,0,1,0,0.24810243935898538
text,text_06_moon,6,small,6,2,2,1,0.1777025248993316
text,text_06_moon,6,small,7,3,2,0,0.35139557710193975
text,text_06_moon,6,small,8,1,1,1,0.3230205053892266
text,text_06_moon,6,small,9,1,1,1,0.20793518981452133
text,text_06_moon,6,small,10,1,1,1,0.17003913087329442
text,text_06_moon,6,small,11,1,1,1,0.2146146649726902
text,text_06_moon,6,small,12,3,3,1,0.2638529585638773
text,text_06_moon,6,small,13,3,1,0,0.2346101923277106
text,text_06_moon,6,small,14,0,0,1,0.3276732751649101
text,text_06_moon,6,small,15,1,2,0,0.3635576647429713
text,text_06_moon,6,small,16,2,2,1,0.3288105860389585
text,text_06_moon,6,small,17,2,2,1,0.15357468642331296
text,text_06_moon,6,small,18,2,2,1,0.17725410147055198
text,text_06_moon,6,small,19,0,3,0,0.2876700934242272
text,text_06_moon,6,small,20,1,1,1,0.2520623555926396
text,text_06_moon,6,small,21,1,1,1,0.13335228480627537
text,text_06_moon,6,small,22,1,3,0,0.21180550175434287
text,text_06_moon,6,small,23,1,1,1,0.05907852847507366
text,text_06_moon,6,small,24,3,3,1,0.2876957613203669
text,text_06_moon,6,small,25,3,3,1,0.25182136880205225
text,text_06_moon,6,small,26,0,0,1,0.2572782690987962
text,text_06_moon,6,small,27,1,1,1,0.2802033226362298
text,text_06_moon,6,small,28,2,2,1,0.4764647735397451
text,text_06_moon,6,small,29,2,2,1,0.1299242726943687
text,text_06_moon,6,small,30,2,1,0,0.30441521424414064
text,text_06_moon,6,small,31,0,0,1,0.2895973718564783
text,text_06_moon,6,small,32,1,1,1,0.26874253554206456
text,text_06_moon,6,small,33,1,0,0,0.16979286867376958
text,text_06_moon,6,small,34,3,3,1,0.10306203842305442
text,text_06_moon,6,small,35,0,2,0,0.18353961729095958
text,text_06_moon,6,small,36,3,3,1,0.3068313311307942
text,text_06_moon,6,small,37,0,3,0,0.12594814739728502
text,text_06_moon,6,small,38,0,3,0,0.1320911835072442
text,text_06_moon,6,small,39,1,1,1,0.16738385390283017
text,text_06_moon,6,small,40,2,2,1,0.37506781925422183
text,text_06_moon,6,small,41,2,2,1,0.23314379848249547
text,text_06_moon,6,small,42,1,1,1,0.12334149694537137
text,text_06_moon,6,small,43,2,2,1,0.33576372564363927
text,text_06_moon,6,small,44,0,2,0,0.16682904031208529
text,text_06_moon,6,small,45,2,2,1,0.2862519484803932
text,text_06_moon,6,small,46,0,0,1,0.3791104450864141
text,text_06_moon,6,small,47,3,3,1,0.33030434989275576
text,text_07_camera,7,small,0,3,2,0,0.1093203666024098
text,text_07_camera,7,small,1,3,3,1,0.18670849180359525
text,text_07_camera,7,small,2,0,0,1,0.1618363120979453
text,text_07_camera,7,small,3,2,3,0,0.06080321176390728
text,text_07_camera,7,small,4,2,2,1,0.17898605732474293
text,text_07_camera,7,small,5,2,2,1,0.20395123531180973
text,text_07_camera,7,small,6,2,2,1,0.2694559882719755
text,text_07_camera,7,small,7,0,0,1,0.28076788066752717
text,text_07_camera,7,small,8,1,2,0,0.14802509515778509
text,text_07_camera,7,small,9,3,0,0,0.22973343159066373
text,text_07_camera,7,small,10,1,2,0,0.08903575447234188
text,text_07_camera,7,small,11,1,1,1,0.2249843923266461
text,text_07_camera,7,small,12,3,3,1,0.24326344366668548
text,text_07_camera,7,small,13,3,3,1,0.1955137392697153
text,text_07_camera,7,small,14,0,0,1,0.4106069279181226
text,text_07_camera,7,small,15,1,1,1,0.23252007431863303
text,text_07_camera,7,small,16,2,0,0,0.40048730752779577
text,text_07_camera,7,small,17,3,3,1,0.10707579216518028
text,text_07_camera,7,small,18,2,2,1,0.26163271525893284
text,text_07_camera,7,small,19,3,3,1,0.24196483897836757
text,text_07_camera,7,small,20,1,1,1,0.16983152165217114
text,text_07_camera,7,small,21,3,1,0,0.23616477329827987
text,text_07_camera,7,small,22,1,1,1,0.0704777668982859
text,text_07_camera,7,small,23,2,1,0,0.127302362976528
text,text_07_camera,7,small,24,3,3,1,0.20200290804397608
text,text_07_camera,7,small,25,3,3,1,0.26788633431315834
text,text_07_camera,7,small,26,0,0,1,0.33136578655476007
text,text_07_camera,7,small,27,1,1,1,0.22614835077786066
text,text_07_camera,7,small,28,2,2,1,0.39161454425332753
text,text_07_camera,7,small,29,2,3,0,0.07477079378075703
text,text_07_camera,7,small,30,2,3,0,0.3160050753143826
text,text_07_camera,7,small,31,0,3,0,0.2617894660460218
text,text_07_camera,7,small,32,1,1,1,0.045488693947426516
text,text_07_camera,7,small,33,3,1,0,0.16511863785250772
text,text_07_camera,7,small,34,0,1,0,0.1279195901732589
text,text_07_camera,7,small,35,2,2,1,0.17627007088896096
text,text_07_camera,7,small,36,3,3,1,0.20392709669032524
text,text_07_camera,7,small,37,0,3,0,0.1656048802738325
text,text_07_camera,7,small,38,0,0,1,0.1949758506473142
text,text_07_camera,7,small,39,1,1,1,0.1502094560849366
text,text_07_camera,7,small,40,2,1,0,0.29805542317948935
text,text_07_camera,7,small,41,1,1,1,0.17514003309045673
text,text_07_camera,7,small,42,2,2,1,0.022444767560441788
text,text_07_camera,7,small,43,2,2,1,0.2000766170720927
text,text_07_camera,7,small,44,1,1,1,0.03697161527528723
text,text_07_camera,7,small,45,2,2,1,0.2644524239651866
text,text_07_camera,7,small,46,0,3,0,0.24318248403596618
text,text_07_camera,7,small,47,3,3,1,0.12666269726477047
text,text_08_histology,8,medium,0,2,2,1,0.1049418184386183
text,text_08_histology,8,medium,1,3,3,1,0.22277249695139445
text,text_08_histology,8,medium,2,2,2,1,0.1650563862127683
text,text_08_histology,8,medium,3,2,2,1,0.1463374667420383
text,text_08_histology,8,medium,4,2,2,1,0.17005871066157224
text,text_08_histology,8,medium,5,0,2,0,0.20285387766125204
text,text_08_histology,8,medium,6,2,2,1,0.2618355332008716
text,text_08_histology,8,medium,7,0,3,0,0.23372837622027196
text,text_08_histology,8,medium,8,1,1,1,0.3763895004225803
text,text_08_histology,8,medium,9,3,3,1,0.11194246739143432
text,text_08_histology,8,medium,10,1,3,0,0.15285515737429314
text,text_08_histology,8,medium,11,1,1,1,0.22264814315332612
text,text_08_histology,8,medium,12,3,3,1,0.2843490294988989
text,text_08_histology,8,medium,13,3,3,1,0.3112527894625949
text,text_08_histology,8,medium,14,0,0,1,0.3022131824950078
text,text_08_histology,8,medium,15,2,1,0,0.3510911528206269
text,text_08_histology,8,medium,16,2,2,1,0.2706347492685148
text,text_08_histology,8,medium,17,2,2,1,0.10894066337188742
text,text_08_histology,8,medium,18,2,2,1,0.24690013419034848
text,text_08_histology,8,medium,19,0,0,1,0.14718110928288228
text,text_08_histology,8,medium,20,1,1,1,0.315360576381356
text,text_08_histology,8,medium,21,3,3,1,0.14606446443425206
text,text_08_histology,8,medium,22,3,3,1,0.1847603206233467
text,text_08_histology,8,medium,23,1,1,1,0.07191957333262287
text,text_08_histology,8,medium,24,3,3,1,0.28414843455455685
text,text_08_histology,8,medium,25,3,3,1,0.3331951018189426
text,text_08_histology,8,medium,26,0,0,1,0.28861963579281774
text,text_08_histology,8,medium,27,1,2,0,0.29399395241459336
text,text_08_histology,8,medium,28,2,2,1,0.4124459865223656
text,text_08_histology,8,medium,29,1,2,0,0.08545935425101672
text,text_08_histology,8,medium,30,2,1,0,0.3902049483695331
text,text_08_histology,8,medium,31,0,0,1,0.20098611304939068
text,text_08_histology,8,medium,32,1,1,1,0.3304531127592909
text,text_08_histology,8,medium,33,1,1,1,0.08104673039943555
text,text_08_histology,8,medium,34,3,3,1,0.05695224752448917
text,text_08_histology,8,medium,35,0,0,1,0.1513395550956289
text,text_08_histology,8,medium,36,3,3,1,0.33063793339647335
text,text_08_histology,8,medium,37,3,1,0,0.205304577086648
text,text_08_histology,8,medium,38,0,0,1,0.13634433250923797
text,text_08_histology,8,medium,39,1,1,1,0.21256380841806988
text,text_08_histology,8,medium,40,2,3,0,0.293622450237553
text,text_08_histology,8,medium,41,2,1,0,0.1724133830165885
text,text_08_histology,8,medium,42,2,2,1,0.0895914403157283
text,text_08_histology,8,medium,43,0,2,0,0.24648409354829243
text,text_08_histology,8,medium,44,0,0,1,0.22481078073624988
text,text_08_histology,8,medium,45,2,2,1,0.31077088451645385
text,text_08_histology,8,medium,46,0,3,0,0.2941822964643255
text,text_08_histology,8,medium,47,3,3,1,0.36065641447698177
text,text_09_grass,9,medium,0,3,3,1,0.0848087361793033
text,text_09_grass,9,medium,1,3,3,1,0.2425397737322016
text,text_09_grass,9,medium,2,2,2,1,0.19142512046261176
text,text_09_grass,9,medium,3,1,1,1,0.13768197707960203
text,text_09_grass,9,medium,4,0,0,1,0.14777761277072982
text,text_09_grass,9,medium,5,0,2,0,0.21316459123804363
text,text_09_grass,9,medium,6,2,2,1,0.256866879995767
text,text_09_grass,9,medium,7,0,0,1,0.2424793142881571
text,text_09_grass,9,medium,8,1,1,1,0.33494821412032827
text,text_09_grass,9,medium,9,3,1,0,0.10933622903182533
text,text_09_grass,9,medium,10,1,1,1,0.23326091202281424
text,text_09_grass,9,medium,11,1,1,1,0.1945736184250224
text,text_09_grass,9,medium,12,3,3,1,0.2753550797051995
text,text_09_grass,9,medium,13,3,3,1,0.18874687504938356
text,text_09_grass,9,medium,14,0,0,1,0.25139875091284053
text,text_09_grass,9,medium,15,1,1,1,0.3501781793067259
text,text_09_grass,9,medium,16,2,2,1,0.30390647760158795
