vision_request,text_request,layer,rank,vision_total_assignments,text_total_assignments,vision_active_experts,text_active_experts,vision_gini,text_gini,vision_top1_share,text_top1_share,vision_top4_share,text_top4_share,vision_max_expert_load,text_max_expert_load,vision_padding_amplification,text_padding_amplification,vision_effective_tiles,text_effective_tiles,vision_expert_median_ms,text_expert_median_ms,relative_assignment_error
coins,text_05_coffee,30,0,1052.0,988.0,28.0,19.0,0.5469344106463878,0.7405111336032388,0.11026615969581749,0.1862348178137652,0.38022813688212925,0.6356275303643725,116.0,184.0,2.068441064638783,2.979757085020243,34.0,23.0,0.42243197560310364,0.4176960289478302,0.060836501901140684
coins,text_00_coins,31,0,1088.0,1256.0,25.0,23.0,0.6123621323529411,0.666202229299363,0.17647058823529413,0.2197452229299363,0.4742647058823529,0.49363057324840764,192.0,276.0,1.8823529411764706,1.6305732484076434,32.0,32.0,0.4057599902153015,0.4105279743671417,0.15441176470588236
coins,text_02_cat,32,0,1320.0,1292.0,28.0,24.0,0.5488636363636363,0.6988196594427245,0.13333333333333333,0.3157894736842105,0.4060606060606061,0.56656346749226,176.0,408.0,1.793939393939394,2.674922600619195,37.0,27.0,0.4374080002307892,0.4224959909915924,0.021212121212121213
coins,text_02_cat,33,0,1264.0,1156.0,29.0,16.0,0.5603243670886076,0.8301254325259516,0.1550632911392405,0.3356401384083045,0.4620253164556962,0.7785467128027681,196.0,388.0,1.8734177215189873,2.3252595155709344,37.0,21.0,0.4299519956111908,0.40905603766441345,0.08544303797468354
coins,text_02_cat,34,0,1228.0,1204.0,29.0,24.0,0.49582654723127034,0.6516818936877077,0.09446254071661238,0.2558139534883721,0.3387622149837134,0.5049833887043189,116.0,308.0,1.8241042345276872,2.7641196013289036,35.0,26.0,0.43027201294898987,0.42396801710128784,0.019543973941368076
coins,text_01_clock_motion,35,0,1148.0,1272.0,30.0,26.0,0.5909189895470384,0.6387578616352201,0.14982578397212543,0.14465408805031446,0.46689895470383275,0.5062893081761006,172.0,184.0,2.1184668989547037,1.8616352201257862,38.0,37.0,0.43484801054000854,0.4227200150489807,0.10801393728222997
coins,text_02_cat,36,0,744.0,992.0,26.0,27.0,0.551747311827957,0.6522177419354839,0.10752688172043011,0.21370967741935484,0.3709677419354839,0.5201612903225806,80.0,212.0,2.4086021505376345,2.193548387096774,28.0,34.0,0.4215359687805176,0.42982399463653564,0.3333333333333333
coins,text_02_cat,37,0,1112.0,1072.0,29.0,29.0,0.5029226618705036,0.5482742537313433,0.1079136690647482,0.20149253731343283,0.3776978417266187,0.4253731343283582,120.0,216.0,1.8992805755395683,3.582089552238806,33.0,30.0,0.4227200150489807,0.4216639995574951,0.03597122302158273
coins,text_00_coins,38,0,1008.0,988.0,29.0,23.0,0.4305555555555556,0.5616143724696356,0.10317460317460317,0.11336032388663968,0.32936507936507936,0.39676113360323884,104.0,112.0,2.0317460317460316,1.7489878542510122,32.0,27.0,0.4256640076637268,0.4097919762134552,0.01984126984126984
coins,text_05_coffee,39,0,1060.0,1188.0,29.0,23.0,0.536438679245283,0.6781355218855218,0.12075471698113208,0.16498316498316498,0.37358490566037733,0.5185185185185185,128.0,196.0,2.1735849056603773,2.8013468013468015,36.0,26.0,0.4336319863796234,0.42636802792549133,0.12075471698113208
coins,text_04_color_wheel,40,0,1124.0,1144.0,28.0,21.0,0.5652802491103203,0.7126311188811189,0.18149466192170818,0.18181818181818182,0.4483985765124555,0.6363636363636364,204.0,208.0,1.99288256227758,2.797202797202797,35.0,25.0,0.4232639968395233,0.4110719859600067,0.017793594306049824
coins,text_00_coins,41,0,952.0,936.0,27.0,20.0,0.551733193277311,0.5964209401709402,0.13025210084033614,0.1111111111111111,0.42016806722689076,0.39743589743589747,124.0,104.0,2.0840336134453783,1.641025641025641,31.0,24.0,0.41734397411346436,0.40588802099227905,0.01680672268907563
coins,text_01_clock_motion,42,0,860.0,992.0,25.0,25.0,0.5478197674418605,0.6423891129032258,0.11627906976744186,0.24596774193548387,0.38139534883720927,0.528225806451613,100.0,244.0,2.083720930232558,2.0,28.0,31.0,0.41388797760009766,0.4139840304851532,0.15348837209302327
coins,text_01_clock_motion,43,0,652.0,1004.0,31.0,22.0,0.43194018404907975,0.7827440239043825,0.08588957055214724,0.33067729083665337,0.3067484662576687,0.7171314741035855,56.0,332.0,3.042944785276074,1.9760956175298805,31.0,31.0,0.4280960261821747,0.40671998262405396,0.5398773006134969
