active_id,call_id,cuda_device,duration_ms,grid_thw,input_shape,output_dtype,output_path,output_shape,pid
multi_4,29,0,20.51763153076172,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836931.pt,"[784, 8192]",1836931
prefix_1,30,0,19.707807540893555,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0030_prefix_1_pid1836931.pt,"[196, 8192]",1836931
prefix_2,31,0,19.22777557373047,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0031_prefix_2_pid1836931.pt,"[392, 8192]",1836931
prefix_3,32,0,19.822751998901367,"[[1, 28, 28], [1, 28, 28], [1, 28, 28]]","[2352, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0032_prefix_3_pid1836931.pt,"[588, 8192]",1836931
prefix_4,33,0,21.369600296020508,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0033_prefix_4_pid1836931.pt,"[784, 8192]",1836931
warmup_0,0,1,132.75791931152344,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0000_warmup_0_pid1836934.pt,"[196, 8192]",1836934
independent_1,1,1,34.419647216796875,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0001_independent_1_pid1836934.pt,"[196, 8192]",1836934
independent_2,2,1,43.90822219848633,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0002_independent_2_pid1836934.pt,"[196, 8192]",1836934
independent_3,3,1,21.86204719543457,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0003_independent_3_pid1836934.pt,"[196, 8192]",1836934
independent_4,4,1,21.313247680664062,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0004_independent_4_pid1836934.pt,"[196, 8192]",1836934
single_control,5,1,20.090240478515625,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0005_single_control_pid1836934.pt,"[196, 8192]",1836934
multi_2,6,1,57.276641845703125,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0006_multi_2_pid1836934.pt,"[392, 8192]",1836934
multi_4,7,1,58.68947219848633,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0007_multi_4_pid1836934.pt,"[784, 8192]",1836934
prefix_1,8,1,27.256000518798828,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0008_prefix_1_pid1836934.pt,"[196, 8192]",1836934
prefix_2,9,1,26.571552276611328,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0009_prefix_2_pid1836934.pt,"[392, 8192]",1836934
prefix_3,10,1,44.380672454833984,"[[1, 28, 28], [1, 28, 28], [1, 28, 28]]","[2352, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0010_prefix_3_pid1836934.pt,"[588, 8192]",1836934
prefix_4,11,1,40.812416076660156,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0011_prefix_4_pid1836934.pt,"[784, 8192]",1836934
independent_1,12,1,27.449695587158203,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0012_independent_1_pid1836934.pt,"[196, 8192]",1836934
independent_2,13,1,21.533184051513672,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0013_independent_2_pid1836934.pt,"[196, 8192]",1836934
independent_3,14,1,28.527904510498047,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0014_independent_3_pid1836934.pt,"[196, 8192]",1836934
independent_4,15,1,29.573375701904297,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0015_independent_4_pid1836934.pt,"[196, 8192]",1836934
