ep_size,sample_id,request_id,block_id,iteration_id,nfe,layer_id,virtual_rank,active_experts,assignments,recv_unique_activation_rows,max_rows_per_expert,cv_rows_per_expert,latency_ms,p10_ms,p90_ms,split,backend
8,request1_nfe26_layer14_rank5,1,46,15,26,14,5,29,1398,694,186,0.8789322815453173,0.5369279980659485,0.5281216144561768,0.5474112033843994,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe47_layer8_rank7,3,48,6,47,8,7,26,1412,751,204,0.9450150640376562,0.5350720286369324,0.5253888010978699,0.5497920036315918,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe19_layer14_rank2,1,46,8,19,14,2,29,1526,786,237,0.9498218631089993,0.555903971195221,0.5345920085906982,0.5683775901794433,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe9_layer11_rank1,3,46,3,9,11,1,29,1572,777,270,1.1320335155017984,0.5549439787864685,0.5406848073005677,0.5639295935630798,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe25_layer19_rank3,1,46,14,25,19,3,25,1268,617,296,1.323001181369211,0.5121920108795166,0.5024639964103699,0.5220671892166138,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe38_layer19_rank0,1,47,8,38,19,0,25,1749,769,335,1.4404516387358524,0.5529919862747192,0.5414016127586365,0.5717951774597168,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe41_layer3_rank3,3,48,0,41,3,3,28,2292,1144,384,1.2511092940072508,0.6333760023117065,0.6272831916809082,0.6498175978660583,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe6_layer5_rank4,1,45,6,6,5,4,28,1782,991,445,1.4344852559819952,0.5920320153236389,0.5820672035217285,0.6070080041885376,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe3_layer17_rank6,1,45,3,3,17,6,24,1604,772,598,1.86203483093262,0.5454080104827881,0.5363583922386169,0.5626176118850708,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe5_layer6_rank3,1,45,5,5,6,3,31,2330,1131,770,1.8199583846341094,0.6503679752349854,0.6449407935142517,0.6552255868911743,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe41_layer13_rank0,3,48,0,41,13,0,29,3967,1476,1290,2.207180515906519,0.7413439750671387,0.7318591952323914,0.7559552192687988,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe41_layer15_rank6,3,48,0,41,15,6,30,2846,1159,329,0.6727878750284622,0.6547200083732605,0.6470719933509826,0.662611210346222,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe10_layer2_rank4,3,46,4,10,2,4,31,1270,647,140,0.8703996985243448,0.5290240049362183,0.5211328029632568,0.538041615486145,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe32_layer7_rank5,1,47,2,32,7,5,29,1690,797,249,0.9469703875063396,0.5601599812507629,0.5471360206604003,0.5755007982254028,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request3_nfe49_layer16_rank6,3,48,8,49,16,6,26,789,504,113,0.9951595321706294,0.4779199957847595,0.4654336035251617,0.495142388343811,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe29_layer18_rank4,1,46,18,29,18,4,24,944,548,128,1.0461297188596705,0.48153600096702576,0.47115519642829895,0.4922048032283783,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
8,request1_nfe18_layer18_rank1,1,46,7,18,18,1,19,430,327,87,1.090109922462087,0.4267520010471344,0.4175552070140839,0.4428032100200653,train,DeepEP_receive_format_plus_torch_grouped_mm_bf16_MLP
