request_id,source,category,budget,layer,strategy,total_tokens,vision_tokens,vision_ratio,chunks,min_chunk,max_chunk,chunk_size_cv,all_tile_sum,all_padded_rows,all_assignments,all_active_expert_sum,all_median_expert_batch,all_p10_expert_batch,all_tiny_le_1_fraction,all_tiny_le_4_fraction,vision_tile_sum,vision_padded_rows,vision_assignments,vision_active_expert_sum,vision_median_expert_batch,vision_p10_expert_batch,vision_tiny_le_1_fraction,vision_tiny_le_4_fraction
coins,short,natural,128,41,fixed,128,108,0.84375,1,128,128,0.0,111.0,6080.0,1024.0,111.0,6.0,1.0,0.10810810810810811,0.40540540540540543,95.0,5216.0,864.0,95.0,6.0,1.0,0.12631578947368421,0.4
coins,short,natural,128,42,fixed,128,108,0.84375,1,128,128,0.0,109.0,5952.0,1024.0,109.0,7.0,2.0,0.09174311926605505,0.3577981651376147,98.0,5408.0,864.0,98.0,6.5,1.0,0.1836734693877551,0.3979591836734694
coins,short,natural,128,43,fixed,128,108,0.84375,1,128,128,0.0,113.0,6208.0,1024.0,113.0,6.0,1.200000000000001,0.10619469026548672,0.3805309734513274,104.0,5792.0,864.0,104.0,6.0,1.0,0.125,0.41346153846153844
coins,short,natural,128,44,fixed,128,108,0.84375,1,128,128,0.0,106.0,5760.0,1024.0,106.0,7.0,2.0,0.07547169811320754,0.3584905660377358,93.0,5088.0,864.0,93.0,7.0,2.0,0.0967741935483871,0.3333333333333333
coins,short,natural,128,45,fixed,128,108,0.84375,1,128,128,0.0,110.0,6016.0,1024.0,110.0,6.5,1.0,0.11818181818181818,0.38181818181818183,97.0,5344.0,864.0,97.0,6.0,1.6000000000000014,0.10309278350515463,0.3917525773195876
coins,short,natural,128,46,fixed,128,108,0.84375,1,128,128,0.0,107.0,5824.0,1024.0,107.0,6.0,1.0,0.1308411214953271,0.3364485981308411,95.0,5216.0,864.0,95.0,7.0,1.0,0.16842105263157894,0.35789473684210527
coins,short,natural,128,47,fixed,128,108,0.84375,1,128,128,0.0,104.0,5632.0,1024.0,104.0,7.0,1.0,0.125,0.375,87.0,4704.0,864.0,87.0,7.0,1.0,0.13793103448275862,0.40229885057471265
coins,short,natural,128,0,balanced,128,108,0.84375,1,128,128,0.0,114.0,6272.0,1024.0,114.0,5.5,1.0,0.19298245614035087,0.4473684210526316,84.0,4512.0,864.0,84.0,6.0,1.0,0.13095238095238096,0.42857142857142855
coins,short,natural,128,1,balanced,128,108,0.84375,1,128,128,0.0,116.0,6400.0,1024.0,116.0,5.0,1.0,0.1896551724137931,0.47413793103448276,94.0,5152.0,864.0,94.0,4.5,1.0,0.18085106382978725,0.5
coins,short,natural,128,2,balanced,128,108,0.84375,1,128,128,0.0,106.0,5760.0,1024.0,105.0,5.0,2.0,0.09523809523809523,0.4666666666666667,82.0,4384.0,864.0,81.0,6.0,2.0,0.07407407407407407,0.4691358024691358
