context,iteration,layer,rank,n,g,q,histogram,block_m,dispatch_ms,expert_ms,combine_ms,dispatch_expert_overlap_ms,expert_combine_overlap_ms,previous_expert_ms,previous_combine_ms,static_median_ms,tail
serving,21,15,3,4544,29,56,"42,16,164,16,116,226,20,22,312,182,176,4,4,10,142,14,54,706,0,42,8,40,0,12,410,68,26,970,0,392,300,50",128,0.29600000381469727,0.5637760162353516,0.23164799809455872,0.0,0.12109375,0.5650879740715027,0.19513599574565887,0.5578399896621704,False
serving,21,16,3,5086,29,55,"0,104,60,128,118,668,42,112,0,248,184,24,122,152,284,68,346,6,636,256,18,38,0,94,580,64,10,134,286,2,272,30",128,0.38809600472450256,0.5612800121307373,0.2221119999885559,0.0,0.1015625,0.5637760162353516,0.23164799809455872,0.5537919998168945,False
serving,21,17,3,4070,29,50,"48,40,60,274,240,90,38,386,0,144,22,28,106,26,172,10,38,1018,36,178,484,180,82,0,8,32,8,98,8,0,208,8",128,0.28652799129486084,0.5546879768371582,0.2061759978532791,0.0,0.09765625,0.5612800121307373,0.2221119999885559,0.5379199981689453,False
serving,21,18,3,4198,31,53,"46,4,68,40,152,2,976,312,74,344,4,40,26,0,64,592,28,20,16,266,48,62,308,16,30,16,114,226,104,6,170,24",128,0.2988480031490326,0.5502719879150391,0.2061759978532791,0.0,0.10546875,0.5546879768371582,0.2061759978532791,0.547648012638092,False
serving,21,19,3,5472,29,62,"80,322,20,0,96,130,0,934,42,420,20,430,64,18,42,36,144,32,82,36,4,534,290,18,980,0,2,146,228,116,22,184",128,0.5007359981536865,1.3692799806594849,0.3507840037345886,0.0,0.0,0.5502719879150391,0.2061759978532791,0.5508959889411926,True
serving,21,20,3,4516,29,50,"102,618,136,108,36,114,282,218,6,2,132,0,52,38,0,256,34,64,14,2,72,508,42,2,0,344,230,240,110,634,118,2",128,0.680512011051178,0.9070720076560974,0.21167999505996704,0.0,0.0,1.3692799806594849,0.3507840037345886,0.5506239831447601,True
serving,21,21,3,4830,28,54,"218,52,206,16,640,20,312,2,100,84,550,66,0,2,338,252,620,4,90,24,276,12,234,0,14,134,120,0,28,276,0,140",128,0.6322559714317322,0.8751680254936218,0.17078399658203125,0.0,0.0,0.9070720076560974,0.21167999505996704,0.545775979757309,True
serving,21,22,3,5428,30,60,"0,36,298,838,384,230,30,146,90,358,10,182,32,274,378,356,220,236,40,0,34,6,14,312,110,30,20,32,434,18,130,150",128,0.45529600977897644,0.7306879758834839,0.15862399339675903,0.0,0.00390625,0.8751680254936218,0.17078399658203125,0.5517280101776123,True
serving,21,23,3,3688,30,50,"362,232,104,418,130,2,24,180,24,20,148,0,22,26,10,70,2,0,80,218,182,40,6,66,136,28,274,14,12,180,662,16",128,0.3719039857387543,0.6544319987297058,0.17971199750900269,0.0,0.0234375,0.7306879758834839,0.15862399339675903,0.549375981092453,True
serving,21,24,3,6202,31,68,"174,142,2,350,88,6,402,270,0,16,18,220,86,28,2,50,612,12,180,8,176,430,118,1380,32,146,16,110,68,30,448,582",128,0.3909119963645935,0.6794559955596924,0.14870400726795197,0.0,0.07421875,0.6544319987297058,0.17971199750900269,0.5858400166034698,True
serving,21,25,3,6110,31,65,"2,30,114,86,6,114,182,208,260,0,288,232,14,368,8,14,424,162,52,570,8,468,146,32,638,28,76,320,118,616,24,502",128,0.3401600122451782,0.6498879790306091,0.14262400567531586,0.0,0.0703125,0.6794559955596924,0.14870400726795197,0.5629760026931763,True
serving,21,26,3,5090,31,58,"116,22,106,0,182,134,180,2,46,70,120,532,196,18,14,184,1472,30,6,28,58,30,134,448,90,44,40,242,196,96,248,6",128,0.3608640134334564,0.6248319745063782,0.15670399367809296,0.0,0.0859375,0.6498879790306091,0.14262400567531586,0.5672480165958405,False
serving,21,27,3,4892,28,56,"0,6,100,10,80,270,26,24,364,172,94,12,4,4,54,48,54,852,2,48,0,22,0,4,382,0,20,992,4,458,602,184",128,0.30348798632621765,0.5942080020904541,0.1401280015707016,0.0,0.0625,0.6248319745063782,0.15670399367809296,0.570032000541687,False
serving,21,28,3,4814,29,53,"4,166,116,154,194,744,14,122,0,328,152,34,110,120,204,72,386,18,340,50,20,20,0,96,332,64,40,82,252,0,562,18",128,0.2935360074043274,0.5908799767494202,0.18991999328136444,0.0,0.1015625,0.5942080020904541,0.1401280015707016,0.5529280006885529,False
serving,21,29,3,4042,32,53,"68,70,104,98,140,42,4,166,2,186,26,2,160,20,118,16,6,1384,34,52,258,84,254,18,2,4,470,68,14,12,158,2",128,0.3354879915714264,0.5691519975662231,0.19167999923229218,0.0,0.1015625,0.5908799767494202,0.18991999328136444,0.558320015668869,False
serving,21,30,3,3924,30,51,"46,8,10,42,92,8,1216,156,66,316,0,16,12,0,28,146,134,44,10,268,54,82,596,30,40,4,102,122,34,12,204,26",128,0.38838401436805725,0.5527999997138977,0.20188799500465393,0.0,0.09765625,0.5691519975662231,0.19167999923229218,0.5486879944801331,False
serving,21,31,3,5904,31,65,"66,348,10,12,144,154,10,668,68,552,38,458,72,20,24,74,256,12,78,22,2,1052,500,22,744,10,0,110,110,60,32,176",128,0.2775999903678894,0.5564799904823303,0.20947200059890747,0.0,0.12109375,0.5527999997138977,0.20188799500465393,0.5620479881763458,False
